db_entity_name,empname,contributor_empname,filing_entity_name,seg_ind,schedule,category,count,avg_value,total_value,max_value
BUSHWICK ECONOMIC DEVELOPMENT CORP,Bushwick Economic Development,Bushwick Economic Development,BUSHWICK ECONOMIC DEVELOPMENT CORP,N,ABC,medium,1,250.0,250.0,250.0
NATIONAL BLACK LEADERSHIP COMMISSION ON,National Black Leadership Comm,National Black Leadership Comm,NATIONAL BLACK LEADERSHIP COMMISSION ON,N,ABC,medium,1,250.0,250.0,250.0
THE COALITION FOR ASIAN AMERICAN CHILDREN AND FAMILIES,NYC OMB,NYC OMB,THE COALITION FOR ASIAN AMERICAN CHILDREN AND FAMILIES,N,ABC,small,1,5.0,5.0,5.0
NEW YORK CITY COALITION AGAINST HUNGER,Hunger Free America,Hunger Free America,NEW YORK CITY COALITION AGAINST HUNGER,N,ABC,small,1,5.0,5.0,5.0
"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",FPWA,FPWA,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",N,ABC,small,60,50.0,3000.0,50.0
"NEW VISIONS FOR PUBLIC SCHOOLS, INC.",Unemployed,Unemployed,"NEW VISIONS FOR PUBLIC SCHOOLS, INC.",N,ABC,medium,1,250.0,250.0,250.0
"STUDLEY, INC.",Savills Studley,Savills Studley,"STUDLEY, INC.",N,ABC,medium,1,400.0,400.0,400.0
TECHNO CONSULT INC,Techno Consult Engineering PC,Techno Consult Engineering PC,TECHNO CONSULT INC,N,ABC,medium,1,400.0,400.0,400.0
"NORTHFIELD COMMUNITY LOCAL DEVELOPMENT CORP. OF STATEN ISLAND, INC.",Student,Student,"NORTHFIELD COMMUNITY LOCAL DEVELOPMENT CORP. OF STATEN ISLAND, INC.",N,ABC,small,1,25.0,25.0,25.0
PARK STRATEGIES LLC,Self,Self,PARK STRATEGIES LLC,N,ABC,medium,3,400.0,1200.0,400.0
AL-MAMOOR SCHOOL,Not employed,Not employed,AL-MAMOOR SCHOOL,N,ABC,small,4,10.0,40.0,10.0
COASTAL PLUMBING SUPPLY CO INC,Coastal Supply Group,Coastal Supply Group,COASTAL PLUMBING SUPPLY CO INC,N,ABC,small,1,50.0,50.0,50.0
NEW YORK COUNTY HEALTH SERVICES REVIEW,MedReview,MedReview,NEW YORK COUNTY HEALTH SERVICES REVIEW,N,ABC,medium,1,250.0,250.0,250.0
THE LUTHERAN CHURCH OF THE ATONEMENT,Not employed,Not employed,THE LUTHERAN CHURCH OF THE ATONEMENT,N,ABC,small,4,27.0,108.0,27.0
CARE FOR THE HOMELESS,Not Employed,Not Employed,CARE FOR THE HOMELESS,N,ABC,medium,3,1000.0,3000.0,1000.0
