location_name,location_code,prop_n,schools,avgofprop_n,avgofmajor_n,nocrim_n,school_year
105 TECH PLACE CONSOLIDATED LOCATION,K580,,2,,,,2016 - 17
105 TECH PLACE CONSOLIDATED LOCATION,K580,,2,,,,2016 - 17
Benjamin Banneker Academy,K670,1.0,1,0.75,0.28,0.0,2016 - 17
P.S. 194 Countee Cullen,M194,,3,,,,2016 - 17
"New Explorations into Science, Technology and Math",M539,2.0,1,0.75,0.28,5.0,2016 - 17
P.S. 179 Kensington,K179,1.0,1,0.63,0.27,6.0,2016 - 17
P.S. 195 Manhattan Beach,K195,0.0,1,0.75,0.28,3.0,2016 - 17
999 JAMAICA AVENUE CONSOLIDATED LOCATION,K420,,5,,,,2016 - 17
999 JAMAICA AVENUE CONSOLIDATED LOCATION,K420,,5,,,,2016 - 17
P.S. 042 Benjamin Altman,M042,0.0,1,0.75,0.28,1.0,2016 - 17
P.S. 21 Margaret Emery-Elm Park,R021,2.0,1,0.75,0.28,0.0,2016 - 17
Midwood High School,K405,4.0,5,2.55,0.9,20.0,2016 - 17
1700 FULTON STREET CONSOLIDATED LOCATION,K455,,3,,,,2016 - 17
1700 FULTON STREET CONSOLIDATED LOCATION,K455,,3,,,,2016 - 17
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,K366,1.0,1,0.63,0.27,3.0,2016 - 17
Satellite East Middle School,K301,1.0,1,0.63,0.27,1.0,2016 - 17
P.S. 176 Cambria Heights,Q176,0.0,1,0.98,0.38,0.0,2016 - 17
Belmont Preparatory High School,X434,1.0,6,3.63,1.69,50.0,2016 - 17
Brooklyn Academy High School,K553,5.0,3,0.98,0.38,23.0,2016 - 17
Brooklyn Academy High School,K553,5.0,3,0.98,0.38,,2016 - 17
New Visions Charter High School for Advanced Math,K738,,4,,,,2016 - 17
New Visions Charter High School for Advanced Math,K738,,4,,,,2016 - 17
New Visions Charter High School for Advanced Math,K738,,4,,,,2016 - 17
P.S. 031 Samuel F. Dupont,K031,0.0,1,0.75,0.28,0.0,2016 - 17
J.H.S. 078 Roy H. Mann,K078,,2,,,1.0,2016 - 17
J.H.S. 078 Roy H. Mann,K078,,2,,,,2016 - 17
4200 16 AVENUE CONSOLIDATED LOCATION,K223,,2,,,,2016 - 17
4200 16 AVENUE CONSOLIDATED LOCATION,K223,,2,,0.66,,2016 - 17
4200 16 AVENUE CONSOLIDATED LOCATION,K223,,2,,0.38,,2016 - 17
325 SOUTH  3 STREET CONSOLIDATED LOCATION,K414,0.0,1,0.75,0.28,1.0,2016 - 17
"City Polytechnic High School of Engineering, Archi",K674,,2,,,,2016 - 17
"City Polytechnic High School of Engineering, Archi",K674,,2,,,,2016 - 17
"City Polytechnic High School of Engineering, Archi",K674,,2,,,,2016 - 17
