owner_businessname,filing_type,worker_compensation,filingstatus_or_filingincludes,category,count,avg_value,total_value,max_value
TRIUMPH HOTELS,New Filing,2021-01-01 00:00:00,Alteration/Replacement,Low Cost,1,3500.0,3500.0,3500.0
LUTHERAN SOCIAL SERVICES OF NEW YOR,New Filing,2024-10-01 00:00:00,Alteration/Replacement,Low Cost,1,11500.0,11500.0,11500.0
SJP PROPERTIES,New Filing,2022-05-24 00:00:00,New Installation,Low Cost,1,37600.0,37600.0,37600.0
PR,New Filing,2022-05-24 00:00:00,New Installation,Low Cost,1,34300.0,34300.0,34300.0
CARMEL RICHMOND/ ARCHCARE,New Filing,2022-01-01 00:00:00,Alteration/Replacement,Low Cost,1,14440.0,14440.0,14440.0
DURST DEVPLPMENT LLC,New Filing,2020-04-01 00:00:00,New Installation,High Cost,1,225000.0,225000.0,225000.0
CONSOLIDATED SCAFFOLD & BRIDGE CORP,PAA,2021-10-01 00:00:00,New Installation,Low Cost,1,20000.0,20000.0,20000.0
SOLOW BUILDING CO.,New Filing,2023-12-01 00:00:00,Remove,Low Cost,1,7535.8,7535.8,7535.8
URBAN HOME OWNERSHIP CORP,New Filing,2026-09-16 00:00:00,New Installation,Low Cost,1,22000.0,22000.0,22000.0
RABINA PROPERTIES,New Filing,2023-10-01 00:00:00,New Installation,Low Cost,1,10000.0,10000.0,10000.0
