property_id,nyc_building_identification,property_name,address_1,report_year,category,count,avg_value,total_value,max_value
20805143,3001884,Witnick - 145 Henry Street,145 Henry Street,2022,Low Emissions,1,2.3,2.3,2.3
22739732,4437274; 4437273; 4437276; 4437277; 4437275; 4610290,Fodera Enterprises,127-92 Willets Point Boulevard,2022,Low Emissions,1,4.5,4.5,4.5
24774626,1079085 ; 1079084,Living - 195 Bowery St,195 Bowery St,2022,Low Emissions,1,5.3,5.3,5.3
6041140,1078014,Lower East Side I Associates-355,355 East 10th Street,2022,Low Emissions,1,5.9,5.9,5.9
14997976,2017519,55 East 196 Street,55 East 196 street,2022,Low Emissions,1,4.4,4.4,4.4
6768068,1015101,141 West 28th street,141 west 28th street,2022,Low Emissions,1,3.9,3.9,3.9
24774628,1008451,Living - 43 Bleecker Street,43 Bleecker Street,2022,Low Emissions,1,0.5,0.5,0.5
2734728,4002498,ADI: 43-07 39th Place,43-07 39th Place,2022,Low Emissions,1,3.4,3.4,3.4
2715746,1041667,Maxwell: 14 E 75th St.,14 East 75th Street,2022,Low Emissions,1,3.5,3.5,3.5
22740715,4610290,Storage Garage,127-92 Garage Willets Point Boulevard,2022,Low Emissions,1,95.7,95.7,95.7
15582602,1090719,286-Aliz Times Square,310 W 40th St,2022,Low Emissions,1,6.2,6.2,6.2
28119913,4437500 ; 4437501,52-15 Metropolitan Avenue,52-15 Metropolitan Avenue,2022,Low Emissions,1,0.6,0.6,0.6
6936560,2007655,FAMILY SUPPORT FAMILY SUPPORT SYSTEMS UNL. HDFC,1975   CRESTON AVE,2022,Low Emissions,1,6.1,6.1,6.1
20474488,1015828,22 W 32ND STREET,"22 W 32ND STREET, 10001",2022,Low Emissions,1,4.1,4.1,4.1
2803972,1037574; 1084253,Christopher Lee: 279 East 44th Street,279 East 44th Street,2022,Low Emissions,1,8.5,8.5,8.5
10177418,4300145,Central Building,2011 Mott Ave,2022,Low Emissions,1,4.6,4.6,4.6
28524291,3110754,3214 Beverly Road,3214 Beverly Road,2022,Low Emissions,1,2.9,2.9,2.9
2710810,3029653;3813981,263 Eastern Parkway,263 Eastern Parkway,2022,Low Emissions,1,5.8,5.8,5.8
2770581,4209597,Maverick: 165-25 Jamaica Ave,165-25 Jamaica Ave,2022,Low Emissions,1,4.8,4.8,4.8
3788683,3136533,Beth Jacob Teachers Seminary,4420 15th Ave.,2022,Low Emissions,1,5.3,5.3,5.3
28349578,5001173,105 Jersey Street,105 Jersey Street,2022,Low Emissions,1,0.0,0.0,0.0
23095886,1017592,23 East 39 St,23 East 39 St,2022,Low Emissions,1,5.1,5.1,5.1
2769630,3097872,Maverick: 1000 Pennsylvania Ave,1000 Pennsylvania Ave,2022,Low Emissions,1,3.1,3.1,3.1
6248903,2014634,2471 Grand Avenue,2471 Grand Avenue,2022,Low Emissions,1,5.0,5.0,5.0
