open_data_channel_type,descriptor,address_type,police_precinct,complaint_type,park_borough,park_facility_name,landmark
ONLINE,Double Parked Blocking Vehicle,ADDRESS,Precinct 48,Illegal Parking,BRONX,Unspecified,EAST  178 STREET
PHONE,BELL/BUZZER/INTERCOM,ADDRESS,Precinct 48,GENERAL,BRONX,Unspecified,
ONLINE,Driver Complaint - Passenger,ADDRESS,Unspecified,Taxi Complaint,MANHATTAN,Unspecified,EAST   41 STREET
ONLINE,APARTMENT ONLY,ADDRESS,Unspecified,HEAT/HOT WATER,MANHATTAN,Unspecified,
ONLINE,MAINTENANCE,ADDRESS,Precinct 17,ELEVATOR,MANHATTAN,Unspecified,
UNKNOWN,Pothole,ADDRESS,Precinct 46,Street Condition,BRONX,Unspecified,
ONLINE,CEILING,ADDRESS,Precinct 52,PAINT/PLASTER,BRONX,Unspecified,
PHONE,TOILET,ADDRESS,Precinct 42,PLUMBING,BRONX,Unspecified,
PHONE,TOILET,ADDRESS,Precinct 42,PLUMBING,BRONX,Unspecified,
UNKNOWN,Illegal Conversion Of Residential Building/Space,ADDRESS,Precinct 68,Building/Use,BROOKLYN,Unspecified,
UNKNOWN,Pothole,ADDRESS,Precinct 102,Street Condition,QUEENS,Unspecified,
PHONE,Derelict Vehicles,ADDRESS,Precinct 110,Derelict Vehicles,QUEENS,Unspecified,
ONLINE,ENTIRE BUILDING,ADDRESS,Precinct 112,HEAT/HOT WATER,QUEENS,Unspecified,
UNKNOWN,Graffiti,ADDRESS,Precinct 83,Graffiti,BROOKLYN,Unspecified,
MOBILE,Car/Truck Music,ADDRESS,Precinct 28,Noise - Vehicle,MANHATTAN,Unspecified,WEST  114 STREET
ONLINE,Engine Idling,ADDRESS,Precinct 70,Noise - Vehicle,BROOKLYN,Unspecified,EAST   10 STREET
MOBILE,,INTERSECTION,Precinct 75,Panhandling,BROOKLYN,Unspecified,
ONLINE,APARTMENT ONLY,ADDRESS,Precinct 75,HEAT/HOT WATER,BROOKLYN,Unspecified,
ONLINE,Posted Parking Sign Violation,ADDRESS,Precinct 84,Illegal Parking,BROOKLYN,Unspecified,LIVINGSTON STREET
