centername,inspectionsummaryresult,programtype,facilitytype,regulationsummary,total,count,average
BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,Initial Annual Inspection - Passed inspection with no violations,INFANT TODDLER,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,2,0.0
"JACKSON CHILD DEVELOPMENT CENTER, INC.",Initial Annual Inspection - Reinspection Required,PRESCHOOL,GDC,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,0.0,72,0.0
"TUTOR TIME LEARNING CENTER, LLC",Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,2,0.0
STEPPING STONES,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL CAMP,Camp,There were no new violations observed at the time of this inspection/visit.,0.0,2,0.0
CHILDREN'S CORNER,,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,2,0.0
SUNSHINE DAY CARE,,INFANT TODDLER,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,1,0.0
"BOOKS & RATTLES, INC.",,PRESCHOOL,GDC,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,0.0,1,0.0
BRIGHT HORIZONS AT EAST VILLAGE,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,2,0.0
PARSONS PRESCHOOL,Initial Annual Inspection - Reinspection Not Required,PRESCHOOL,GDC,At time of inspection records of enrolled children's periodic medical examination were Not provided or maintained.,0.0,4,0.0
SHINING SMILES DAYCARE 1 INC.,,PRESCHOOL,GDC,School operator arranges for fingerprinting,0.0,1,0.0
THE CHILD STUDY CENTER OF NEW YORK,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,1,0.0
SUNSHINE LEARNING CENTER,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,2,0.0
EVERBROOK ACADEMY,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,4,0.0
THE HUDSON GUILD,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,1,0.0
"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.",Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,0.0,2,0.0
Kochavim Ktanim Child Care Inc,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,At time of inspection trash and garbage observed Not stored in appropriate containers with tight fitting lids.,0.0,1,0.0
PARSONS PRESCHOOL,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,GDC,At time of inspection records of enrolled children's periodic medical examination were Not provided or maintained.,0.0,4,0.0
NY KIDS CLUB,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,4,0.0
SHINING SMILES DAYCARE 1 INC.,,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,0.0,1,0.0
BRIGHT HORIZONS AT EAST VILLAGE,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,0.0,1,0.0
"URBAN CONCEPTS OF NEW YORK, ROUND THE CLOCK NURSERY, INC",Monitoring Inspection Non-Routine - Reinspection Required; Fines pending,PRESCHOOL,GDC,Teacher to child ratios and group size maintained in Group Child Care program,,1,
"3467 READY, SET,  LEARN L L C",,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,,1,
