incident_address,total_y_coordinate_state_plane,additional_details,closed_date
898 LEXINGTON AVENUE,218770,Parked In 'No Standing' Area,2025-12-18 12:58:53
168-01 UNION TURNPIKE,66905850,Parked On Sidewalk,2025-12-10 17:04:23
14-18 117 STREET,225382,Parked On Sidewalk,2025-12-19 10:58:55
37-69 WARREN STREET,212870,Blocking Driveway,2025-12-11 04:14:52
576 5 AVENUE,214894,Parked In Crosswalk,2025-12-19 20:11:07
1265 WARD AVENUE,241955,Blocking Driveway,2025-12-23 13:55:56
168-01 UNION TURNPIKE,66905850,Parked On Sidewalk,2025-12-15 17:19:19
117-06 NASHVILLE BOULEVARD,192977,Parked In 'No Standing' Area,2025-12-19 14:32:04
149 GELSTON AVENUE,328688,Parked On Sidewalk,2025-12-10 13:48:58
514 79 STREET,669740,Blocking Driveway,2025-12-13 21:59:23
71-01 PARSONS BOULEVARD,25871328,Parked On Sidewalk,2025-12-21 13:57:31
623 WEST 170 STREET,246312,Parked In Front Of Fire Hydrant,2025-12-21 11:56:30
500 WEST 30 STREET,213296,Parked In 'No Standing' Area,2025-12-22 22:14:53
71-01 PARSONS BOULEVARD,25871328,Parked On Sidewalk,2025-12-17 11:21:21
100 MESEROLE AVENUE,8165720,Parked On Sidewalk,2025-12-22 02:48:25
33-08 169 STREET,218801,Not Provided,2025-12-18 14:31:45
200 BROOME STREET,200591,Parked In 'No Standing' Area,2025-12-21 20:46:12
100 MESEROLE AVENUE,8165720,Parked On Sidewalk,2025-12-12 08:28:48
493 DEAN STREET,187523,Parked On Sidewalk,2025-12-13 15:02:28
2548 EAST 27 STREET,154351,Parked On Sidewalk,2025-12-16 03:37:32
168-01 UNION TURNPIKE,66905850,Parked On Sidewalk,2025-12-21 13:52:54
1249 SUTTER AVENUE,184414,Parked On Sidewalk,2025-12-21 12:39:15
499 BERGEN STREET,187213,Parked In Front Of Fire Hydrant,2025-12-15 08:23:16
140-17 84 DRIVE,197873,Parked In 'No Standing' Area,2025-12-13 08:11:32
5-47 50 AVENUE,40323264,Parked On Sidewalk,2025-12-17 13:51:55
71-01 PARSONS BOULEVARD,25871328,Parked On Sidewalk,2025-12-16 17:06:44
100 MESEROLE AVENUE,8165720,Parked On Sidewalk,2025-12-14 14:16:10
5-47 50 AVENUE,40323264,Parked On Sidewalk,2025-12-17 03:49:39
22 WEST 48 STREET,215325,Parked In 'No Standing' Area,2025-12-19 10:36:48
807 44 STREET,348056,Parked In Front Of Fire Hydrant,2025-12-12 20:56:32
1 BOWLING GREEN,783480,Parked In 'No Standing' Area,2025-12-18 14:33:57
5-47 50 AVENUE,40323264,Parked On Sidewalk,2025-12-22 13:45:01
168-01 UNION TURNPIKE,66905850,Parked On Sidewalk,2025-12-22 10:14:15
5-47 50 AVENUE,40323264,Parked On Sidewalk,2025-12-20 13:49:24
168-01 UNION TURNPIKE,66905850,Parked On Sidewalk,2025-12-21 13:53:13
5-47 50 AVENUE,40323264,Parked On Sidewalk,2025-12-12 07:31:41
100 MESEROLE AVENUE,8165720,Parked On Sidewalk,2025-12-23 04:44:43
100 MESEROLE AVENUE,8165720,Parked On Sidewalk,2025-12-22 06:06:23
101-01 35 AVENUE,214152,Parked In Front Of Fire Hydrant,2025-12-21 03:19:45
275 GLENMORE AVENUE,1474488,Parked On Sidewalk,2025-12-20 21:05:36
5-47 50 AVENUE,40323264,Parked On Sidewalk,2025-12-23 13:36:44
2871E EAST 194 STREET,249903,Parked On Sidewalk,2025-12-13 02:55:23
60-14 55 DRIVE,203732,Blocking Driveway,2025-12-12 08:38:52
329 LINDEN STREET,193921,Parked In Front Of Fire Hydrant,2025-12-24 01:08:16
5-47 50 AVENUE,40323264,Parked On Sidewalk,2025-12-10 13:46:20
100 MESEROLE AVENUE,8165720,Parked On Sidewalk,2025-12-11 05:55:55
275 GLENMORE AVENUE,1474488,Parked On Sidewalk,2025-12-23 04:21:04
2860 KINGSBRIDGE TERRACE,773421,Blocking Driveway,2025-12-16 17:27:23
71-01 PARSONS BOULEVARD,25871328,Parked On Sidewalk,2025-12-20 09:21:21
100 MESEROLE AVENUE,8165720,Parked On Sidewalk,2025-12-21 13:56:38
