issuer_code,vehicle_make,issuer_squad,violation_description,issue_date,violation_location,issuer_precinct,registration_state
363578,FORD,C,38-Failure to Display Muni Rec,2017-02-06T00:00:00.000,19.0,19,NY
363103,CHEVR,H,21-No Parking (street clean),2016-09-06T00:00:00.000,43.0,43,NY
345435,TOYOT,P,70A-Reg. Sticker Expired (NYS),2017-04-03T00:00:00.000,102.0,102,NY
0,HONDA,,PHTO SCHOOL ZN SPEED VIOLATION,2016-09-20T00:00:00.000,,0,NY
353272,ME/BE,B2,71A-Insp Sticker Expired (NYS),2016-07-05T00:00:00.000,9.0,9,NY
0,TOYOT,,PHTO SCHOOL ZN SPEED VIOLATION,2016-10-26T00:00:00.000,,0,NY
338645,TOYOT,G,40-Fire Hydrant,2017-05-25T00:00:00.000,109.0,109,NY
362195,HONDA,S,24-No Parking (exc auth veh),2017-06-17T00:00:00.000,20.0,20,NJ
363494,TOYOT,N,37-Expired Muni Meter,2017-01-17T00:00:00.000,109.0,109,NY
363132,FRUEH,GP,51-Sidewalk,2016-11-17T00:00:00.000,18.0,18,NJ
362635,FORD,L,14-No Standing,2016-08-11T00:00:00.000,17.0,17,NY
363944,ME/BE,H,20A-No Parking (Non-COM),2017-04-24T00:00:00.000,48.0,48,NY
361787,HONDA,S,21-No Parking (street clean),2017-03-03T00:00:00.000,44.0,44,NY
361847,INTER,S,38-Failure to Display Muni Rec,2016-10-11T00:00:00.000,109.0,109,NJ
340095,ME/BE,A2,24-No Parking (exc auth veh),2016-12-14T00:00:00.000,32.0,32,NY
505412,DODGE,0000,,2016-07-18T00:00:00.000,32.0,0,NY
363494,CHRYS,N,14-No Standing,2016-12-28T00:00:00.000,114.0,114,NY
363942,FORD,N,69-Failure to Disp Muni Recpt,2016-08-09T00:00:00.000,10.0,10,NY
364027,NISSA,G,71A-Insp Sticker Expired (NYS),2016-12-09T00:00:00.000,106.0,106,NY
901431,WORK,0000,,2016-08-16T00:00:00.000,13.0,13,NY
0,HONDA,,FAILURE TO STOP AT RED LIGHT,2016-10-01T00:00:00.000,,0,NY
351964,CHEVR,Y,71A-Insp Sticker Expired (NYS),2017-01-13T00:00:00.000,75.0,75,NY
361096,TOYOT,B,37-Expired Muni Meter,2016-08-09T00:00:00.000,66.0,66,NY
362278,LEXUS,B,46A-Double Parking (Non-COM),2016-08-26T00:00:00.000,48.0,48,NY
0,VOLKS,,PHTO SCHOOL ZN SPEED VIOLATION,2016-07-25T00:00:00.000,,0,NY
362532,GMC,J,51-Sidewalk,2017-04-26T00:00:00.000,1.0,1,NY
0,HONDA,,BUS LANE VIOLATION,2016-07-05T00:00:00.000,,0,CT
0,CHEVR,,PHTO SCHOOL ZN SPEED VIOLATION,2016-10-07T00:00:00.000,,0,NY
0,CHEVR,,PHTO SCHOOL ZN SPEED VIOLATION,2017-06-05T00:00:00.000,,0,NY
0,NISSA,,FAILURE TO STOP AT RED LIGHT,2017-03-16T00:00:00.000,,0,NY
357710,NISSA,A,21-No Parking (street clean),2016-07-11T00:00:00.000,114.0,114,NY
890092,HONDA,0000,,2016-12-19T00:00:00.000,52.0,0,NY
959446,FORD,0000,,2017-05-16T00:00:00.000,19.0,19,NY
0,AUDI,,PHTO SCHOOL ZN SPEED VIOLATION,2016-11-03T00:00:00.000,,0,NY
361099,LEXUS,B,20A-No Parking (Non-COM),2017-02-20T00:00:00.000,50.0,50,NJ
363537,FRUEH,F,24-No Parking (exc auth veh),2017-04-21T00:00:00.000,14.0,14,NY
362241,BMW,J,31-No Stand (Com. Mtr. Zone),2016-08-05T00:00:00.000,14.0,14,PA
904712,ISUZU,0000,,2016-10-04T00:00:00.000,17.0,17,NY
346409,INTER,A,19-No Stand (bus stop),2016-11-26T00:00:00.000,17.0,17,MN
364891,MAZDA,J,09-Blocking the Box,2017-04-14T00:00:00.000,52.0,52,NY
355417,AUDI,H,31-No Stand (Com. Mtr. Zone),2017-01-26T00:00:00.000,20.0,20,NJ
361339,LEXUS,F,38-Failure to Display Muni Rec,2017-04-15T00:00:00.000,48.0,48,NJ
357808,TOYOT,Q,14-No Standing,2016-10-03T00:00:00.000,61.0,61,NY
353177,HONDA,B,14-No Standing,2016-09-28T00:00:00.000,61.0,61,NY
0,HONDA,,PHTO SCHOOL ZN SPEED VIOLATION,2017-04-03T00:00:00.000,,0,NY
359575,NS/OT,O,69-Failure to Disp Muni Recpt,2017-05-22T00:00:00.000,18.0,18,NJ
363558,NISSA,I,38-Failure to Display Muni Rec,2017-03-25T00:00:00.000,41.0,41,NY
355542,VOLKS,Q,21-No Parking (street clean),2016-12-14T00:00:00.000,68.0,68,NY
0,CHEVR,,PHTO SCHOOL ZN SPEED VIOLATION,2016-09-20T00:00:00.000,,0,NY
364912,ME/BE,H,23-No Parking (taxi stand),2017-04-23T00:00:00.000,61.0,61,NY
355417,TOYOT,H,53-Safety Zone,2017-02-14T00:00:00.000,20.0,20,NY
0,BMW,,PHTO SCHOOL ZN SPEED VIOLATION,2017-02-17T00:00:00.000,,0,NY
356979,ISUZU,Q,40-Fire Hydrant,2017-04-18T00:00:00.000,114.0,114,NY
349483,GMC,D,46A-Double Parking (Non-COM),2016-12-06T00:00:00.000,68.0,68,PA
357711,HINO,M,69-Failure to Disp Muni Recpt,2016-11-03T00:00:00.000,14.0,14,NY
356258,FORD,F,16-No Std (Com Veh) Com Plate,2016-10-03T00:00:00.000,19.0,19,NY
540131,DODGE,0000,,2016-09-16T00:00:00.000,23.0,0,NY
0,HONDA,,PHTO SCHOOL ZN SPEED VIOLATION,2017-04-21T00:00:00.000,,0,NY
907502,TOYOT,0000,,2016-10-21T00:00:00.000,49.0,49,NY
362252,FORD,C,14-No Standing,2016-12-07T00:00:00.000,23.0,23,NY
0,CHEVR,,FAILURE TO STOP AT RED LIGHT,2017-03-16T00:00:00.000,,0,NY
362584,DODGE,M,71A-Insp Sticker Expired (NYS),2016-12-01T00:00:00.000,104.0,104,NY
358145,FRUEH,O,84-Platform lifts in low posit,2017-03-08T00:00:00.000,45.0,45,IL
361324,FORD,X,74-Missing Display Plate,2017-06-15T00:00:00.000,52.0,52,NY
355281,CHRYS,A,20A-No Parking (Non-COM),2016-11-19T00:00:00.000,46.0,46,NY
0,DODGE,,FAILURE TO STOP AT RED LIGHT,2017-04-07T00:00:00.000,,0,NY
332086,AUDI,O,20A-No Parking (Non-COM),2016-08-11T00:00:00.000,19.0,19,CT
362626,FORD,D,38-Failure to Display Muni Rec,2017-02-20T00:00:00.000,9.0,9,NY
345381,CHEVR,L,21-No Parking (street clean),2017-05-18T00:00:00.000,114.0,114,PA
0,LEXUS,,PHTO SCHOOL ZN SPEED VIOLATION,2016-10-26T00:00:00.000,,0,NY
0,HYUND,,FAILURE TO STOP AT RED LIGHT,2017-04-05T00:00:00.000,,0,NY
363468,BMW,P,60-Angle Parking,2016-09-07T00:00:00.000,107.0,107,NY
341248,TOYOT,X,20A-No Parking (Non-COM),2016-11-22T00:00:00.000,23.0,23,PA
352093,FORD,O,21-No Parking (street clean),2016-10-11T00:00:00.000,40.0,40,NY
359294,FRUEH,L,48-Bike Lane,2016-07-20T00:00:00.000,26.0,26,NY
582928,CHRYS,0000,,2016-08-04T00:00:00.000,42.0,0,NY
357764,SUBAR,E,21-No Parking (street clean),2017-06-13T00:00:00.000,78.0,78,NY
363551,NS/OT,V,20A-No Parking (Non-COM),2017-06-09T00:00:00.000,108.0,108,PA
354188,KIA,I,19-No Stand (bus stop),2016-07-28T00:00:00.000,28.0,28,MD
361304,HONDA,B,21-No Parking (street clean),2016-08-06T00:00:00.000,88.0,88,NY
355598,HYUND,N,40-Fire Hydrant,2016-07-27T00:00:00.000,42.0,42,NY
956868,NISSA,0000,,2016-11-02T00:00:00.000,71.0,71,NY
365336,TOYOT,K,37-Expired Muni Meter,2017-03-15T00:00:00.000,19.0,19,NY
361815,SUBAR,GP,31-No Stand (Com. Mtr. Zone),2016-10-01T00:00:00.000,18.0,18,GA
938416,AUDI,0000,,2016-07-21T00:00:00.000,62.0,62,99
356499,JEEP,L,20A-No Parking (Non-COM),2017-06-27T00:00:00.000,114.0,114,NY
331331,TOYOT,Q,38-Failure to Display Muni Rec,2016-09-10T00:00:00.000,71.0,71,NY
355556,ISUZU,B,78-Nighttime PKG on Res Street,2017-01-04T00:00:00.000,47.0,47,NJ
361343,CHRYS,M,38-Failure to Display Muni Rec,2017-02-01T00:00:00.000,24.0,24,NY
0,CHEVR,,BUS LANE VIOLATION,2017-05-11T00:00:00.000,,0,NY
0,KIA,,PHTO SCHOOL ZN SPEED VIOLATION,2016-11-22T00:00:00.000,,0,NY
0,CHEVR,,PHTO SCHOOL ZN SPEED VIOLATION,2017-04-27T00:00:00.000,,0,NY
363098,HONDA,E,40-Fire Hydrant,2016-12-26T00:00:00.000,121.0,121,NY
333002,HONDA,M,21-No Parking (street clean),2016-08-30T00:00:00.000,72.0,72,NY
359624,FORD,A,38-Failure to Display Muni Rec,2016-09-07T00:00:00.000,110.0,110,NY
0,CHEVR,,PHTO SCHOOL ZN SPEED VIOLATION,2016-12-12T00:00:00.000,,0,NY
364880,NISSA,E,21-No Parking (street clean),2017-05-05T00:00:00.000,90.0,90,NY
363578,FORD,C,38-Failure to Display Muni Rec,2016-11-10T00:00:00.000,19.0,19,NY
363930,FRUEH,R,53-Safety Zone,2016-08-04T00:00:00.000,28.0,28,NY
0,ACURA,,PHTO SCHOOL ZN SPEED VIOLATION,2016-12-07T00:00:00.000,,0,NY
350424,TOYOT,I,16A-No Std (Com Veh) Non-COM,2017-02-04T00:00:00.000,18.0,18,NJ
363115,TOYOT,G,38-Failure to Display Muni Rec,2017-05-06T00:00:00.000,18.0,18,PA
362621,KIA,E,20A-No Parking (Non-COM),2016-07-07T00:00:00.000,120.0,120,NY
363506,FORD,P,51-Sidewalk,2016-09-27T00:00:00.000,101.0,101,NY
354205,CHEVR,B,31-No Stand (Com. Mtr. Zone),2016-10-12T00:00:00.000,14.0,14,NY
364003,ME/BE,P,71A-Insp Sticker Expired (NYS),2016-10-03T00:00:00.000,114.0,114,NY
362612,BMW,M,21-No Parking (street clean),2016-11-10T00:00:00.000,94.0,94,NY
362234,MERCU,R,40-Fire Hydrant,2016-11-05T00:00:00.000,42.0,42,NJ
960739,ME/BE,0000,,2017-05-28T00:00:00.000,73.0,73,NY
361838,CHRYS,N,40-Fire Hydrant,2017-04-03T00:00:00.000,88.0,88,NY
347615,ME/BE,Q,21-No Parking (street clean),2017-02-15T00:00:00.000,61.0,61,NY
0,DODGE,,PHTO SCHOOL ZN SPEED VIOLATION,2016-07-15T00:00:00.000,,0,NY
359576,FORD,J,77-Parked Bus (exc desig area),2017-06-10T00:00:00.000,63.0,63,NY
364836,NISSA,G,71A-Insp Sticker Expired (NYS),2017-06-05T00:00:00.000,46.0,46,NY
358226,TOYOT,0000,,2017-05-09T00:00:00.000,90.0,301,NY
362612,BMW,N,20A-No Parking (Non-COM),2016-09-29T00:00:00.000,84.0,84,OH
951211,MITSU,0000,,2017-05-31T00:00:00.000,6.0,6,NY
363979,CHEVR,P,38-Failure to Display Muni Rec,2017-05-09T00:00:00.000,90.0,90,NY
955748,FORD,0000,,2016-07-01T00:00:00.000,105.0,105,NY
0,CHEVR,,BUS LANE VIOLATION,2017-05-30T00:00:00.000,,0,NY
363473,CHRYS,F,38-Failure to Display Muni Rec,2017-03-25T00:00:00.000,61.0,61,IL
362241,FORD,J,14-No Standing,2016-08-03T00:00:00.000,14.0,14,NY
550105,ME/BE,0000,,2017-04-25T00:00:00.000,100.0,0,NY
0,TOYOT,,FAILURE TO STOP AT RED LIGHT,2017-02-07T00:00:00.000,,0,NY
0,FORD,,PHTO SCHOOL ZN SPEED VIOLATION,2017-01-31T00:00:00.000,,0,NY
936369,FORD,0000,,2016-12-28T00:00:00.000,19.0,19,NY
