summons_number,vehicle_year,vehicle_color,violation_time
7722852804,2017,GY,0541P
7809884955,0,GY,0855A
8299544646,2003,RED,1032A
8174092444,0,GREY,0856A
8129067420,0,BLACK,0818A
1416274558,2013,WH,0449P
8531112552,2011,BK,1258P
8545451696,0,WH,1156A
1407721434,0,BLUE,0200A
1412114950,0,GRAY,0846A
8480152746,2015,WH,0349P
1416748830,0,GY,0202A
1414075819,0,BLACK,0411A
1415787608,2009,WH,1136A
8308518217,2016,WH,0959A
8546400246,2016,BL,0122P
8485225168,0,GREEN,0831A
8035147304,2002,TN,1243P
8207013485,2004,BL,1153A
8251035831,2015,WH,0435P
8435014484,2014,BK,0858P
8536001859,0,BLACK,1011A
8436509869,2016,WH,0631A
4006418772,2014,VN  B,0743A
4633401026,2014,WH,1119A
8292587020,2016,GY,1158A
5094410003,2014,WH,1051P
8300522499,2011,GY,0825A
5093219186,2008,GY,1152A
1417712132,2015,BK,0220P
8578752429,0,GREY,0604P
4633661905,2016,MR,1206P
8151578397,2003,GREY,0850A
8496004144,2010,BL,0142P
8566361337,2016,,0122A
8335040837,2002,BK,0908A
1413479741,0,BROWN,0437P
4634320137,2008,WH,1108A
8528964346,2008,BK,0419P
8334516393,2001,BLACK,1130A
8529360151,2012,WH,1231P
7879419810,2016,WH,1159A
8107011582,2015,LTG,0839A
8063562112,0,WHITE,0147P
8525712048,2003,GY,0931A
8564801139,2006,WH,0239P
8031395226,2010,WH,0523P
7007500833,2002,BK,0708A
8475600128,2003,GR,0142P
8473805628,2013,WHITE,0956A
1403655881,2011,RED,1110P
8497312739,0,WHITE,0314P
4633130250,2010,WH,0907A
1416575285,1997,RED,0858P
4633620496,2010,WH,0737A
8543551110,0,TAN,1149A
847122561000.00%,2005,GY,0111P
8498065793,0,WHITE,0306P
4625543083,2014,GY,0138P
4632180660,2017,BK,0104P
7061981921,0,WHITE,1116A
8534269142,2008,BK,1136A
4626489989,2006,BK,1013A
8392540414,0,GREY,0754A
4006405224,2011,GY,0902A
7503170797,0,WHITE,1049P
8566106945,0,WHITE,0948P
706154796000.00%,2016,WH,0352P
4630421543,2016,WH,1117A
7001448977,2007,SILVE,0202P
8509731123,2015,WH,0124P
795733199300.00%,0,BLACK,0231P
7405998999,0,WHITE,0246A
8054547882,2013,GY,0259P
8271565394,2011,GY,0854A
8484613033,0,WHITE,0305P
8523568700,0,WHITE,1220P
8511313679,2016,BROWN,0442P
8397039570,2004,TN,1021A
8547358018,2007,TN,0306P
8057549750,2004,BK,1209P
8034484696,2017,GY,0534A
4626914822,2004,BK,1258P
8505043601,2011,WH,0213P
8309551400,2015,WH,0959A
8341023106,2005,GY,0907A
8520171096,2004,GY,0817A
8536123096,2003,BL,0556P
8.20e+09,2006,WH,1037A
4631660739,2008,BK,0317P
8530223597,2006,BK,0959A
5093709906,2006,GY,0337P
8271079499,1999,GR,0240P
8481259883,2016,BK,0928A
8483800974,2002,WH,0307P
8220020258,0,GREEN,1220P
