street_name,violation_legal_code,street_code3,issuing_agency,law_section,plate_type,intersecting_street,feet_from_curb,issuer_command,street_code2
WB QUEENS BLVD @ 56T,T,0,V,1180,PAS,H ST,0,,0
Murray St,,44890,T,408,PAS,,0,T105,15350
W 47th St,,10510,T,408,COM,,0,T106,10410
Commonwealth Ave,,35720,T,408,PAS,,0,T201,73420
SB FLATBUSH AVE EXT,T,0,V,1180,PAS,@ CHAPEL ST,0,,0
Madison Ave,,17650,T,408,COM,,0,T102,17630
E 48th St,,0,T,408,COM,45ft W/of Park Ave,0,T106,0
W 19th St,,0,T,408,PAS,60ft E/of 6th Ave,0,T102,0
152nd St,,51590,T,408,PAS,,0,T402,55390
ROCKAWAY BEACH BLVD,,34440,P,408,PAS,,0,0100,34390
Howard Ave,,19230,T,408,PAS,,5,T301,31830
W 122nd St,,13610,T,408,PAS,,0,T103,11710
AM,,0,T,408,PAS,0ft E/of E 13th St,0,T302,0
184th Pl,,18040,T,408,PAS,,0,T402,25160
QUEENS BLVD,,11640,P,408,COM,,0,0110,11540
W 33rd St,,13610,T,408,COM,,0,T102,10410
194 ST,,13290,P,408,PAS,,0,0107,35780
E 25th St,,0,T,408,PAS,100ft E/of Madison A,0,T102,0
5th Ave,,18510,T,408,COM,,0,T103,18490
9th Ave,,34570,T,408,COM,,0,T506,34550
NB OCEAN PKWY @ AVE,T,0,V,1180,PAS,S,0,,0
W 150 STREET,,11710,P,408,COM,,0,0030,15910
ROOSEVELT AVE,,16740,P,408,PAS,,0,0115,16590
Avenue M,,36480,T,408,PAS,,0,Broo,36430
Broad St,,29900,T,408,PAS,,0,T303,22255
SB KNAPP ST @ AVE V,T,40404,V,1180,PAS,,0,,40404
E 92nd St,,10210,T,408,PAS,,0,T103,24890
6th Ave,,0,T,408,COM,200ft S/of Spring St,0,T105,0
Matthewson Rd,,0,T,408,PAS,70ft S/of W Tremont,0,T201,0
Emmons Ave,,67530,T,408,OMT,,0,T802,35680
W 39th St,,10810,T,408,PAS,,0,T106,10610
Morris Ave,,27150,T,408,PAS,,0,T201,27120
BAR,,57720,P,408,PAS,,9,0049,47520
8TH AVE,,36070,P,408,COM,,0,0028,36050
LIBERTY AVE,,21590,P,408,COM,,0,0106,21540
Eliot Ave,,11210,T,408,PAS,,0,T402,61490
Church Ave,,37080,T,408,PAS,,0,T302,37030
EB ATLANTIC AVE @ ES,T,0,V,1180,PAS,SEX ST,0,,0
NB CASTLE HILL AVE @,T,0,V,1180,PAS,GLOVER ST,0,,0
41st St,,7990,T,408,PAS,,0,T401,57490
Amsterdam Ave,,35570,T,408,PAS,,0,T108,35550
40th Rd,,0,T,408,PAS,20ft E/of Warren St,0,T401,0
E 37th St,,0,T,408,OMT,3rd Ave,0,T102,10210
NASSAU AVE,,59640,P,408,COM,,0,0094,38530
Liberty St,,0,T,408,PAS,40ft E/of South End,0,T101,0
EB ROCKAWAY BLVD @ 1,T,0,V,1180,PAS,00TH ST,0,,0
GRAND ST,,22690,P,408,PAS,,0,0007,15610
Greene St,,45090,T,408,PAS,,0,T101,29290
W 33rd St,,0,T,408,PAS,30ft E/of 7th Ave,0,T102,0
40th St,,0,T,408,999,20ft N/of 7th Ave,0,T302,0
NB GOULDN AV. BDFD P,T,0,V,1180,PAS,K BV W - 1320' N/OF,0,,0
Pearl St,,13590,T,408,COM,,0,T105,26470
SB SOUTHERN BLVD @ E,T,0,V,1180,PAS,187TH ST,0,,0
RIVER AVENUE,,26400,P,408,PAS,,0,0163,26370
Jefferson Ave,,54100,T,408,PAS,,0,T301,93530
11th Ave,,68730,T,408,OMT,,0,T302,9930
Westchester Ave,,18520,T,408,PAS,,0,T201,59820
_E 87th St,,10210,T,408,PAS,,0,T103,24890
W 42nd St,,0,T,408,PAS,45ft E/of Broadway,0,T506,0
E 167th St,,36520,T,408,PAS,,0,T201,72720
N 1st St,,0,T,408,PAS,25ft N/of Kent Ave,0,T301,0
Vanderbilt Ave,,69330,T,408,PAS,,0,T301,72730
E 4th St,,12210,T,408,PAS,,0,T101,12110
E 59th St,,10010,T,408,PAS,,0,T103,97910
SB BEDFORD PARK BLVD,T,0,V,1180,TOW,@ BRIGGS AVE,0,,0
W 130th St,,10610,T,408,PAS,,0,T103,24690
5th Ave,,17250,T,408,PAS,,0,T102,17230
Madison Ave-,,18110,T,408,COM,,0,T106,18090
8th Ave,,34570,T,408,PAS,,0,T106,34550
9th Ave,,34710,T,408,PAS,,0,T102,34690
3A,,9640,T,408,COM,,0,T401,57490
23rd St,,42490,T,408,PAS,,0,T401,6690
HORACE HARDING EXPWY,T,0,V,1111,PAS,(W/B) @ UTOPIA PKWY,0,,0
63rd St,,61090,T,408,PAS,,0,T401,9140
NB PENNSYLVANIA AVE,T,0,V,1180,PAS,@ HORNELL LOOP,0,,0
Lexington Ave,,18890,T,408,COM,,0,T103,18870
Starr St,,40404,T,408,PAS,,0,T402,40404
WEST END AVE,,35570,P,408,COM,,0,0024,35550
Amherst St,,46970,T,408,PAS,,0,T802,76930
WB GOETHALS RD N @ J,T,0,V,1180,PAS,ULES DR,0,,0
E 29th St,,40930,T,408,PAS,,0,T302,40230
89th Ave,,41700,T,408,PAS,,0,T402,22040
