pivot-metric,pivot-value,time_first_observed,days_parking_in_effect,violation_precinct,date_first_observed,house_number,from_hours_in_effect,meter_number,violation_post_code
unregistered_vehicle,,,YYYYYYY,102,0,87-48,,,34 4
plate_id,GSL3258,,Y,88,0,150,0930A,,06
plate_id,13141MK,,YYYYY,10,0,508,0800A,,01
unregistered_vehicle,,,YYYYY,70,0,W,0800A,,25
plate_id,NVAGVUP,,,0,0,,,,
unregistered_vehicle,,,,0,0,,,,
plate_id,56989MB,,Y,112,0,93-54,0830A,,03 4
plate_id,82848JX,,Y,102,0,10505,0800A,,34
plate_id,591067,,YYYYY,107,0,161-51,0700A,,G 42
plate_id,GGP1619,0405P,Y,62,0,7,0900A,307-1345,06
unregistered_vehicle,,,,34,0,217,,,01 7
unregistered_vehicle,,,Y  Y,23,0,E,0830A,,CC4
plate_id,GBB8762,,Y,13,0,303,0830A,,A 17
plate_id,VBR57E,,,0,0,,,,
plate_id,H66FND,,YYYYYYY,61,0,2347,,,33
unregistered_vehicle,,,YYYYYYY,19,0,1481,,,C 77
unregistered_vehicle,0.0,,YYYYYBB,1,0,11,0800A,-,
plate_id,GFN9124,,,0,0,,,,
plate_id,HPP7208,,YYYYYYY,19,0,189,,,18
plate_id,548264,,YYYYYYY,113,0,123-08,,,R
plate_id,HEX3998,,Y,67,0,1048,0830A,,C
unregistered_vehicle,,,YYYYY,114,0,13-07,0600A,,M 41
unregistered_vehicle,,,Y,13,0,167,0700A,,12
plate_id,3ZZ126,,YYYYY,14,0,200,0600A,,30
unregistered_vehicle,,,YYYYY,1,0,49,0700A,,069
unregistered_vehicle,,,Y  Y,90,0,277,1100A,,14 3
plate_id,X10ECZ,,YYYYY,19,0,680,0700A,,01 7
plate_id,60376MD,,BBBBBBB,68,0,8301,ALL,-,
unregistered_vehicle,,,YYYYY,13,0,135,0800A,,01
plate_id,GFM4944,,Y  Y,23,0,E,0830A,,CC4
unregistered_vehicle,,,YYYYY,18,0,1745,0700A,,05 6
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,YYYYYYY,110,0,86-22,,,G 41
unregistered_vehicle,,,Y,114,0,29-17,0830A,,31-A
unregistered_vehicle,,,Y,24,0,614,0700A,,01 8
plate_id,HLK6622,,,0,0,,,,
unregistered_vehicle,,,,0,0,,,,
plate_id,GTT7805,,,0,0,,,,
plate_id,GXT1722,,Y YY,77,0,907,0800A,,I
plate_id,FZK7031,,Y,112,0,97-13,0830A,,01 4
plate_id,DFWY21,,Y,24,0,614,0700A,,01 8
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,Y,63,0,1942,0900A,,20
unregistered_vehicle,,,,0,0,,,,
plate_id,820236N,,YYYYYYY,120,0,175A,,,C-PM
plate_id,FPY5552,,YYYYYYY,90,0,263,,,16
plate_id,2220568,,,19,0,1352,,,58 7
plate_id,61838MG,1037A,Y,103,20170311,14602,0900A,429-3113,14
plate_id,4YC616,,Y,5,0,105,1000A,,057
plate_id,GST7375,,YYYYYYY,19,0,155,,,20 7
plate_id,GHR4712,,YYYYYYY,112,0,88-55,,,X 42
plate_id,20318TC,,Y,14,0,842,0700A,,10
unregistered_vehicle,0.0,,BBBBBBB,0,0,350,ALL,-,
unregistered_vehicle,0.0,,BBBBBBB,33,0,625,ALL,-,
unregistered_vehicle,,,YYYYYYY,102,0,86-11,,,36 4
plate_id,FJF6496,,Y,114,0,49-19,0930A,,52-A
unregistered_vehicle,,1037A,Y,103,20170311,14602,0900A,429-3113,14
plate_id,HDZ4969,,,0,0,,,,
plate_id,46516MC,,Y,13,0,141,0700A,,99 6
plate_id,6LC9549,,Y  Y,19,0,370,0900A,,08
plate_id,T690511C,,,0,0,,,,
plate_id,GUY5191,,Y,52,0,2615,0800A,,27 2
unregistered_vehicle,,,,0,0,,,,
plate_id,W60EYS,,,0,0,,,,
plate_id,KGP4179,,YYYYYYY,44,0,N,,,37 2
unregistered_vehicle,,,Y,114,0,40-11,0830A,,30 4
plate_id,XNC9955,,YYYYYYY,28,0,113,0700A,,01 7
plate_id,HMR4895,,Y,18,0,227,1000A,,05
unregistered_vehicle,,,YYYYYYY,52,0,3300,,,L 21
plate_id,64322JR,,Y,10,0,251,0800A,,20 6
plate_id,66725MD,,Y,14,0,598,0700A,,03
plate_id,DGE3718,,YYYYYYY,47,0,W,,,03 2
