summons_number,plate_id,street_name,issuer_code,to_hours_in_effect,sub_division,violation_in_front_of_or_opposite,street_code1,violation_code,vehicle_body_type,vehicle_expiration_date,violation_county
1420313782,BNJ6827,ESPLANADE,911794,ALL,C,O,31520,50,SUBN,20180418,BX
4633847594,GER1497,EB EASTERN PKWY @ WA,0,,B,,0,36,SUBN,0,BK
7163958146,93478MB,New Dorp Ln,362621,0500P,h1,F,39800,38,DELV,88888888,R
8490026210,7119721,5th Ave,359576,0700P,h1,O,5580,38,SUBN,20170131,K
8507720079,R89GWF,Thompson St,358599,,c,I,32590,14,4DSD,88880088,NY
8496004144,GHV3169,5th Ave,365361,1000P,h1,O,10410,38,SUBN,20170630,NY
8549902214,FYS1333,Bay Ridge Pky,349839,,e2,F,10330,40,SUBN,20180410,K
8304025735,AS484R,9th Ave,356484,,k7,F,10910,84,REFG,88888888,NY
8224545623,CLM5125,Harman St,361861,,j3,I,48790,70,SUBN,20170421,Q
1417112888,83499ME,MEtCER ST,949519,0600P,D,F,25990,20,VAN,0,NY
1413202081,63581JM,GREENWICH ST,926145,ALL,E9,F,21790,48,VAN,0,NY
4634642736,HHT6364,WB JAMAICA AVE @ 224,0,,B,,0,36,SUBN,0,QN
1408979226,2178779,GLEN STREET,925790,ALL,K4,F,29730,66,TRL,0,R
8553955436,JST4178,50th Ave,364871,1000A,d1,O,10790,21,SUBN,20161188,Q
8471225610,GAM5437,-5th Ave,361096,0700P,h1,F,5580,37,SUBN,20180816,K
8483526499,3ZZ126,W 39th St,363065,0700P,l3,F,34550,31,4DSD,88880088,NY
8527308990,G554DT,Faile St,358910,,j3,I,0,70,PICK,20161230,BX
8031395226,89193MG,Lexington Ave,363054,0700P,h1,F,24890,37,VAN,20180630,NY
4635264348,HRD5131,SB HYLAN BLVD @ FING,0,,B,,0,36,4DSD,0,ST
7882637191,2448E,89th Ave,363997,0700P,h1,F,18040,38,4DSD,20170588,Q
8487810238,HLC2824,College Point Blvd,358919,0700P,h1,O,39595,37,4DSD,20181204,Q
7281473400,P14BYH,E 75th St,362238,1030A,d1,F,18490,21,SUBN,88888888,NY
4625602270,HDZ8125,sb flatbush ave @ fl,0,,B,,0,36,4DSD,0,BK
8485360813,59370MH,W 51st St,345369,0600P,h1,O,34790,69,SUBN,20171231,NY
8520563478,HPP7208,E 93rd St,354125,,j6,F,0,71,4DSD,20190323,NY
5095997836,TRINID2,WOODHAVEN BLVD (N/B),0,,D,,0,7,4DSD,0,QN
8513004583,515NFC,La Salle St,330881,1230A,d1,O,24490,21,4DSD,88880088,NY
8197558176,31234JV,3 0th Ave,357738,0700P,h1,F,7790,38,DELV,20170430,Q
5092992013,GTT7805,QUEENS BLVD (E/B) @,0,,D,,0,7,SUBN,0,QN
7177027014,HKB6427,Monroe Ave,355111,,j6,F,39500,71,4DSD,20180908,R
4634816623,GEA3623,SB KNAPP ST. VOORHIE,0,,B,,0,36,4DSD,0,BK
4626114167,FBC1195,NB UTOPIA PKWY @ 17T,0,,B,,0,36,SUBN,0,QN
8508506650,GXY1735,Waverly Pl,363040,0600P,d,O,0,20,4DSD,20170511,NY
8520017710,HJJ7962,E 59th St,355537,,e3,O,18170,51,SUBN,20180628,NY
7719095560,52824MC,E 72nd St,363062,0700P,k2,F,18430,16,VAN,20170831,NY
7496242950,Y00GTQ,Corona Ave,356236,0830A,d1,O,40090,21,4DSD,20161088,Q
4006428595,HDL2511,SB WEBSTER AVE @ E 1,0,,C,,0,5,4DSD,0,BX
8512608481,S62EZW,E 74th St,361826,,e2,F,18470,40,4DSD,88880088,NY
8343063582,HMV8557,Eastern Pky,353041,1000A,d,O,38430,20,4DSD,20170122,K
4627980656,N355FX,NB FRANCIS LEWIS BLV,0,,B,,0,36,4DSD,0,QN
8548667310,HDU7777,Lefferts Ave,364935,0130P,d1,O,54930,21,SUBN,20171207,K
4634476526,CXW6236,EB EASTERN PKWY @ WA,0,,B,,0,36,SUBN,0,BK
7298297144,17442JE,3rd Ave,340079,0700P,l2,O,10210,47,DELV,20170630,NY
8491229061,GTW6902,Wythe Ave,355553,,e2,F,95030,40,SUBN,20181013,K
8465516674,591067,Jewel Ave,340127,0400P,c,O,51590,14,4DSD,20160088,Q
8479264019,XBJT13,W 38th St,351207,0700P,h1,O,34530,42,VAN,88880088,NY
7595669340,DFWY21,Amsterdam Ave,355223,0100P,l3,O,11710,31,4DSD,20170688,NY
1423947526,12245MG,W 39 ST,926586,ALL,F1,F,34550,46,VAN,0,NY
8477316569,63686ME,3rd Ave,353071,,F1,F,10210,46,VAN,20180930,NY
8566604763,GFL5740,70th Rd,363519,,j3,F,14810,70,SUBN,20170512,Q
8196557280,GWB7054,Prince St,364933,,j3,F,59590,70,SUBN,20170105,Q
8170082171,HLE4940,Quentin Rd,357713,0700P,h1,O,73030,37,SUBN,20180930,K
8333023642,978BEA,36th St,357691,0100P,d1,O,8740,21,4DSD,88880088,Q
8500255158,V58FGZ,7th Ave,356316,,e2,F,10610,40,SUBN,88880088,NY
1415224997,KBG1802,YORK ST,596605,0100P,D1,O,95130,21,I,0,K
8490425115,C41BZK,Rogers Ave,345534,0930A,d1,F,73690,21,4DSD,88888888,K
8504828591,JKZ3905,Murray St,363571,0700P,c4,F,27050,17,SUBN,20170388,NY
8530767950,ECR4358,Jennings St,349900,,f1,F,42720,46,SUBN,20170988,BX
8484553322,GUJ9172,E 39th St,346109,,C8,F,17770,64,SUBN,20181124,NY
4624959231,HGL8545,EB E HOUSTON ST. AVE,0,,B,,0,36,SUBN,0,MN
4006231726,HDY4145,SB NOSTRAND AVE @ EA,0,,C,,0,5,4DSD,0,BK
8355025180,GZU4801,Clarkson Ave,355542,0700P,h1,F,26630,38,SUBN,20170930,K
8252534790,ERU3641,W 71st St,350439,0400P,k2,F,35190,16,PICK,20170510,NY
7025551077,58HG123,Westchester Ave,364914,,f1,F,76950,46,PICK,20161188,BX
1422375122,HCT4550,METCALF AVE,875248,ALL,J3,F,50720,71,SDN,0,BX
8380520488,GGP1902,Wood Rd,363549,0700P,h1,F,78490,38,4DSD,20170419,BX
5095612690,HPM2053,MCDONALD AVE (S/B) @,0,,D,,0,7,SUBN,0,BK
4628635432,EMZ6595,NB REMSEN AVE @ BAY,0,,B,,0,36,4DSD,0,BK
8159544741,HHH6235,N 11th St,358630,,j3,I,66730,70,SUBN,88888888,K
8107011582,GBB8762,E 18th St,345238,0900A,d1,O,17350,21,SUBN,20160927,NY
1414049500,AJKF11,B ARNES,907502,ALL,E2,F,10620,40,SDN,0,BX
1415439096,HEZ9201,OCEAN AVE,929395,ALL,C3,,67530,46,,20180125,K
4626621790,FYD3046,NB BAY PKWY @ 63RD S,0,,B,,0,36,SUBN,0,BK
8565611127,GVK9762,146th Ave,363099,,j3,F,23030,70,4DSD,20161204,Q
4630083250,GNY1614,WB QUEENS BLVD @ 36T,0,,B,,0,36,SUBN,0,QN
7550353130,HJF6757,Lorimer St,356185,1100A,d1,F,57030,21,SUBN,20170930,K
4627668971,HAY8030,WB LAFAYETTE AVE @ H,0,,B,,0,36,2DSD,0,BX
8346528656,KHN0148,150th Pl,355126,,m1,I,23240,61,SUBN,20170088,Q
7040703968,N22GRF,Dorchester Rd,358575,0100P,d1,F,33530,21,4DSD,88888888,K
8283051143,GBT5896,Co Op City Blvd,361107,1000A,d1,O,21125,21,2DSD,20161108,BX
8057549750,GST7375,E 92nd St,361312,,d,O,18820,20,SUBN,20180930,NY
7045847828,PMD91V,Wooster St,363040,,e1,X,45470,9,SUBN,88888888,NY
8554009514,HAL4355,13th St,365339,0600P,d,I,5890,20,4DSD,20171112,Q
1422030910,V24GXD,TROUTMAN ST,548261,0130P,D1,F,85930,21,SDN,0,K
8474582921,FLS5404,211th St,340066,,j6,F,26390,71,4DSD,20170407,Q
4627715341,HCC2681,EB E TREMONT AVE @ E,0,,B,,0,36,4DSD,0,BX
7177014299,F40GSD,Winthrop Pl,355111,0700P,h1,I,0,38,SUBN,88888888,R
8500951588,TKX58V,W 43rd St,331453,,c,F,0,14,DELV,20170088,NY
8269057496,GZN5656,17th Ave,358208,,d,I,6780,20,SUBN,20170622,K
8525712048,HSF1446,Dekalb Ave,330766,1000A,d1,F,24020,21,SUBN,20190524,BX
1414437330,FEC9707,ATLANTIC AVE,921824,ALL,F1,O,13430,46,SUBN,20180321,K
1413958138,T680071C,S/E C/O CROTONA PK N,945824,ALL,F2,,0,50,SDN,20170731,BX
1415868451,GWC2815,BEDFORD AVE,594617,0100P,E2,F,18630,21,SUBN,20170215,K
8089522324,AHO7519,Broome St,363991,0700P,h1,F,13810,37,VAN,88880088,NY
4624602493,62356MC,EB LINDEN BLVD @ HEM,0,,B,,0,36,VAN,0,BK
7165865342,EXL8119,Bay St,356557,0700P,h1,F,17450,37,4DSD,20180222,R
8477708794,21475MG,Madison Ave,361283,0700P,h1,O,25390,69,VAN,88880088,NY
8495055065,28621MH,W 15th St,359574,0600P,h1,O,34070,69,REFG,20170831,NY
8507257422,65650AL,5th Ave,358900,,F1,F,10410,46,VAN,20170430,NY
4623432749,GEF9188,WB LINDEN BLVD @ LIN,0,,B,,0,36,4DSD,0,BK
8504267775,2248120,Wall St,359568,0400P,c,O,32910,14,DELV,88880088,NY
1398929694,YY041556,W 43,935586,ALL,C,F,34630,14,DELV,0,NY
8531418902,HJV1570,Townsend Ave,355281,,d,O,69320,20,4DSD,20170917,BX
8257073933,GTP9921,148th Ave,363043,,j3,F,23110,70,2DSD,20181028,Q
4629461486,GHM2449,EB FLATLANDS AVE @ E,0,,B,,0,36,4DSD,0,BK
8254545303,EED8608,86th St,363136,0700P,h1,F,10880,38,4DSD,20180215,K
7809122939,55436ME,W Broadway,355551,0700P,k2,O,44890,16,VAN,20160831,NY
7061570763,19195MH,broadway,359601,0600P,h1,F,13610,69,VAN,20170630,NY
4627513781,HFJ3860,EB KINGS HWY @ E 23R,0,,B,,0,36,SUBN,0,BK
8011665789,GFR4854,70th Ave,362249,,d,F,14740,20,SUBN,20170615,Q
5094755523,W98HFL,NARROWS RD (W/B) @ C,0,,D,,0,7,WAGO,0,ST
7047942348,GHT4612,48th Ave,362164,,j2,F,10590,74,SUBN,20170716,Q
8497305036,41769JX,W 34th St,362203,,c,F,34450,14,VAN,20171130,NY
7063060181,23985JF,E 54th St,355233,,j6,I,18070,71,DELV,20170831,NY
8509676410,U747DL,Avenue B,358583,,d,O,12210,20,SUBN,88880011,NY
4006340369,FSV2781,SB NOSTRAND AVE @ TI,0,,C,,0,5,4DSD,0,BK
8542312399,GWF3619,S Gannon Ave,354173,,e2,I,0,40,2DSD,20190318,R
7761571752,FZM7169,70th Rd,362618,1100A,d1,I,14810,21,2DSD,20180627,Q
4631660739,HFV5567,WB LINDEN BLVD @ ROC,0,,B,,0,36,4DSD,0,BK
8396528469,GYX7495,E 83rd St,355151,,e2,F,37530,40,4DSD,20170913,K
8566856375,VNJ9239,Beach 109th St,356226,0600P,d,I,33740,20,4DSD,20170188,Q
8425516869,KDAE59,E 75th St,363143,1030A,d1,F,18490,21,PICK,20160088,NY
7954312677,FTG8639,Marcy Ave,354011,0930A,d1,F,58730,21,SUBN,20180208,K
7157863108,HHU2069,Hoyt Ave South,357800,0700P,h1,F,50330,37,SUBN,20180630,Q
5094511555,FZL7103,QUEENS BLVD (W/B) @,0,,D,,0,7,4DSD,0,QN
8154548185,HDV4617,Livingston St,363934,,c3,F,56530,19,4DSD,20180222,K
8271060351,T695406C,Park Pl,345162,1000A,d1,O,69330,21,4DSD,20170331,K
8552151376,HLD8152,Northern Blvd,358655,,e2,O,57790,40,4DSD,20190301,Q
8566658772,HFB1162,Eliot Ave,363072,0400P,h1,F,43490,37,4DSD,20180226,Q
8497310100,77031MG,9th Ave,362203,,F1,F,0,46,TRAC,20180430,NY
8034240497,EGW4614,Jerome Ave,361339,0700P,h1,O,42820,38,SUBN,20180309,BX
8206015632,42268PC,Roosevelt Ave,361783,,d2,F,61090,23,TRAC,20170430,Q
8270529394,GNW1028,E 62nd St,358635,,c,F,18230,14,4DSD,20180323,NY
7020714160,187TJ5,Dekalb Ave,363466,1230A,d1,I,0,21,2DSD,20180588,K
7057128885,381564,W 42nd St,361290,,c3,I,34610,19,4DSD,20170388,NY
8491664877,443LC,Berry St,363998,,e2,F,19530,40,SUBN,20170488,K
1417233527,HHS1417,BERGEN ST,953980,ALL,E2,O,19230,20,SDN,20180622,K
8482364741,71280MD,W 47th St,355145,,c,I,34710,14,DELV,20170731,NY
8053525696,GVA8385,W 64th St,353431,0930A,d1,O,35050,21,4DSD,20170113,NY
5092469481,GZH7067,ALLERTON AVE (W/B) @,0,,D,,0,7,SUBN,0,BX
7957331993,820236N,Broad  St,362567,,c3,F,20300,19,4DSD,88888888,R
8293032613,GEK1252,Ocean Ave,354174,0700P,c,O,67530,14,SUBN,20170228,K
8479702254,71563MD,W 35th St,354159,0700P,h1,F,34470,69,PICK,20180331,NY
8499707361,13141MK,W 29th St,353494,0600P,d,O,34350,20,VAN,20170617,NY
1413479741,60376MD,4 AVE,957457,ALL,F1,F,5430,46,DELV,0,K
4627679324,HCW7603,WB QUEENS BLVD @ 56T,0,,B,,0,36,SUBN,0,QN
8470030723,47904MG,Maurice Ave,341263,,k5,F,55090,85,REFG,20170630,Q
8504995379,37178MH,Charlton St,357360,0600P,d,I,14910,20,VAN,20170930,NY
7884234725,75472MC,E 14th St,363049,0700P,l2,F,17270,47,VAN,20161231,NY
8534471939,FDW3303,S 5th St,362231,0700P,c,I,78530,14,SUBN,20180930,K
7690792558,HCU3054,Other-See Comments,361859,1000P,h1,I,0,38,4DSD,20180903,K
7803189866,64638MD,Mercer St,363050,0600P,d,F,25990,20,VAN,88888888,NY
8526922440,ASX1887,E 212th St,363139,,e5,I,0,50,SUBN,20180127,BX
1417951140,E6417PA,8TH AVE,955167,ALL,K6,O,10810,46,DELV,20170930,NY
8519810573,1C61H,3rd Ave,361037,0700P,h1,F,10210,38,TAXI,20170531,NY
8479900260,T713436C,E 37th St,364909,,e1,X,17730,9,SUBN,0,NY
4007018870,GPE8226,EB W 23RD ST @ 9TH A,0,,C,,0,5,SUBN,0,MN
4629885353,FPH6787,SB CASTLE HILL AVE @,0,,B,,0,36,SUBN,0,BX
8540303140,51595MH,Atlantic Ave,358133,0700P,h1,F,13430,37,VAN,20171031,K
8238559066,FWF6361,Queens Blvd,362614,0700P,h1,F,59990,37,SUBN,20170530,Q
8293534011,HHX4559,Crown St,357808,,f1,F,30930,46,4DSD,20170930,K
7077040756,FTW6423,Broadway,355558,0700P,h1,F,37290,38,SUBN,20180228,Q
1416710371,BJW0573,W 30 ST,936599,0600A,C,F,34370,14,SDN,0,NY
7455187117,EKU7992,Beach 64th St,363123,,j3,F,31740,70,SUBN,20160922,Q
4623846702,T656885C,SB BOERUM PL @ SCHER,0,,B,,0,36,SUBN,0,BK
4625505859,GZR9721,SB GRAND CONCOURSE @,0,,B,,0,36,SUBN,0,BX
7698392685,Z47BHS,Cass Pl,361904,,d,O,24930,20,4DSD,88888888,K
