male_1,grade_8,poverty_1,asian_1,grade_2,female_1
0.466,0,86.1%,0.025,0,0.531
0.484,0,Above 95%,0.011,0,0.516
0.534,0,49.1%,0.097,55,0.466
0.496,0,76.3%,0.107,0,0.504
0.208,0,68.3%,0.013,0,0.792
0.503,0,30.0%,0.097,45,0.497
0.574,0,85.8%,0.013,0,0.426
0.513,111,67.4%,0.693,55,0.487
0.461,0,15.1%,0.172,75,0.539
0.433,0,33.3%,0.21,60,0.567
0.45,102,22.6%,0.297,0,0.55
0.536,0,92.2%,0.642,50,0.464
0.498,61,21.3%,0.071,82,0.502
0.506,0,30.2%,0.325,51,0.494
0.564,0,84.6%,0.0,26,0.436
0.472,0,88.0%,0.025,0,0.528
0.32,99,17.2%,0.127,0,0.68
0.546,0,54.6%,0.068,47,0.454
0.557,66,89.6%,0.026,32,0.443
0.5,78,48.7%,0.462,0,0.5
0.502,75,24.2%,0.075,0,0.498
0.446,0,65.5%,0.064,0,0.554
0.486,297,20.0%,0.115,0,0.514
0.472,57,12.8%,0.06,0,0.528
0.502,50,Above 95%,0.01,26,0.498
0.694,0,70.0%,0.087,0,0.306
0.488,0,11.5%,0.199,102,0.512
0.476,0,73.6%,0.123,0,0.524
0.509,66,88.4%,0.057,24,0.491
0.51,0,66.2%,0.828,76,0.49
0.559,0,91.8%,0.032,43,0.441
0.331,0,83.2%,0.063,0,0.669
0.451,101,24.7%,0.089,0,0.549
0.494,0,27.7%,0.168,44,0.506
0.516,377,43.4%,0.349,0,0.484
0.479,0,20.9%,0.165,61,0.521
0.413,0,87.3%,0.016,0,0.587
0.426,0,40.4%,0.086,0,0.574
0.537,0,88.0%,0.011,0,0.463
0.52,94,43.1%,0.195,0,0.48
0.44,0,39.9%,0.239,0,0.56
0.488,32,28.3%,0.334,104,0.512
0.532,57,29.3%,0.095,0,0.468
0.473,30,27.2%,0.317,89,0.527
0.38,0,85.4%,0.07,0,0.62
0.533,0,10.6%,0.267,23,0.467
0.522,0,11.0%,0.384,64,0.478
0.477,58,Above 95%,0.004,40,0.523
0.678,0,75.9%,0.007,0,0.322
0.0,0,88.4%,0.068,0,1.0
0.477,0,28.2%,0.096,50,0.523
0.351,95,15.5%,0.137,0,0.649
0.497,0,41.8%,0.069,55,0.503
0.487,12,21.1%,0.171,12,0.513
0.212,0,56.9%,0.035,0,0.788
0.517,0,22.1%,0.085,93,0.483
0.482,0,82.8%,0.186,0,0.518
0.788,0,62.0%,0.055,0,0.212
0.512,182,26.7%,0.552,0,0.488
0.492,72,30.8%,0.048,0,0.508
0.475,0,12.6%,0.164,104,0.525
0.505,76,8.4%,0.27,60,0.495
0.417,0,61.8%,0.056,0,0.583
0.422,0,85.4%,0.908,0,0.578
0.539,27,87.5%,0.009,0,0.461
0.448,253,45.1%,0.086,0,0.552
0.48,0,81.4%,0.045,0,0.52
0.46,305,42.3%,0.087,0,0.54
0.539,0,71.4%,0.013,59,0.461
0.702,0,81.5%,0.056,0,0.298
0.514,0,16.7%,0.243,0,0.486
0.573,23,85.4%,0.009,0,0.427
0.551,0,91.0%,0.052,0,0.449
0.504,25,56.0%,0.319,0,0.496
0.503,85,68.0%,0.69,64,0.497
0.0,0,84.1%,0.026,0,1.0
0.458,0,78.1%,0.063,0,0.542
0.54,0,57.7%,0.119,53,0.46
0.537,0,86.2%,0.023,0,0.46
0.495,0,44.9%,0.219,0,0.505
0.448,0,69.8%,0.021,0,0.552
0.331,97,17.1%,0.129,0,0.669
0.5,14,22.3%,0.137,15,0.5
0.508,0,81.3%,0.015,0,0.492
0.315,0,80.5%,0.058,0,0.685
0.497,0,13.4%,0.155,60,0.503
0.516,0,31.9%,0.154,155,0.484
0.5,118,66.7%,0.169,0,0.5
0.46,0,34.6%,0.038,93,0.54
0.56,66,90.5%,0.021,31,0.44
0.569,0,92.7%,0.35,0,0.431
0.51,59,70.3%,0.029,49,0.49
0.513,0,84.7%,0.021,0,0.487
0.476,0,74.8%,0.106,0,0.524
0.524,107,65.6%,0.097,0,0.476
0.506,41,57.6%,0.025,0,0.494
0.465,0,80.0%,0.061,0,0.535
0.539,0,85.5%,0.02,0,0.461
0.543,52,94.8%,0.02,32,0.457
0.502,72,28.8%,0.07,0,0.498
0.549,65,Above 95%,0.023,32,0.451
0.41,0,78.7%,0.0,0,0.59
0.597,0,86.9%,0.128,0,0.403
0.481,0,87.7%,0.032,0,0.519
0.491,136,24.0%,0.348,117,0.509
0.477,0,79.8%,0.056,0,0.523
0.593,0,84.4%,0.024,0,0.407
0.501,181,34.5%,0.6,0,0.499
0.513,105,43.9%,0.2,0,0.487
0.571,0,46.4%,0.735,0,0.428
0.458,0,15.6%,0.192,91,0.542
0.079,0,83.7%,0.06,0,0.92
0.507,0,81.8%,0.03,36,0.493
0.511,49,89.6%,0.022,27,0.489
0.679,0,85.1%,0.065,0,0.321
0.374,127,15.5%,0.241,0,0.626
0.426,19,48.2%,0.27,0,0.574
0.524,0,87.2%,0.369,0,0.476
0.582,0,74.4%,0.014,0,0.418
0.286,0,88.3%,0.031,0,0.714
0.49,0,40.6%,0.227,75,0.51
0.447,0,70.3%,0.062,0,0.553
0.507,84,35.4%,0.413,64,0.493
0.653,0,86.1%,0.05,0,0.345
0.63,0,86.7%,0.053,0,0.37
0.365,0,64.1%,0.069,0,0.635
0.683,0,91.7%,0.083,0,0.317
0.491,60,28.4%,0.493,85,0.509
0.43,0,52.3%,0.04,0,0.57
0.65,0,85.8%,0.063,0,0.35
0.251,33,37.9%,0.065,0,0.749
0.406,0,86.0%,0.055,0,0.594
0.517,0,87.0%,0.099,66,0.483
0.528,54,68.5%,0.102,49,0.472
0.336,0,84.8%,0.118,0,0.664
0.488,0,59.4%,0.179,62,0.512
0.492,0,11.1%,0.121,71,0.508
0.578,50,69.3%,0.097,0,0.422
0.435,0,44.5%,0.21,0,0.565
0.386,0,83.3%,0.018,0,0.614
