latitude,longitude,retail_store_number_of_walk,hotel_gym_fitness_center,fuel_oil_2_use_kbtu,parent_property_name,hotel_gross_floor_area_ft,district_chilled_water_use,city,wholesale_club_supercenter,office_worker_density_number,hospital_general_medical_6,estimated_data_flag_natural,annual_maximum_demand_meter,primary_property_type_self,barracks_gross_floor_area,water_use_intensity_all_water,indirect_ghg_emissions,outdoor_water_use_all_water,multifamily_housing_number_3,data_center_national_median,site_energy_use_kbtu,retail_store_percent_that,estimated_data_flag_fuel,number_of_buildings,municipally_supplied_potable_1,data_center_ups_system,alert_gross_floor_area_is,electricity_use_grid_purchase_3,medical_office_number_of,data_center_it_energy,multifamily_housing_percent,data_center_energy_estimates,museum_gross_floor_area_ft,default_values,percent_of_electricity_that,self_storage_facility_gross,restaurant_weekly_operating,hospital_general_medical_10,largest_property_use_type,weather_normalized_site_1,supermarket_grocery_number_1,alert_property_has_no_uses,weather_normalized_site_3,pre_school_daycare_gross,mailing_center_post_office,estimated_values_water,alert_energy_no_meters,data_center_it_site_energy,temporary_values,data_center_it_equipment,percent_of_recs_retained,net_emissions_metric_tons,community_board,alert_energy_meter_has_single,outpatient_rehabilitation,financial_office_number_of_1,parent_property_id,last_modified_date_property,food_sales_gross_floor_area,data_center_gross_floor_area,indirect_ghg_emissions_metric
40.62191,-73.995022,Not Available,Not Available,276000,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300232E (7899171),K-12 School,Not Available,56.88,1.3,Not Available,Not Available,Not Available,9398311,Not Available,Not Available,1,8326.7,Not Available,Ok,697600,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.5,Not Available,Ok,697599.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,567.7,311.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/12/2020 09:16 PM EDT,Not Available,Not Available,189.1
40.748206,-73.943731,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Long Island City,Not Available,3.46772,Not Available,No,Electrical South - Con Edison Meter #7958371 (2450664),Office,Not Available,14.2,3.9,Not Available,Not Available,Not Available,18639751.5,Not Available,Not Available,1,3908.8,N+1,Ok,3702250,Not Available,"UPS, including non-IT load less than 10%",Not Available,100% Yes,Not Available,No,100,Not Available,Not Available,Not Available,Office,0.2,Not Available,Ok,3702249.4,Not Available,Not Available,No,Ok,720196,No,0,Not Available,164,402.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,04/13/2020 01:46 PM EDT,Not Available,3315,1069.8
40.586845,-73.96198,Not Available,Not Available,496800,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300212E (7898073),K-12 School,Not Available,Not Available,1.2,Not Available,Not Available,Not Available,6684395.4,Not Available,Not Available,1,Not Available,Not Available,Ok,360960,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.6,Not Available,Ok,360959.9,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,398,313.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/11/2020 05:35 PM EDT,Not Available,Not Available,97.9
40.577026,-73.854539,Not Available,Not Available,1849061.8,Not Applicable: Standalone Property,Not Available,Not Available,Queens,Not Available,Not Available,Not Available,Not Available,0401635E (8358413),K-12 School,Not Available,Not Available,1.2,Not Available,Not Available,Not Available,2282795.2,Not Available,Not Available,1,Not Available,Not Available,Ok,127120,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,Not Available,Not Available,Ok,126175.4,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,171.7,414.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/11/2020 05:36 PM EDT,Not Available,Not Available,34.5
40.758831,-73.93938,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Queens,Not Available,Not Available,Not Available,No,0400098E (8013775),K-12 School,Not Available,194.09,1.3,Not Available,Not Available,Not Available,7887845.3,Not Available,Not Available,1,20282.9,Not Available,Ok,518800,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.6,Not Available,Ok,518799.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,465.6,401.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/18/2020 08:03 PM EDT,Not Available,Not Available,140.7
40.756631,-73.982826,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Manhattan,Not Available,1.86242,Not Available,Not Available,Not Available,Office,Not Available,Not Available,4,Not Available,Not Available,Not Available,34344218.3,Not Available,Not Available,1,Not Available,Not Available,Ok,7478831,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Ok,7478830.4,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,2747.2,105.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,05/26/2020 06:19 AM EDT,Not Available,Not Available,2747.2
40.742633,-73.892805,Not Available,Not Available,3333983.4,Not Applicable: Standalone Property,Not Available,Not Available,Queens,Not Available,Not Available,Not Available,No,0400012E (7978339),K-12 School,Not Available,78.61,2.7,Not Available,Not Available,Not Available,10386005,Not Available,Not Available,1,9126.7,Not Available,Ok,1166800,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.3,Not Available,Ok,1166799.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,726.9,402.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/17/2020 04:20 PM EDT,Not Available,Not Available,316.4
40.677343,-74.011558,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300019E (7836169),K-12 School,Not Available,10.9,1.3,Not Available,Not Available,Not Available,5789147.2,Not Available,Not Available,1,1046.4,Not Available,Ok,475600,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.4,Not Available,Ok,475600,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,350.2,306.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/17/2020 03:49 PM EDT,Not Available,Not Available,128.9
40.67146,-73.977783,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300309E (7935442),K-12 School,Not Available,Not Available,1.5,Not Available,Not Available,Not Available,6507157.1,Not Available,Not Available,1,Not Available,Not Available,Ok,591400,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.1,Not Available,Ok,589674.9,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,483,306.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/11/2020 05:36 PM EDT,Not Available,Not Available,160.3
40.69211,-73.931857,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300051E (7874659),K-12 School,Not Available,41.17,1.1,Not Available,Not Available,Not Available,6801173.5,Not Available,Not Available,1,6125.9,Not Available,Ok,562800,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.3,Not Available,Ok,562799.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,421.9,303.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,05/01/2020 05:14 PM EDT,Not Available,Not Available,162.6
40.814425,-73.886953,Not Available,Not Available,6661687.6,Not Applicable: Standalone Property,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,No,0200085E (8052425),K-12 School,Not Available,0.04,1.1,Not Available,Not Available,Not Available,8160220.7,Not Available,Not Available,1,3.6,Not Available,Ok,395760,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,395760,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,609.5,202.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/12/2020 09:16 PM EDT,Not Available,Not Available,107.3
40.658089,-73.844432,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Queens,Not Available,Not Available,Not Available,No,0400179E (8025659),K-12 School,Not Available,51.92,1,Not Available,Not Available,Not Available,4891189.2,Not Available,Not Available,1,5453.8,Not Available,Ok,349440,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.4,Not Available,Ok,349440,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,297.4,410.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,05/01/2020 05:48 PM EDT,Not Available,Not Available,101
40.65364,-73.933114,Not Available,Not Available,847596,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300142E (7896372),K-12 School,Not Available,0.81,1.4,Not Available,Not Available,Not Available,7391902.9,Not Available,Not Available,1,56.1,Not Available,Ok,358560,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.8,Not Available,Ok,358559.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,442.7,317.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/17/2020 04:20 PM EDT,Not Available,Not Available,97.2
40.688834,-73.976905,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300346E (7935967),K-12 School,Not Available,136.94,1.2,Not Available,Not Available,Not Available,63026253,Not Available,Not Available,1,97613.8,Not Available,Ok,3160000,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,3159999.6,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,4716.3,302.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/12/2020 09:16 PM EDT,Not Available,Not Available,856.8
,,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300169E (7896376),K-12 School,Not Available,42.7,1.4,Not Available,Not Available,Not Available,11010351.4,Not Available,Not Available,1,7326.9,Not Available,Ok,868800,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,864670.1,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,831,,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/17/2020 01:44 PM EDT,Not Available,Not Available,235.6
40.795146,-73.948368,Not Available,Not Available,4830828,Not Applicable: Standalone Property,Not Available,Not Available,New York,Not Available,Not Available,Not Available,No,0100099E (7935638),K-12 School,Not Available,Not Available,0.9,Not Available,Not Available,Not Available,6028619.6,Not Available,Not Available,1,Not Available,Not Available,Ok,339300,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,339300,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,452.6,111.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/17/2020 03:49 PM EDT,Not Available,Not Available,92
40.828696,-73.917668,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,No,0200207E (8080405),K-12 School,Not Available,23056.02,1.5,Not Available,Not Available,Not Available,12275959.1,Not Available,Not Available,1,4347789.8,Not Available,Ok,957600,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,957599.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,949.3,204.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,05/01/2020 05:05 PM EDT,Not Available,Not Available,276.7
40.619931,-74.028086,Not Available,Not Available,193200,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0301732E (7944530),K-12 School,Not Available,139.22,3.6,Not Available,Not Available,Not Available,8732678.1,Not Available,Not Available,1,8656.7,Not Available,Ok,833200,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.9,Not Available,Ok,821005.4,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,542.8,310.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/11/2020 05:36 PM EDT,Not Available,Not Available,225.9
40.823526,-73.859662,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,No,0200174E (8080102),K-12 School,Not Available,222.27,1,Not Available,Not Available,Not Available,7977854.9,Not Available,Not Available,1,41114.5,Not Available,Ok,856317.3,Not Available,Not Available,Not Available,Not Available,Not Available,No,22.2718,Not Available,Not Available,Not Available,K-12 School,0.3,Not Available,Ok,665599.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,100,460.9,209.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,05/01/2020 05:28 PM EDT,Not Available,Not Available,192.3
40.831992,-73.91796,Not Available,Not Available,5272014,Not Applicable: Standalone Property,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,No,0200131E (8052713),K-12 School,Not Available,85.03,1.3,Not Available,Not Available,Not Available,8175521.3,Not Available,Not Available,1,10620.8,Not Available,Ok,605600,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.1,Not Available,Ok,605599.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,599.9,204.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/12/2020 09:16 PM EDT,Not Available,Not Available,164.2
40.782298,-73.779099,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Queens,Not Available,Not Available,Not Available,No,0400153E (8015761),K-12 School,Not Available,Not Available,1.2,Not Available,Not Available,Not Available,6488158.8,Not Available,Not Available,1,Not Available,Not Available,Ok,402330,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,402330,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,486.9,407.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/17/2020 03:49 PM EDT,Not Available,Not Available,109.1
40.595698,-73.97518,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300106E (7877771),K-12 School,Not Available,Not Available,1.4,Not Available,Not Available,Not Available,7935118.5,Not Available,Not Available,1,Not Available,Not Available,Ok,535360,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,535359.9,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,601.3,315.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/17/2020 04:20 PM EDT,Not Available,Not Available,145.2
40.655997,-73.886547,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300301E (7934783),K-12 School,Not Available,Not Available,1.3,Not Available,Not Available,Not Available,9289393.7,Not Available,Not Available,1,Not Available,Not Available,Ok,524000,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,523720.1,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,715.3,305.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,04/14/2020 02:38 PM EDT,Not Available,Not Available,151.4
40.758744,-73.968618,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,New York,Not Available,2.70116,Not Available,Not Available,Not Available,Office,Not Available,13.89,5.4,Not Available,Not Available,Not Available,77392969.4,Not Available,Not Available,1,15438.1,N+1,Ok,14617310,Not Available,Uninterruptible Power Supply (UPS) supports only IT Equipment (preferred),Not Available,No,Not Available,No,0,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Ok,14491623.2,Not Available,Not Available,No,Ok,1162608.8,No,0,Not Available,6051,106.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,07/23/2020 03:10 PM EDT,Not Available,1000,6051
40.722782,-73.837946,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Queens,Not Available,Not Available,Not Available,No,0400172E (8015834),K-12 School,Not Available,155.88,2.3,Not Available,Not Available,Not Available,7985691,Not Available,Not Available,1,17582.8,Not Available,Ok,890400.1,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.1,Not Available,Ok,890400,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,601,406.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,05/01/2020 05:54 PM EDT,Not Available,Not Available,257.3
40.764646,-73.871641,Not Available,Not Available,948888,Not Applicable: Standalone Property,Not Available,Not Available,Queens,Not Available,Not Available,Not Available,No,0400113E (8013822),K-12 School,Not Available,72.25,1.3,Not Available,Not Available,Not Available,9808739,Not Available,Not Available,1,8072.4,Not Available,Ok,517600,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.6,Not Available,Ok,517599.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,596.8,403.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,05/01/2020 05:48 PM EDT,Not Available,Not Available,149.6
40.636598,-74.132919,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Staten Island,Not Available,Not Available,Not Available,No,0500043E (7979017),K-12 School,Not Available,0,2.2,Not Available,Not Available,Not Available,3257333.4,Not Available,Not Available,1,0,Not Available,Ok,288960,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.1,Not Available,Ok,288960,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,244.9,501.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/12/2020 09:16 PM EDT,Not Available,Not Available,78.3
40.678276,-73.87596,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300350E (7943397),K-12 School,Not Available,Not Available,1.4,Not Available,Not Available,Not Available,15928681.6,Not Available,Not Available,1,Not Available,Not Available,Ok,1122800,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,1122799.9,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,1212.1,305.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/12/2020 09:16 PM EDT,Not Available,Not Available,304.4
40.63398,-73.966558,Not Available,Not Available,1421814,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300221E (7899052),K-12 School,Not Available,69.37,2.2,Not Available,Not Available,Not Available,11605340.6,Not Available,Not Available,1,9157.1,Not Available,Ok,1087200,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.5,Not Available,Ok,1087200,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,744.1,314.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,05/01/2020 05:54 PM EDT,Not Available,Not Available,294.8
