property_name,refrigerated_warehouse_gross,courthouse_gross_floor_area,distribution_center_gross,weather_normalized_site_eui,hospital_general_medical_3,hospital_general_medical_4,largest_property_use_type_1,medical_office_percent_that_1,water_use_all_water_sources,electricity_use_grid_purchase,egrid_output_emissions_rate,fitness_center_health_club,hospital_general_medical_12,indoor_water_use_all_water,difference_from_national_1,nta,estimated_data_flag_1,property_gfa_calculated_2,energy_star_certification_2,district_hot_water_use_kbtu,propane_use_kbtu,avoided_emissions_onsite,multifamily_housing_percent_1,borough,data_center_cooling_equipment,electricity_use_generated_3,site_eui_kbtu_ft,electricity_use_generated_1,financial_office_gross_floor,green_power_onsite_and_offsite,address_2,senior_care_community_gross,energy_star_certification_1,_2nd_largest_property_use_1,alert_energy_meter_has_less,residence_hall_dormitory,multifamily_housing_resident,hospital_general_medical_1,property_gfa_self_reported,financial_office_number_of,office_percent_that_can_be_1,national_median_energy_star,multifamily_housing_number_6,third_party_certification_1,multifamily_housing_number_5,multifamily_housing_number_4,estimated_data_flag,green_power_offsite_kwh,indoor_water_use_intensity,energy_star_certification,alert_energy_meter_has_gaps,multifamily_housing_number,green_power_onsite_kwh,nyc_building_identification,food_service_gross_floor
R020-0500043,Not Available,Not Available,Not Available,96,Not Available,Not Available,34880.0,Not Available,0,985931.5,79.5,Not Available,Not Available,0,-10.5,Port Richmond,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,STATEN IS,Not Available,Not Available,93.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,34880,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,0,Not Available,Ok,Not Available,Not Available,5106979,Not Available
K615-0300350,Not Available,Not Available,Not Available,74,Not Available,Not Available,212400.0,Not Available,Not Available,3830993.7,79.5,Not Available,Not Available,Not Available,-17.9,East New York,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,75,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,212400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,3327249,Not Available
K217-0300221,Not Available,Not Available,Not Available,88.9,Not Available,Not Available,132000.0,Not Available,9157.1,3709526.7,79.5,Not Available,Not Available,9157.1,25.4,Flatbush,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,87.9,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,132000,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,69.37,Not Available,Ok,Not Available,Not Available,3121072,Not Available
Q048-0400043,Not Available,Not Available,Not Available,80.4,Not Available,Not Available,44460.0,Not Available,5590.2,764833.9,79.5,Not Available,Not Available,5590.2,-19.1,South Jamaica,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,80.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,44460,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,125.74,Not Available,Ok,Not Available,Not Available,4216099,Not Available
51 Madison,Not Available,Not Available,Not Available,74.2,Not Available,Not Available,1513807.0,Not Available,Not Available,60402782,84.7,Not Available,Not Available,Not Available,-36.4,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,74.3,Not Available,Not Available,0,Not Available,Not Available,11/26/2019,Not Available,Ok,Not Available,Not Available,Not Available,1513807,Not Available,99.57,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,"2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007",Ok,Not Available,Not Available,1016880,Not Available
RIVERDALE (1798),Not Available,Not Available,Not Available,81.4,Not Available,Not Available,157011.0,Not Available,1048,10069180.9,79.5,Not Available,Not Available,1048,-12.4,Marble Hill-Inwood,Not Available,129638,No,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,82.2,Not Available,Not Available,0,Not Available,Not Available,Not Available,0,Ok,Not Available,Not Available,Not Available,157011,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,6.67,Not Available,Ok,Not Available,Not Available,2109471,Not Available
X460-0201311,Not Available,Not Available,Not Available,97.4,Not Available,Not Available,135600.0,Not Available,21341.7,8422181,79.5,Not Available,Not Available,21341.7,47.8,East Concourse-Concourse Village,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,96.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,135600,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,157.39,Not Available,Ok,Not Available,Not Available,2109459,Not Available
X060-0200095,Not Available,Not Available,Not Available,50.4,Not Available,Not Available,135700.0,Not Available,Not Available,1596816,79.5,Not Available,Not Available,Not Available,-45.4,Longwood,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,50.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,135700,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,2005348,Not Available
K044-0300066,Not Available,Not Available,Not Available,57.3,Not Available,Not Available,98400.0,Not Available,5084.3,1660961.6,79.5,Not Available,Not Available,5084.3,-36.4,Stuyvesant Heights,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,56.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,98400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,51.67,Not Available,Ok,Not Available,Not Available,3051540,Not Available
K247-0300250,Not Available,Not Available,Not Available,73.5,Not Available,Not Available,66000.0,Not Available,3194.3,1731112.3,79.5,Not Available,Not Available,3194.3,-20,Bensonhurst West,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,72.3,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,66000,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,48.4,Not Available,Ok,Not Available,Not Available,3157466,Not Available
