property_id,property_name,estimated_data_flag_fuel_1,parking_gross_floor_area,non_refrigerated_warehouse,multifamily_housing_government,parking_open_parking_lot,year_built,k_12_school_gross_floor_area,percent_of_total_electricity,last_modified_date_non,medical_office_number_of_1,national_median_reference,source_energy_use_kbtu,office_gross_floor_area_ft,laboratory_gross_floor_area,office_number_of_computers,weather_normalized_site_2,data_center_ups_output_meter,kerosene_use_kbtu,supermarket_grocery_number,avoided_emissions_onsite_1,retail_store_gross_floor,ambulatory_surgical_center,district_steam_use_kbtu,census_tract,natural_gas_use_therms,metered_areas_water,total_ghg_emissions_intensity,data_center_pdu_output_meter,weather_normalized_source_1,weather_normalized_source,weather_normalized_site_energy,restaurant_worker_density,alert_data_center_issue_with,office_weekly_operating_hours,diesel_2_use_kbtu,hospital_general_medical,data_center_it_source_energy,estimated_data_flag_district,restaurant_gross_floor_area,worship_facility_gross_floor,movie_theater_gross_floor,electricity_use_generated
1633579,K227-0300232,No,Not Available,Not Available,Not Available,Not Available,1929,146400,Not Available,04/17/2020 10:28 AM EDT,Not Available,CBECS - Elementary/Middle & High School,14022556.1,Not Available,Not Available,Not Available,69971.4,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,250.0,67420.99822,Not Available,3.9,Not Available,14290347.7,97.6,9653350.7,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1719778,Court Square Place,Not Available,Not Available,Not Available,Not Available,Not Available,2005,Not Available,Not Available,04/13/2020 01:46 PM EDT,Not Available,CBECS - Office & Bank/Financial,41677872.7,271937,Not Available,1062,59800.2,720196,Not Available,Not Available,1224.9,Not Available,Not Available,Not Available,19.0,60076.75152,Whole Property,5,0,41648836,151.3,18612097.5,Not Available,Ok,67.65,Not Available,Not Available,6880464.6,Not Available,Not Available,Not Available,Not Available,Not Available
1634492,K209-0300212,No,Not Available,Not Available,Not Available,Not Available,1931,82800,Not Available,04/17/2020 10:26 AM EDT,Not Available,CBECS - Elementary/Middle & High School,9154035.3,Not Available,Not Available,Not Available,49222.9,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,370.0,49559.99892,Not Available,4.8,Not Available,9191489.6,111,6722813.9,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1836372,Q816-0401635,No,Not Available,Not Available,Not Available,Not Available,1949,28800,Not Available,04/17/2020 12:53 PM EDT,Not Available,CBECS - Elementary/Middle & High School,3082006,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,928.0,Not Available,Not Available,6,Not Available,3071785,106.7,2278387.6,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633786,Q111-0400098,No,Not Available,Not Available,Not Available,Not Available,1948,104500,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,11379992.2,Not Available,Not Available,Not Available,60799.5,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,43.0,61176.9972,Not Available,4.5,Not Available,11340357.5,108.5,7850097.9,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
7365,1155,Not Available,Not Available,Not Available,Not Available,Not Available,1982,Not Available,Not Available,05/18/2020 05:46 AM EDT,Not Available,CBECS - Office & Bank/Financial,82068339.9,679759,Not Available,2320,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,8826445.8,119.0,Not Available,Not Available,4,Not Available,81862606.8,119.5,34173207.4,Not Available,Ok,50.94,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available
1634279,Q012-0400012,No,Not Available,Not Available,Not Available,Not Available,1928,116105,Not Available,04/13/2020 03:26 PM EDT,Not Available,CBECS - Elementary/Middle & High School,17738908.8,Not Available,Not Available,Not Available,30803.8,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,483.0,30708.99916,Not Available,6.3,Not Available,17748865,152.9,10395487,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634433,K015-0300019,No,Not Available,Not Available,Not Available,Not Available,1966,96000,Not Available,04/14/2020 02:37 PM EDT,Not Available,CBECS - Elementary/Middle & High School,8918412.2,Not Available,Not Available,Not Available,43177.3,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,53.0,41663.99892,Not Available,3.6,Not Available,9077305.8,94.6,5940474.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634020,K321-0300309,Not Available,Not Available,Not Available,Not Available,Not Available,1931,109200,Not Available,04/14/2020 02:38 PM EDT,Not Available,CBECS - Elementary/Middle & High School,10211924.3,Not Available,Not Available,Not Available,7035,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,155.0,6933.000108,Not Available,4.4,Not Available,10241384.2,93.8,6546352.9,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633541,K026-0300051,No,Not Available,Not Available,Not Available,Not Available,1955,148800,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,10501711,Not Available,Not Available,Not Available,48615.3,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,291.0,48808.99894,Not Available,2.8,Not Available,10481374.8,70.4,6781805.7,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633929,X048-0200085,No,Not Available,Not Available,Not Available,Not Available,1915,102060,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,10664847.2,Not Available,Not Available,Not Available,1482,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,93.0,1481.999974,Not Available,6,Not Available,10634073.1,104.2,8129751.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634305,Q207-0400179,No,Not Available,Not Available,Not Available,Not Available,1965,105050,Not Available,04/17/2020 12:54 PM EDT,Not Available,CBECS - Elementary/Middle & High School,7222254.9,Not Available,Not Available,Not Available,37004.5,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,892.0,36988.9991,Not Available,2.8,Not Available,7223884.5,68.8,4892741.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633776,K135-0300142,No,Not Available,Not Available,Not Available,Not Available,1931,69600,Not Available,04/17/2020 10:27 AM EDT,Not Available,CBECS - Elementary/Middle & High School,9868555.9,Not Available,Not Available,Not Available,53136.2,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,870.0,53209.00204,Not Available,6.4,Not Available,9954386.8,143,7477172.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633610,K430-0300346,No,Not Available,Not Available,Not Available,Not Available,1932,712800,Not Available,04/20/2020 03:12 PM EDT,Not Available,CBECS - Elementary/Middle & High School,83045244.4,Not Available,Not Available,Not Available,22374,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,33.0,22273.00024,Not Available,6.6,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633790,K166-0300169,Not Available,Not Available,Not Available,Not Available,Not Available,1930,171600,Not Available,04/14/2020 02:38 PM EDT,Not Available,CBECS - Elementary/Middle & High School,16445261.6,Not Available,Not Available,Not Available,4657,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,,4657.000208,Not Available,4.8,Not Available,16773328.6,97.7,11360143,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633474,M108-0100099,No,Not Available,Not Available,Not Available,Not Available,1951,105725,Not Available,04/13/2020 05:47 PM EDT,Not Available,CBECS - Elementary/Middle & High School,8162777.9,Not Available,Not Available,Not Available,401,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,17401.0,400.9999653,Not Available,4.3,Not Available,8138506.3,77,6004588.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633290,X166-0200207,Not Available,Not Available,Not Available,Not Available,Not Available,1903,188575,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,18257373.7,Not Available,Not Available,Not Available,2567.3,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,18302.0,2533.000009,Not Available,5,Not Available,18344889.3,97.3,12362472.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634273,K989-0301732,No,Not Available,Not Available,Not Available,Not Available,1973,62180,Not Available,04/17/2020 10:27 AM EDT,Not Available,CBECS - Elementary/Middle & High School,14136621.3,Not Available,Not Available,Not Available,55559.2,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,160.0,56965.99734,Not Available,8.7,Not Available,13872401.5,223.1,8550386.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633875,X131-0200174,Not Available,Not Available,Not Available,Not Available,Not Available,1965,184975,22.2718,04/10/2020 05:36 PM EDT,Not Available,CBECS - Elementary/Middle & High School,12318508.8,Not Available,Not Available,Not Available,50561,Not Available,Not Available,Not Available,91.9,Not Available,Not Available,Not Available,42.0,50561.00359,Not Available,2.5,Not Available,12312874.2,66.6,7972220.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,650727.4
1633524,X090-0200131,No,Not Available,Not Available,Not Available,Not Available,1931,124900,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,11989454.5,Not Available,Not Available,Not Available,8259.6,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,18102.0,8371.999668,Not Available,4.8,Not Available,12030075.6,96.3,8216185.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633415,Q169-0400153,Not Available,Not Available,Not Available,Not Available,Not Available,1956,92575,Not Available,04/13/2020 03:26 PM EDT,Not Available,CBECS - Elementary/Middle & High School,9023470.8,Not Available,Not Available,Not Available,3317.3,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,99704.0,3302.000184,Not Available,5.3,Not Available,9005015,97.3,6469825,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633761,K095-0300106,Not Available,Not Available,Not Available,Not Available,Not Available,1914,106800,Not Available,04/17/2020 10:27 AM EDT,Not Available,CBECS - Elementary/Middle & High School,11290850.2,Not Available,Not Available,Not Available,1670,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,398.0,1670.000004,Not Available,5.6,Not Available,11239919,105.2,7884691.6,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634246,K306-0300301,Not Available,Not Available,Not Available,Not Available,Not Available,1964,112800,Not Available,04/14/2020 02:37 PM EDT,Not Available,CBECS - Elementary/Middle & High School,12584179.2,Not Available,Not Available,Not Available,393.9,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,1104.0,392.9999971,Not Available,6.3,Not Available,12575389.5,111.5,9282379.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1460459,909 Third Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,1968,Not Available,Not Available,07/23/2020 03:10 PM EDT,Not Available,CBECS - Office & Bank/Financial,172754088.3,1110632,Not Available,2630,Not Available,1162608.8,Not Available,Not Available,0,Not Available,Not Available,27518695.6,108.0,Not Available,Whole Property,5.4,0,170076614.9,153,75736651.4,Not Available,Ok,88.64,Not Available,Not Available,11107099.6,No,Not Available,Not Available,Not Available,Not Available
1634747,Q196-0400172,Not Available,Not Available,Not Available,Not Available,Not Available,1952,112800,Not Available,04/17/2020 12:54 PM EDT,Not Available,CBECS - Elementary/Middle & High School,13555548.5,Not Available,Not Available,Not Available,12950.4,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,75702.0,12974.99992,Not Available,5.3,Not Available,13552969.1,120.2,7983234.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634225,Q127-0400113,No,Not Available,Not Available,Not Available,Not Available,1937,111725,Not Available,04/13/2020 03:27 PM EDT,Not Available,CBECS - Elementary/Middle & High School,13351810.1,Not Available,Not Available,Not Available,71012.3,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,357.0,70937.99798,Not Available,5.3,Not Available,13359613.4,119.6,9816170.7,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633444,R020-0500043,Not Available,Not Available,Not Available,Not Available,Not Available,1931,34880,Not Available,04/17/2020 12:54 PM EDT,Not Available,CBECS - Elementary/Middle & High School,5062728.2,Not Available,Not Available,Not Available,2072.7,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,207.0,2000.999933,Not Available,7,Not Available,5154161.3,147.8,3347577.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633391,K615-0300350,Not Available,Not Available,Not Available,Not Available,Not Available,1940,212400,Not Available,04/14/2020 02:37 PM EDT,Not Available,CBECS - Elementary/Middle & High School,22951187.1,Not Available,Not Available,Not Available,1432,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,1196.0,1434.999998,Not Available,5.7,Not Available,22731380.5,107,15711063.1,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634685,K217-0300221,No,Not Available,Not Available,Not Available,Not Available,1924,132000,Not Available,04/17/2020 10:26 AM EDT,Not Available,CBECS - Elementary/Middle & High School,18620406.8,Not Available,Not Available,Not Available,64248,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,526.0,64739.99832,Not Available,5.6,Not Available,18746777.3,142,11732408.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634289,Q048-0400043,No,Not Available,Not Available,Not Available,Not Available,1931,44460,Not Available,04/17/2020 12:54 PM EDT,Not Available,CBECS - Elementary/Middle & High School,5095740.1,Not Available,Not Available,Not Available,23969.7,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,254.0,24153.00063,Not Available,4.9,Not Available,5076498,114.2,3575808.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1069082,51 Madison,Not Available,Not Available,Not Available,Not Available,Not Available,1928,Not Available,Not Available,04/22/2020 04:38 PM EDT,Not Available,CBECS - Office & Bank/Financial,231742390.8,1513807,Not Available,6478,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,52046934.6,56.0,Not Available,Not Available,5.7,Not Available,231394770.6,152.9,112335851.8,Not Available,Ok,66.88,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available
1548095,RIVERDALE (1798),Not Available,0,Not Available,Not Available,129638,2004,Not Available,Not Available,Not Available,Not Available,CBECS - Retail Store,31168041.4,Not Available,Not Available,Not Available,27796.2,Not Available,Not Available,Not Available,0,157011,Not Available,Not Available,309.0,28326.99871,Whole Property,6.1,Not Available,30903187.5,196.8,12774118.1,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633958,X460-0201311,No,Not Available,Not Available,Not Available,Not Available,2002,135600,Not Available,04/10/2020 05:34 PM EDT,Not Available,CBECS - Elementary/Middle & High School,28358196.3,Not Available,Not Available,Not Available,30238,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,18302.0,29952.99782,Not Available,7,Not Available,28304035.4,208.7,13201862.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634405,X060-0200095,No,Not Available,Not Available,Not Available,Not Available,1922,135700,Not Available,04/10/2020 05:34 PM EDT,Not Available,CBECS - Elementary/Middle & High School,9747369.9,Not Available,Not Available,Not Available,5765,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,87.0,5738.999958,Not Available,3.7,Not Available,9795270.8,72.2,6845455.8,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634661,K044-0300066,No,Not Available,Not Available,Not Available,Not Available,1950,98400,Not Available,03/15/2018 03:12 PM EDT,Not Available,CBECS - Elementary/Middle & High School,8776562.6,Not Available,Not Available,Not Available,39765.7,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,277.0,39294.00083,Not Available,3.5,Not Available,8826089.2,89.7,5637529.9,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634002,K247-0300250,No,Not Available,Not Available,Not Available,Not Available,1936,66000,Not Available,04/17/2020 10:28 AM EDT,Not Available,CBECS - Elementary/Middle & High School,8027969.3,Not Available,Not Available,Not Available,28587.6,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,258.0,27638.99874,Not Available,4.6,Not Available,8095111.2,122.7,4854277.8,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633076,X087-0200127,No,Not Available,Not Available,Not Available,Not Available,1930,58260,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,6417862.1,Not Available,Not Available,Not Available,28451.2,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,428.0,28564.99935,Not Available,4.4,Not Available,6416884.6,110.1,4175807.9,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
8139,200,Not Available,Not Available,Not Available,Not Available,Not Available,1956,Not Available,Not Available,05/26/2020 06:31 AM EDT,Not Available,CBECS - Office & Bank/Financial,72082693.1,366528,Not Available,1670,Not Available,Not Available,Not Available,Not Available,0,15789,Not Available,19058831,88.0,Not Available,Whole Property,7.2,Not Available,71307872.1,185.5,36038018.3,Not Available,Ok,65,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available
1634133,M140-0100125,No,Not Available,Not Available,Not Available,Not Available,1957,99481,Not Available,04/13/2020 05:46 PM EDT,Not Available,CBECS - Elementary/Middle & High School,7286901.6,Not Available,Not Available,Not Available,2760,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2201.0,2759.999959,Not Available,3.4,Not Available,7286901.6,73.2,4468639.9,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633221,X127-0200170,Not Available,Not Available,Not Available,Not Available,Not Available,1952,153725,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,17383795,Not Available,Not Available,Not Available,4835,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,222.0,4834.999849,Not Available,6.2,Not Available,17388271.5,113.1,12490936.9,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634537,Q205-0400177,No,Not Available,Not Available,Not Available,Not Available,1954,120648,Not Available,04/13/2020 03:27 PM EDT,Not Available,CBECS - Elementary/Middle & High School,12699895.8,Not Available,Not Available,Not Available,18.2,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,129103.0,18.00000073,Not Available,5.8,Not Available,12730380.1,105.5,9279860.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633651,Q051-0401239,No,Not Available,Not Available,Not Available,Not Available,1901,33410,Not Available,04/17/2020 12:54 PM EDT,Not Available,CBECS - Elementary/Middle & High School,4130474.7,Not Available,Not Available,Not Available,8983.4,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,122.0,9046.999851,Not Available,4.6,Not Available,4123799.6,123.4,2237159.1,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633132,K188-0300190,No,Not Available,Not Available,Not Available,Not Available,1923,96000,Not Available,04/17/2020 10:28 AM EDT,Not Available,CBECS - Elementary/Middle & High School,12453670.2,Not Available,Not Available,Not Available,46424.5,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,328.0,44797.99925,Not Available,4.8,Not Available,12624448.8,131.5,7410260.6,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633871,X113-0200156,No,Not Available,Not Available,Not Available,Not Available,1936,186175,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,21399273.2,Not Available,Not Available,Not Available,108952.5,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,390.0,111068.9961,Not Available,4.7,Not Available,21177040.5,113.7,14372759.7,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634616,M112 & M206 Tandem-0100103,No,Not Available,Not Available,Not Available,Not Available,1968,153600,Not Available,04/13/2020 05:47 PM EDT,Not Available,CBECS - Elementary/Middle & High School,10499529.4,Not Available,Not Available,Not Available,39191.7,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,192.0,39362.00325,Not Available,2.5,Not Available,10481651.8,68.2,6192930.8,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634545,Q145-0400193,No,Not Available,Not Available,Not Available,Not Available,1951,240175,Not Available,04/13/2020 03:26 PM EDT,Not Available,CBECS - Elementary/Middle & High School,19714564,Not Available,Not Available,Not Available,14326,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,285.0,14326.0007,Not Available,3.3,Not Available,19760441,82.3,10952746.6,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
