grade_6,students_with_disabilities_2,year,grade_11,students_with_disabilities_1,poverty_1,grade_7
46,36.1,2013-14,0,57,144,51
0,32.7,2013-14,0,73,201,0
0,5.5,2013-14,330,42,696,0
61,15.4,2016-17,0,78,63,57
0,15.5,2013-14,114,85,393,0
0,18.2,2013-14,80,65,313,0
0,39.4,2017-18,0,50,125,0
0,23.4,2014-15,17,15,53,0
0,19.3,2015-16,0,107,47,0
46,38.5,2015-16,0,60,127,54
65,28.4,2013-14,0,54,134,68
0,18.5,2016-17,83,74,318,0
0,18.3,2013-14,0,145,40,0
0,21.2,2017-18,82,80,333,0
0,26.2,2017-18,78,89,234,0
95,28.2,2015-16,97,191,471,103
0,16.3,2016-17,66,40,169,0
85,33.6,2016-17,0,83,185,74
0,18.8,2016-17,115,114,560,0
22,13.1,2015-16,0,77,212,24
0,27.2,2017-18,81,116,342,0
98,21.4,2013-14,0,57,87,81
63,31.1,2015-16,0,59,127,67
0,22.0,2017-18,112,98,253,0
28,28.3,2017-18,0,71,239,26
74,30.1,2017-18,0,71,175,85
0,13.9,2013-14,104,60,199,0
0,28.0,2013-14,0,89,294,0
29,20.4,2013-14,0,65,136,20
46,29.9,2016-17,0,127,333,39
0,14.3,2013-14,66,32,180,0
0,22.3,2013-14,105,107,439,0
49,28.1,2013-14,0,141,437,73
0,16.6,2015-16,0,122,455,0
0,34.2,2013-14,0,65,171,0
0,18.7,2016-17,0,75,24,0
0,32.9,2015-16,0,85,240,0
0,15.3,2013-14,0,128,66,0
0,14.0,2017-18,104,62,269,0
0,29.0,2016-17,121,133,247,0
66,24.4,2017-18,0,151,559,81
0,21.7,2013-14,0,162,99,0
0,13.0,2016-17,118,44,281,0
0,25.4,2017-18,90,108,312,0
0,5.8,2014-15,369,74,363,0
0,18.5,2013-14,106,68,259,0
0,17.2,2013-14,0,102,69,0
0,17.4,2013-14,0,131,44,0
0,4.5,2015-16,44,13,268,0
0,34.0,2016-17,0,121,349,0
0,30.4,2014-15,0,82,200,0
41,18.4,2013-14,161,142,593,35
0,19.0,2016-17,61,60,207,0
0,40.4,2016-17,0,143,319,0
0,18.6,2013-14,0,146,45,0
0,13.6,2017-18,0,59,85,0
0,18.2,2015-16,0,115,53,0
0,20.1,2015-16,0,100,214,0
0,22.7,2014-15,0,65,32,0
29,7.2,2013-14,99,37,173,33
0,17.3,2017-18,0,55,80,0
95,27.8,2015-16,0,237,711,99
0,23.4,2016-17,59,74,265,0
28,11.2,2014-15,113,60,179,32
58,26.5,2015-16,0,48,132,61
0,21.5,2017-18,0,99,176,0
0,0.4,2017-18,828,14,1477,0
0,21.2,2016-17,74,45,145,0
0,14.7,2013-14,0,95,148,0
