property_id,property_name,non_refrigerated_warehouse_3,k_12_school_computer_density,parking_gross_floor_area,retail_store_open_or_closed,supermarket_grocery_number_2,onsite_renewable_system,retail_store_walk_in,parking_open_parking_lot,generation_date,council_district,retail_store_cash_register,bin,address_2,senior_care_community_number_4,data_center_it_energy,electricity_onsite_renewable,senior_care_community_number_5,latitude,green_power_offsite_kwh,retail_store_percent_that,hospital_general_medical_6,k_12_school_percent_that,national_median_source_eui,water_alerts,percent_better_than_national_1,residence_hall_dormitory_2,date_property_last_modified,diesel_2_use_kbtu,k_12_school_high_school,medical_office_weekly,non_refrigerated_warehouse_2,metered_areas_energy,residence_hall_dormitory_1,energy_star_score,district_chilled_water_use,indoor_water_intensity_all,estimated_data_flag_fuel_2,energy_star_certification_3,hotel_gross_floor_area_ft,onsite_renewable_system_1,senior_care_community_number_6,hotel_percent_that_can_be,weather_normalized_site_eui,hospital_general_medical_2,hospital_general_medical_1
1241687,0598 Wappingers Falls,Not Available,Not Available,Not Available,Not Available,14,Not Available,Not Available,Not Available,2013-05-15T10:33:11.000,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,669.3,Not Available,-24,Not Available,26-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,84,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,190.5,Not Available,Not Available
2544337,80 Metropolitan Condominium,Not Available,Not Available,23587,Not Available,Not Available,Not Available,Not Available,0,2013-04-28T08:40:20.000,33.0,Not Available,3251736.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.71708,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,23.93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.3,Not Available,Not Available
1241653,0532 Eastchester,Not Available,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available,2013-05-15T10:33:11.000,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,611.1,Not Available,42.4,Not Available,11-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,7,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,336.4,Not Available,Not Available
2371576,ATCO - 373 Park Avenue South,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-26T15:36:06.000,2.0,Not Available,1018123.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.742375,Not Available,Not Available,Not Available,Not Available,247.2,Not Available,23.8,Not Available,10-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,30,0,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,132.5,Not Available,Not Available
2364074,1 Rock (Bld 5),Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-04-24T16:39:55.000,4.0,0.3,1077286.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.757904,Not Available,100,Not Available,Not Available,285.3,Not Available,-14.5,Not Available,19-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,63,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,125,Not Available,Not Available
2606983,Triton Company LP,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-23T11:00:04.000,40.0,Not Available,3118662.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.639947,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,69.5,Not Available,Not Available
2012320,MS/US,Not Available,4.43,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-04T14:26:32.000,4.0,Not Available,1047005.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.784329,1890,Not Available,Not Available,90,185.4,Not Available,-3.9,Not Available,02-APR-13,Not Available,1,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,54,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,91.9,Not Available,Not Available
2563032,"1420 Realty, L.L.C.",Not Available,Not Available,Not Available,0,2,Not Available,0,Not Available,2013-04-17T12:09:15.000,13.0,0.95,2048553.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.852799,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,93.8,Not Available,Not Available
2550135,2980 Valentine ASSOC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-02-28T13:26:35.000,11.0,Not Available,2017117.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.871881,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11-FEB-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.7,Not Available,Not Available
2364102,1260 Avenue of the Americas (Bld 18) (Radio City),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-24T16:42:59.000,4.0,Not Available,1083861.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.75999,Not Available,Not Available,Not Available,Not Available,94,Not Available,84.3,Not Available,19-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,102.6,Not Available,Not Available
