property_id,address_1,parking_partially_enclosed,hotel_cooking_facilities,parking_completely_enclosed,worship_facility_weekly,multifamily_housing_percent_1,direct_ghg_emissions_mtco2e,indoor_water_use_all_water,senior_care_community_number,data_center_pue,indirect_ghg_emissions_mtco2e,non_refrigerated_warehouse_1,year_ending,fuel_oil_5_6_use_kbtu,estimated_data_flag_district,other_use_kbtu,bank_branch_computer_density,retail_store_weekly_operating,data_center_it_source_energy,bank_branch_gross_floor_area,postcode,source_eui_kbtu_ft,senior_care_community_average,electricity_use_grid_purchase,target_energy_star_score,senior_care_community_percent,energy_star_certification_1,office_weekly_operating_hours,estimated_data_flag_district_1,medical_office_gross_floor,refrigerated_warehouse_worker,water_current_date,primary_property_type_self,estimated_data_flag_1,community_board,site_eui_kbtu_ft,estimated_data_flag_fuel,egrid_output_emissions_rate,service_and_product_provider,hotel_type_of_laundry_facility,office_worker_density_number,data_center_ups_output_site,multifamily_housing_resident,retail_store_computer_density,k_12_school_gross_floor_area
2481300,55 Water St,Not Available,Not Available,Not Available,Not Available,Not Available,2371.83,107579.6,Not Available,Not Available,48963.18,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,174596577.1,Not Available,10041,398.2,Not Available,349799864.9,0,Not Available,Not Eligible: Rating must be 75 or above,50,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,101.0,161.3,Not Available,Not Available,EnergyWatch Inc,Not Available,2.87,Not Available,Not Available,Not Available,Not Available
2384168,32 East 64th Street,Not Available,Not Available,Not Available,Not Available,8,342.87,0,Not Available,Not Available,368.76,Not Available,2012-12-31T00:00:00.000,4093255.27,Not Available,Not Available,Not Available,65,Not Available,Not Available,10065,150.9,Not Available,3927657.48,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,108.0,71.7,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,0.2,Not Available
1421828,One Wall Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,2.01,Not Available,Not Available,1095503,10286,Not Available,Not Available,Not Available,Not Available,Not Available,Eligible,Not Available,Not Available,Not Available,Not Available,30-NOV-11,Bank/Financial Institution,Not Available,,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2558914,1700 Grand Concourse,0,Not Available,5760,Not Available,10,Not Available,0,Not Available,Not Available,313.6,Not Available,2012-12-31T00:00:00.000,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10457,74.9,Not Available,3340158.2,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,204.0,22.4,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2546550,330 West 58th Street,0,Not Available,9788,Not Available,10,1203.34,15041.2,Not Available,Not Available,1120.16,Not Available,2012-12-31T00:00:00.000,0,Not Available,Not Available,Not Available,60,Not Available,Not Available,10019,161.7,Not Available,11930875.93,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,104.0,87.9,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,1.11,Not Available
2605684,1 Haven Ave; 701 W 168 Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,120548187,Not Available,Not Available,Not Available,Not Available,10032,888.6,Not Available,50321813.76,0,Not Available,Not Eligible: Rating must be 75 or above,168,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,,526.1,Not Available,Not Available,,Not Available,2.3,Not Available,Not Available,Not Available,Not Available
2591915,1212 Avenue of The Americas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2129.9,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,65,Not Available,Not Available,10036,213,Not Available,10602470.81,0,Not Available,Not Eligible: Rating must be 75 or above,65,Not Available,Not Available,Not Available,31-OCT-12,Office,Not Available,105.0,100.7,Not Available,Not Available,Lealta Energy Network,Not Available,2.3,Not Available,Not Available,0.2,Not Available
2564636,110 Third Avenue,Not Available,Not Available,Not Available,Not Available,20,2.42,4010.4,Not Available,Not Available,643.84,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10003,160.9,Not Available,4531258.27,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,103.0,63.8,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2612552,214 W 29,Not Available,Not Available,Not Available,Not Available,Not Available,749.28,3140.2,Not Available,Not Available,494.43,Not Available,2012-12-31T00:00:00.000,9456811.18,Not Available,Not Available,Not Available,48,Not Available,Not Available,10001,145.9,Not Available,5266242.09,0,Not Available,Eligible,40,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,,79.2,Not Available,Not Available,"Code Green Solutions, Inc.",Not Available,2.07,Not Available,Not Available,0.66,Not Available
2539023,112-02 15th Ave,Not Available,Not Available,Not Available,Not Available,Not Available,3679.78,84241.3,Not Available,Not Available,981.82,90,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11356,670.9,Not Available,10457405.78,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-JAN-13,Warehouse (Unrefrigerated),Not Available,407.0,497.7,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2433308,119 West 40th Street,Not Available,Not Available,Not Available,Not Available,Not Available,500.16,2766.9,Not Available,Not Available,1539.42,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,40,Not Available,Not Available,10018,88.1,Not Available,16396451.91,0,Not Available,Not Eligible: Rating must be 75 or above,44,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,105.0,33.2,Not Available,Not Available,"Mcenergy, Inc",Not Available,1.97,Not Available,Not Available,0.2,Not Available
2555557,1370 Dr M.L. King JR Blvd,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.82,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10452,5.4,Not Available,93906.15,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-10,Multifamily Housing,Not Available,204.0,1.6,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1789746,160 E 34th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9065.1,Not Available,Not Available,1724.71,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10016,519.3,Not Available,15980223.07,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,109412,Not Available,31-DEC-12,Medical Office,Not Available,106.0,172,Not Available,Not Available,Gotham 360 LLC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2612482,225 W 39th,Not Available,Not Available,Not Available,Not Available,Not Available,98.1,Not Available,Not Available,Not Available,211.89,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,40,Not Available,Not Available,10018,171.5,Not Available,2256863.27,0,Not Available,Not Eligible: Rating must be 75 or above,55,Not Available,Not Available,Not Available,01-JAN-00,Office,Not Available,,69.3,No,Not Available,"Code Green Solutions, Inc.",Not Available,2.55,Not Available,Not Available,0.56,Not Available
2563039,1919 Williamsbridge Road,Not Available,Not Available,Not Available,Not Available,20,502.29,Not Available,Not Available,Not Available,126.05,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,40,Not Available,Not Available,10461,138.7,Not Available,1342571.48,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,211.0,100.4,Not Available,Not Available,,Not Available,Not Available,Not Available,No specific resident population,0.89,Not Available
2533063,305 East 85th Street,Not Available,Not Available,Not Available,Not Available,20,152.05,0,Not Available,Not Available,486.41,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10024,175,Not Available,5180779.86,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,108.0,69.3,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
1465130,20 Broad Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5993.7,Not Available,Not Available,4377.83,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10005,266,Not Available,30902141.92,0,Not Available,Eligible,70,Not Available,Not Available,Not Available,28-FEB-13,Office,Not Available,101.0,104.9,Not Available,Not Available,,Not Available,1.77,Not Available,Not Available,Not Available,Not Available
2610494,159-10 71ST AVE,Not Available,Not Available,Not Available,Not Available,Not Available,453.13,46.2,Not Available,Not Available,779.8,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11365,175,Not Available,8305736.06,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,408.0,80.3,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2475958,111 W 67th St,Not Available,Not Available,Not Available,Not Available,10,2062.16,Not Available,Not Available,Not Available,1456.93,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,77,Not Available,Not Available,10024,85.7,Not Available,15517776,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Other,Not Available,107.0,50.4,Not Available,Not Available,FS Energy,Not Available,Not Available,Not Available,No specific resident population,0.15,Not Available
2562147,1919 Williamsbridge Road,Not Available,Not Available,Not Available,Not Available,20,332.38,Not Available,Not Available,Not Available,114.58,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,66,Not Available,Not Available,10461,130.4,Not Available,1220397.34,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,211.0,86.7,Not Available,Not Available,,Not Available,Not Available,Not Available,No specific resident population,2.51,Not Available
2562244,1919 Williamsbridge Road,Not Available,Not Available,Not Available,Not Available,20,515.27,Not Available,Not Available,Not Available,126.64,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10461,171.9,Not Available,1348872.78,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,211.0,124.7,Not Available,Not Available,,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
260587900.00%,650 Brush Ave,Not Available,Not Available,Not Available,Not Available,Not Available,472.84,828.2,Not Available,Not Available,926.61,100,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10465,183.8,Not Available,9869335.47,0,Not Available,Not Eligible: Rating must be 75 or above,128,Not Available,Not Available,Not Available,31-DEC-12,Warehouse (Unrefrigerated),Not Available,210.0,81.6,Not Available,Not Available,,Not Available,2.17,Not Available,Not Available,Not Available,Not Available
2562992,1865 Broadway,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1654.04,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10023,281.2,Not Available,8031099.56,0,Not Available,Not Eligible: Rating must be 75 or above,69,Not Available,Not Available,Not Available,30-NOV-12,Office,Not Available,107.0,134.5,Not Available,Not Available,,Not Available,3.01,Not Available,Not Available,Not Available,Not Available
1479144,900 Third Ave,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5808.2,Not Available,Not Available,3189.13,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,65,Not Available,Not Available,10022,176.8,Not Available,29413739.25,83,Not Available,Eligible,65,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,106.0,58.8,Not Available,Not Available,,Not Available,1.86,Not Available,Not Available,0.29,Not Available
1261461,300 Madison Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,46.86,15955.1,Not Available,Not Available,11468.8,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,80,Not Available,Not Available,10017,344.2,Not Available,100945455.1,0,Not Available,Not Eligible: Less than one year since the period ending date of the last ENERGY STAR application.,72,Not Available,Not Available,Not Available,30-APR-13,Office,Not Available,105.0,118.6,Not Available,Not Available,,Not Available,4.67,Not Available,Not Available,0.43,Not Available
2383341,411 East 57th Street,Not Available,Not Available,Not Available,Not Available,10,8.49,8522.8,Not Available,Not Available,781.18,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10022,130,Not Available,2181358.3,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,106.0,77,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2394929,9216 7th Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11228,Not Available,Not Available,Not Available,Not Available,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,K-12 School,Not Available,310.0,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,13150
2598385,200 Haven Avenue,Not Available,Not Available,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10033,Not Available,Not Available,Not Available,Not Available,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,112.0,Not Available,Not Available,Not Available,Energy Investment Systems,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2563226,110 Meisner Ave,Not Available,Not Available,Not Available,Not Available,Not Available,139.46,1948.5,5,Not Available,169.32,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10306,162.8,110,1803446.72,0,100,Not Eligible: Default space values used,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Senior Care Facility,Not Available,502.0,82.2,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2564814,45 East 25th Street,Not Available,Not Available,Not Available,Not Available,20,Not Available,6350.9,Not Available,Not Available,740.35,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,10010,149.4,Not Available,3802992.02,0,Not Available,Not Eligible: Rating must be 75 or above,65,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,105.0,69.6,Not Available,Not Available,Greenwich Energy Solutions,Not Available,2.28,Not Available,No specific resident population,Not Available,Not Available
2008836,70 Little West Street,0,Not Available,14716,Not Available,10,2010.97,Not Available,Not Available,Not Available,640.22,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10004,136.2,Not Available,6819005.07,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-OCT-10,Multifamily Housing,Not Available,101.0,97.5,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1954047,299 Park Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12415.28,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,2.57,Not Available,Not Available,862769,10016,287.5,Not Available,93249431.69,0,Not Available,Not Eligible: Rating must be 75 or above,45,Not Available,Not Available,Not Available,01-JAN-00,Bank/Financial Institution,Not Available,105.0,109.2,Not Available,Not Available,"CodeGreen Solutions, Inc.",Not Available,1.37,Not Available,Not Available,Not Available,Not Available
2564774,406-408 West 45th Street,Not Available,Not Available,Not Available,Not Available,20,103.99,534.4,Not Available,Not Available,98.75,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10036,196.3,Not Available,1051784.94,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,104.0,106.1,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2564691,345 East 57th Street,Not Available,Not Available,Not Available,Not Available,10,343.22,0,Not Available,Not Available,126.12,Not Available,2012-12-31T00:00:00.000,4280874.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10022,93.7,Not Available,1343355.69,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,106.0,60.1,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2564812,956 Fifth Avenue,Not Available,Not Available,Not Available,Not Available,27,156.38,1419.5,Not Available,Not Available,108.13,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10075,104,Not Available,1151722.34,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,108.0,61.5,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2563051,1919 Williamsbridge Road,Not Available,Not Available,Not Available,Not Available,20,223.07,Not Available,Not Available,Not Available,117.31,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10461,165.4,Not Available,1249428.17,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,865,Not Available,01-JAN-00,Multifamily Housing,Not Available,211.0,104.8,No,Not Available,,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2506976,1956 Crotona Parkway,Not Available,Not Available,Not Available,Not Available,20,401.71,0,Not Available,Not Available,127.3,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10460,134,Not Available,1355836.68,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,30-NOV-10,Multifamily Housing,Not Available,206.0,91.4,Not Available,Not Available,GreenCents Solutions LLC,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2562147,1919 Williamsbridge Road,Not Available,Not Available,Not Available,Not Available,20,332.38,Not Available,Not Available,Not Available,114.58,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,66,Not Available,Not Available,10461,130.4,Not Available,1220397.34,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,211.0,86.7,Not Available,Not Available,,Not Available,Not Available,Not Available,No specific resident population,2.51,Not Available
2612523,18 E 41st,Not Available,Not Available,Not Available,Not Available,Not Available,307.45,4991.8,Not Available,Not Available,423.03,Not Available,2012-12-31T00:00:00.000,3460255.26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10017,172.6,Not Available,4505750.72,0,Not Available,Eligible,42,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,,77.2,Not Available,Not Available,"Code Green Solutions, Inc.",Not Available,2.74,Not Available,Not Available,Not Available,Not Available
2610367,100 East 21rst Street,Not Available,Not Available,Not Available,Not Available,15,318.79,1954.2,Not Available,Not Available,135.4,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11226,112,Not Available,1442115.92,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,,75.1,Not Available,Not Available,Plug Energy Services LLC,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
2564356,321 East 48th Street,Not Available,Not Available,Not Available,Not Available,20,437.02,0,Not Available,Not Available,199.37,Not Available,2012-12-31T00:00:00.000,5474033.08,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10017,140.4,Not Available,2123454.79,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,106.0,84.8,Not Available,Not Available,Greenwich Energy Solutions,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
1409171,1 Court Square,Not Available,Not Available,Not Available,Not Available,Not Available,79.49,31693.3,Not Available,Not Available,9046.07,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,1.7,Not Available,Not Available,10561,11101,225,Not Available,96350106.61,0,Not Available,Not Eligible: Rating must be 75 or above,55,Not Available,Not Available,Not Available,30-APR-11,Office,Not Available,402.0,68,No,Not Available,,Not Available,2.8,Not Available,Not Available,Not Available,Not Available
