no_travel_homeschool,deliver_none,person_num,no_travel_no_transport,hh_id,deliver_other,no_travel_housework
995,0,1,995,19580471,0,995
995,1,1,995,19241657,0,995
0,1,1,0,19679076,0,0
995,1,1,995,19967913,0,995
995,1,1,995,19040425,0,995
995,0,1,995,19036579,0,995
995,-9998,1,995,19773558,-9998,995
995,-9998,1,995,19055520,-9998,995
995,0,1,995,19489290,0,995
0,1,1,0,19921063,0,0
995,1,1,995,19888640,0,995
0,1,1,0,19662463,0,0
995,1,1,995,19782802,0,995
0,1,1,0,19877872,0,0
995,1,1,995,19940263,0,995
995,0,1,995,193037764,0,995
995,0,1,995,19795057,0,995
995,0,1,995,19773558,1,995
995,1,1,995,19199583,0,995
995,0,1,995,19046325,0,995
-9998,-9998,1,-9998,197305718,-9998,-9998
995,0,1,995,19643282,0,995
0,0,1,0,19679076,0,0
995,1,1,995,19861579,0,995
995,1,1,995,199459719,0,995
0,1,1,0,19522530,0,0
995,1,1,995,19795057,0,995
995,1,1,995,19004442,0,995
0,0,1,0,19532383,0,0
995,1,1,995,19967845,0,995
0,1,1,0,19763057,0,0
995,1,1,995,197159897,0,995
995,1,1,995,19932218,0,995
995,1,1,995,19999669,0,995
995,1,1,995,19604461,0,995
995,1,1,995,19283227,0,995
995,1,1,995,19448981,0,995
0,1,1,0,19241657,0,0
0,0,1,0,19074802,0,0
995,1,1,995,19742194,0,995
995,0,1,995,19897994,0,995
0,1,1,0,19820185,0,1
995,1,1,995,19562251,0,995
995,0,1,995,19817299,0,995
995,1,1,995,19040425,0,995
995,1,1,995,19565146,0,995
995,1,1,995,199459719,0,995
995,1,1,995,19663685,0,995
995,1,1,995,19861579,0,995
0,0,1,0,19448481,0,1
0,1,1,0,19021854,0,0
995,0,1,995,19873448,0,995
995,0,1,995,19199583,0,995
995,1,1,995,19489290,0,995
995,1,1,995,19508764,0,995
995,1,1,995,19932218,0,995
995,1,1,995,196355892,0,995
995,0,1,995,19790439,0,995
0,1,1,0,199459719,0,0
995,1,1,995,19911992,0,995
995,1,1,995,19268881,0,995
995,0,1,995,198384279,0,995
995,1,1,995,19750722,0,995
0,0,1,0,197159897,0,0
995,1,1,995,194145859,0,995
995,1,1,995,19652456,0,995
995,1,1,995,19405739,0,995
995,1,1,995,194783312,0,995
995,1,1,995,195710575,0,995
995,0,1,995,19242878,0,995
995,0,1,995,19759230,0,995
995,1,1,995,19354424,0,995
0,1,1,0,19354424,0,0
995,1,1,995,19352199,0,995
0,1,1,0,19405739,0,0
995,0,1,995,19354424,0,995
-9998,-9998,1,-9998,19949588,-9998,-9998
995,1,1,995,19489290,0,995
995,0,1,995,19960745,0,995
995,1,1,995,19460846,0,995
995,0,1,995,19334157,0,995
995,1,1,995,194145859,0,995
995,1,1,995,19664467,0,995
995,0,1,995,19177357,0,995
995,-9998,1,995,19186628,-9998,995
995,1,1,995,19242878,0,995
995,0,1,995,19141537,0,995
995,0,1,995,198384279,0,995
0,1,1,0,19268881,0,1
995,1,1,995,19406748,0,995
0,1,1,0,19723366,0,1
-9998,-9998,1,-9998,19949588,-9998,-9998
0,1,1,0,19021854,0,0
995,0,1,995,198252529,0,995
995,1,1,995,19932218,0,995
995,1,1,995,19565146,0,995
995,1,1,995,19967845,0,995
995,0,1,995,19144567,0,995
995,0,1,995,19739768,0,995
995,1,1,995,19244156,0,995
995,0,1,995,19448481,0,995
995,1,1,995,19750722,0,995
995,1,1,995,196355892,0,995
995,1,1,995,19911992,0,995
0,0,1,0,195297789,0,0
995,0,1,995,199794849,0,995
995,1,1,995,19042791,0,995
995,1,1,995,19354424,0,995
995,1,1,995,19582423,0,995
995,1,1,995,19679076,0,995
995,1,1,995,19562251,0,995
995,1,1,995,19040425,0,995
995,-9998,1,995,19847719,-9998,995
995,1,1,995,19283227,0,995
995,1,1,995,19192971,0,995
995,1,1,995,19036579,0,995
995,1,1,995,19460846,0,995
995,0,1,995,19103390,0,995
995,0,1,995,19817299,0,995
995,1,1,995,194754023,0,995
995,1,1,995,194754023,0,995
0,0,1,0,19397658,0,1
995,0,1,995,19750722,0,995
0,1,1,0,19662463,0,0
995,1,1,995,19244156,0,995
995,1,1,995,19651172,0,995
0,0,1,0,19662463,0,0
995,-9998,1,995,19055520,-9998,995
995,1,1,995,19861579,0,995
995,1,1,995,19283227,0,995
0,1,1,0,19166193,0,1
0,1,1,0,19074802,0,0
995,1,1,995,19036579,0,995
995,1,1,995,19274519,0,995
0,1,1,0,198384279,0,0
995,-9998,1,995,19847719,-9998,995
995,1,1,995,19283227,0,995
995,1,1,995,19580471,0,995
995,0,1,995,193037764,0,995
995,1,1,995,19970344,0,995
0,0,1,0,19728477,0,0
995,1,1,995,19663685,0,995
0,1,1,0,19878706,0,1
995,1,1,995,19244156,0,995
995,0,1,995,19976134,0,995
