brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_3_gross_income_per_sqft,comparable_rental_1_building_classification,comparable_rental_3_year_built,comparable_rental_3_address,comparable_rental_3_distance_from_coop_in_miles,comparable_rental_3_expense_per_sqft,comparable_rental_3_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_1_expense_per_sqft,comparable_rental_2_net_operating_income,brooklyn_cooperatives_comparable_properties_gross_income_per_sqft,brooklyn_cooperatives_comparable_properties_year_built,comparable_rental_1_total_units,brooklyn_cooperatives_comparable_properties_neighborhood,bbl,comparable_rental_3_market_value_per_sqft,comparable_rental_1_estimated_gross_income
3-05247-0006,"{'latitude': '40.634565773879', 'longitude': '-73.952188460824', 'human_address': '{""address"": ""657 26 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,7.5,D1-ELEVATOR,1931,"{'latitude': '40.629345465385', 'longitude': '-73.950239664996', 'human_address': '{""address"": ""861 27 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.34,4.6,3-07573-0020,FLATBUSH-CENTRAL,9.1,29.89,6.27,5.86,174328.0,9.1,1941,59,FLATBUSH-CENTRAL,,16.99,635013
3-06175-0036,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""7000 BAY PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.18,14.46,D1-ELEVATOR,1935,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""6401 BAY PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.34,8.85,3-06553-0006,GRAVESEND,11.32,30.61,4.32,6.57,498823.0,11.55,1959,59,BENSONHURST,3061750036.0,36.21,609922
3-01158-0056,"{'latitude': '40.676998004513', 'longitude': '-73.970112045709', 'human_address': '{""address"": ""233 PARK PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0, ,C1-WALK-UP, ,, , ,,PROSPECT HEIGHTS,17.99,55.77,7.33,8.28,283886.0,16.73,1931,16,PROSPECT HEIGHTS,3011580056.0, ,278483
3-04847-0004,"{'latitude': '40.595200515174', 'longitude': '-73.985286725256', 'human_address': '{""address"": ""10 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.24, ,D1-ELEVATOR, ,, , ,,FLATBUSH-NORTH,13.32,32.21,5.89,4.34,305088.0,12.77,1956,89,FLATBUSH-NORTH,, ,1038672
3-06776-0065,"{'latitude': '40.606218773637', 'longitude': '-73.985995533033', 'human_address': '{""address"": ""1625 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,11.53,D1-ELEVATOR,1939,"{'latitude': '40.606841298818', 'longitude': '-73.986196312308', 'human_address': '{""address"": ""1550 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,6.52,3-06759-0026,MADISON,9.02,34.53,6.93,5.61,381783.0,11.53,1939,65,MIDWOOD,,30.87,581126
3-05633-0068,"{'latitude': '40.636900670756', 'longitude': '-73.993798096587', 'human_address': '{""address"": ""4802 12 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.1,11.1,D1-ELEVATOR,1927,"{'latitude': '40.63418525925', 'longitude': '-73.989437303672', 'human_address': '{""address"": ""4812 14 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.24,5.95,3-05635-0041,BOROUGH PARK,10.53,31.74,6.48,6.81,343440.0,11.1,1924,64,BOROUGH PARK,3056330068.0,26.48,758263
3-01325-0001,"{'latitude': '40.663571278667', 'longitude': '-73.942786366923', 'human_address': '{""address"": ""446 KINGSTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,11.3,D7-ELEVATOR,1930,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""441 BROOKLYN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.09,6.55,3-01323-0017,FLATBUSH-NORTH,11.8,27.03,6.05,6.49,565202.0,11.3,1928,161,FLATBUSH-NORTH,3013250001.0,30.57,1831454
3-00234-0019,"{'latitude': '40.697118623176', 'longitude': '-73.996866484155', 'human_address': '{""address"": ""177 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.36,31.59,C1-WALK-UP,1900,"{'latitude': '40.695378933138', 'longitude': '-73.993818582061', 'human_address': '{""address"": ""90 PIERREPONT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.23,9.98,3-00243-0029,BROOKLYN HEIGHTS,36.27,314.96,7.61,13.45,334231.0,20.57,1925,26,BROOKLYN HEIGHTS,3002340019.0,161.23,436067
3-00993-0031,"{'latitude': '40.671264083884', 'longitude': '-73.985427409407', 'human_address': '{""address"": ""322 6 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,16.75,C1-WALK-UP,1920,"{'latitude': '40.672989449655', 'longitude': '-73.982007426881', 'human_address': '{""address"": ""390 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.25,6,3-00975-0017,PARK SLOPE,20.95,74.24,7.49,7.77,125311.0,15.85,1923,20,PARK SLOPE,,77.78,314180
3-00226-0001,"{'latitude': '40.698530901381', 'longitude': '-73.994176406099', 'human_address': '{""address"": ""45 PINEAPPLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.16, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,17.36,77.38,7.87,8.95,432456.0,18.0,1939,16,BROOKLYN HEIGHTS,3002260001.0, ,245070
3-05268-0018,"{'latitude': '40.654953013011', 'longitude': '-73.975270589967', 'human_address': '{""address"": ""202 SEELEY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.44, ,D1-ELEVATOR, ,, , ,, ,13.3,,,7.7,,13.3,1931,83,WINDSOR TERRACE,3052680018.0, ,1020724
3-03058-0001,"{'latitude': '40.706742417867', 'longitude': '-73.949060542751', 'human_address': '{""address"": ""30 MONTROSE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.72,24.13,D3-ELEVATOR,1920,"{'latitude': '40.714150931401', 'longitude': '-73.948676590255', 'human_address': '{""address"": ""609 METROPOLITAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.59,10.45,3-02757-0028,BEDFORD STUYVESANT,13.5,42.85,7.7,7.37,1907090.0,14.26,1963,647,WILLIAMSBURG-EAST,3030580001.0,74.25,10098934
3-04906-0065,"{'latitude': '40.594802860281', 'longitude': '-73.995165455853', 'human_address': '{""address"": ""285 35 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,9.48,D1-ELEVATOR,1929,"{'latitude': '40.645038943016', 'longitude': '-73.946004041199', 'human_address': '{""address"": ""1151 NEW YORK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.24,5.04,3-04933-0001,FLATBUSH-EAST,10.35,39.66,6.88,6.12,266830.0,9.0,1959,42,FLATBUSH-EAST,,25.68,474921
3-00237-0008,"{'latitude': '40.695782755051', 'longitude': '-73.993772598593', 'human_address': '{""address"": ""161 HENRY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,23.33,D1-ELEVATOR,1920,"{'latitude': '40.697494602253', 'longitude': '-73.994828916018', 'human_address': '{""address"": ""136 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.13,8.16,3-00235-0046,BROOKLYN HEIGHTS,21.65,88.04,9.52,9.35,309980.0,21.65,1906,42,BROOKLYN HEIGHTS,3002370008.0,110.65,874770
3-01065-0031,"{'latitude': '40.673364242562', 'longitude': '-73.973067370884', 'human_address': '{""address"": ""78 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,15.68,D1-ELEVATOR,1937,"{'latitude': '40.676161347247', 'longitude': '-73.970667605291', 'human_address': '{""address"": ""215 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.28,6.71,3-01164-0064,PARK SLOPE,19.96,53.26,9.29,9.26,288903.0,16.65,1923,49,PARK SLOPE,3010650031.0,57.66,704826
3-07869-0011,"{'latitude': '40.619721765409', 'longitude': '-73.932759112585', 'human_address': '{""address"": ""2239 TROY AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.68, ,D1-ELEVATOR, ,, , ,,FLATBUSH-EAST,14.13,36.49,6.58,7.47,655597.0,13.24,1953,54,FLATLANDS,3078690011.0, ,685619
3-06286-0043,"{'latitude': '40.607821130007', 'longitude': '-73.995883226407', 'human_address': '{""address"": ""1973 81 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.1,10.28,D1-ELEVATOR,1939,"{'latitude': '40.60359882388', 'longitude': '-73.993522578306', 'human_address': '{""address"": ""2160 84 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.35,6.17,3-06335-0029,BENSONHURST,11.01,25.16,6.08,6.05,474941.0,10.28,1926,48,BENSONHURST,3062860043.0,25.58,554904
3-01058-0024,"{'latitude': '40.676517386559', 'longitude': '-73.972282547225', 'human_address': '{""address"": ""176 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0, ,C1-WALK-UP, ,, , ,,PROSPECT HEIGHTS,19.96,200.28,5.64,8.58,109710.0,20.52,1906,19,PARK SLOPE,3010580024.0, ,283470
3-06764-0031,"{'latitude': '40.611689194577', 'longitude': '-73.955950970978', 'human_address': '{""address"": ""1580 18 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0, ,D1-ELEVATOR, ,, , ,,MIDWOOD,8.9,31.64,6.45,4.43,354288.0,10.32,1963,55,MIDWOOD,, ,483361
3-01065-0037,"{'latitude': '40.673041467713', 'longitude': '-73.973288702209', 'human_address': '{""address"": ""90 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.36,14.56,D1-ELEVATOR,1927,"{'latitude': '40.673068223434', 'longitude': '-73.964311707031', 'human_address': '{""address"": ""364 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.5,7.78,3-01179-0037,PROSPECT HEIGHTS,21.97,72.77,9.18,7.73,529086.0,19.33,1928,41,PARK SLOPE,3010650037.0,46.83,903286
3-02007-0014,"{'latitude': '40.683499927213', 'longitude': '-73.970883049264', 'human_address': '{""address"": ""475 CARLTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.42,14.26,D3-ELEVATOR,1976,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""157 MARCUS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.84,7.7,3-01588-0001,BEDFORD STUYVESANT,13.5,54.61,8.1,7.37,1238999.0,7.13,1974,647,FORT GREENE,3020070014.0,42.85,10098934
3-06090-0005,"{'latitude': '40.618013892692', 'longitude': '-74.02652143076', 'human_address': '{""address"": ""9031 FT HAMILTON PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.2,13.43,D7-ELEVATOR,1928,"{'latitude': '40.61857326178', 'longitude': '-74.0307001637', 'human_address': '{""address"": ""380 92 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.28,6.98,3-06103-0031,BAY RIDGE,14.74,64.99,9.02,7.65,874507.0,13.32,1927,77,BAY RIDGE,3060900005.0,42.73,1002215
3-05392-0001,"{'latitude': '40.63876743212', 'longitude': '-73.970694388259', 'human_address': '{""address"": ""800 CORTELYOU ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,13.15,D1-ELEVATOR,1958,"{'latitude': '40.636441925352', 'longitude': '-73.970228290809', 'human_address': '{""address"": ""805 DITMAS AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0,6.01,3-05392-0052,FLATBUSH-CENTRAL,15.06,45.03,7.11,7.17,1049369.0,13.95,1960,96,OCEAN PARKWAY-NORTH,3053920001.0,43.86,1325259
3-05906-0018,"{'latitude': '40.634214335357', 'longitude': '-74.030020439736', 'human_address': '{""address"": ""190 72 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.31, ,D1-ELEVATOR, ,, , ,,BAY RIDGE,15.16,43.91,7.94,7.01,319343.0,14.72,1932,43,BAY RIDGE,, ,410168
