brooklyn_cooperatives_comparable_properties_boro_block_lot,comparable_rental_2_estimated_gross_income,brooklyn_cooperatives_comparable_properties_full_market_value,comparable_rental_3_estimated_expense,comparable_rental_3_gross_sqft,comparable_rental_1_market_value_per_sqft,comparable_rental_2_estimated_expense,census_tract,comparable_rental_2_building_classification,comparable_rental_2_gross_sqft,comparable_rental_3_total_units,brooklyn_cooperatives_comparable_properties_estimated_gross_income,comparable_rental_2_distance_from_coop_in_miles,comparable_rental_1_net_operating_income,community_board,comparable_rental_2_gross_income_per_sqft,brooklyn_cooperatives_comparable_properties_market_value_per_sqft,borough,comparable_rental_2_full_market_value,comparable_rental_1_year_built,comparable_rental_2_total_units,brooklyn_cooperatives_comparable_properties_total_units,brooklyn_cooperatives_comparable_properties_gross_sqft
3-06933-0055,5726752.0,25069000,"3,096,128","386,700",64.4,2622109.0,314.0,D1-ELEVATOR,356010.0,371,6786762,0.9,3104643,13.0,16.09,59.43,3,19140000.0,1949,462.0,364,421800
3-06052-0039,879381.0,2685000, , ,77.19,413281.0,160.0,D1-ELEVATOR,46332.0, ,693257,0.09,348512,10.0,18.98,73.63,3,3345000.0,1955,76.0,64,36468
3-00302-0058,193800.0,3007000, , ,110.57,78948.0,45.0,C7-WALK-UP,8736.0, ,759330,0.0,131059,6.0,22.18,91.12,3,840000.0,1900,16.0,27,33000
3-06739-0006,540098.0,2821000,"179,646","40,740",26.74,297654.0,,D1-ELEVATOR,50658.0,41,651991,0.06,268992,,10.66,46.99,3,1504000.0,1935,47.0,52,60036
3-03633-0001,3060111.0,6033000,"1,458,538","165,466",43.31,1681169.0,922.0,D3-ELEVATOR,180000.0,405,2906010,1.1,1511228,16.0,17.0,15.15,3,6720000.0,1969,195.0,342,398223
3-06818-0065,581126.0,1836000, , ,24.45,361427.0,,D1-ELEVATOR,64400.0, ,537140,0.17,154493,,9.02,34.32,3,1309000.0,1941,65.0,48,53500
3-01173-0040,221618.0,1147000,"185,959","16,984",76.43,103916.0,207.0,C1-WALK-UP,13385.0,20,266100,0.0,141883,8.0,16.56,76.47,3,852000.0,1909,16.0,16,15000
3-05357-0017,576576.0,2255000,"329,190","56,100",25.71,313752.0,494.0,D1-ELEVATOR,51426.0,49,833062,0.0,392374,12.0,11.21,17.06,3,1628000.0,1926,54.0,114,132200
3-07579-0029,1021479.0,9073000, , ,29.7,625402.0,,D7-ELEVATOR,89772.0, ,3359376,0.37,967043,,11.38,30.74,3,2409000.0,1955,78.0,360,295200
3-05548-0050,479210.0,790000,"128,166","17,000",27.87,215987.0,254.0,C1-WALK-UP,33600.0,23,253338,0.45,73845,11.0,14.26,41.75,3,1824000.0,1931,46.0,21,18920
3-03805-0041,128484.0,636000, , ,27.88,69094.0,1126.0,C7-WALK-UP,16400.0, ,244968,1.08,60843,5.0,7.83,24.51,3,351000.0,1930,19.0,28,25950
3-01107-0009,278782.0,1139000,"81,817","12,816",87.24,124379.0,177.0,C1-WALK-UP,17000.0,16,284114,0.31,185761,55.0,16.4,65.75,3,1118000.0,1920,16.0,20,17324
3-07559-0023,677461.0,4301000, , ,38.98,317299.0,,D7-ELEVATOR,50781.0, ,1137672,0.17,250420,,13.34,52.17,3,2390000.0,1926,61.0,90,82440
3-07381-0073,404428.0,1814000,"356,042","57,000",24.81,227761.0,59401.0,D1-ELEVATOR,46200.0,60,498142,0.18,160008,15.0,8.75,38.27,3,869000.0,1940,30.0,63,47397
3-05268-0033,917807.0,3366000,"1,005,458","146,066",49.44,513793.0,50202.0,D7-ELEVATOR,67602.0,174,1523568,0.25,505645,7.0,13.58,20.72,3,2607000.0,1941,59.0,155,162439
3-06527-0051,619239.0,1789000,"458,010","62,485",25.83,343031.0,452.0,D1-ELEVATOR,52000.0,60,628848,0.44,285735,12.0,11.91,33.88,3,1762000.0,1938,59.0,42,52800
3-06129-0004,1461596.0,8334000, , ,64.99,647031.0,5601.0,D1-ELEVATOR,92224.0, ,1771718,1.5,874507,10.0,15.85,80.76,3,5567000.0,1927,118.0,99,103200
3-00982-0062,704826.0,3110000,"261,998","36,636",53.26,327122.0,,D1-ELEVATOR,35310.0,30,694365,0.43,288903,,19.96,65.9,3,2702000.0,1920,49.0,60,47196
3-01068-0003,102000.0,517000,"70,812","10,240",137.27,45549.0,165.0,C1-WALK-UP,4620.0,14,127622,0.16,139418,6.0,22.08,89.45,3,1148000.0,1920,9.0,12,5780
3-05257-0035,278782.0,439000,"115,661","10,596",31.54,124379.0,171.0,C1-WALK-UP,17000.0,16,202824,0.43,124554,7.0,16.4,14.07,3,1118000.0,1927,16.0,21,31200
3-05280-0008,887774.0,1661000,"904,201","136,362",31.73,297569.0,500.0,D1-ELEVATOR,75600.0,133,1180637,0.24,402786,7.0,11.74,10.64,3,2420000.0,1962,67.0,166,156170
3-05970-0018,299040.0,1262000, , ,65.8,112448.0,,C1-WALK-UP,22400.0, ,329683,0.41,178492,,13.35,59.75,3,841000.0,1921,26.0,23,21120
3-05337-0007,643810.0,1793000, , ,32.01,377671.0,496.0,D1-ELEVATOR,62934.0, ,553896,0.16,590205,12.0,10.23,35.58,3,1573000.0,1941,65.0,47,50400
3-06835-0012,762224.0,2528000, , ,24.12,428716.0,564.0,D1-ELEVATOR,71400.0, ,808299,0.48,435380,15.0,10.68,30.99,3,2068000.0,1931,65.0,79,81564
3-07238-0049,1568445.0,4479000,"306,162","58,570",66.53,625600.0,37401.0,D1-ELEVATOR,97440.0,60,1083079,0.1,951270,13.0,16.1,66.58,3,5192000.0,1951,120.0,68,67272
3-05329-0062,352591.0,975000,"70,533","12,800",25.03,149076.0,504.0,C1-WALK-UP,38000.0,12,311080,0.0,155919,12.0,9.28,25.13,3,783000.0,1923,35.0,39,38800
3-06747-0052,461268.0,1937000,"351,493","53,052",29.52,261139.0,,D1-ELEVATOR,49632.0,60,690154,0.05,365654,,9.29,30.12,3,1188000.0,1928,42.0,59,64320
3-00733-0025,228597.0,2140000,"104,089","14,116",55.26,108578.0,,C1-WALK-UP,14116.0,20,598706,0.05,253837,,16.19,57.87,3,811000.0,1923,20.0,36,36980
3-06706-0014,359753.0,2052000,"334,666","51,390",46.86,184831.0,,D1-ELEVATOR,33600.0,48,618912,0.17,302953,,10.71,40.71,3,1014000.0,1929,35.0,59,50400
3-00236-0011,748577.0,4755000, , ,88.04,316121.0,501.0,D1-ELEVATOR,40178.0, ,1110103,0.1,309980,2.0,18.63,86.01,3,3109000.0,1925,41.0,40,55284
3-00236-0001,,5038000, , ,90.13,,501.0, ,, ,1437560,,496811,2.0,,75.87,3,,1922,,38,66400
3-04905-0017,486382.0,2475000, , ,18.69,293068.0,,D1-ELEVATOR,46980.0, ,1172150,0.33,140705,,10.35,20.8,3,1203000.0,1931,48.0,125,119000
-06888-000,1822284.0,2633000,"455,402","58,535",51.5,1052829.0,304.0,D1-ELEVATOR,149175.0,69,655452,0.22,670860,11.0,12.22,61.46,3,4620000.0,1964,140.0,59,42840
3-01366-0020,158923.0,494000, , ,45.25,84180.0,345.0,C1-WALK-UP,10848.0, ,157466,1.03,91854,8.0,14.65,45.24,3,516000.0,1931,16.0,15,10920
3-01888-0020,203245.0,924000,"105,720","14,604",118.75,94215.0,191.0,C1-WALK-UP,13600.0,16,175338,0.18,65120,2.0,14.94,74.16,3,751000.0,1905,12.0,12,12460
3-02715-0005,257246.0,801000,"94,562","18,061",55.0,94562.0,499.0,C1-WALK-UP,18061.0,20,182956,0.48,87605,1.0,14.24,62.34,3,1128000.0,1931,20.0,16,12848
3-0,736913.0,1558000,"329,190","56,100",31.66,405225.0,,D1-ELEVATOR,62400.0,49,597848,0.14,262824,,11.81,26.14,3,2024000.0,1929,60.0,72,59600
3-05151-0010,183845.0,712000,"108,920","14,000",46.25,92311.0,514.0,C1-WALK-UP,13464.0,18,225498,0.11,111450,14.0,13.65,43.1,3,605000.0,1912,24.0,13,16520
3-06801-0001,587500.0,2560000, , ,23.75,337106.0,,D1-ELEVATOR,69000.0, ,942900,0.06,272571,,8.51,24.38,3,1386000.0,1931,72.0,105,105000
3-01918-0013,2020566.0,5203000,"331,623","35,176",78.58,928931.0,195.0,D5-ELEVATOR,113924.0,26,1334758,0.23,695397,2.0,17.74,69.15,3,7872000.0,1931,86.0,65,75240
3-02787-0017,257246.0,1254000,"94,562","18,061",55.0,94562.0,503.0,C1-WALK-UP,18061.0,20,346032,0.27,87605,1.0,14.24,51.6,3,1128000.0,1931,20.0,37,24300
3-06620-0001,581924.0,3254000,"393,865","62,640",35.7,302738.0,,D1-ELEVATOR,45600.0,60,1084564,0.05,268411,,12.76,37.26,3,1694000.0,1936,47.0,65,87324
3-06709-0001,849655.0,4796000,"417,790","66,150",28.6,420066.0,,D1-ELEVATOR,96000.0,54,1489518,0.19,442120,,8.85,32.1,3,2277000.0,1963,96.0,129,149400
3-05219-0040,626949.0,1683000,"730,063","113,188",23.73,406249.0,,D1-ELEVATOR,57624.0,96,829443,0.0,288303,,10.88,12.75,3,1364000.0,1931,61.0,108,132000
3-05389-0041,709013.0,1343000,"381,105","72,600",43.68,399715.0,490.0,D1-ELEVATOR,69600.0,72,439352,0.0,276926,12.0,10.19,31.15,3,1573000.0,1932,69.0,49,43116
3-00086-0011,3305618.0,31560000,"642,481","60,720",108.36,1533558.0,13.0,D5-ELEVATOR,109875.0,67,10547480,0.4,3635565,2.0,30.09,35.73,3,13272000.0,2003,88.0,1026,883265
3-08378-0001,161970.0,976000,"380,926","41,596",93.4,79204.0,,C1-WALK-UP,8892.0,58,287556,1.57,146202,,18.22,52.54,3,596000.0,1926,15.0,22,18576
3-01933-0060,811931.0,14565000, , ,35.46,430317.0,193.0,D5-ELEVATOR,61650.0, ,5216119,1.29,735489,2.0,13.17,39.26,3,2537000.0,1974,60.0,327,370990
3-06503-0030,525469.0,4783000,"230,988","40,800",30.98,239848.0,46201.0,D1-ELEVATOR,54500.0,41,1603388,0.15,383449,14.0,9.64,33.2,3,1693000.0,1951,47.0,132,144060
3-00254-0001,185778.0,2882000, , ,77.38,78480.0,502.0,D1-ELEVATOR,9972.0, ,822678,0.19,432456,2.0,18.63,59.87,3,771000.0,1949,12.0,38,48138
3-08669-0073,416251.0,1186000,"194,796","25,200",32.09,155379.0,362.0,C1-WALK-UP,30800.0,35,341475,0.61,171261,13.0,13.51,41.64,3,1397000.0,1922,41.0,31,28480
3-05355-0001,887774.0,2999000, , ,24.99,297569.0,488.0,D1-ELEVATOR,75600.0, ,885838,0.33,266139,12.0,11.74,37.21,3,2420000.0,1927,67.0,88,80604
3-05329-0072,1152382.0,5860000,"954,748","144,128",37.05,610380.0,504.0,D1-ELEVATOR,94252.0,130,2997041,0.0,880136,12.0,12.23,17.51,3,3223000.0,1951,84.0,286,334581
3-05233-0001,,1342000, , ,21.25,,526.0, ,, ,784428,,323559,14.0,,17.07,3,,1931,,66,78600
3-01179-0096,746640.0,6672000, , ,60.5,399071.0,215.0,D1-ELEVATOR,51288.0, ,1940897,0.0,210394,8.0,14.56,53.25,3,2402000.0,1940,54.0,68,125300
3-07449-0001,13277638.0,14815000,"3,594,573","676,350",35.63,7820557.0,,D3-ELEVATOR,997720.0,439,5430480,5.06,8031089,,13.31,36.31,3,36226000.0,1972,780.0,360,408000
3-08680-0001,1435589.0,24460000,"710,733","101,100",47.57,710488.0,,D1-ELEVATOR,111912.0,104,5727209,0.08,3238300,,12.83,55.86,3,4312000.0,1964,108.0,448,437860
3-06694-0072,511898.0,1963000,"414,275","76,860",17.95,299034.0,764.0,D1-ELEVATOR,55800.0,60,671546,0.06,188418,14.0,9.17,26.17,3,1267000.0,1924,48.0,66,75000
3-01176-0032,223227.0,2812000, , ,72.77,118271.0,215.0,D1-ELEVATOR,12266.0, ,784586,0.05,529086,8.0,18.2,67.27,3,755000.0,1927,23.0,36,41800
3-05241-0023,818293.0,1111000,"343,558","62,784",30.4,529990.0,766.0,D1-ELEVATOR,75221.0,48,485461,0.2,472924,14.0,10.88,14.34,3,1785000.0,1964,71.0,59,77484
3-01169-0024,451795.0,6751000,"219,733","33,960",57.66,236190.0,159.0,D1-ELEVATOR,31000.0,36,2048469,0.0,833938,8.0,14.57,48.02,3,1375000.0,1937,35.0,105,140595
3-06495-0001,646997.0,5756000,"239,848","54,500",32.0,346669.0,,D1-ELEVATOR,55500.0,47,1455831,0.18,380056,,11.66,46.69,3,1782000.0,1938,53.0,131,123271
3-06800-0016,500917.0,1534000, , ,23.75,281609.0,,D1-ELEVATOR,50400.0, ,504400,0.15,272571,,9.94,29.5,3,1265000.0,1931,42.0,48,52000
3-00217-0001,245070.0,28151000, , ,51.02,126336.0,1.0,D1-ELEVATOR,14120.0, ,9301696,0.24,351765,2.0,17.36,47.42,3,857000.0,1924,16.0,370,593599
3-06771-0031,607112.0,1842000, , ,31.5,310679.0,548.0,D1-ELEVATOR,44600.0, ,504630,0.19,142014,15.0,13.61,48.73,3,1793000.0,1928,49.0,36,37800
3-05851-0033,162494.0,530000, , ,46.32,82909.0,,C1-WALK-UP,9497.0, ,124344,1.29,104946,,17.11,66.92,3,443000.0,1978,12.0,12,7920
3-06099-0051,1156976.0,6119000,"437,997","67,488",51.32,578488.0,5202.0,D1-ELEVATOR,66800.0,48,1343641,0.08,606564,10.0,17.32,50.99,3,4176000.0,1957,69.0,127,120000
3-07422-1042,2329028.0,9708000, , ,48.19,1117470.0,,D3-ELEVATOR,144750.0, ,2952994,0.64,1061979,,16.09,46.22,3,8258000.0,1961,134.0,169,210028
3-00238-0026,7877134.0,11886000, , ,122.25,2312949.0,502.0,D6-ELEVATOR,182000.0, ,2695813,0.17,1306758,2.0,43.28,168.25,3,41924000.0,1928,187.0,53,70645
3-05320-0001,917807.0,1386000,"610,380","94,252",45.2,513793.0,504.0,D7-ELEVATOR,67602.0,84,640995,0.11,615781,7.0,13.58,15.57,3,2607000.0,1929,59.0,76,89026
3-07433-0025,1767453.0,8258000,"498,712","64,600",47.19,924497.0,,D1-ELEVATOR,124636.0,76,1642640,0.31,820003,,14.18,71.29,3,5808000.0,1963,135.0,115,115842
3-00226-0006,305317.0,433000, , ,125.95,96457.0,1.0,C1-WALK-UP,9665.0, ,136483,0.14,132408,2.0,31.59,45.89,3,928000.0,1900,11.0,20,9435
3-06802-0001,662632.0,2842000,"514,413","104,000",20.09,401078.0,550.0,D1-ELEVATOR,84375.0,94,1021200,0.17,250394,15.0,7.85,23.68,3,1463000.0,1931,72.0,124,120000
3-05951-0001,1241803.0,4070000, , ,69.94,566874.0,136.0,D1-ELEVATOR,76686.0, ,1109094,0.4,231087,10.0,16.19,64.07,3,4596000.0,1921,102.0,82,63522
3-06681-0399,951645.0,2992000,"469,705","72,000",31.15,410736.0,41402.0,D1-ELEVATOR,91350.0,71,801800,0.11,499236,15.0,10.42,39.37,3,2409000.0,1926,70.0,83,76000
3-07397-0085,607555.0,3758000,"436,153","55,674",46.6,330717.0,584.0,D1-ELEVATOR,46087.0,67,991354,0.18,842956,15.0,13.18,53.15,3,1840000.0,1963,55.0,71,70710
3-00733-0013,228597.0,1040000,"104,089","14,116",55.26,108578.0,,C1-WALK-UP,14116.0,20,291031,0.05,253837,,16.19,57.85,3,811000.0,1923,20.0,16,17976
3-05338-0075,576576.0,901000,"329,190","56,100",36.02,313752.0,494.0,D1-ELEVATOR,51426.0,49,393504,0.13,312102,12.0,11.21,17.04,3,1628000.0,1940,54.0,55,52872
3-07159-0040,1602166.0,4847000,"924,497","124,636",50.47,782163.0,,D1-ELEVATOR,114300.0,135,1278624,0.2,516044,,14.02,53.15,3,5394000.0,1958,121.0,100,91200
3-01181-0055,440831.0,1118000,"183,575","21,920",68.79,209184.0,217.0,C1-WALK-UP,25556.0,24,345604,0.06,244654,8.0,17.25,55.24,3,1673000.0,1920,31.0,20,20240
3-06518-0005,815763.0,1860000,"318,097","60,000",30.98,443898.0,46202.0,D1-ELEVATOR,77400.0,54,679105,0.25,383449,12.0,10.54,28.97,3,2112000.0,1951,67.0,48,64200
3-01173-0038,221618.0,1093000,"185,959","16,984",76.43,103916.0,207.0,C1-WALK-UP,13385.0,20,312220,0.0,141883,8.0,16.56,72.87,3,852000.0,1909,16.0,16,15000
3-08719-0020,596250.0,4384000, , ,43.65,315900.0,,D1-ELEVATOR,45000.0, ,1110564,0.18,818750,,13.25,53.53,3,1862000.0,1942,43.0,96,81900
3-01916-0001,2020566.0,4135000,"849,656","105,360",120.85,928931.0,195.0,D5-ELEVATOR,113924.0,114,1060852,0.25,647722,2.0,17.74,69.15,3,7872000.0,1928,86.0,30,59800
3-03367-0056,458869.0,1030000, , ,25.62,271673.0,399.0,D1-ELEVATOR,44800.0, ,381960,1.45,661470,4.0,10.24,28.61,3,1166000.0,1965,54.0,36,36000
3-05939-0006,1179282.0,4524000,"647,031","92,224",43.91,621071.0,66.0,D1-ELEVATOR,89628.0,118,1113060,0.16,319343,10.0,13.16,58.0,3,3421000.0,1936,84.0,65,78000
3-01103-0048,215424.0,1702000,"69,150","12,068",100.16,94353.0,177.0,C1-WALK-UP,12536.0,17,303960,0.0,187927,55.0,17.18,100.12,3,865000.0,1920,16.0,21,17000
3-08669-0068,416251.0,1466000,"194,796","25,200",32.09,155379.0,362.0,C1-WALK-UP,30800.0,35,422048,0.61,171261,13.0,13.51,41.65,3,1397000.0,1922,41.0,30,35200
3-06286-0043,1132089.0,1428000,"323,925","52,500",30.65,657148.0,272.0,D1-ELEVATOR,108000.0,53,493440,0.25,249984,11.0,10.48,29.75,3,2717000.0,1938,84.0,54,48000
3-00235-0028,185778.0,3397000, , ,77.38,78480.0,301.0,D1-ELEVATOR,9972.0, ,884844,0.1,432456,2.0,18.63,69.1,3,771000.0,1949,12.0,39,49158
3-05424-0001,841459.0,3782000,"280,599","41,900",49.52,458010.0,482.0,D1-ELEVATOR,62485.0,53,1252710,0.15,463206,14.0,13.47,40.67,3,1936000.0,1962,60.0,90,93000
3-00208-0501,787491.0,1584000,"662,715","54,640",101.0,324049.0,301.0,D7-ELEVATOR,32000.0,59,373998,0.25,444733,2.0,24.61,104.23,3,3369000.0,1902,30.0,20,15197
3-06123-0049,961995.0,2172000,"346,930","51,000",54.09,490977.0,162.0,D1-ELEVATOR,57024.0,73,658306,0.21,521744,10.0,16.87,45.4,3,3407000.0,1930,83.0,60,47842
3-02688-0034,190699.0,339000,"53,497","8,727",36.88,104893.0,591.0,C7-WALK-UP,16313.0,12,121342,1.31,72750,1.0,11.69,32.66,3,459000.0,1910,23.0,14,10380
3-05209-0022,147070.0,320000,"102,287","18,040",17.99,97034.0,51601.0,C1-WALK-UP,17870.0,16,136032,1.62,93094,14.0,8.23,20.51,3,295000.0,1931,16.0,16,15600
3-01172-0001,252911.0,2230000,"183,642","24,000",46.82,132706.0,207.0,D7-ELEVATOR,13021.0,36,507476,0.16,425462,8.0,19.42,63.42,3,862000.0,1920,23.0,70,35160
3-05248-0012,635013.0,1191000,"331,737","62,320",24.61,408717.0,770.0,D1-ELEVATOR,69782.0,54,522403,0.12,305094,14.0,9.1,13.69,3,1347000.0,1927,59.0,73,87027
3-06379-0065,245246.0,1744000,"236,683","30,344",57.55,141546.0,,C1-WALK-UP,21000.0,37,377090,0.1,157070,,11.68,51.29,3,664000.0,1926,27.0,32,34000
3-05657-0035,571125.0,3744000,"464,548","70,600",23.5,327698.0,236.0,D7-ELEVATOR,48664.0,71,1349568,0.1,575075,12.0,11.74,31.52,3,1199000.0,1928,42.0,100,118800
3-01091-0035,603351.0,2082000,"209,550","32,388",104.27,261998.0,177.0,D1-ELEVATOR,36636.0,36,690505,0.29,585336,55.0,16.47,49.66,3,2471000.0,1920,30.0,43,41925
3-01068-0037,451795.0,6591000, , ,53.26,236190.0,177.0,D1-ELEVATOR,31000.0, ,1933200,0.28,288903,55.0,14.57,54.93,3,1375000.0,1920,35.0,43,120000
3-05454-0045,614326.0,2035000,"189,500","47,520",31.58,380727.0,474.0,D1-ELEVATOR,64530.0,47,721215,0.22,292981,12.0,9.52,30.83,3,1276000.0,1934,54.0,55,66000
3-00253-0061,185778.0,2233000,"316,121","40,178",82.18,78480.0,501.0,D1-ELEVATOR,9972.0,41,549063,0.13,462696,2.0,18.63,75.77,3,771000.0,1936,12.0,26,29472
3-07260-0028,2352663.0,8640000,"625,600","97,440",43.8,869402.0,366.0,D1-ELEVATOR,169632.0,120,2080500,0.31,666405,13.0,13.87,57.6,3,6479000.0,1963,180.0,174,150000
3-00993-0031,216511.0,1270000,"100,526","16,752",96.73,91200.0,,C1-WALK-UP,12176.0,16,282105,0.0,197663,,17.78,71.35,3,904000.0,1923,19.0,20,17800
3-08691-0011,1749014.0,5347000,"659,950","67,000",57.9,874507.0,36002.0,D1-ELEVATOR,96952.0,77,1484681,4.46,679304,13.0,18.04,64.72,3,6301000.0,1927,139.0,70,82620
3-07274-0060,7289700.0,33441000,"1,191,975","194,880",47.57,3647200.0,,D3-ELEVATOR,470000.0,240,7616186,0.0,3238300,,15.51,68.1,3,24955000.0,1964,441.0,528,491050
3-07457-0055,2303866.0,6667000,"1,392,038","194,425",59.55,1065729.0,606.0,D1-ELEVATOR,194425.0,188,1726870,0.18,462641,15.0,11.85,48.92,3,6215000.0,1959,188.0,157,136296
3-02447-0010,542187.0,320000,"58,845","31,290",82.06,271287.0,,C1-WALK-UP,38700.0,36,185170,0.1,302595,,14.01,11.98,3,1782000.0,1915,41.0,36,26720
3-00231-0019,239136.0,15950000,"78,480","9,972",51.02,134809.0,501.0,D1-ELEVATOR,17184.0,12,6854119,0.15,351765,2.0,13.92,36.16,3,687000.0,1924,12.0,275,441063
3-05247-0001,543263.0,2165000, , ,16.48,331737.0,770.0,D1-ELEVATOR,62320.0, ,833000,0.13,211121,14.0,8.72,21.65,3,1254000.0,1931,54.0,90,100000
3-05214-0024,551864.0,860000,"304,802","41,115",32.37,309092.0,828.0,D7-ELEVATOR,50258.0,48,364600,0.15,216356,17.0,10.98,20.77,3,1199000.0,1931,48.0,51,41400
3-01189-0064,198182.0,1892000,"374,638","41,055",62.69,93361.0,213.0,D1-ELEVATOR,15280.0,61,376162,1.32,501673,9.0,12.97,37.1,3,699000.0,1985,16.0,58,51000
3-01165-0011,172848.0,627000, , ,59.2,70510.0,207.0,C1-WALK-UP,7237.0, ,199092,0.32,81387,8.0,23.88,70.04,3,740000.0,1901,12.0,16,8952
3-08791-0104,1553576.0,16112000,"522,792","67,000",57.05,784572.0,,D1-ELEVATOR,97157.0,78,4639658,0.76,1211558,,15.99,55.53,3,5246000.0,1972,106.0,240,290160
3-06836-0050,1059260.0,4283000, , ,29.61,624726.0,564.0,D1-ELEVATOR,94740.0, ,1127372,0.52,477540,15.0,11.18,44.15,3,2801000.0,1937,88.0,108,97020
3-05859-0015,410168.0,8079000,"399,964","50,400",59.58,189596.0,34.0,D1-ELEVATOR,27048.0,59,2444277,0.7,549278,10.0,15.16,50.11,3,1516000.0,1960,43.0,106,161232
3-02068-0001,1249953.0,13775000,"256,419","25,032",108.36,643634.0,31.0,D1-ELEVATOR,57460.0,16,2984543,0.36,3635565,2.0,21.75,42.38,3,4162000.0,2003,78.0,296,325000
3-05399-0041,562507.0,2015000,"218,133","37,226",43.68,280599.0,484.0,D1-ELEVATOR,41900.0,41,531432,0.18,276926,12.0,13.42,50.88,3,1584000.0,1932,53.0,43,39600
3-07579-0010,892225.0,22330000,"659,969","110,604",29.7,488107.0,776.0,D1-ELEVATOR,78420.0,125,7840820,0.09,967043,18.0,11.38,32.41,3,2475000.0,1955,78.0,644,689000
3-07397-0001,1602166.0,2783000,"330,717","46,087",46.6,782163.0,584.0,D1-ELEVATOR,114300.0,55,926324,0.04,842956,15.0,14.02,31.06,3,5394000.0,1963,121.0,114,89615
3-00236-0088,500969.0,10670000, , ,110.65,230440.0,501.0,D9-ELEVATOR,24528.0, ,2485656,0.11,734254,2.0,20.42,93.92,3,1932000.0,1920,19.0,107,113604
3-07423-0011,2148300.0,12483000,"1,477,890","186,257",33.96,1201982.0,596.0,D1-ELEVATOR,159996.0,181,3252209,0.55,629179,15.0,13.43,51.55,3,6270000.0,1961,200.0,240,242160
3-01083-0045,405315.0,968000,"100,190","14,088",98.14,206226.0,177.0,C1-WALK-UP,21195.0,17,274716,0.05,155995,55.0,19.12,67.37,3,1428000.0,1920,30.0,16,14368
3-00957-0062,653750.0,1719000,"102,867","11,250",76.52,364847.0,157.0,D1-ELEVATOR,39261.0,20,438912,0.3,377704,6.0,16.65,59.28,3,2091000.0,1920,47.0,31,29000
3-01176-0047,223227.0,2445000, , ,72.77,118271.0,215.0,D1-ELEVATOR,12266.0, ,682327,0.05,529086,8.0,18.2,67.26,3,755000.0,1927,23.0,39,36352
3-06510-0001,1437936.0,8806000, , ,57.93,798718.0,,D1-ELEVATOR,109200.0, ,2535715,1.36,869727,,13.17,48.92,3,4250000.0,1958,123.0,168,180000
3-02103-0062,585782.0,1199000,"56,053","5,500",56.36,186318.0,181.0,C1-WALK-UP,16400.0,10,211782,0.19,94338,2.0,35.72,68.13,3,2951000.0,1930,37.0,35,17600
