unnamed_column,teacher_horizon_engagement,student_communication_score,student_safety_and_respect,horizon_academic_expectations,student_horizon_communication,parent_horizon_academic,horizon_communication_score,student_horizon_engagement
M372,0.71,6.8,6.9,0.93,0.64,1.0,0.96,0.97
Q505,1.0,6.1,6.2,0.92,0.44,0.9,1.0,0.79
X295,0.69,5.4,5.2,0.39,0.24,0.24,0.42,0.4
K113,0.56,7.2,4.2,0.48,0.77,0.7,0.77,0.0
K192,0.58,6.8,7.4,0.67,0.58,0.65,0.68,0.83
K588,0.34,6.2,6.3,0.44,0.44,0.59,0.35,0.73
Q487,0.43,5.8,7.6,0.67,0.35,0.81,0.67,0.33
M896,0.56,6.7,7.2,0.67,0.6,0.73,0.65,0.76
X480,0.83,5.9,7.6,0.65,0.19,0.56,0.65,0.55
X542,0.63,5.5,6.4,0.69,0.26,0.68,0.65,0.68
K592,0.99,6.2,5.5,0.82,0.44,0.63,1.0,0.55
M492,0.58,5.6,6.1,0.58,0.29,0.68,0.58,0.51
Q164,0.54,5.7,5.8,0.58,0.21,0.61,0.41,0.44
M600,0.6,5.4,6.8,0.54,0.24,0.53,0.58,0.65
K566,0.5,5.9,6.3,0.46,0.38,0.61,0.5,0.65
K584,0.71,6.0,5.8,0.59,0.38,0.49,0.62,0.59
X319,0.39,10.0,9.3,0.74,1.0,0.19,0.92,1.0
M333,0.87,6.7,7.7,0.83,0.55,0.65,0.82,0.9
X144,0.58,6.0,5.8,0.63,0.38,0.56,0.62,0.69
Q126,0.45,5.2,5.6,0.41,0.11,0.52,0.35,0.52
K614,1.0,6.6,6.8,1.0,0.57,0.97,1.0,0.69
K078,0.54,5.5,6.0,0.56,0.21,0.66,0.5,0.48
Q061,0.67,5.7,6.2,0.59,0.28,0.52,0.65,0.52
M013,0.49,5.9,5.8,0.63,0.34,0.9,0.65,0.55
X390,0.64,,,0.7,,0.8,0.85,
Q620,0.79,5.2,6.3,0.65,0.18,0.53,0.65,0.58
M290,1.0,,,1.0,,0.89,1.0,
K384,0.64,7.0,7.8,0.79,0.65,0.69,0.73,1.0
X071,0.52,6.0,6.4,0.5,0.31,0.57,0.41,0.7
K393,0.54,5.6,5.8,0.4,0.27,0.48,0.27,0.53
Q185,0.58,5.3,6.2,0.56,0.15,0.49,0.42,0.48
K703,0.36,5.9,6.4,0.54,0.28,0.77,0.59,0.53
K234,0.93,6.0,6.9,0.93,0.38,0.66,0.81,0.83
Q283,0.9,5.7,6.0,0.7,0.3,0.44,0.73,0.63
X262,0.54,5.7,6.6,0.54,0.32,0.53,0.5,0.72
K259,0.88,6.2,7.0,0.82,0.44,0.63,0.77,0.83
K098@,0.76,6.0,6.8,0.74,0.38,0.63,0.69,0.69
Q025,0.8,5.8,6.7,0.67,0.31,0.42,0.62,0.62
M046,0.79,7.0,7.2,0.81,0.42,0.84,0.73,1.0
K095,0.31,6.1,6.5,0.42,0.35,0.4,0.14,0.63
K278,0.75,5.6,6.1,0.7,0.25,0.7,0.69,0.62
X 366,0.76,7.0,6.2,0.82,0.7,0.9,0.92,0.73
X145,0.69,6.4,7.6,0.85,0.51,0.77,0.85,0.97
Q530,0.98,6.8,8.0,1.0,0.65,0.93,1.0,1.0
M457,0.81,6.1,8.2,1.0,0.51,1.0,0.91,0.67
Q217,0.69,5.9,6.5,0.67,0.34,0.66,0.58,0.62
Q124,0.72,7.9,7.7,0.92,0.96,0.77,1.0,1.0
M414,0.0,5.7,6.8,0.15,0.32,0.39,0.08,0.61
X660,0.73,5.0,5.7,0.54,0.12,0.53,0.58,0.36
M468,0.69,5.4,6.4,0.65,0.24,0.75,0.69,0.61
K643,0.76,6.6,7.4,0.74,0.39,0.94,0.73,0.65
q687,0.81,6.2,7.0,0.85,0.47,0.64,0.77,0.79
M364,0.9,,,0.92,,0.89,0.96,
M545,0.41,5.6,7.7,0.58,0.29,0.64,0.42,0.79
K014,0.86,5.6,6.2,0.74,0.25,0.7,0.73,0.69
K533,0.45,6.1,6.0,0.47,0.42,0.58,0.62,0.6
K455,0.88,5.5,5.6,0.65,0.26,0.61,0.69,0.61
M057,0.64,6.4,7.4,0.83,0.45,0.93,0.82,0.77
M400,0.65,5.5,6.6,0.69,0.26,0.64,0.54,0.72
M137,0.64,,,0.58,,0.64,0.69,
X543,0.52,6.0,6.6,0.65,0.41,0.93,0.69,0.72
M610,0.98,6.7,7.7,1.0,0.61,0.9,0.98,0.91
K103,0.34,5.8,6.4,0.56,0.31,0.77,0.42,0.79
X337,0.64,5.8,5.9,0.67,0.31,0.7,0.62,0.48
M019,0.81,,,0.81,,0.74,0.69,
K620,0.37,4.8,5.2,0.27,0.06,0.43,0.31,0.36
K411,1.0,6.5,7.5,0.5,0.73,0.27,0.59,0.47
K223,0.84,5.3,6.3,0.7,0.15,0.59,0.62,0.52
M195,0.53,5.5,6.2,0.63,0.21,0.7,0.54,0.62
M825,0.86,6.7,7.2,0.96,0.6,0.87,1.0,0.97
Q690,0.71,5.0,5.4,0.54,0.12,0.53,0.58,0.29
Q492,0.39,5.5,5.9,0.35,0.26,0.5,0.31,0.58
R003,0.79,,,0.81,,0.74,0.89,
K493,0.65,5.7,6.0,0.59,0.3,0.48,0.54,0.6
X223,0.73,6.7,7.5,0.93,0.6,1.0,0.89,1.0
M143,0.75,5.7,6.8,0.67,0.28,0.63,0.77,0.62
M243,1.0,7.6,8.3,1.0,0.9,1.0,1.0,1.0
Q705,0.82,6.2,7.3,0.8,0.43,0.68,0.7,0.76
Q525,0.69,5.9,8.0,0.92,0.38,0.82,0.69,0.97
Q600,0.63,5.4,6.4,0.54,0.24,0.5,0.5,0.51
K644,0.84,6.9,7.5,0.93,0.67,1.0,1.0,1.0
X249,0.75,5.4,6.3,0.73,0.24,0.64,0.62,0.4
Q520,0.71,6.2,7.6,0.73,0.47,0.75,0.73,0.82
Q265,0.75,5.8,6.4,0.62,0.35,0.35,0.65,0.75
M580,0.54,5.6,7.1,0.62,0.29,0.57,0.54,0.72
K505,0.69,5.2,6.7,0.54,0.18,0.46,0.54,0.68
Q145,0.8,6.2,7.0,0.85,0.44,0.73,0.81,0.86
X219,0.45,5.9,6.3,0.52,0.34,0.56,0.54,0.66
K431,0.47,6.2,7.7,0.5,0.57,0.45,0.39,0.74
X417,0.47,5.8,6.9,0.44,0.35,0.41,0.51,0.2
X315,0.36,6.6,7.1,0.71,0.52,0.85,0.68,0.77
M292,0.41,5.8,6.2,0.32,0.33,0.44,0.35,0.49
K490,0.88,5.9,7.0,0.77,0.38,0.53,0.69,0.86
K306,0.46,6.2,6.0,0.54,0.38,0.53,0.5,0.7
K731,0.5,5.9,6.2,0.63,0.28,0.69,0.64,0.57
M570,0.56,6.5,7.7,0.52,0.36,0.56,0.54,0.52
X329,0.41,5.8,6.4,0.5,0.35,0.79,0.54,0.68
Q540,0.41,5.9,7.4,0.39,0.19,0.44,0.35,0.49
M411,0.71,7.0,7.9,0.89,0.71,0.72,0.77,0.93
K632,0.5,5.6,6.1,0.42,0.29,0.5,0.69,0.54
K439,0.96,6.8,7.7,0.92,0.65,0.79,0.92,1.0
K608,0.88,6.7,7.4,1.0,0.6,1.0,1.0,0.86
Q127,0.17,5.6,5.7,0.33,0.18,0.61,0.09,0.47
M110,0.46,,,0.54,,0.59,0.5,
K605,0.62,5.3,6.0,0.54,0.21,0.53,0.54,0.47
M210,0.83,6.7,7.9,0.88,0.55,0.89,0.91,1.0
X303,0.76,6.6,7.1,0.85,0.57,0.94,0.85,0.83
M375,0.75,6.9,8.1,0.79,0.62,0.77,0.77,1.0
X277,0.75,,,0.77,,0.79,0.73,
Q116,0.62,5.6,6.0,0.54,0.18,0.45,0.5,0.47
M620,0.62,4.9,5.5,0.42,0.09,0.39,0.46,0.33
K214,0.73,,,0.77,,0.84,0.77,
K058,0.81,,,0.85,,0.84,0.73,
M051,0.96,,,0.89,,0.79,0.92,
M184,0.66,5.7,7.6,0.75,0.21,0.77,0.55,0.8
K068,0.64,5.6,5.7,0.63,0.25,0.66,0.58,0.55
K207,0.95,6.6,6.9,0.96,0.52,0.85,1.0,0.86
M337,1.0,,,1.0,,1.0,1.0,
M063,0.81,,,0.85,,0.84,0.81,
K704,0.75,6.8,7.4,0.96,0.58,0.89,1.0,0.8
K534,0.41,5.7,6.3,0.44,0.28,0.52,0.42,0.69
M260,0.6,6.6,7.4,0.78,0.57,0.73,0.65,0.93
K577,0.88,6.5,7.2,0.89,0.54,0.84,0.96,0.93
K554,0.92,6.4,8.3,1.0,0.52,0.94,0.96,1.0
M575,0.81,5.9,7.7,0.65,0.19,0.4,0.58,0.58
X3,0.41,5.7,6.1,0.39,0.32,0.57,0.46,0.54
M509,0.34,5.5,6.0,0.32,0.24,0.3,0.27,0.42
X513,0.52,6.9,7.5,0.85,0.68,0.82,0.77,1.0
X682,0.86,6.2,7.0,0.89,0.47,0.86,1.0,0.72
X131,0.56,5.3,5.6,0.52,0.15,0.49,0.46,0.55
M140,0.46,5.9,7.0,0.67,0.28,0.73,0.64,0.6
Q465,0.37,5.6,5.7,0.35,0.29,0.53,0.5,0.51
M4,0.79,5.7,6.4,0.62,0.32,0.53,0.69,0.61
M328,0.71,6.3,7.0,0.82,0.47,0.8,0.81,0.83
Q286,0.97,7.4,8.3,1.0,0.83,0.87,1.0,1.0
M076,0.79,,,0.81,,0.74,0.81,
X544,0.9,5.3,6.6,0.81,0.21,0.79,0.81,0.75
M318,0.79,,,0.77,,1.0,0.85,
X434,0.5,5.5,6.2,0.58,0.26,0.68,0.54,0.47
K201,0.75,5.5,6.9,0.74,0.21,0.59,0.58,0.69
X456,0.39,6.3,7.0,0.44,0.62,0.48,0.59,0.4
M707,0.76,6.7,8.1,0.74,0.42,0.6,0.77,0.74
X696,0.9,6.6,7.8,1.0,0.59,1.0,0.92,1.0
X503,0.01,6.4,7.9,0.26,0.68,0.38,0.39,0.4
K240,0.34,5.3,5.5,0.41,0.15,0.52,0.35,0.35
M543,0.69,6.1,7.4,0.58,0.44,0.57,0.42,0.86
z379,0.36,6.9,7.1,0.3,0.47,0.31,0.39,0.49
K467,,,,0.0,,0.45,0.0,
K53,1.0,5.9,6.0,0.89,0.38,0.72,0.96,0.68
Q281,0.52,6.2,7.1,0.55,0.46,0.44,0.62,0.81
R605,0.83,6.3,7.7,0.96,0.5,0.9,0.77,0.97
M302,0.67,5.6,6.2,0.59,0.25,0.66,0.62,0.59
X414,0.63,5.8,6.0,0.62,0.35,0.57,0.69,0.61
M541,0.77,6.6,7.3,0.85,0.59,0.72,0.85,0.86
K595,1.0,5.5,7.2,1.0,0.26,0.97,1.0,0.82
K375,0.9,,,0.85,,0.69,0.96,
M018,0.68,5.9,6.7,0.71,0.28,0.81,0.68,0.63
M374,0.69,5.8,5.7,0.54,0.35,0.46,0.42,0.54
M499,0.49,5.2,5.8,0.59,0.15,0.58,0.39,0.67
K670,0.65,5.8,6.8,0.69,0.35,0.75,0.58,0.86
M635,0.26,5.3,5.4,0.25,0.18,0.3,0.23,0.28
M133,0.58,5.9,6.3,0.58,0.0,0.53,0.5,0.73
K468,0.88,6.3,6.8,0.93,0.47,0.87,0.85,0.73
Q580,0.6,6.5,7.5,0.81,0.55,0.69,0.62,0.91
M862,0.75,7.2,8.1,1.0,0.77,0.9,0.96,1.0
R001,1.0,,,1.0,,0.89,0.92,
K567,0.21,5.9,6.0,0.12,0.38,0.0,0.0,0.65
M245,0.86,6.6,7.2,0.96,0.57,0.9,1.0,0.86
Q485,0.75,5.1,5.9,0.62,0.15,0.53,0.65,0.54
X341,0.82,6.5,6.4,0.74,0.54,0.63,0.89,0.73
X243,0.47,6.1,6.6,0.59,0.42,0.69,0.46,0.74
M050,0.56,5.8,6.0,0.5,0.25,0.49,0.41,0.53
K137,0.35,5.3,6.2,0.46,0.08,0.57,0.27,0.6
X404,0.96,5.7,6.9,0.89,0.32,0.75,0.89,0.65
K583,0.42,5.5,6.4,0.54,0.26,0.64,0.58,0.58
K510,0.69,6.2,6.2,0.69,0.47,0.5,0.62,0.68
X263,0.79,5.9,6.9,0.81,0.38,0.86,0.81,0.75
M166,0.77,,,0.77,,0.69,0.81,
K642,0.62,6.0,6.7,0.65,0.41,0.86,0.65,0.68
K041,0.4,5.7,5.2,0.42,0.21,0.61,0.32,0.44
X415,0.65,5.2,5.7,0.46,0.18,0.43,0.54,0.47
Q294,1.0,6.5,7.5,0.93,0.54,0.7,1.0,0.9
M44,0.44,5.3,5.9,0.42,0.21,0.46,0.31,0.51
K061,0.76,6.3,6.6,0.78,0.47,0.66,0.73,0.79
M045,0.76,5.7,6.5,0.74,0.28,0.7,0.73,0.73
K587,0.56,6.0,6.0,0.52,0.38,0.59,0.58,0.79
X260,0.63,5.7,6.8,0.81,0.32,0.9,0.54,0.68
K165,0.68,6.9,6.8,0.71,0.62,0.57,0.73,0.96
M037,0.67,,,0.73,,0.99,0.69,
M206,0.41,,,0.39,,0.59,0.5,
M173,0.08,,,0.15,,0.53,0.04,
Q302,0.44,6.3,6.2,0.58,0.5,1.0,0.54,0.68
Q085,0.79,,,0.77,,0.69,0.77,
K330,0.82,6.1,6.8,0.56,0.41,0.38,0.73,0.76
M044,0.45,6.0,6.7,0.48,0.38,0.45,0.46,0.69
X290,0.92,5.0,5.3,0.65,0.12,0.53,0.69,0.4
K405,0.83,5.2,6.5,0.65,0.18,0.5,0.58,0.61
R072,0.8,5.6,6.1,0.7,0.25,0.52,0.65,0.66
M469,0.3,5.5,5.6,0.25,0.24,0.48,0.35,0.46
M450,0.88,6.5,7.0,0.93,0.55,0.9,0.98,0.77
X267,0.73,6.1,5.9,0.66,0.42,0.55,0.65,0.56
Q093,0.54,5.9,6.4,0.67,0.34,0.66,0.58,0.59
K362,0.95,6.0,7.4,0.92,0.31,0.97,0.96,0.9
X680,0.37,5.3,6.0,0.46,0.21,0.64,0.39,0.47
M224,0.62,6.4,7.0,0.82,0.51,0.84,0.77,1.0
R445,0.71,5.0,5.9,0.58,0.12,0.53,0.54,0.54
K552,0.67,5.7,6.4,0.65,0.32,0.75,0.62,0.75
M289,0.91,6.4,6.8,0.78,0.51,0.52,0.81,0.69
Q008,0.1,5.6,5.7,0.22,0.25,0.52,0.15,0.38
M161,0.69,7.0,7.4,0.81,0.42,0.84,0.69,0.95
Q299,0.98,6.9,8.0,1.0,0.68,1.0,0.92,1.0
