address,council_district,bin,wifi_status_date
814 RICHMOND TERRACE,49.0,5001742.0,2024-11-01 15:00:00.765
675 6 AVENUE,3.0,1014774.0,2025-12-24 22:00:00.528
600 ADEE AVENUE,15.0,2101746.0,
400 EAST TREMONT AVENUE,15.0,2009453.0,2025-12-24 22:00:00.528
211 BOWERY,1.0,1005683.0,2025-12-24 22:00:00.528
1220 EAST NEW YORK AVENUE,41.0,3393291.0,2025-12-24 22:00:00.528
700 SOUTHERN BOULEVARD,8.0,,2025-12-24 22:00:00.528
601 EAST 138 STREET,8.0,2003635.0,2025-12-24 22:00:00.528
178 CANAL STREET,1.0,1002410.0,2025-12-24 22:00:00.528
201 HUDSON STREET,1.0,1002933.0,2025-12-24 22:00:00.528
720 FRANKLIN AVENUE,35.0,3029279.0,2025-12-24 22:00:00.528
230 BERRY STREET,34.0,3398694.0,2025-12-24 22:00:00.528
247 EAST 198 STREET,15.0,2017109.0,2025-12-24 22:00:00.528
899 6 AVENUE,3.0,1015190.0,2025-12-24 22:00:00.528
86 9 AVENUE,3.0,1013043.0,2025-12-24 22:00:00.528
249 CHURCH STREET,1.0,1001891.0,2025-12-24 22:00:00.528
125 WEST 14 STREET,3.0,1086581.0,2025-12-24 22:00:00.528
301 WEST 30 STREET,3.0,1082392.0,2025-12-24 22:00:00.528
455 DUMONT AVENUE,42.0,3084427.0,2025-12-24 22:00:00.528
1088 FLATBUSH AVENUE,40.0,3345680.0,2025-12-24 22:00:00.528
30-40 48th Ave,,,
699 WILLIAMS AVENUE,42.0,3085986.0,
1391 JEROME AVENUE,16.0,2008289.0,2025-12-24 22:00:00.528
105 EAST 198 STREET,14.0,2017457.0,2025-12-24 22:00:00.528
160 2 AVENUE,2.0,1006433.0,2025-12-24 22:00:00.528
161-11 132ND AVENUE,28.0,4619700.0,
126 NORTH 8 STREET,33.0,3324819.0,2025-12-24 22:00:00.528
4-40 44TH DRIVE,26.0,4000028.0,
408 DE WITT AVENUE,42.0,3097623.0,2025-12-24 22:00:00.528
907 FULTON STREET,35.0,3056600.0,2025-12-24 22:00:00.528
825 4 AVENUE,38.0,3009847.0,2025-12-24 22:00:00.528
795 WASHINGTON AVENUE,35.0,3029546.0,2025-12-24 22:00:00.528
1961 ARTHUR AVENUE,17.0,2011973.0,2025-12-24 22:00:00.528
2108 BERGEN AVENUE,46.0,,2025-12-24 22:00:00.528
208 1 AVENUE,2.0,1005980.0,2025-12-24 22:00:00.528
153 NORTH 8 STREET,33.0,3061793.0,2025-12-24 22:00:00.528
77-19 25 AVENUE,22.0,4022778.0,
875 4 AVENUE,38.0,3010094.0,2025-12-24 22:00:00.528
132 FEATHERBED LANE,14.0,,2025-12-24 22:00:00.528
200 WEST 56 STREET,4.0,1024878.0,2025-12-24 22:00:00.528
159 PIONEER STREET,38.0,3332119.0,2025-12-24 22:00:00.528
431 CANAL STREET,1.0,1002934.0,2025-12-24 22:00:00.528
2255 WEBSTER AVENUE,15.0,,
301 WEST 23 STREET,3.0,1078540.0,2025-12-24 22:00:00.528
1007 MANHATTAN AVENUE,33.0,3064146.0,2025-12-24 22:00:00.528
2631 FULTON STREET,37.0,3000000.0,2025-12-24 22:00:00.528
831 8 AVENUE,3.0,1085727.0,2025-12-24 22:00:00.528
655 6 AVENUE,3.0,1087522.0,2025-12-24 22:00:00.528
780 7 AVENUE,4.0,1024811.0,2025-12-24 22:00:00.528
203 BERRY STREET,34.0,3398167.0,2025-12-24 22:00:00.528
134 1 AVENUE,2.0,1005893.0,2025-12-24 22:00:00.528
1431 BROADWAY,3.0,1022561.0,2025-12-24 22:00:00.528
256 ST. ANN'S AVENUE,8.0,2003623.0,2025-12-24 22:00:00.528
995 WESTCHESTER AVENUE,17.0,,2025-12-24 22:00:00.528
30 CLINTON STREET,2.0,1088219.0,2025-12-24 22:00:00.528
385 EAST FORDHAM ROAD,15.0,2016327.0,2025-12-24 22:00:00.528
2440 FULTON STREET,37.0,3042309.0,2025-12-24 22:00:00.528
2914 3 AVENUE,17.0,2001164.0,2025-12-24 22:00:00.528
311 SMITH STREET,39.0,3007265.0,2025-12-24 22:00:00.528
333 BALTIC STREET,33.0,3006352.0,2025-12-24 22:00:00.528
795 6 AVENUE,3.0,1015075.0,2025-12-24 22:00:00.528
106 FERRIS STREET,38.0,3008783.0,
1546 FULTON STREET,36.0,3053854.0,2025-12-24 22:00:00.528
821 7 AVENUE,4.0,1023166.0,2025-12-24 22:00:00.528
989 8 AVENUE,3.0,1026054.0,2025-12-24 22:00:00.528
3386 FULTON STREET,37.0,3327234.0,2025-12-24 22:00:00.528
48 WEST BURNSIDE AVENUE,14.0,2008631.0,2025-12-24 22:00:00.528
101 NORTH 5 STREET,33.0,3062172.0,2025-12-24 22:00:00.528
1572 PITKIN AVENUE,41.0,3252123.0,2025-12-24 22:00:00.528
3012 3 AVENUE,17.0,2117395.0,2025-12-24 22:00:00.528
1503 GATES AVENUE,37.0,3076498.0,2025-12-24 22:00:00.528
115 NORTH 6 STREET,33.0,3062058.0,2025-12-24 22:00:00.528
445 5 AVENUE,39.0,3000000.0,2025-12-24 22:00:00.528
252 COURT STREET,39.0,3336007.0,2025-12-24 22:00:00.528
623 HUDSON STREET,3.0,1011645.0,2025-12-24 22:00:00.528
364 GRAND STREET,34.0,3062845.0,2025-12-24 22:00:00.528
106 LAFAYETTE STREET,1.0,1002348.0,2025-12-24 22:00:00.528
103 9 AVENUE,3.0,1078409.0,2025-12-24 22:00:00.528
500 GRAND STREET,34.0,3062881.0,2025-12-24 22:00:00.528
2922 3 AVENUE,17.0,2001166.0,2025-12-24 22:00:00.528
7 NASSAU AVENUE,33.0,3337774.0,2025-12-24 22:00:00.528
216 WILLIS AVENUE,8.0,2118034.0,2025-12-24 22:00:00.528
32 EAST 1ST STREET,2.0,1006068.0,2025-12-24 22:00:00.528
1604 BROADWAY,4.0,1024779.0,2025-12-24 22:00:00.528
2 UNDERHILL AVENUE,35.0,3027474.0,2025-12-24 22:00:00.528
2 POWERS STREET,34.0,3323015.0,2025-12-24 22:00:00.528
2454 WALTON AVENUE,14.0,2014027.0,2025-12-24 22:00:00.528
301 WALTON AVENUE,8.0,2001025.0,2025-12-24 22:00:00.528
3097 3 AVENUE,17.0,2001451.0,2025-12-24 22:00:00.528
123 3 AVENUE,2.0,1088500.0,2025-12-24 22:00:00.528
219 COURT STREET,33.0,3006027.0,2025-12-24 22:00:00.528
969 8 AVENUE,3.0,1025451.0,2025-12-24 22:00:00.528
194 HARMAN STREET,37.0,3075072.0,2025-12-24 22:00:00.528
897 FRANKLIN AVENUE,35.0,3033446.0,2025-12-24 22:00:00.528
190 2 AVENUE,2.0,1006476.0,2025-12-24 22:00:00.528
968 4 AVENUE,38.0,3010388.0,2025-12-24 22:00:00.528
535 7 AVENUE,3.0,1015265.0,2025-12-24 22:00:00.528
66 WEST 21 STREET,3.0,1015514.0,2025-12-24 22:00:00.528
262 WYCKOFF AVENUE,37.0,3076185.0,
72 WYCKOFF AVENUE,34.0,3073257.0,2025-12-24 22:00:00.528
724 8 AVENUE,3.0,1024718.0,2025-12-24 22:00:00.528
117A FEATHERBED LANE,14.0,,
135 HAVEMEYER STREET,34.0,,
250 BROOK AVENUE,8.0,2000054.0,2025-12-24 22:00:00.528
4802 CHURCH AVENUE,45.0,3102784.0,2025-12-24 22:00:00.528
104 8 AVENUE,3.0,1081534.0,2025-12-24 22:00:00.528
710 EAST 138 STREET,8.0,2003792.0,2025-12-24 22:00:00.528
142 LEXINGTON AVENUE,2.0,1018247.0,2025-12-24 22:00:00.528
61 GRAHAM AVENUE,34.0,3071502.0,2025-12-24 22:00:00.528
91 HOYT STREET,33.0,3000872.0,2025-12-24 22:00:00.528
2374 JEROME AVENUE,14.0,2014093.0,2025-12-24 22:00:00.528
84 BEARD STREET,38.0,3008860.0,
1985 WEBSTER AVENUE,15.0,,
2939 3 AVENUE,17.0,2001360.0,2025-12-24 22:00:00.528
1745 BROADWAY,3.0,1086135.0,2025-12-24 22:00:00.528
119 GRAHAM AVENUE,34.0,3071340.0,2025-12-24 22:00:00.528
471 WILSON AVENUE,37.0,3077622.0,2025-12-24 22:00:00.528
50 VARICK STREET,1.0,1002734.0,2025-12-24 22:00:00.528
203 GRAND STREET,1.0,1003091.0,2025-12-24 22:00:00.528
30-40 48th Ave,,,
399 WEST BROADWAY,1.0,1079941.0,2025-12-24 22:00:00.528
314 11 AVENUE,3.0,1088120.0,2025-12-24 22:00:00.528
1369 BROADWAY,34.0,3076023.0,2025-12-24 22:00:00.528
895 FLATBUSH AVENUE,40.0,3117221.0,2025-12-24 22:00:00.528
899 4 AVENUE,38.0,3010172.0,2025-12-24 22:00:00.528
79 HENRY STREET,33.0,3339176.0,2025-12-24 22:00:00.528
218 2 AVENUE,2.0,1006510.0,2025-12-24 22:00:00.528
658 FRANKLIN AVENUE,35.0,3028671.0,2025-12-24 22:00:00.528
