dbn,school_name,q3_i_feel_well_informed_by_1,q34_if_you_are_a_parent_1,q16_my_child_s_school_will_1,q20_the_principal_school,q5_staff_at_this_school_work,q24_how_satisfied_are_you_1,q43_if_you_are_a_parent,q37_if_you_are_a_parent,q17_at_this_school_my_child,q16_my_child_s_school_will,q26_how_satisfied_are_you_1,q25_how_satisfied_are_you_1,q17_at_this_school_my_child_1,q21_since_the_beginning_of_1,q35_if_you_are_a_parent,q40_if_you_are_a_parent,q38_if_you_are_a_parent,q43_if_you_are_a_parent_1,q22_since_the_beginning_of_1,q29_during_the_school_year,q39_if_you_are_a_parent_1,q30_during_the_school_year,q2_teachers_work_closely_1,q14_the_principal_school,q3_i_feel_well_informed_by,q7_my_child_s_school_1,q38_if_you_are_a_parent_1,q33_if_you_are_a_parent,q5_staff_at_this_school_work_1,q12_the_principal_school_1,q12_the_principal_school,q13_my_child_s_teachers_think_1,q31_which_of_the_following_1,total_parent_response_rate,q9_my_child_s_race_ethnicity,q31_which_of_the_following
06M211,Inwood Early College For Health And Information Technologies,14%,3%,11%,94%,83%,0%,0%,100%,93%,89%,3%,6%,7%,14%,92%,0%,100%,0%,17%,89%,0%,97%,15%,89%,86%,3%,0%,0%,17%,11%,89%,10%,,0.09,97%,
15K462,John Jay School For Law,17%,14%,12%,97%,89%,7%,0%,62%,100%,88%,10%,14%,0%,10%,82%,0%,75%,0%,27%,90%,0%,90%,27%,93%,83%,0%,25%,0%,11%,0%,100%,0%,,0.06,97%,
12X682,Fannie Lou Hamer Freedom High School,10%,10%,5%,100%,95%,2%,0%,87%,98%,95%,2%,5%,2%,8%,86%,0%,93%,0%,18%,60%,0%,82%,7%,100%,90%,3%,7%,0%,5%,2%,98%,2%,,0.14,98%,
13K067,P.S. 067 Charles A. Dorsey,5%,0%,1%,96%,94%,4%,80%,100%,99%,99%,0%,5%,1%,2%,0%,100%,100%,20%,5%,74%,0%,93%,2%,96%,95%,4%,0%,100%,6%,1%,99%,4%,,0.39,99%,
11X041,P.S. 041 Gun Hill Road,8%,0%,5%,96%,92%,6%,0%,97%,98%,95%,4%,8%,2%,9%,0%,0%,94%,0%,9%,72%,0%,84%,8%,95%,92%,3%,6%,91%,8%,5%,95%,4%,,0.73,98%,
21K101,P.S. 101 The Verrazano,3%,0%,2%,98%,97%,2%,89%,96%,99%,98%,3%,5%,1%,10%,0%,100%,95%,11%,4%,64%,0%,91%,5%,98%,97%,3%,5%,97%,3%,1%,99%,2%,,0.66,98%,
15K136,I.S. 136 Charles O. Dewey,12%,0%,7%,100%,91%,0%,0%,,89%,93%,9%,17%,11%,16%,0%,0%,,0%,28%,62%,0%,94%,13%,93%,88%,9%,,0%,9%,10%,90%,4%,,0.07,94%,
01M020,P.S. 020 Anna Silver,7%,0%,7%,96%,89%,2%,60%,100%,96%,93%,4%,11%,4%,9%,0%,100%,100%,40%,2%,80%,0%,89%,5%,92%,93%,4%,0%,92%,11%,4%,96%,2%,,0.14,95%,
14K034,P.S. 034 Oliver H. Perry,1%,0%,5%,97%,97%,2%,76%,96%,96%,95%,3%,9%,4%,4%,0%,100%,91%,24%,2%,92%,0%,94%,6%,98%,99%,0%,9%,95%,3%,0%,100%,5%,,0.45,97%,
11X121,P.S. 121 Throop,6%,0%,7%,95%,89%,11%,,86%,93%,93%,5%,7%,7%,8%,0%,,86%,,4%,81%,,94%,9%,94%,94%,5%,14%,94%,11%,3%,97%,7%,,0.15,95%,
10X331,The Bronx School Of Young Leaders,9%,0%,7%,92%,93%,1%,0%,94%,92%,93%,4%,7%,8%,8%,0%,0%,89%,0%,8%,75%,0%,85%,11%,96%,91%,4%,11%,0%,7%,5%,95%,6%,,0.17,96%,
13K430,Brooklyn Technical High School,13%,9%,14%,91%,81%,10%,0%,80%,97%,86%,9%,13%,3%,53%,90%,0%,72%,0%,27%,35%,0%,39%,30%,88%,87%,7%,28%,0%,19%,9%,91%,13%,,0.67,95%,
02M544,Independence High School,,,,,,,0%,,,,,,,,,0%,,0%,,,0%,,,,,,,0%,,,,,,0.01,,
19K345,P.S. 345 Patrolman Robert Bolden,3%,0%,2%,98%,96%,2%,68%,91%,99%,98%,2%,3%,1%,9%,0%,86%,87%,32%,10%,68%,5%,73%,2%,97%,97%,2%,13%,96%,4%,2%,98%,2%,,0.68,98%,
03M256,Lafayette Academy,6%,0%,6%,100%,94%,3%,0%,,97%,94%,3%,9%,3%,8%,0%,0%,,0%,3%,86%,0%,86%,6%,94%,94%,6%,,0%,6%,3%,97%,0%,,0.2,97%,
07X379,Jill Chaifetz Transfer High School,11%,22%,11%,89%,89%,12%,0%,0%,88%,89%,11%,0%,12%,11%,89%,0%,0%,0%,33%,67%,0%,78%,11%,89%,89%,0%,0%,0%,11%,0%,100%,17%,,0.05,100%,
02M531,Repertory Company High School For Theatre Arts,5%,9%,9%,92%,94%,6%,0%,100%,97%,91%,5%,15%,3%,22%,88%,0%,100%,0%,17%,85%,0%,77%,9%,97%,95%,0%,0%,0%,6%,5%,95%,7%,,0.28,95%,
02M282,Urban Assembly Maker Academy,12%,0%,3%,100%,95%,2%,0%,100%,100%,97%,5%,10%,0%,17%,100%,0%,100%,0%,19%,83%,0%,83%,10%,100%,88%,2%,0%,0%,5%,0%,100%,3%,,0.09,100%,
16K688,The Brooklyn Academy Of Global Finance,11%,0%,6%,100%,94%,0%,0%,,100%,94%,0%,0%,0%,17%,94%,0%,,0%,22%,50%,0%,72%,28%,100%,89%,11%,,0%,6%,11%,89%,0%,,0.14,94%,
02M439,Manhattan Village Academy,3%,4%,5%,99%,96%,3%,0%,90%,99%,95%,2%,5%,1%,20%,93%,0%,86%,0%,11%,76%,0%,88%,10%,98%,97%,1%,14%,0%,4%,1%,99%,6%,,0.33,96%,
20K163,P.S. 163 Bath Beach,7%,0%,2%,96%,96%,2%,0%,95%,99%,98%,2%,7%,1%,18%,0%,0%,89%,0%,12%,58%,0%,86%,5%,95%,93%,2%,11%,99%,4%,3%,97%,2%,,0.2,98%,
01M134,P.S. 134 Henrietta Szold,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,0%,0%,8%,0%,0%,100%,0%,8%,83%,0%,100%,0%,100%,100%,0%,0%,92%,0%,0%,100%,0%,,0.06,100%,
20K609,Urban Assembly School For Leadership And Empowerment,14%,0%,14%,93%,93%,0%,0%,,100%,86%,0%,9%,0%,21%,100%,0%,,0%,36%,71%,0%,64%,14%,92%,86%,0%,,0%,7%,8%,92%,9%,,0.02,93%,
17K722,New Heights Middle School,0%,0%,3%,97%,100%,0%,0%,100%,94%,97%,0%,6%,6%,3%,0%,0%,100%,0%,3%,71%,0%,88%,9%,100%,100%,0%,0%,0%,0%,0%,100%,0%,,0.15,100%,
08X562,Blueprint Middle School,25%,0%,11%,95%,82%,10%,0%,75%,91%,89%,4%,11%,9%,19%,0%,0%,75%,0%,9%,75%,0%,85%,21%,90%,75%,8%,25%,0%,18%,9%,91%,11%,,0.12,89%,
03M299,The Maxine Greene Hs For Imaginative Inquiry,9%,13%,4%,93%,83%,4%,0%,78%,88%,96%,5%,9%,12%,11%,88%,0%,56%,0%,11%,61%,0%,56%,7%,90%,91%,4%,44%,0%,17%,4%,96%,13%,,0.26,93%,
12X066,P.S. 066 School Of Higher Expectations,6%,0%,8%,97%,94%,5%,90%,100%,96%,92%,2%,5%,4%,5%,0%,100%,100%,10%,8%,58%,0%,71%,5%,91%,94%,3%,0%,96%,6%,4%,96%,5%,,0.38,98%,
15K839,M.S. 839,4%,0%,5%,98%,96%,2%,0%,73%,98%,95%,8%,10%,2%,16%,0%,0%,100%,0%,26%,92%,0%,100%,16%,96%,96%,2%,0%,0%,4%,2%,98%,4%,,0.14,98%,
01M315,The East Village Community School,3%,0%,5%,97%,96%,2%,83%,90%,96%,95%,2%,8%,4%,4%,0%,100%,90%,17%,7%,86%,0%,98%,4%,94%,97%,2%,10%,88%,4%,4%,96%,2%,,0.54,94%,
11X021,P.S. 021 Philip H. Sheridan,3%,0%,3%,97%,97%,3%,0%,100%,97%,97%,3%,9%,3%,3%,0%,0%,100%,0%,3%,88%,0%,97%,12%,91%,97%,0%,0%,94%,3%,0%,100%,6%,,0.06,97%,
17K646,Aspirations Diploma Plus High School,,,,,,,0%,0%,,,,,,,,0%,0%,0%,,,0%,,,,,,0%,0%,,,,,,0.03,,
11X481,The Steam Bridge School,4%,0%,2%,98%,95%,4%,0%,89%,99%,98%,2%,6%,1%,4%,0%,0%,89%,0%,6%,93%,0%,92%,4%,95%,96%,3%,11%,97%,5%,3%,97%,2%,,0.69,98%,
12X300,The School Of Science And Applied Learning,9%,0%,6%,97%,93%,4%,,86%,92%,94%,3%,9%,8%,8%,0%,,80%,,15%,72%,,89%,9%,95%,91%,3%,20%,92%,7%,5%,95%,5%,,0.25,95%,
12X211,P.S. 211,9%,0%,9%,91%,91%,0%,,100%,100%,91%,5%,0%,0%,0%,0%,,100%,,0%,100%,,100%,9%,90%,91%,4%,0%,93%,9%,9%,91%,5%,,0.05,96%,
10X342,International School For Liberal Arts,3%,5%,2%,98%,97%,2%,0%,100%,98%,98%,1%,3%,2%,10%,95%,0%,93%,0%,8%,90%,0%,91%,6%,98%,97%,2%,7%,0%,3%,2%,98%,4%,,0.85,99%,
15K039,P.S. 039 Henry Bristow,17%,0%,14%,89%,83%,16%,0%,50%,95%,86%,10%,24%,5%,20%,0%,0%,50%,0%,28%,91%,0%,100%,21%,80%,83%,7%,50%,93%,17%,21%,79%,11%,,0.26,94%,
06M103,Dos Puentes Elementary School,6%,0%,3%,98%,98%,1%,0%,96%,98%,97%,3%,5%,2%,3%,0%,0%,92%,0%,10%,97%,0%,97%,6%,98%,94%,2%,8%,98%,2%,2%,98%,3%,,0.63,98%,
02M077,P.S. 77 Lower Lab School,5%,0%,4%,81%,92%,3%,0%,,100%,96%,7%,14%,0%,7%,0%,0%,,0%,3%,97%,0%,97%,11%,82%,95%,3%,,96%,8%,18%,82%,1%,,0.21,97%,
08X014,P.S. X014 Senator John Calandra,8%,0%,9%,94%,87%,4%,78%,94%,100%,91%,4%,11%,0%,14%,0%,100%,89%,22%,6%,88%,0%,96%,8%,93%,92%,1%,11%,93%,13%,6%,94%,3%,,0.13,96%,
10X565,High School For Energy And Technology,6%,7%,6%,95%,93%,5%,0%,91%,95%,94%,4%,4%,5%,13%,89%,0%,92%,0%,15%,53%,0%,59%,9%,91%,94%,2%,8%,0%,7%,7%,93%,0%,,0.12,98%,
02M234,P.S. 234 Independence School,9%,0%,8%,89%,91%,5%,0%,88%,98%,92%,3%,8%,2%,9%,0%,0%,81%,0%,14%,94%,0%,98%,10%,90%,91%,1%,19%,94%,9%,8%,92%,9%,,0.21,97%,
21K128,P.S. 128 Bensonhurst,7%,0%,9%,95%,91%,9%,0%,88%,97%,91%,5%,14%,3%,13%,0%,0%,89%,0%,3%,66%,0%,89%,6%,95%,93%,10%,11%,94%,9%,4%,96%,5%,,0.24,98%,
02M225,Ella Baker School,2%,0%,1%,97%,98%,3%,42%,100%,97%,99%,2%,4%,3%,4%,0%,93%,95%,58%,9%,97%,0%,99%,4%,95%,98%,0%,5%,97%,2%,3%,97%,1%,,0.32,98%,
04M096,P.S. 096 Joseph Lanzetta,4%,0%,6%,95%,94%,2%,85%,95%,95%,94%,2%,3%,5%,6%,0%,95%,94%,15%,8%,78%,0%,92%,7%,94%,96%,4%,6%,98%,6%,4%,96%,5%,,0.51,96%,
17K524,International High School At Prospect Heights,3%,10%,4%,92%,100%,7%,0%,,96%,96%,3%,7%,4%,0%,100%,0%,,0%,17%,86%,0%,89%,0%,92%,97%,0%,,0%,0%,0%,100%,12%,,0.09,100%,
15K172,P.S. 172 Beacon School Of Excellence,2%,0%,1%,98%,99%,1%,82%,98%,97%,99%,1%,3%,3%,9%,0%,97%,97%,18%,1%,90%,3%,98%,1%,99%,98%,0%,3%,98%,1%,2%,98%,1%,,1.0,99%,
16K498,Brooklyn High School For Law And Technology,14%,14%,10%,92%,84%,12%,0%,88%,94%,90%,17%,22%,6%,20%,82%,0%,88%,0%,14%,57%,0%,59%,18%,90%,86%,9%,12%,0%,16%,9%,91%,11%,,0.07,98%,
02M303,"Facing History School, The",0%,11%,6%,94%,100%,0%,0%,100%,100%,94%,0%,11%,0%,21%,89%,0%,100%,0%,11%,79%,0%,84%,0%,94%,100%,0%,0%,0%,0%,0%,100%,0%,,0.06,95%,
08X269,Bronx Studio School For Writers And Artists,26%,20%,11%,89%,87%,7%,0%,89%,100%,89%,7%,14%,0%,16%,73%,0%,67%,0%,23%,68%,0%,81%,23%,96%,74%,6%,33%,0%,13%,3%,97%,12%,,0.05,100%,
14K685,El Puente Academy For Peace And Justice,2%,0%,5%,98%,93%,4%,0%,100%,100%,95%,2%,2%,0%,20%,96%,0%,100%,0%,22%,85%,0%,70%,4%,95%,98%,2%,0%,0%,7%,2%,98%,5%,,0.21,98%,
19K615,Transit Tech Career And Technical Education High School,11%,13%,2%,91%,89%,4%,0%,86%,97%,98%,4%,12%,3%,14%,83%,0%,79%,0%,21%,80%,0%,74%,7%,88%,89%,0%,21%,0%,11%,13%,87%,2%,,0.07,100%,
19K108,P.S. 108 Sal Abbracciamento,6%,0%,4%,96%,94%,4%,88%,94%,96%,96%,3%,4%,4%,6%,0%,95%,95%,12%,6%,76%,3%,89%,5%,94%,94%,4%,5%,95%,6%,5%,95%,4%,,0.91,97%,
09X163,P.S. 163 Arthur A. Schomburg,2%,0%,3%,98%,95%,2%,83%,94%,98%,97%,3%,4%,2%,8%,0%,100%,94%,17%,6%,77%,0%,90%,7%,98%,98%,5%,6%,96%,5%,2%,98%,4%,,0.36,97%,
14K488,Brooklyn Preparatory High School,0%,0%,0%,100%,100%,0%,0%,,100%,100%,0%,0%,0%,8%,100%,0%,,0%,17%,83%,0%,58%,0%,100%,100%,0%,,0%,0%,0%,100%,0%,,0.02,100%,
16K057,Whitelaw Reid Academy Of Arts And Business,0%,0%,9%,94%,100%,3%,0%,100%,97%,91%,3%,3%,3%,17%,0%,0%,100%,0%,9%,74%,0%,80%,11%,97%,100%,0%,0%,0%,0%,0%,100%,3%,,0.38,100%,
11X370,Leaders Of Tomorrow,10%,0%,6%,93%,91%,6%,0%,90%,93%,94%,8%,7%,7%,14%,0%,0%,90%,0%,18%,47%,0%,75%,10%,92%,90%,5%,10%,0%,9%,6%,94%,3%,,0.33,97%,
14K558,Williamsburg High School For Architecture And Design,5%,2%,8%,96%,92%,4%,0%,88%,99%,92%,4%,6%,1%,16%,96%,0%,92%,0%,14%,66%,0%,68%,9%,94%,95%,1%,8%,0%,8%,2%,98%,3%,,0.22,98%,
14K147,P.S. 147 Isaac Remsen,14%,0%,7%,84%,86%,8%,83%,88%,92%,93%,7%,16%,8%,14%,0%,100%,86%,17%,17%,77%,0%,86%,9%,85%,86%,10%,14%,88%,14%,16%,84%,4%,,0.35,90%,
12X383,Emolior Academy,2%,0%,1%,100%,98%,1%,0%,99%,100%,99%,1%,1%,0%,1%,0%,0%,99%,0%,3%,24%,0%,93%,2%,100%,98%,1%,1%,0%,2%,0%,100%,0%,,0.72,99%,
08X371,Urban Institute Of Mathematics,9%,0%,7%,91%,85%,6%,0%,,96%,93%,9%,9%,4%,15%,0%,0%,,0%,15%,97%,0%,94%,12%,94%,91%,0%,,0%,15%,6%,94%,13%,,0.09,97%,
05M157,The Urban Assembly School For Global Commerce,23%,30%,25%,82%,71%,20%,0%,60%,90%,75%,29%,25%,10%,29%,67%,0%,65%,0%,31%,36%,0%,33%,33%,84%,77%,28%,35%,0%,29%,30%,70%,21%,,0.3,76%,
11X355,Bronx Alliance Middle School,11%,0%,3%,94%,86%,14%,0%,83%,97%,97%,0%,12%,3%,17%,0%,0%,50%,0%,23%,66%,0%,69%,17%,97%,89%,3%,50%,0%,14%,6%,94%,0%,,0.12,100%,
14K454,The Williamsburg High School Of Art And Technology,0%,17%,7%,97%,87%,7%,0%,83%,96%,93%,19%,28%,4%,16%,86%,0%,83%,0%,10%,68%,0%,61%,16%,85%,100%,3%,17%,0%,13%,13%,87%,12%,,0.09,90%,
17K399,P.S. 399 Stanley Eugene Clark,6%,0%,6%,100%,94%,0%,0%,,100%,94%,3%,12%,0%,6%,0%,0%,,0%,6%,94%,0%,97%,6%,97%,94%,3%,,100%,6%,3%,97%,0%,,0.15,97%,
05M133,P.S. 133 Fred R Moore,6%,0%,7%,92%,93%,2%,75%,91%,95%,93%,2%,6%,5%,4%,0%,100%,92%,25%,8%,68%,0%,91%,4%,90%,94%,3%,8%,94%,7%,8%,92%,6%,,0.89,92%,
19K452,Frederick Douglass Academy Viii Middle School,5%,0%,4%,99%,97%,3%,0%,94%,98%,96%,3%,4%,2%,6%,0%,0%,92%,0%,4%,78%,0%,79%,6%,97%,95%,1%,8%,0%,3%,3%,97%,3%,,0.7,97%,
11X253,Bronx High School For Writing And Communication Arts,5%,5%,4%,95%,91%,5%,0%,,95%,96%,10%,9%,5%,22%,83%,0%,,0%,9%,70%,0%,78%,17%,95%,95%,5%,,0%,9%,5%,95%,10%,,0.09,90%,
09X073,P.S. 073 Bronx,14%,0%,15%,79%,79%,8%,,75%,96%,85%,4%,4%,4%,0%,0%,,67%,,4%,74%,,96%,14%,86%,86%,7%,33%,82%,21%,18%,82%,4%,,0.07,93%,
11X169,Baychester Academy,7%,0%,8%,94%,91%,3%,60%,86%,95%,92%,4%,7%,5%,4%,0%,93%,89%,40%,5%,80%,0%,87%,8%,92%,93%,5%,11%,94%,9%,4%,96%,10%,,0.5,96%,
19K273,P.S. 273 Wortman,4%,0%,7%,96%,96%,4%,60%,100%,92%,93%,0%,0%,8%,0%,0%,90%,100%,40%,4%,82%,9%,93%,4%,92%,96%,4%,0%,93%,4%,4%,96%,8%,,0.09,96%,
21K212,P.S. 212 Lady Deborah Moody,3%,0%,4%,98%,97%,3%,67%,100%,96%,96%,1%,4%,4%,5%,0%,100%,98%,33%,4%,81%,0%,95%,3%,96%,97%,2%,2%,98%,3%,2%,98%,2%,,0.33,96%,
12X150,P.S. 150 Charles James Fox,5%,0%,5%,98%,97%,2%,100%,88%,94%,95%,3%,7%,6%,8%,0%,100%,86%,0%,7%,89%,0%,92%,5%,95%,95%,1%,14%,93%,3%,4%,96%,5%,,0.24,99%,
05M194,P.S. 194 Countee Cullen,9%,0%,17%,70%,94%,4%,88%,90%,90%,83%,9%,7%,10%,3%,0%,88%,88%,12%,6%,89%,12%,94%,8%,64%,91%,4%,12%,91%,6%,34%,66%,6%,,0.99,92%,
08X093,P.S. 093 Albert G. Oliver,0%,0%,0%,88%,100%,0%,,,100%,100%,0%,0%,0%,0%,0%,,,,0%,89%,,100%,0%,88%,100%,0%,,100%,0%,22%,78%,0%,,0.03,100%,
02M565,Urban Academy Laboratory High School,6%,3%,6%,94%,97%,3%,0%,80%,100%,94%,0%,6%,0%,6%,97%,0%,80%,0%,29%,91%,0%,94%,9%,100%,94%,0%,20%,0%,3%,0%,100%,6%,,0.26,97%,
03M494,High School Of Arts And Technology,11%,22%,14%,86%,78%,12%,0%,,,86%,0%,22%,,22%,78%,0%,,0%,22%,67%,0%,100%,22%,83%,89%,0%,,0%,22%,0%,100%,17%,,0.02,100%,
11X111,P.S. 111 Seton Falls,9%,0%,10%,94%,97%,6%,,78%,90%,90%,6%,6%,10%,0%,0%,,67%,,3%,76%,,94%,6%,86%,91%,3%,33%,82%,3%,6%,94%,3%,,0.07,97%,
11X160,P.S. 160 Walt Disney,12%,0%,5%,96%,91%,7%,57%,92%,99%,95%,4%,12%,1%,1%,0%,100%,92%,43%,3%,87%,0%,94%,10%,93%,88%,3%,8%,89%,9%,9%,91%,1%,,0.25,98%,
19K953,The East New York Arts And Civics High School,9%,14%,5%,100%,95%,5%,0%,100%,100%,95%,5%,5%,0%,9%,86%,0%,100%,0%,18%,73%,0%,73%,9%,95%,91%,0%,0%,0%,5%,5%,95%,0%,,0.14,95%,
02M546,Academy For Software Engineering,7%,3%,5%,98%,95%,2%,0%,90%,98%,95%,4%,8%,2%,15%,91%,0%,90%,0%,12%,66%,0%,80%,14%,98%,93%,2%,10%,0%,5%,2%,98%,2%,,0.14,97%,
12X196,P.S. 196,11%,0%,11%,89%,87%,12%,,80%,89%,89%,10%,10%,11%,11%,0%,,79%,,11%,89%,,90%,11%,88%,89%,12%,21%,87%,13%,13%,87%,12%,,0.21,87%,
10X360,P.S. 360,5%,0%,2%,96%,97%,1%,100%,100%,99%,98%,0%,3%,1%,6%,0%,100%,97%,0%,6%,83%,0%,86%,2%,95%,95%,1%,3%,97%,3%,5%,95%,2%,,0.39,99%,
14K318,I.S. 318 Eugenio Maria De Hostos,7%,0%,14%,90%,90%,11%,0%,100%,97%,86%,9%,17%,3%,11%,0%,0%,100%,0%,24%,78%,0%,81%,18%,90%,93%,4%,0%,0%,10%,5%,95%,12%,,0.09,94%,
18K233,P.S. 233 Langston Hughes,13%,0%,4%,94%,82%,10%,0%,,95%,96%,9%,5%,5%,17%,0%,0%,,0%,4%,87%,0%,87%,9%,90%,87%,0%,,95%,18%,4%,96%,12%,,0.08,100%,
17K316,P.S. 316 Elijah Stroud,11%,0%,6%,95%,95%,7%,75%,94%,99%,94%,2%,4%,1%,4%,0%,100%,82%,25%,4%,82%,0%,94%,5%,93%,89%,4%,18%,96%,5%,5%,95%,5%,,0.2,95%,
09X109,P.S. 109 Sedgwick,1%,0%,1%,97%,99%,1%,,97%,100%,99%,1%,1%,0%,4%,0%,,95%,,4%,98%,,95%,1%,98%,99%,1%,5%,98%,1%,3%,97%,1%,,0.77,99%,
07X161,P.S. 161 Juan Ponce De Leon School,7%,0%,5%,96%,89%,1%,77%,90%,94%,95%,1%,3%,6%,9%,0%,100%,93%,23%,10%,65%,4%,90%,7%,94%,93%,3%,7%,98%,11%,5%,95%,3%,,0.33,96%,
06M128,P.S. 128 Audubon,6%,0%,4%,97%,97%,1%,76%,92%,95%,96%,2%,5%,5%,3%,0%,96%,87%,24%,3%,86%,0%,92%,5%,97%,94%,3%,13%,97%,3%,3%,97%,3%,,0.79,98%,
02M422,Quest To Learn,12%,16%,13%,91%,87%,9%,0%,81%,92%,87%,12%,19%,8%,16%,85%,0%,75%,0%,15%,76%,0%,83%,21%,88%,88%,3%,25%,0%,13%,11%,89%,13%,,0.18,92%,
