dbn,school_name,n_chronic_absent_ems_allew,n_prof_pct_watn5_mthlevel2,survey_pp_ri,qr_1_4,teacher_ethnicity_asian_pct,val_chronic_absent_ems_allei,n_prof_pct_watn5_mthlevel34,val_chronic_absent_ems_allew,n_prof_pct_watn3_elalevel2,val_pct_core_ela_all,rr_t,val_chronic_absent_ems_all,val_lre_all,n_chronic_absent_ems_allgm,val_pct_accel_try_all,survey_pp_tr,val_prof_2plus_watn5_mthlevel1,n_pct_accel_try_mth_all,n_prof_pct_watn5_elalevel34,gender_male_pct,school_type,n_prof_2plus_watn3_mthlevel1,val_pct_core_sci_all,val_prof_pct_watn3_mthlevel34,survey_pp_sf,qr_1_1,qr_3_4,n_pct_accel_try_lote_all,val_chronic_absent_ems_allgm,qr_4_2,val_prof_pct_watn5_mthlevel34,n_chronic_absent_ems_allea,n_prof_pct_watn3_elalevel34,n_lre_all,n_chronic_absent_ems_alleb,ell,n_pct_accel_p_mth_all,val_chronic_absent_ems_allgf,val_prof_pct_watn5_mthlevel2,val_chronic_absent_ems_allep,principal_experience,n_pct_accel_lote_all
25Q163,P.S. 163 Flushing Heights,13,No Data,0.85,Proficient,0.345,No Data,No Data,No Data,27,No Data,69%,0.082,0.46,417,No Data,0.86,No Data,No Data,No Data,0.545,Elementary,7,No Data,0.927,0.97,Well Developed,Proficient,No Data,0.904,Proficient,No Data,615,62,83,14,0.418,No Data,0.936,No Data,No Data,5,No Data
17K289,P.S. 289 George V. Brower,15,No Data,0.68,Proficient,No Data,No Data,No Data,0.4,19,No Data,56%,0.519,0.44,166,No Data,0.84,No Data,No Data,No Data,0.525,Elementary,21,No Data,0.8,0.93,Proficient,Proficient,No Data,0.488,Proficient,No Data,13,27,59,215,0.093,No Data,0.472,No Data,No Data,3.9,No Data
22K315,P.S. K315,49,No Data,0.75,Proficient,No Data,No Data,No Data,0.898,30,No Data,81%,0.219,0.37,317,No Data,0.88,No Data,No Data,No Data,0.502,Elementary,30,No Data,0.862,0.96,Proficient,Well Developed,No Data,0.776,Proficient,No Data,54,33,130,324,0.185,No Data,0.787,No Data,No Data,9.3,No Data
26Q188,P.S. 188 Kingsbury,173,No Data,0.84,No Data,0.119,No Data,No Data,0.913,4,No Data,63%,0.056,0.28,364,No Data,0.96,No Data,No Data,No Data,0.53,Elementary,No Data,No Data,0.948,0.97,Well Developed,Well Developed,No Data,0.94,Well Developed,No Data,440,95,50,4,0.049,No Data,0.95,No Data,No Data,15.6,No Data
28Q354,The Jermaine L. Green STEM Institute of Queens,4,No Data,0.82,Proficient,0,No Data,No Data,No Data,36,No Data,76%,0.2,0.36,269,No Data,0.94,No Data,No Data,No Data,0.51,Elementary,13,No Data,0.6,0.98,Well Developed,Well Developed,No Data,0.803,Proficient,No Data,3,19,75,436,0.029,No Data,0.798,No Data,No Data,6.5,No Data
12X066,P.S. 066 School of Higher Expectations,11,No Data,0.79,Proficient,No Data,No Data,No Data,No Data,39,No Data,75%,0.294,0.28,266,No Data,0.9,No Data,No Data,No Data,0.499,Elementary,32,No Data,0.667,0.95,Proficient,Well Developed,No Data,0.729,Proficient,No Data,7,18,96,168,0.128,No Data,0.681,No Data,No Data,4,No Data
14K023,P.S. 023 Carter G. Woodson,5,No Data,0.92,Proficient,No Data,No Data,No Data,No Data,15,No Data,77%,0.464,0.26,147,No Data,0.95,No Data,No Data,No Data,0.55,Elementary,11,No Data,No Data,0.96,Developing,Proficient,No Data,0.551,Proficient,No Data,No Data,7,86,131,0.095,No Data,0.518,No Data,No Data,3.9,No Data
22K119,P.S. 119 Amersfort,19,No Data,0.81,Well Developed,0,No Data,No Data,0.737,33,No Data,97%,0.143,0.1,199,No Data,0.81,No Data,No Data,No Data,0.487,Elementary,20,No Data,0.667,0.95,Developing,Proficient,No Data,0.849,Proficient,No Data,80,20,50,230,0.095,No Data,0.864,No Data,No Data,0.9,No Data
18K068,I.S. 068 Isaac Bildersee,35,23,0.72,Proficient,0,No Data,20,0.6,No Data,0.996,56%,0.261,0.34,163,0.295,0.91,0.385,88,14,0.64,Middle,No Data,1,No Data,0.89,Well Developed,Proficient,88,0.755,Well Developed,0.8,13,No Data,68,176,0.247,No Data,0.711,0.304,No Data,10.2,88
14K016,P.S. 016 Leonard Dunkly,3,No Data,0.86,Proficient,No Data,No Data,No Data,No Data,14,No Data,100%,0.34,0.58,113,No Data,0.9,No Data,No Data,No Data,0.568,Elementary,8,No Data,No Data,0.95,Proficient,Proficient,No Data,0.593,Proficient,No Data,1,9,50,66,0.06,No Data,0.75,No Data,No Data,10.9,No Data
27Q273,P.S. 273,6,No Data,0.82,Proficient,No Data,No Data,No Data,No Data,18,No Data,100%,0.263,0.26,148,No Data,0.9,No Data,No Data,No Data,0.515,Elementary,9,No Data,0.48,0.97,Developing,Proficient,No Data,0.75,Proficient,No Data,38,22,42,18,0.132,No Data,0.723,No Data,No Data,10.1,No Data
28Q117,P.S. 117 J. Keld / Briarwood School,124,No Data,0.7,Well Developed,0.085,0.656,No Data,0.702,39,No Data,44%,0.282,0.26,490,No Data,0.91,No Data,No Data,No Data,0.545,Elementary,11,No Data,0.842,0.96,Proficient,Well Developed,No Data,0.745,Well Developed,No Data,276,69,143,87,0.172,No Data,0.686,No Data,No Data,1.1,No Data
05M030,P.S. 030 Hernandez/Hughes,5,No Data,0.81,Proficient,No Data,No Data,No Data,No Data,17,No Data,97%,0.393,0.5,101,No Data,0.91,No Data,No Data,No Data,0.48,Elementary,10,No Data,No Data,0.98,Developing,Proficient,No Data,0.604,Proficient,No Data,3,12,56,89,0.079,No Data,0.609,No Data,No Data,1.5,No Data
28Q332,Redwood Middle School,6,30,0.93,Proficient,No Data,0.529,16,No Data,No Data,1,72%,0.28,0.44,156,0.2,0.99,0.387,70,16,0.557,Middle,No Data,0.996,No Data,0.98,Proficient,Proficient,70,0.763,Proficient,0.938,31,No Data,64,198,0.04,14,0.667,0.367,No Data,0.9,70
14K034,P.S. 034 Oliver H. Perry,312,No Data,0.8,Proficient,No Data,No Data,No Data,0.846,13,No Data,55%,0.169,0.13,235,No Data,0.92,No Data,No Data,No Data,0.545,Elementary,7,No Data,0.833,0.98,Well Developed,Well Developed,No Data,0.821,Proficient,No Data,7,37,38,19,0.129,No Data,0.842,No Data,No Data,7.9,No Data
11X180,M.S. 180 Dr. Daniel Hale Williams,29,77,No Data,Well Developed,0,No Data,128,0.724,No Data,0.958,4%,0.134,0.35,512,0.918,0.91,0.35,343,115,0.483,Middle,No Data,0.952,No Data,0.87,Proficient,Well Developed,343,0.857,Proficient,0.641,31,No Data,216,719,0.024,304,0.874,0.234,No Data,3.9,343
03M421,West Prep Academy,10,16,No Data,Well Developed,No Data,No Data,17,No Data,No Data,1,0%,0.258,0.45,109,1,0.92,0.565,67,12,0.574,Middle,No Data,1,No Data,0.87,Well Developed,Well Developed,67,0.752,Well Developed,0.353,2,No Data,65,93,0.066,21,0.729,0.188,No Data,6.2,67
09X022,J.H.S. 022 Jordan L. Mott,10,35,0.75,Proficient,No Data,No Data,24,No Data,No Data,0.926,83%,0.262,0.45,204,0.022,0.91,0.183,134,12,0.488,Middle,No Data,0.854,No Data,0.92,Proficient,Proficient,134,0.779,Proficient,0.333,3,No Data,93,102,0.262,No Data,0.699,0.114,No Data,0.9,134
15K029,P.S. 029 John M. Harrigan,668,No Data,0.9,No Data,No Data,No Data,No Data,0.925,9,No Data,28%,0.082,0.06,459,No Data,0.97,No Data,No Data,No Data,0.512,Elementary,4,No Data,0.885,0.98,Well Developed,Well Developed,No Data,0.911,Well Developed,No Data,37,99,95,21,0.028,No Data,0.925,No Data,No Data,7.9,No Data
07X221,South Bronx Preparatory: A College Board School,5,26,0.88,Well Developed,No Data,No Data,31,No Data,No Data,0.98,85%,0.141,0.36,116,0,0.95,0.167,85,23,0.457,Middle,No Data,0.988,No Data,0.93,Well Developed,Well Developed,85,0.862,Well Developed,0.258,2,No Data,76,62,0.067,No Data,0.857,0.154,No Data,13.1,85
26Q098,P.S. 098 The Douglaston School,125,No Data,0.79,Well Developed,No Data,No Data,No Data,0.896,No Data,No Data,70%,0.112,0.11,154,No Data,0.82,No Data,No Data,No Data,0.57,Elementary,No Data,No Data,0.759,0.97,Well Developed,Well Developed,No Data,0.87,Well Developed,No Data,82,31,44,10,0.019,No Data,0.913,No Data,No Data,5,No Data
10X007,Milton Fein School,47,No Data,No Data,No Data,No Data,No Data,No Data,0.957,47,No Data,0%,0.105,0.37,297,No Data,0.98,No Data,No Data,No Data,0.477,Elementary,30,No Data,0.758,0.96,Well Developed,Well Developed,No Data,0.879,Well Developed,No Data,36,71,60,55,0.177,No Data,0.91,No Data,No Data,3.5,No Data
08X375,The Bronx Mathematics Preparatory School,3,22,0.75,Proficient,No Data,No Data,11,No Data,No Data,1,95%,0.362,0.45,113,0,0.88,0.219,67,6,0.535,Middle,No Data,1,No Data,0.94,Proficient,Proficient,67,0.681,Proficient,No Data,10,No Data,58,81,0.134,No Data,0.59,0.136,No Data,4.5,67
27Q297,Hawtree Creek Middle School,13,36,0.9,Well Developed,0,0.875,41,No Data,No Data,0.995,76%,0.167,0.35,207,0.464,0.97,0.333,125,31,0.519,Middle,No Data,1,No Data,0.98,Well Developed,Well Developed,125,0.821,Proficient,0.585,117,No Data,88,117,0.033,58,0.846,0.167,No Data,7.1,125
06M048,P.S. 048 P.O. Michael J. Buczek,17,No Data,0.66,Proficient,No Data,No Data,No Data,0.765,26,No Data,69%,0.195,0.25,211,No Data,0.8,No Data,No Data,No Data,0.515,Elementary,22,No Data,0.563,0.93,Proficient,Proficient,No Data,0.806,Well Developed,No Data,1,19,102,9,0.312,No Data,0.804,No Data,No Data,0.9,No Data
21K101,P.S. 101 The Verrazano,278,No Data,0.89,No Data,0.167,No Data,No Data,0.802,25,No Data,82%,0.113,0.13,506,No Data,0.99,No Data,No Data,No Data,0.537,Elementary,25,No Data,0.922,0.97,Well Developed,Well Developed,No Data,0.874,Well Developed,No Data,498,104,195,12,0.237,No Data,0.902,No Data,No Data,14.9,No Data
02M347,The 47 American Sign Language & English Lower Scho,23,3,0.64,Proficient,No Data,No Data,2,0.696,No Data,0.944,55%,0.392,0.19,65,0.273,0.75,No Data,11,3,0.5,K-8,No Data,1,No Data,0.91,Proficient,Proficient,11,0.662,Developing,No Data,3,No Data,62,36,0.23,No Data,0.554,No Data,No Data,10.2,11
03M256,Lafayette Academy,40,16,0.85,Proficient,No Data,No Data,14,0.95,No Data,0.985,89%,0.171,0.53,73,0.975,0.93,No Data,40,15,0.497,Middle,No Data,0.985,No Data,1,Proficient,Proficient,40,0.849,Proficient,No Data,No Data,No Data,30,58,0.112,19,0.808,0.5,No Data,6.1,40
14K126,John Ericsson Middle School 126,10,20,0.71,Proficient,No Data,No Data,38,No Data,No Data,1,91%,0.275,0.57,193,0.5,0.76,0.2,118,26,0.579,Middle,No Data,1,No Data,0.93,Well Developed,Proficient,118,0.731,Proficient,0.553,7,No Data,93,77,0.088,59,0.717,0.15,No Data,5.9,118
25Q169,P.S. 169 Bay Terrace,112,No Data,No Data,Well Developed,0.172,No Data,No Data,0.946,16,No Data,0%,0.093,0.12,191,No Data,0.92,No Data,No Data,No Data,0.488,Elementary,6,No Data,0.974,0.96,Well Developed,Well Developed,No Data,0.901,Well Developed,No Data,145,37,52,19,0.081,No Data,0.914,No Data,No Data,10,No Data
08X302,M.S. 302 Luisa Dessus Cruz,4,45,0.76,Proficient,No Data,No Data,22,No Data,No Data,0.985,95%,0.289,0.88,285,0.353,0.85,0.284,170,20,0.57,Middle,No Data,0.998,No Data,0.86,Well Developed,Well Developed,170,0.74,Proficient,0.5,1,No Data,133,94,0.2,59,0.673,0.2,No Data,8.9,170
05M036,P.S. 036 Margaret Douglas,4,No Data,0.57,Proficient,No Data,No Data,No Data,No Data,14,No Data,44%,0.386,0.36,144,No Data,0.81,No Data,No Data,No Data,0.468,Elementary,13,No Data,No Data,0.96,Proficient,Proficient,No Data,0.576,Proficient,No Data,3,14,95,123,0.124,No Data,0.649,No Data,No Data,8.1,No Data
14K380,P.S. 380 John Wayne Elementary,65,No Data,0.78,Well Developed,No Data,No Data,No Data,0.246,28,No Data,100%,0.332,0.31,266,No Data,0.87,No Data,No Data,No Data,0.533,Elementary,18,No Data,0.745,0.96,Well Developed,Well Developed,No Data,0.647,Well Developed,No Data,3,45,134,95,0.215,No Data,0.693,No Data,No Data,2.8,No Data
21K096,I.S. 096 Seth Low,264,62,0.81,No Data,No Data,No Data,90,0.807,No Data,0.999,89%,0.188,0.45,452,0.601,0.92,0.442,278,48,0.523,Middle,No Data,1,No Data,0.9,Proficient,Well Developed,278,0.821,Well Developed,0.811,258,No Data,166,68,0.265,149,0.803,0.371,No Data,6.6,278
09X505,"Bronx School for Law, Government and Justice",No Data,25,0.72,Proficient,No Data,No Data,40,No Data,No Data,0.982,2%,0.095,0.31,123,0.966,0.91,0.6,88,39,0.449,Middle,No Data,0.989,No Data,0.91,Proficient,Proficient,88,0.87,Proficient,0.575,2,No Data,67,56,0.146,83,0.934,0.36,No Data,5,88
04M096,P.S. 096 Joseph Lanzetta,10,5,0.75,Developing,No Data,No Data,8,No Data,No Data,1,95%,0.37,0.34,207,0,0.91,0.515,51,6,0.546,K-8,No Data,1,No Data,0.93,Proficient,Proficient,51,0.638,Developing,No Data,4,No Data,118,88,0.2,No Data,0.621,No Data,No Data,1.2,51
17K397,P.S. 397 Foster-Laurie,8,No Data,0.92,Well Developed,No Data,No Data,No Data,No Data,8,No Data,59%,0.218,0.32,94,No Data,0.99,No Data,No Data,No Data,0.568,Elementary,7,No Data,No Data,0.97,Proficient,Well Developed,No Data,0.787,Proficient,No Data,3,8,28,127,0.105,No Data,0.776,No Data,No Data,4.8,No Data
03M333,P.S. 333 Manhattan School for Children,383,5,0.7,Well Developed,No Data,No Data,17,0.914,No Data,1,94%,0.16,0.29,349,0.983,0.7,No Data,60,29,0.499,K-8,No Data,1,No Data,0.93,Proficient,Well Developed,60,0.831,Well Developed,0.824,47,No Data,136,95,0.023,59,0.85,No Data,No Data,6.5,60
23K599,Brooklyn Landmark Elementary School,2,No Data,0.86,Well Developed,0.161,No Data,No Data,No Data,13,No Data,94%,0.273,0.07,193,No Data,0.97,No Data,No Data,No Data,0.506,Elementary,2,No Data,0.828,0.98,Proficient,Well Developed,No Data,0.705,Well Developed,No Data,8,29,59,272,0.042,No Data,0.751,No Data,No Data,2.4,No Data
07X179,P.S. 179,3,No Data,0.85,Proficient,No Data,No Data,No Data,No Data,20,No Data,50%,0.371,0.14,134,No Data,0.94,No Data,No Data,No Data,0.502,Elementary,17,No Data,No Data,0.95,Developing,Proficient,No Data,0.582,Proficient,No Data,1,10,51,53,0.237,No Data,0.677,No Data,No Data,16.9,No Data
22K890,M.S. 890,28,No Data,0.84,Proficient,No Data,No Data,No Data,0.964,No Data,1,100%,0.058,0.4,156,0.619,0.93,No Data,105,No Data,0.533,Middle,No Data,1,No Data,0.96,Proficient,Proficient,105,0.949,Proficient,No Data,42,No Data,50,108,0.055,50,0.934,No Data,No Data,3.1,105
14K120,P.S. 120 Carlos Tapia,14,No Data,0.87,No Data,No Data,No Data,No Data,No Data,15,No Data,100%,0.295,0.18,178,No Data,0.97,No Data,No Data,No Data,0.503,Elementary,20,No Data,0.444,0.96,Well Developed,Well Developed,No Data,0.685,Well Developed,No Data,3,19,61,72,0.203,No Data,0.725,No Data,No Data,17.9,No Data
11X112,P.S. 112 Bronxwood,4,No Data,0.82,Proficient,No Data,No Data,No Data,No Data,34,No Data,34%,0.364,0.22,211,No Data,0.91,No Data,No Data,No Data,0.564,Elementary,22,No Data,No Data,0.96,Developing,Proficient,No Data,0.583,Proficient,No Data,No Data,6,87,177,0.086,No Data,0.703,No Data,No Data,2.9,No Data
28Q050,P.S. 050 Talfourd Lawn Elementary School,13,No Data,No Data,Well Developed,0.148,0.782,No Data,No Data,35,No Data,0%,0.215,0.25,416,No Data,0.94,No Data,No Data,No Data,0.528,Elementary,19,No Data,0.846,0.93,Well Developed,Well Developed,No Data,0.779,Well Developed,No Data,163,71,117,146,0.187,No Data,0.791,No Data,No Data,10.6,No Data
10X046,P.S. 046 Edgar Allan Poe,18,No Data,0.66,Proficient,No Data,No Data,No Data,0.5,42,No Data,43%,0.297,0.31,427,No Data,0.8,No Data,No Data,No Data,0.502,Elementary,36,No Data,0.404,0.93,Proficient,Proficient,No Data,0.705,Proficient,No Data,13,40,170,111,0.383,No Data,0.7,No Data,No Data,11.7,No Data
12X271,East Bronx Academy for the Future,No Data,23,0.73,Well Developed,No Data,No Data,9,No Data,No Data,0.984,29%,0.289,0.43,129,0.756,0.84,0.347,90,9,0.454,Middle,No Data,0.984,No Data,0.86,Proficient,Well Developed,90,0.705,Well Developed,No Data,10,No Data,68,66,0.162,55,0.716,0.174,No Data,16.1,90
17K532,New Bridges Elementary,15,No Data,0.79,Proficient,No Data,No Data,No Data,0.733,21,No Data,86%,0.133,0.14,205,No Data,0.99,No Data,No Data,No Data,0.521,Elementary,21,No Data,No Data,0.99,Developing,Proficient,No Data,0.863,Well Developed,No Data,6,14,80,272,0.098,No Data,0.871,No Data,No Data,7.1,No Data
10X205,P.S. 205 Fiorello LaGuardia,53,No Data,0.79,Proficient,No Data,No Data,No Data,0.83,65,No Data,58%,0.247,0.24,457,No Data,0.98,No Data,No Data,No Data,0.485,Elementary,36,No Data,0.709,0.96,Proficient,Proficient,No Data,0.742,Proficient,No Data,16,50,159,126,0.27,No Data,0.764,No Data,No Data,3.9,No Data
06M311,Amistad Dual Language School,19,16,0.79,Proficient,0,No Data,8,1,No Data,1,64%,0.107,0.06,217,1,0.93,0.563,50,7,0.496,K-8,No Data,1,No Data,0.96,Proficient,Well Developed,50,0.871,Proficient,No Data,3,No Data,68,8,0.302,25,0.914,0.125,No Data,3.9,50
17K543,"Science, Technology and Research Early College Hig",5,12,0.94,Well Developed,No Data,No Data,40,No Data,No Data,1,69%,0.068,0.79,114,0.403,0.94,No Data,72,38,0.457,Middle,No Data,1,No Data,0.92,Well Developed,Well Developed,72,0.895,Well Developed,0.75,10,No Data,28,187,0.016,28,0.963,No Data,No Data,12,72
09X117,I.S. 117 Joseph H. Wade,6,33,0.81,Proficient,No Data,No Data,30,No Data,No Data,0.99,78%,0.33,0.22,255,0.185,0.85,0.293,130,25,0.553,Middle,No Data,0.993,No Data,0.93,Proficient,Proficient,130,0.647,Proficient,0.3,2,No Data,122,83,0.327,23,0.699,0.182,No Data,16.9,130
11X194,P.S./M.S. 194,55,26,0.73,Well Developed,0.065,0.833,84,0.782,No Data,1,89%,0.213,0.15,662,0.174,0.79,0.333,178,43,0.505,K-8,No Data,1,No Data,0.9,Well Developed,Well Developed,178,0.778,Proficient,0.881,448,No Data,178,85,0.171,31,0.795,0.385,0.95,9.7,178
28Q008,J.H.S. 008 Richard S. Grossley,3,26,0.74,Proficient,No Data,0.892,26,No Data,No Data,0.977,94%,0.263,0.65,229,0.23,0.87,0.355,122,24,0.503,Middle,No Data,0.97,No Data,0.87,Proficient,Proficient,122,0.747,Proficient,0.923,75,No Data,97,176,0.121,28,0.727,0.5,0.8,2.9,122
22K109,P.S. 109,11,24,0.74,Developing,No Data,No Data,14,No Data,No Data,1,69%,0.312,0.29,283,0.414,0.8,0.298,58,18,0.544,K-8,No Data,0.828,No Data,0.95,Developing,Proficient,58,0.668,Developing,No Data,14,No Data,126,384,0.097,24,0.711,0.25,No Data,3.9,58
08X333,The Longwood Academy of Discovery,15,No Data,0.61,Proficient,No Data,No Data,No Data,0.6,39,No Data,63%,0.38,0.48,284,No Data,0.75,No Data,No Data,No Data,0.505,Elementary,47,No Data,0.714,0.92,Proficient,Proficient,No Data,0.673,Proficient,No Data,4,28,168,116,0.223,No Data,0.566,No Data,No Data,1.1,No Data
12X190,E.S.M.T- I.S. 190,3,22,0.84,Proficient,0.217,No Data,17,No Data,No Data,0.996,96%,0.228,0.26,152,0,0.87,0.366,84,16,0.537,Middle,No Data,0.939,No Data,0.96,Proficient,Proficient,84,0.789,Proficient,0.529,3,No Data,54,70,0.125,No Data,0.752,0.455,No Data,3.9,84
22K078,J.H.S. 078 Roy H. Mann,84,43,0.87,Well Developed,0,No Data,59,0.774,No Data,0.998,98%,0.141,0.2,303,0.176,0.95,0.37,188,48,0.542,Middle,No Data,0.998,No Data,0.93,Well Developed,Well Developed,188,0.851,Proficient,0.593,35,No Data,140,350,0.051,32,0.869,0.233,No Data,7.6,188
24Q211,Elm Tree Elementary School,22,No Data,0.69,Well Developed,No Data,No Data,No Data,0.545,14,No Data,93%,0.188,0.4,320,No Data,0.88,No Data,No Data,No Data,0.49,Elementary,4,No Data,0.48,0.96,Proficient,Well Developed,No Data,0.809,Proficient,No Data,47,23,114,23,0.461,No Data,0.814,No Data,No Data,2.7,No Data
19K663,School of the Future Brooklyn,8,10,No Data,Proficient,No Data,No Data,4,No Data,No Data,0.95,5%,0.385,0.6,82,0.311,0.96,0.024,74,4,0.453,Middle,No Data,0.969,No Data,0.92,Developing,Developing,74,0.634,Developing,No Data,3,No Data,58,113,0.151,No Data,0.598,No Data,No Data,2.1,74
