program_code,location_1,location_2,enrollment,meals,early_drop_off_available,effective_school_leadership_survey_percent_positive,ecers_activities_rating,late_pick_up_available
12X463,1180 Tinton Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",22.0,Breakfast/Lunch,Yes,1.0,1.0,No
22KBFD,2017 Beverley Road,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11226""}'}",99.0,Breakfast/Lunch/Snack(s),No,0.93,3.0,No
31R036,255 Ionia Avenue,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10312""}'}",86.0,Breakfast/Lunch,Yes,0.84,3.0,Yes
20KBPY,8411 Fort Hamilton Parkway,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11209""}'}",48.0,Lunch/Snack(s),Yes,1.0,4.0,Yes
31R042,380 Genesee Avenue,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10312""}'}",54.0,Breakfast/Lunch,No,1.0,4.0,No
29Q136,201-15 115th Avenue,"{'human_address': '{""address"": """", ""city"": ""SAINT ALBANS"", ""state"": ""NY"", ""zip"": ""11412""}'}",38.0,Breakfast/Lunch/Snack(s),Yes,1.0,4.0,No
28Q174,65-10 Dieterle Crescent,"{'human_address': '{""address"": """", ""city"": ""REGO PARK"", ""state"": ""NY"", ""zip"": ""11374""}'}",35.0,Breakfast/Lunch,No,0.95,4.0,No
30Q234,30-15 29th Street,"{'human_address': '{""address"": """", ""city"": ""ASTORIA"", ""state"": ""NY"", ""zip"": ""11102""}'}",35.0,Breakfast/Lunch,No,0.89,4.0,No
19KBPA,2150 Linden Boulevard,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11207""}'}",22.0,Breakfast/Lunch/Snack(s),Yes,,3.0,Yes
14K034,131 Norman Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",36.0,Breakfast/Lunch,No,0.91,3.0,No
04M146,421 East 106th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",24.0,Breakfast/Lunch,No,,3.0,No
32KBSA,77 Wilson Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",28.0,Breakfast/Lunch/Snack(s),No,1.0,3.0,Yes
05M175,175 West 134th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10030""}'}",26.0,Breakfast/Lunch/Snack(s),No,0.95,1.0,No
17KBJH,420 Lefferts Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11225""}'}",30.0,Breakfast/Lunch/Snack(s),Yes,0.91,3.0,Yes
25Q129,128-02 7 Avenue,"{'human_address': '{""address"": """", ""city"": ""COLLEGE POINT"", ""state"": ""NY"", ""zip"": ""11356""}'}",54.0,,,0.94,4.0,
15K118,211 8th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",68.0,Breakfast/Lunch/Snack(s),Yes,1.0,3.0,Yes
21KABN,5302 21st Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",25.0,Contact program directly for details,No,0.98,4.0,No
30QBHR,34-47 88th Street,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11372""}'}",20.0,Breakfast/Lunch/Snack(s),No,0.87,3.0,No
22K193,2515 Avenue L,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11210""}'}",18.0,Breakfast/Lunch/Snack(s),No,1.0,3.0,No
30QAYI,4922 30 Avenue,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11377""}'}",13.0,,,0.97,3.0,
10X023,2151 Washington Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",48.0,Breakfast/Lunch,No,0.91,3.0,Yes
15K230,1 Albemarle Road,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11218""}'}",72.0,Breakfast/Lunch/Snack(s),No,0.99,4.0,Yes
22KBQU,1612 Quentin Road,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11229""}'}",18.0,Breakfast/Lunch/Snack(s),Yes,1.0,4.0,Yes
15KBYJ,383 3rd Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",44.0,Breakfast/Lunch,Yes,0.9,4.0,Yes
04M155,319 East 117th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10035""}'}",13.0,Breakfast/Lunch/Snack(s),No,,1.0,No
01M063,121 East 3rd Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10009""}'}",22.0,Breakfast/Lunch/Snack(s),Yes,1.0,1.0,Yes
26Q221,57-40 Marathon Parkway,"{'human_address': '{""address"": """", ""city"": ""LITTLE NECK"", ""state"": ""NY"", ""zip"": ""11362""}'}",18.0,Breakfast/Lunch,No,,4.0,No
24Q007,80-55 Cornish Avenue,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11373""}'}",57.0,Breakfast/Lunch,No,0.94,4.0,No
14KAZJ,725 Leonard Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",8.0,Contact program directly for details,No,,3.0,No
13K093,31 New York Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",34.0,Breakfast/Lunch,No,0.94,3.0,No
02M397,12 Spruce Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10038""}'}",36.0,Breakfast/Lunch/Snack(s),No,0.88,3.0,No
15K032,317 Hoyt Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11231""}'}",33.0,Breakfast/Lunch/Snack(s),Yes,0.98,4.0,Yes
27Q273,88-07 102nd Street,"{'human_address': '{""address"": """", ""city"": ""RICHMOND HILL"", ""state"": ""NY"", ""zip"": ""11418""}'}",36.0,Breakfast/Lunch,No,0.96,4.0,No
06M005,3703 Tenth Avenue,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10034""}'}",41.0,Breakfast/Lunch,No,0.97,3.0,No
05MBFX,300 W 145th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10039""}'}",20.0,Breakfast/Lunch/Snack(s),Yes,0.96,3.0,Yes
07X029,758 Courtlandt Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10451""}'}",29.0,Breakfast/Lunch,Yes,0.98,4.0,No
31R055,54 Osborne Street,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10312""}'}",36.0,Contact program directly for details,No,1.0,3.0,No
01M140,123 Ridge Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10002""}'}",18.0,Breakfast/Lunch/Snack(s),No,0.98,2.0,Yes
31R008,112 Lindenwood Road,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10308""}'}",18.0,Breakfast/Lunch,No,1.0,3.0,No
32K106,1328 Putnam Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",24.0,Breakfast/Lunch,No,,4.0,No
21KBQN,49 Avenue W,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11223""}'}",19.0,Breakfast/Lunch/Snack(s),No,1.0,4.0,No
02M150,334 Greenwich Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10013""}'}",18.0,Breakfast/Lunch,No,0.95,3.0,No
05M129,425 West 130th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10027""}'}",36.0,Breakfast/Lunch/Snack(s),Yes,0.82,4.0,No
11XALA,2547 East Tremont Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10461""}'}",20.0,Breakfast/Lunch/Snack(s),No,,3.0,No
21K100,2951 West 3rd Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11224""}'}",52.0,Breakfast/Lunch,Yes,0.96,3.0,No
84M518,2050 Second Avenue,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",21.0,Breakfast/Lunch/Snack(s),No,0.92,3.0,No
02M001,8 Henry Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10038""}'}",34.0,Breakfast/Lunch/Snack(s),No,1.0,3.0,No
32K384,242 Cooper Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11207""}'}",27.0,Breakfast/Lunch/Snack(s),No,1.0,3.0,No
30QBDC,33-27 97th Street,"{'human_address': '{""address"": """", ""city"": ""CORONA"", ""state"": ""NY"", ""zip"": ""11368""}'}",47.0,Breakfast/Lunch/Snack(s),No,0.9,3.0,No
10XAMQ,3880 Sedgwick Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10463""}'}",70.0,Breakfast/Lunch/Snack(s),Yes,0.98,3.0,Yes
31R013,191 Vermont Avenue,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10305""}'}",18.0,Breakfast/Lunch,No,,4.0,No
13K287,50 Navy Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11201""}'}",26.0,Breakfast/Lunch,Yes,0.99,3.0,No
18K272,101-24 Seaview Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11236""}'}",49.0,Breakfast/Lunch,No,0.95,1.0,No
21KBQP,8885 26th Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11214""}'}",27.0,Contact program directly for details,Yes,,4.0,Yes
17KBEZ,995 Carroll Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11225""}'}",53.0,Breakfast/Lunch/Snack(s),No,0.96,4.0,No
09XALW,507 East 165th Street,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",48.0,Breakfast/Lunch/Snack(s),No,,3.0,No
31RAFQ,360 Seaview Avenue,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10305""}'}",,,,,,
27Q062,97-25 108th Street,"{'human_address': '{""address"": """", ""city"": ""SOUTH RICHMOND HILL"", ""state"": ""NY"", ""zip"": ""11419""}'}",36.0,Breakfast/Lunch,Yes,0.9,4.0,No
15KBMN,298 Sixth Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",26.0,Lunch/Snack(s),Yes,0.94,3.0,Yes
05M197,2230 5th Avenue,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10037""}'}",20.0,Breakfast/Lunch/Snack(s),Yes,1.0,4.0,Yes
26Q205,75-25 Bell Boulevard,"{'human_address': '{""address"": """", ""city"": ""OAKLAND GARDENS"", ""state"": ""NY"", ""zip"": ""11364""}'}",36.0,Breakfast/Lunch,No,1.0,4.0,Yes
20KABC,6101 16th Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",71.0,Lunch/Snack(s),No,1.0,3.0,No
18KARQ,5566 KINGS HIGHWAY,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",24.0,,,0.55,3.0,
13KBCV,34 Kosciuszko Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11205""}'}",53.0,Breakfast/Lunch/Snack(s),Yes,0.7,3.0,Yes
18K208,4801 Avenue D,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",36.0,Breakfast/Lunch,Yes,0.95,3.0,No
01MBKU,131 Broome Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10002""}'}",21.0,Breakfast/Lunch/Snack(s),Yes,0.96,1.0,Yes
08X152,1007 EVERGREEN AVENUE,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10472""}'}",71.0,,,,3.0,
15KBFQ,4917 Fourth Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11220""}'}",19.0,Breakfast/Lunch/Snack(s),Yes,1.0,4.0,Yes
14K017,208 North 5 Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",24.0,Breakfast/Lunch,Yes,,1.0,No
05M517,168 Morningside Avenue,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10027""}'}",18.0,Breakfast/Lunch,Yes,0.82,3.0,Yes
30QBLF,27-17 27th Street,"{'human_address': '{""address"": """", ""city"": ""ASTORIA"", ""state"": ""NY"", ""zip"": ""11102""}'}",12.0,Breakfast/Lunch/Snack(s),Yes,,3.0,No
17KASG,1185 Park Place,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11213""}'}",29.0,Breakfast/Lunch/Snack(s),Yes,,3.0,Yes
05M036,123 Morningside Drive,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10027""}'}",65.0,Breakfast/Lunch/Snack(s),No,0.91,3.0,No
18KCLF,900 Lenox Road,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",35.0,Breakfast/Lunch,Yes,,3.0,Yes
12X536,1827 Archer Street,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",18.0,Breakfast/Lunch,Yes,0.96,3.0,No
20KBPR,825 57 Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11220""}'}",28.0,,,0.89,4.0,
23K165,76 Lott Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",34.0,Breakfast/Lunch,No,0.93,4.0,No
19KBKX,546 JAMAICA AVENUE,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",9.0,Breakfast/Lunch/Snack(s),Yes,1.0,3.0,Yes
30Q084,22-45 41st Street,"{'human_address': '{""address"": """", ""city"": ""ASTORIA"", ""state"": ""NY"", ""zip"": ""11105""}'}",40.0,Breakfast/Lunch,No,1.0,3.0,No
17K191,1600 Park Place,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11233""}'}",18.0,Breakfast/Lunch,Yes,0.92,3.0,No
13K305,344 Monroe Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",8.0,Breakfast/Lunch,No,1.0,3.0,No
23K323,210 Chester Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",36.0,Breakfast/Lunch,Yes,1.0,3.0,No
22KBRL,3321 Avenue N,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11234""}'}",15.0,Lunch/Snack(s),Yes,1.0,4.0,Yes
24Q068,59-09 Saint Felix Avenue,"{'human_address': '{""address"": """", ""city"": ""RIDGEWOOD"", ""state"": ""NY"", ""zip"": ""11385""}'}",50.0,Breakfast/Lunch,No,0.98,4.0,No
14KBMG,299 North 7 Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",,,,,3.0,
02M089,201 Warren Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10282""}'}",36.0,Breakfast/Lunch,No,1.0,3.0,No
07X001,335 East 152nd Street,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10451""}'}",36.0,Breakfast/Lunch/Snack(s),No,1.0,3.0,No
25Q209,16-10 Utopia Parkway,"{'human_address': '{""address"": """", ""city"": ""WHITESTONE"", ""state"": ""NY"", ""zip"": ""11357""}'}",18.0,Breakfast/Lunch,No,0.95,4.0,No
17KBOF,671 Prospect Place,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",39.0,Breakfast/Lunch/Snack(s),No,0.92,1.0,Yes
30Q078,48-09 Center Boulevard,"{'human_address': '{""address"": """", ""city"": ""LONG ISLAND CITY"", ""state"": ""NY"", ""zip"": ""11109""}'}",35.0,Breakfast/Lunch,No,0.73,4.0,No
09X028,1861 Anthony Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",46.0,Breakfast/Lunch,No,1.0,4.0,No
20KBPV,7104 13 Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11228""}'}",,,,,4.0,
04MAGN,314 East 110th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",34.0,Breakfast/Lunch/Snack(s),Yes,0.86,4.0,Yes
13KBNK,262 Lexington Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",19.0,Contact program directly for details,No,,3.0,No
20K180,5601 16th Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",25.0,Breakfast/Lunch,No,0.97,3.0,No
29Q360,199-10 112th Avenue,"{'human_address': '{""address"": """", ""city"": ""SAINT ALBANS"", ""state"": ""NY"", ""zip"": ""11412""}'}",14.0,Contact program directly for details,No,0.91,4.0,No
29Q134,203-02 109th Avenue,"{'human_address': '{""address"": """", ""city"": ""SAINT ALBANS"", ""state"": ""NY"", ""zip"": ""11412""}'}",20.0,Breakfast/Lunch,No,1.0,3.0,No
28QBJK,94-12 160th Street,"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11451""}'}",14.0,Breakfast/Lunch,Yes,,3.0,No
84K702,241 Emerson Place,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11205""}'}",15.0,Breakfast/Lunch,No,1.0,3.0,No
18KAKU,4410 Avenue D,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",28.0,Breakfast/Lunch/Snack(s),Yes,0.99,4.0,Yes
28Q303,108-55 69th Avenue,"{'human_address': '{""address"": """", ""city"": ""FOREST HILLS"", ""state"": ""NY"", ""zip"": ""11375""}'}",36.0,Breakfast/Lunch,No,0.99,3.0,No
07XANC,425 E 159th Street,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10451""}'}",20.0,Lunch/Snack(s),No,0.97,3.0,No
15KAWC,15 Hanover Place,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11201""}'}",47.0,,,0.95,3.0,
19K346,1400 Pennsylvania Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11239""}'}",48.0,Breakfast/Lunch,No,0.96,4.0,Yes
22KADW,3867 Shore Parkway,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11235""}'}",31.0,Breakfast/Lunch/Snack(s),No,1.0,4.0,No
09X110,580 Crotona Park South,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",34.0,Breakfast/Lunch,No,1.0,2.0,No
31R011,50 Jefferson Street,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10304""}'}",26.0,Breakfast/Lunch/Snack(s),No,0.92,3.0,No
29Q195,253-50 149th Avenue,"{'human_address': '{""address"": """", ""city"": ""ROSEDALE"", ""state"": ""NY"", ""zip"": ""11422""}'}",59.0,Breakfast/Lunch,Yes,1.0,3.0,Yes
15KBMQ,55 Hanson Place,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11217""}'}",19.0,Contact program directly for details,Yes,0.82,3.0,Yes
15KBFN,333 2nd Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",26.0,Breakfast/Lunch/Snack(s),Yes,0.97,3.0,Yes
25Q164,138-01 77th Avenue,"{'human_address': '{""address"": """", ""city"": ""FLUSHING"", ""state"": ""NY"", ""zip"": ""11367""}'}",33.0,Breakfast/Lunch,No,0.99,4.0,Yes
26Q018,86-35 235th Court,"{'human_address': '{""address"": """", ""city"": ""QUEENS VILLAGE"", ""state"": ""NY"", ""zip"": ""11427""}'}",18.0,Breakfast/Lunch,No,1.0,3.0,No
23KBAZ,232 Powell Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",38.0,Breakfast/Lunch/Snack(s),Yes,0.91,4.0,Yes
22K251,1037 East 54th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11234""}'}",51.0,Breakfast/Lunch,No,0.93,3.0,No
25QAFY,4550 195th Street,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11358""}'}",72.0,Breakfast/Lunch,Yes,0.88,4.0,Yes
32KBEB,1307 Greene Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",74.0,Breakfast/Lunch/Snack(s),No,0.98,4.0,Yes
