hispanic,ell_other,ell_chinese_1,asian_1,grade_12,ell_spanish,ela_level_4_1,ell_urdu_1,grade_10,math_level_4,ell_french_1,math_test_takers,ell_haitian_creole_1,male
15,,,s,12,,s,,16,s,,8,,22
156,,,9.3%,50,,s,,64,s,,53,,121
45,,,s,12,,s,,22,s,,17,,48
117,12,58.1%,65.2%,53,122,s,s,182,s,s,s,s,235
10,,,s,s,,s,,s,s,,s,,s
162,,,s,86,,s,,44,s,,10,,100
s,s,s,s,,s,s,s,,s,s,s,s,s
338,,,s,81,,,,229,,,,,261
184,,,s,37,,s,,68,s,,38,,115
8,,,s,9,,s,,7,s,,9,,12
47,,,5.2%,21,,s,,45,s,,23,,92
7,s,s,s,s,7,s,s,s,s,s,s,s,s
180,,,s,43,,s,,90,s,,51,,141
23,,,s,s,,s,,s,s,,14,,17
22,,,15.0%,7,,s,,9,s,,s,,12
131,,,14.4%,75,,57.7%,,85,16,,55,,92
67,,,s,16,,s,,26,s,,21,,61
331,,,21.7%,165,,7.0%,,210,8,,168,,436
407,,,s,117,,s,,133,s,,79,,260
33,,,s,7,,s,,12,s,,13,,24
371,,,6.2%,143,,s,,166,s,,70,,251
26,s,s,s,s,27,s,s,7,s,s,12,s,18
72,,,2.6%,52,,s,,75,s,,50,,s
817,,,6.9%,252,,22.1%,,417,7,,216,,528
7,,,s,,,s,,s,s,,s,,s
s,,,s,s,,,,s,,,,,s
125,,,s,34,,s,,40,s,,56,,132
156,,,9.3%,65,,s,,117,s,,76,,240
14,,,s,s,,s,,9,s,,s,,14
177,,,s,45,,,,117,,,,,145
19,s,s,24.1%,s,19,s,s,8,s,s,10,s,16
20,,,s,s,,s,,s,s,,s,,24
139,,,6.2%,83,,9.5%,,86,s,,56,,152
14,,,s,s,,s,,s,s,,s,,10
309,,,7.1%,100,,10.5%,,129,s,,104,,208
s,s,s,s,s,s,,s,s,,s,,s,s
96,,,6.8%,126,,22.9%,,124,7,,49,,110
19,,,s,s,,s,,8,s,,8,,15
23,,,s,s,,,,16,,,,,22
293,,,s,78,,s,,147,s,,95,,199
19,,,s,s,,s,,s,s,,s,,12
8,,,s,,,s,,10,s,,s,,s
20,,,s,s,,s,,10,s,,12,,20
s,,,s,,,,,s,,,,,s
9,,,s,9,,s,,7,s,,s,,15
s,,,s,s,,s,,s,s,,s,,s
21,s,s,s,s,21,s,s,8,s,s,8,s,19
8,,,s,s,,s,,6,s,,s,,11
265,,,2.4%,87,,s,,92,s,,93,,179
295,,,3.0%,72,,s,,116,s,,83,,196
72,,,s,20,,s,,33,s,,16,,60
52,s,s,s,6,52,s,s,17,s,s,10,s,42
34,,,30.4%,7,,s,,16,s,,29,,61
60,s,s,s,s,58,s,s,s,s,s,8,s,31
25,s,s,21.4%,s,26,s,s,22,s,s,7,s,29
10,,,s,,,s,,8,s,,s,,6
s,s,s,s,,s,,s,,,s,,s,s
36,,,s,s,,s,,16,s,,6,,30
111,,,36.8%,77,,37.7%,,83,14,,49,,117
30,8,s,18.0%,7,31,s,s,19,s,s,10,s,28
34,,,39.9%,40,,38.7%,,32,11,,20,,68
285,,,s,66,,s,,92,s,,40,,171
61,,,s,20,,s,,32,s,,24,,60
219,,,5.9%,89,,s,,109,s,,64,,217
31,,,s,14,,s,,22,s,,19,,51
172,,,10.4%,91,,48.5%,,110,6,,16,,199
146,,,28.1%,113,,57.8%,,115,29,,71,,192
50,,,s,8,,s,,12,s,,12,,43
25,,,s,10,,s,,10,s,,7,,26
42,,,s,22,,,,18,,,,,26
224,,,6.4%,117,,11.4%,,123,s,,86,,217
90,,,19.4%,31,,s,,41,s,,17,,91
21,,,s,s,,s,,s,s,,s,,25
216,,,s,54,,s,,111,s,,66,,141
17,,,s,s,,s,,s,s,,s,,24
9,,,s,,,s,,s,s,,s,,s
50,,,s,13,,s,,14,s,,16,,54
151,,,11.5%,57,,s,,70,s,,69,,207
8,,,s,s,,s,,s,s,,s,,11
14,,,s,,,,,12,,,,,11
16,6,41.3%,50.0%,10,18,s,s,13,s,s,6,s,27
173,,,s,75,,12.8%,,67,s,,43,,164
9,,,s,s,,s,,9,s,,s,,10
785,,,19.1%,325,,35.1%,,366,70,,257,,683
20,,,s,s,,s,,11,s,,7,,16
288,,,s,75,,s,,107,s,,64,,167
s,s,s,s,,s,,s,s,,s,,s,s
63,,,s,25,,s,,24,s,,24,,72
291,,,s,68,,10.3%,,99,s,,77,,209
212,,,7.1%,100,,14.6%,,157,6,,121,,348
328,,,s,72,,s,,108,s,,140,,383
63,,,s,21,,s,,26,s,,18,,77
286,,,3.3%,136,,s,,108,s,,92,,314
6,,,s,,,s,,s,s,,s,,6
209,,,4.9%,76,,s,,88,s,,48,,211
77,,,10.2%,21,,s,,36,s,,38,,103
15,,,s,s,,s,,6,s,,7,,15
191,,,2.3%,71,,9.2%,,76,s,,57,,167
10,,,s,s,,,,10,,,,,9
s,,,s,s,,s,,s,s,,s,,9
857,,,4.8%,202,,9.2%,,308,14,,377,,669
10,,,s,s,,,,8,,,,,11
14,,,s,s,,s,,7,s,,s,,12
880,,,6.0%,368,,12.4%,,416,6,,302,,126
20,,,s,s,,s,,s,s,,s,,18
s,s,s,s,,s,s,s,s,s,s,s,s,s
304,,,s,85,,s,,93,s,,50,,156
s,,,s,s,,,,s,,,,,s
s,s,s,s,,s,s,s,s,s,s,s,s,s
259,,,1.7%,252,,11.2%,,290,7,,226,,585
27,,,s,10,,s,,18,s,,6,,46
74,7,s,s,6,74,s,s,20,s,s,20,s,72
52,s,s,s,s,53,,s,26,,s,,s,33
86,11,32.5%,41.4%,,85,,s,22,,7.2%,,6.8%,127
46,,,s,17,,s,,16,s,,15,,55
363,,,2.0%,90,,s,,125,s,,110,,232
8,s,s,s,s,8,s,s,6,s,s,s,s,s
17,,,s,s,,,,,,,,,7
68,,,10.8%,20,,s,,24,s,,16,,46
s,,,s,,,s,,s,s,,s,,s
102,,,s,10,,s,,37,s,,49,,133
42,s,s,s,7,44,s,s,16,s,s,9,s,26
s,s,s,s,,s,,s,s,,s,,s,s
49,,,s,33,,,,20,,,,,48
89,,,12.2%,28,,10.0%,,37,s,,55,,82
256,,,14.1%,127,,32.3%,,122,19,,90,,179
6,,,s,,,s,,9,s,,s,,11
28,,,s,s,,s,,14,s,,7,,24
9,,,18.7%,11,,s,,16,s,,18,,35
12,,,s,s,,s,,9,s,,s,,s
56,,,7.9%,17,,s,,29,s,,13,,60
47,,,s,11,,s,,16,s,,s,,28
168,,,7.6%,40,,8.6%,,114,s,,65,,156
15,,,s,16,,,,s,,,,,19
22,,,s,16,,s,,24,s,,s,,49
884,,,19.2%,392,,36.1%,,429,75,,291,,816
113,,,s,78,,,,45,,,,,94
16,,,s,s,,s,,10,s,,8,,27
132,,,s,s,,,,s,,,,,84
22,,,s,s,,s,,12,s,,s,,16
115,,,s,s,,s,,39,s,,s,,54
121,,,8.5%,33,,s,,89,s,,58,,140
35,s,s,s,6,34,s,s,19,s,16.7%,6,s,40
348,,,s,93,,6.5%,,151,s,,97,,409
15,s,30.4%,30.4%,s,16,s,s,s,s,s,8,s,11
s,,,s,,,,,,,,,,s
10,,,s,s,,s,,s,s,,10,,10
32,,,s,7,,s,,12,s,,16,,26
44,,,s,22,,,,35,,,,,47
13,,,s,s,,s,,s,s,,8,,10
s,,,s,s,,,,s,,,,,8
9,s,s,s,,9,s,s,s,s,s,9,s,s
10,s,s,s,,11,,s,,,s,,s,6
36,,,s,20,,,,16,,,,,33
159,,,s,68,,s,,93,s,,s,,133
756,,,12.1%,314,,13.5%,,296,16,,243,,586
14,s,s,s,s,15,s,s,s,s,s,9,s,12
120,,,s,20,,s,,41,s,,30,,63
85,,,4.3%,36,,s,,33,s,,23,,55
