dbn,location_name,_11_superintendent,_17_removals,_16_principal,_5_expulsions,_19_expulsions,_6_expulsions,_18_superintendent,_15_expulsions,_21_superintendent,_8_expulsions,_7_removals,_12_principal,_21_expulsions,_10_removals,_8_principal,_11_removals,_15_superintendent
14K110,P.S. 110 The Monitor,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
16K081,P.S. 081 Thaddeus Stevens,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X314,Fairmont Neighborhood School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M143,J.H.S. 143 Eleanor Roosevelt,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R
17K489,W.E.B. Dubois Academic High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X054,P.S./I.S. 54,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M298,Pace High School,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,10
02M151,Yorkville Community School,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R
02M114,East Side Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X227,Bronx Collegiate Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X269,Bronx Studio School for Writers and Artists,R,R,16,R,R,R,R,R,R,R,R,8,R,R,R,R,R
10X360,P.S. 360,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K404,Academy for Young Writers,R,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R
16K243,P.S. 243K- The Weeksville School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K484,Ronald Edmonds Learning Center II,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
05M514,New Design Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K654,Van Siclen Community Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20K180,The SEEALL Academy,R,R,R,R,R,R,R,R,R,R,14,24,R,R,R,R,R
03M149,P.S. 149 Sojourner Truth,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14K031,P.S. 031 Samuel F. Dupont,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M250,M.S. 250 West Side Collaborative Middle School,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R
19K677,East New York Elementary School of Excellence,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X559,School for Tourism and Hospitality,R,R,25,R,R,R,R,R,R,R,R,R,R,R,R,R,7
07X500,Hostos-Lincoln Academy of Science,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X549,Discovery High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K539,High School for Service & Learning at Erasmus,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R,R,6
19K409,East New York Family Academy,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R
16K035,M.S. 035 Stephen Decatur,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X224,P.S./I.S. 224,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R
02M158,P.S. 158 Bayard Taylor,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M242,P.S. 242 - The Young Diplomats Magnet Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X293,Renaissance High School for Musical Theater & Tech,R,R,21,R,R,R,R,R,R,R,R,R,R,R,R,R,8
09X028,P.S. 028 Mount Hope,R,R,R,R,R,R,R,R,R,R,11,R,R,10,R,R,R
16K688,The Brooklyn Academy of Global Finance,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7
08X375,The Bronx Mathematics Preparatory School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14K126,John Ericsson Middle School 126,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R
09X555,Mount Eden Children's Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R
11X532,Baychester Middle School,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R
10X368,In-Tech Academy (M.S. / High School 368),R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,9,R
19K346,P.S. 346 Abe Stark,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K676,Red Hook Neighborhood School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M291,West End Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K306,P.S. 306 Ethan Allen,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20K048,P.S. 048 Mapleton,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M432,Murray Hill Academy,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K531,"School for Human Rights, The",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X565,High School for Energy and Technology,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X232,I.S. 232,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X033,P.S. 033 Timothy Dwight,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X434,Belmont Preparatory High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X306,P.S. 306,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M115,P.S. 115 Alexander Humboldt,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14K318,I.S. 318 Eugenio Maria De Hostos,10,R,R,R,R,R,R,R,R,R,R,30,R,R,R,17,R
12X150,P.S. 150 Charles James Fox,R,R,R,R,R,R,R,R,R,R,R,R,R,36,R,10,R
11X076,P.S. 076 The Bennington School,R,R,R,R,R,R,R,R,R,R,19,R,R,8,R,R,R
11X108,P.S. 108 Philip J. Abinanti,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X078,P.S. 078 Anne Hutchinson,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X371,Urban Institute of Mathematics,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X214,P.S. 214,R,R,R,R,R,R,R,R,R,R,R,6,R,9,R,R,R
10X291,P.S. 291,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X383,Emolior Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K094,P.S. 094 The Henry Longfellow,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R
02M475,Stuyvesant High School,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X304,P.S. 304 Early Childhood School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X513,New World High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
16K628,Brooklyn Brownstone School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M551,Urban Assembly New York Harbor School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,11
20K185,P.S. 185 Walter Kassenbrock,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X181,I.S. 181 Pablo Casals,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R
07X151,J.H.S. 151 Lou Gehrig,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K013,P.S. 013 Roberto Clemente,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X448,Soundview Academy for Culture and Scholarship,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R
13K056,P.S. 056 Lewis H. Latimer,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X424,The Hunts Point School,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,18,R
17K467,Erasmus Yabc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K115,P.S. 115 Daniel Mucatel School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M349,Harbor Heights,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K272,P.S. 272 Curtis Estabrook,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R
05M318,Thurgood Marshall Academy Lower School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M166,P.S. 166 The Richard Rodgers School of The Arts an,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X315,P.S. 315 Lab School,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R
02M533,Union Square Academy for Health Sciences,R,R,21,R,R,R,R,R,R,R,R,R,R,R,R,R,8
02M225,Ella Baker School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K159,P.S. 159 Isaac Pitkin,R,R,R,R,R,R,R,R,R,R,6,R,R,39,R,14,R
10X331,The Bronx School of Young Leaders,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R
12X446,Arturo A. Schomburg Satellite Academy Bronx,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X094,P.S. 094 Kings College School,R,R,R,R,R,R,R,R,R,R,22,R,R,R,R,R,R
02M003,P.S. 003 Charrette School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K292,J.H.S. 292 Margaret S. Douglas,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M218,I.S. 218 Salome Urena,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
05M286,Urban Assembly Academy for Future Leaders,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K397,P.S. 397 Foster-Laurie,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X343,Academy of Applied Mathematics and Technology,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,9,R
06M468,High School for Health Careers and Sciences,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20K104,P.S./I.S. 104 The Fort Hamilton School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K172,P.S. 172 Beacon School of Excellence,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K429,Digital Arts and Cinema Technology High School,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R
05M036,P.S. 036 Margaret Douglas,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
05M194,P.S. 194 Countee Cullen,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X065,P.S. 065 Mother Hale Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M600,The High School of Fashion Industries,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8
13K003,P.S. 003 The Bedford Village,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X073,P.S. 073 Bronx,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M333,P.S. 333 Manhattan School for Children,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
05M148,Eagle Academy for Young Men of Harlem,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M182,The Bilingual Bicultural School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X046,P.S. 046 Edgar Allan Poe,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X069,P.S. 069 Journey Prep School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M004,P.S. 004 Duke Ellington,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X061,P.S. 061 Francisco Oller,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
01M361,The Children's Workshop School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X287,North Bronx School of Empowerment,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
13K067,P.S. 067 Charles A. Dorsey,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X562,Blueprint Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K408,Academy of Hospitality and Tourism,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,10
06M018,P.S. 018 Park Terrace,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20K179,P.S. 179 Kensington,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K447,The Math & Science Exploratory School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X048,P.S. 048 Joseph R. Drake,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M145,"P.S. 145, The Bloomingdale School",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
13K093,P.S. 093 William H. Prescott,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K592,Khalil Gibran International Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X313,I.S. 313 School of Leadership Development,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K202,P.S. 202 Ernest S. Jenkyns,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M485,Fiorello H. LaGuardia High School of Music & Art a,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X029,P.S./M.S. 029 Melrose School,R,R,R,R,R,R,R,R,R,R,11,10,R,R,R,11,R
02M527,P.S. 527 - East Side School for Social Action,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20K127,P.S. 127 Mckinley Park,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X286,Fannie Lou Hamer Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M255,M.S. 255 Salk School of Science,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20K069,P.S. 69 Vincent D. Grippo School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X439,Bronx High School for Law and Community Service,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X242,Mott Hall V,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R
18K208,P.S. 208 Elsa Ebeling,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20K102,P.S. 102 The Bayview,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X058,P.S. 058,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
01M184,P.S. 184m Shuang Wen,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K507,Performing Arts and Technology High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
05M692,"High School for Mathematics, Science and Engineeri",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X053,P.S. 053 Basheer Quisim,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X404,School for Excellence,R,R,17,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X131,J.H.S. 131 Albert Einstein,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,18,R
14K017,P.S. 017 Henry D. Woodworth,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M412,N.Y.C. Lab School for Collaborative Studies,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
13K902,Westinghouse Evening Hs T/R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M407,Institute for Collaborative Education,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K663,School of the Future Brooklyn,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X057,P.S. 057 Crescent,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
01M134,P.S. 134 Henrietta Szold,R,R,R,R,R,R,R,R,R,R,9,R,R,9,R,R,R
09X215,Kappa,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R
13K265,Dr. Susan S. McKinney Secondary School of the Arts,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X363,Academy For Personal Leadership And Excellence,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M308,Lower Manhattan Arts Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K532,New Bridges Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
13K605,George Westinghouse Career and Technical Education,R,R,28,R,R,R,R,R,R,R,R,R,R,R,R,R,7
15K051,M.S. 51 William Alexander,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K617,High School for Innovation in Advertising and Medi,R,R,29,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M425,Leadership and Public Service High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M860,Frederick Douglass Academy II Secondary School,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X032,P.S. 032 Belmont,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K463,Secondary School for Journalism,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K394,M.S. K394,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X417,C Columbus Hs Yabc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20K164,P.S. 164 Caesar Rodney,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K557,Brooklyn Gardens Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X146,P.S. 146 Edward Collins,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M543,New Design High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7
01M515,Lower East Side Preparatory High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K821,Sunset Park Prep,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R
09X361,The Highbridge Green School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X047,P.S. 047 John Randolph,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X252,Mott Hall Bronx High School,R,R,18,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X036,P.S. 036 Unionport,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X546,Bronx Theatre High School,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X037,P.S. X037 - Multiple Intelligence School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M028,P.S. 028 Wright Brothers,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R
14K016,P.S. 016 Leonard Dunkly,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M825,Isaac Newton Middle School for Math & Science,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X483,The Matilda Avenue School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X458,Samara Community School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X071,P.S. 071 Rose E. Scala,R,R,R,R,R,R,R,R,R,R,7,7,R,7,R,R,R
19K273,P.S. 273 Wortman,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X459,East Fordham Academy for the Arts,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X154,P.S. 154 Jonathan D. Hyatt,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
13K313,Dock Street School for STEAM Studies,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X098,J.H.S. 098 Herman Ridder,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K279,P.S. 279 Herman Schreiber,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M041,P.S. 041 Greenwich Village,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
13K008,P.S. 008 Robert Fulton,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K171,I.S. 171 Abraham Lincoln,6,R,R,R,R,R,R,R,R,R,R,21,R,R,R,R,R
14K474,PROGRESS High School for Professional Careers,R,R,23,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X403,Bronx International High School,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X194,P.S./M.S. 194,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R
10X085,P.S. 085 Great Expectations,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R
13K307,P.S. 307 Daniel Hale Williams,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X302,M.S. 302 Luisa Dessus Cruz,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14K250,P.S. 250 George H. Lindsay,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M180,P.S. 180 Hugo Newman,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14K059,P.S. 059 William Floyd,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M403,The Global Learning Collaborative,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8
10X440,DeWitt Clinton High School,R,R,40,R,R,R,R,R,R,R,R,R,R,R,R,R,8
03M307,"Urban Assembly School for Media Studies, The",R,R,12,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M372,Esperanza Preparatory Academy,R,R,11,R,R,R,R,R,R,R,R,7,R,R,R,R,R
05M304,Mott Hall High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M051,P.S. 051 Elias Howe,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
16K681,Madiba Prep Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M131,M.S. 131,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R
07X584,I.S. 584,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R
04M072,The Lexington Academy,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R
19K583,Multicultural High School,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X212,P.S. 212,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M319,M.S. 319 - Maria Teresa,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X253,Bronx High School for Writing and Communication Ar,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X056,P.S. 056 Norwood Heights,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R
18K114,P.S. 114 Ryder Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X109,P.S. 109 Sedgwick,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K211,I.S. 211 John Wilson,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
16K455,Boys and Girls High School,R,R,28,R,R,R,R,R,R,R,R,R,R,R,R,R,14
02M507,Urban Assembly Gateway School for Technology,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K149,P.S. 149 Danny Kaye,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M546,Academy for Software Engineering,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
15K058,P.S. 058 The Carroll,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X096,P.S. 096 Richard Rodgers,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K751,Academy for Health Careers,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M377,Renaissance School of the Arts,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X043,P.S. 043 Jonas Bronck,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M449,Vanguard High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K214,P.S. 214 Michael Friedsam,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M256,Lafayette Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
16K040,P.S. 040 George W. Carver,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M040,P.S. 040 Augustus Saint-Gaudens,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X077,Bedford Park Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M223,The Mott Hall School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M208,The Alain L. Locke Magnet School for Environmental,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M288,Food and Finance High School,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R
16K057,J.H.S. 057 Whitelaw Reid,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M520,Murry Bergtraum High School for Business Careers,R,6,16,R,R,R,R,R,R,R,R,R,R,R,R,R,R
