job_filing_number,general_liability_company,general_liability_expiration,filing_number,gis_bin,business_name,owner_first_name,license_number,completion_date,lighting_work,_3_wire,removal_of_vio_or_owner,legalization_fee,filing_status,firm_address,category_work_list
B00749236-I1-EL,TRAVELERS PROPERTY CAS CO,2022-11-09T00:00:00.000,I1,3076371.0,EXPERT TAILOR &,,12910,2022-06-02T00:00:00.000,No,0,No,0,Complete,58-30 64TH STREET,Minor Work
M00412584-P1,TRAVELERS INS COMPANY,2022-01-10T00:00:00.000,P1,1059880.0,build it innovation,JACOB,11485,2021-06-19T00:00:00.000,No,0,No,0,Approved,11-07 43RD ROAD,
B00748722-I1-EL,STATE FARM FIRE & CASUALT,2023-05-06T00:00:00.000,I1,3144056.0,CLARISTA REALTY CORP,DELVIS,11312,2022-09-01T00:00:00.000,No,0,Yes,0,Complete,359 49TH STREET,
M00511851-I1-EL,UNITED SPECIALTY INS COMP,2021-05-09T00:00:00.000,I1,1019088.0,"HIS NY2, INC",JOSEPH,10285,2021-05-12T00:00:00.000,No,0,No,0,Cancel,36-07 20TH AVENUE,
B00920878-P1,TRISURA SPECIALTY INSURAN,2025-06-28T00:00:00.000,P1,3426885.0,BB EMPIRE CORP.,ISAC,13184,2025-08-17T00:00:00.000,No,0,No,0,Approved,"116 SKILLMAN STREET,SUITE 002",Elevators/Escalator/Material Lift
B00917936-P1,THIRD COAST INS CO,2024-07-07T00:00:00.000,P1,3328524.0,,PETER,12845,2023-12-08T00:00:00.000,No,0,No,0,Approved,"516 INDUSTRIAL LOOP, 2ND FL",Sustainable Energy Installs
B00196175-I1-EL,HISCOX INS COMPANY,2021-10-19T00:00:00.000,I1,3116646.0,J & G CONSTRUCTION SRVCS,GAGANDEEP,11545,2020-07-20T00:00:00.000,No,0,No,0,Complete,4347 HYLAN BLVD,Sidewalk Shed Wiring & Lighting
M00486317-P1,PENN STAR INSURANCE COMPA,2021-09-17T00:00:00.000,P1,1007310.0,383 W Broadway Corporation,Jacqueline,13168,2022-03-16T00:00:00.000,No,0,No,0,Approved,16 BOWERY 2ND FLOOR,
B00501319-P1,FALLS LAKE NATIONAL INS,2021-09-11T00:00:00.000,P1,3210541.0,,Kwong Pang,12124,2022-04-11T00:00:00.000,No,1,No,0,Approved,"2752 HARWAY AVENUE, FL 1",
X00501132-I1-EL,ACCEPTANCE IND INS CO,2022-04-03T00:00:00.000,I1,2002642.0,,Louis,11068,2021-05-16T00:00:00.000,No,0,No,0,Complete,195 7TH AVENUE,Sustainable Energy Installs
X00621313-P2,PELEUS INSURANCE COMPANY,2023-01-10T00:00:00.000,P2,1064698.0,,APPLE,12739,2022-06-07T00:00:00.000,No,0,No,0,Approved,56-30 60TH STREET,
M00954943-I1-EL,State Farm Fire,2024-07-31T00:00:00.000,I1,1086102.0,,"Anjali, Mohiton",12477,2023-10-30T00:00:00.000,No,0,No,0,Complete,167 DIVISION AVE GROUND FL,Minor Work
B00650060-I1-EL,SELF INSURED,2022-09-05T00:00:00.000,I1,3395991.0,CON EDISON,MICHAEL,93912,2021-12-17T00:00:00.000,No,0,No,0,Complete,4 IRVING PLACE,Minor Work
Q00552109-I1-EL,TWIN CITY FIRE INSURANCE,2021-09-20T00:00:00.000,I1,4271795.0,,Domaine,10687,2021-07-07T00:00:00.000,No,1,No,0,Complete,221 EAST 60TH STREET,
Q00552250-I1-EL,TRAVELERS PROPERTY CAS CO,2021-11-09T00:00:00.000,I1,4062046.0,WAYNE BETTENHAUSER DBA WAYNES AUTO BODY,,12910,2021-07-06T00:00:00.000,No,0,No,0,Complete,58-30 64TH STREET,Minor Work
M00902242-P1,STATE FARM AUTOMOBILE INS,2024-04-20T00:00:00.000,P1,1048824.0,CORNERSTONE ARCHITECTS,JOSH,11011,2023-08-22T00:00:00.000,No,0,No,0,Approved,124-20 LIBERTY AVENUE,
B01062732-P5,PENN STAR INS. CO,2025-01-29T00:00:00.000,P5,3013294.0,PR,KEVIN,13411,2024-11-20T00:00:00.000,No,0,No,0,Approved,203 60TH ST,
B00703717-P1,MERCHANTS MUTUAL,2024-03-21T00:00:00.000,P1,3329038.0,7718 PROFESSIONAL PLAZA LLC,Zinovy,13111,2022-12-21T00:00:00.000,No,0,No,0,Approved,2906 SHELL ROAD 1ST FL,
Q00552599-I1-EL,REPUBLIC FRANKLIN INS CO,2021-12-17T00:00:00.000,I1,4183244.0,,Dong,10804,2022-07-29T00:00:00.000,No,3,No,0,Complete,137 CHRYSTIE STREET,
B00830597-P2,SOUTHWEST MARINE INS,2023-06-12T00:00:00.000,P2,3122738.0,,Ian,12866,2023-05-28T00:00:00.000,No,0,No,0,Approved,200 6TH STREET SUITE 3G,Sustainable Energy Installs
M00301147-P2,THE TRAVELERS INDEMNITY,2021-10-28T00:00:00.000,P2,1031132.0,,Aaron,12750,2020-07-25T00:00:00.000,No,0,No,0,Approved,45-15 BARNETT AVENUE,
B00634994-I1-EL,UTICA FIRST INS CO,2023-10-02T00:00:00.000,I1,3057646.0,,JONATHAN,11014,2022-10-01T00:00:00.000,No,3,No,0,Complete,501 EDISON AVENUE,
B00749361-I1-EL,TRAVELERS INDEMNITY CO,2022-11-15T00:00:00.000,I1,3071806.0,CHARAN ELECTRICAL ENTERPRISES INC.,KULWANT,12120,2022-06-01T00:00:00.000,No,0,No,0,Complete,9-11 40TH AVENUE,Minor Work
M00487145-I1-EL,TRAVELERS INSURANCE COMP,2021-09-09T00:00:00.000,I1,1046991.0,,George,11550,2022-02-01T00:00:00.000,No,0,No,0,Complete,11-11 44TH DRIVE STE N,
Q00299558-I1-EL,MERCHANTS MUTUAL INS CO,2021-12-12T00:00:00.000,I1,4181165.0,,Jose,12943,2020-03-16T00:00:00.000,No,0,No,0,Complete,516 INDUSTRIAL LOOP SUITE 201,Sustainable Energy Installs
B00372628-P1,MERCHANTS MUTUAL INS CO,2025-11-06T00:00:00.000,P1,3109696.0,4002 church ave llc,MOHAMMED,12792,2021-07-17T00:00:00.000,No,3,No,0,Approved,6915 5TH AVENUE,
B00003675-I1-EL,HARLEYSVILLE WORCESTER IN,2018-05-28T00:00:00.000,I1,3064408.0,190 Franklin str. LLC,Nicolas,11756,2018-12-05T00:00:00.000,No,0,No,0,Complete,2802 AVENUE Y,
B00611842-P1,MERCHANTS MUTUAL INS COMP,2022-09-24T00:00:00.000,P1,3008680.0,,KEVAN,12530,2021-12-31T00:00:00.000,No,0,No,0,Approved,"50-03 METROPOLITAN AVE, SUITE B",
X00489821-I1-EL,ACCEPTANCE IND INS CO,2022-04-03T00:00:00.000,I1,2014550.0,,Kenneth,11068,2021-03-22T00:00:00.000,No,1,No,0,Complete,195 7TH AVENUE,
B00956048-P1,SOUTHWEST MARINE & GEN IN,2024-11-15T00:00:00.000,P1,3097891.0,,PATRICK,12818,2024-10-31T00:00:00.000,No,0,No,0,Approved,"67 WEST STREET, SUITE 211",Sustainable Energy Installs
M00511992-I1-EL,MERCHANTS NUTUAL INS,2021-09-01T00:00:00.000,I1,1087170.0,SP+ Parking,VICTOR,12870,2021-04-28T00:00:00.000,No,0,No,0,Complete,34-18 NORTHERN BLVD. #4-47,Minor Work
B00935162-P1,TRISURA SPECIALTY INSURAN,2025-06-28T00:00:00.000,P1,3029709.0,STREKTE,MARK,13184,2025-09-18T00:00:00.000,No,0,No,0,Approved,"116 SKILLMAN STREET,SUITE 002",Elevators/Escalator/Material Lift
M00593972-P2,MERCHANTS MUTUAL INSURANC,2022-02-25T00:00:00.000,P2,1040066.0,PR,AARON,12944,2022-07-10T00:00:00.000,No,10,No,0,Approved,33-10 30TH AVENUE,
B00760857-P1,UTICA FIRST.INSURANCE,2023-11-14T00:00:00.000,P1,3061721.0,PR,YISROEL,11684,2024-06-21T00:00:00.000,No,0,No,0,Approved,110 SHORE BLVD SUITE 5J,Elevators/Escalator/Material Lift
B00620922-I1-EL,NAVIGATORS SPECIALTY INS,2022-10-01T00:00:00.000,I1,3232997.0,,Lenore,12012,2022-10-28T00:00:00.000,No,0,No,0,Complete,"254 36TH STREET, SUITE B440",Sustainable Energy Installs
Q00511780-I1-EL,FARMERS INSURANCE,2022-03-12T00:00:00.000,I1,4117460.0,,NEHA,12598,2021-06-24T00:00:00.000,No,1,No,0,Complete,65-49 GRAND AVENUE,
B00650484-I1-EL,UTICA NATIONAL INS COMP,2022-07-23T00:00:00.000,I1,3196586.0,,Alexander,11281,2021-12-20T00:00:00.000,No,0,No,0,Complete,2113 WEST 6TH STREET,Minor Work
B00864967-P1,UTICA NATIONAL INSURANCE,2024-04-21T00:00:00.000,P1,3000000.0,CW REALTY,MATT,12862,2026-04-25T00:00:00.000,No,1,Yes,0,Approved,"1027 CORTELYOU ROAD, 2ND FL",
M00561794-P1,ACCREDITED SURETY&CAS CO,2022-05-11T00:00:00.000,P1,1091590.0,Hudson Yards LLC,RICARDO,10905,2021-07-22T00:00:00.000,No,0,No,0,Approved,497 CANAL STREET,
M00395632-P2,PENN-STAR INSURANCE CO,2021-10-02T00:00:00.000,P2,1008448.0,,Cristine,10247,2020-12-19T00:00:00.000,No,0,No,0,Approved,88-56 MYRTLE AVENUE,
Q00552883-I1-EL,MERCHANTS MUTUAL INS CO,2023-01-25T00:00:00.000,I1,4211027.0,NYCSCA,SCHOOL CONSTRUCTION,12787,2022-07-06T00:00:00.000,No,0,No,0,Complete,6927 5TH AVENUE,
X00454021-I1-EL,FARM FAMILY CASUALTY INS,2021-10-24T00:00:00.000,I1,2095032.0,DAVID PLAINS COMPANY,ELIN,11851,2021-02-15T00:00:00.000,No,0,No,0,Complete,435 B AUSTIN PLACE,Field Sign
B00951577-P1,MIDVALE INDEMNITY CO,2024-09-20T00:00:00.000,P1,3092725.0,,SEBASTIAN,9968,2024-11-23T00:00:00.000,No,0,No,0,Approved,"67 WEST STREET, UNIT 321",
M00620487-I1-EL,TWIN CITY FIRE INSURANCE,2022-09-20T00:00:00.000,I1,1042117.0,,PERRY,10687,2021-11-01T00:00:00.000,No,0,No,0,Complete,221 EAST 60TH STREET,Minor Work
M00216953-P1,TRAVELERS INDEMNITY CO,2022-02-04T00:00:00.000,P1,1081781.0,janus properties,SCOTT,11396,2020-09-11T00:00:00.000,No,0,No,0,Approved,32-21 58TH STREET,
M00879018-P1,Peleus Insurance Company,2024-06-15T00:00:00.000,P1,1054716.0,,MARGARITA,11511,2024-01-20T00:00:00.000,No,4,No,0,Approved,9602 GLENWOOD ROAD #318,
X00461259-I1-EL,NATIONWIDE MUTUAL FIRE IN,2022-04-16T00:00:00.000,I1,2011810.0,NYC School Construction Authority,CHARMANE,12229,2022-01-27T00:00:00.000,No,0,No,0,Complete,104-40 JAMAICA AVE,
M00439914-I1-EL,HARLEYVILLE INS COMPANY,2022-04-18T00:00:00.000,I1,1080606.0,"EMPIRE STATE REALTY TRUST, INC.",WENDI,10620,2021-04-01T00:00:00.000,Yes,0,No,0,Complete,29-19 39TH AVE,
B00440460-I1-EL,MERCHANTS MUTUAL INS COMP,2021-06-05T00:00:00.000,I1,3035499.0,560-570 LEFFERTS AVE HOLD,Vanessa,10377,2021-03-02T00:00:00.000,No,0,Yes,0,Complete,1562 ATLANTIC  AVENUE,
X00511147-I1-EL,ATLANTIC CASUALTY INS CO,2021-09-12T00:00:00.000,I1,2000000.0,1080 WASHINGTON AVE HDFC,ANTHONY,11497,2021-05-28T00:00:00.000,No,154,No,0,Complete,12-24 BRUNSWICK AVENUE,Sustainable Energy Installs
B00252180-I1-EL,HDI-GERLING AMERICA INS,2023-10-01T00:00:00.000,I1,3107151.0,COMMUNITY HEALTHCARE NETWORK,FACILITIES,10552,2021-05-04T00:00:00.000,No,0,No,0,Cancel,"519 8TH AVENUE, 6TH FL",Elevators/Escalator/Material Lift
B00553333-I1-EL,MERCHANTS MUTUAL INS CO,2022-06-28T00:00:00.000,I1,3017367.0,,DAVID,12971,2023-02-02T00:00:00.000,No,8,No,0,Complete,712 PARKSIDE AVENUE,
B00626487-P2,MERCHANTS MUTUAL INS CO,2022-10-11T00:00:00.000,P2,3336755.0,Charles R Drew Early learning Center,NYS OGS,12889,2022-11-01T00:00:00.000,No,0,No,0,Approved,2568 EAST 17TH STREET 101,
B00539992-P3,UTICA FIRST INSURANCE COM,2021-12-18T00:00:00.000,P3,3005516.0,GTO Corp,O'CONNELL,10007,2021-06-30T00:00:00.000,No,3,No,0,Approved,7025 THIRD AVENUE,
X00397868-P1,TRAVELERS INDEMNITY CO,2022-05-29T00:00:00.000,P1,2047123.0,,John,13134,2021-07-04T00:00:00.000,No,0,No,0,Approved,1441 BROADWAY SUITE 3028,
B00716889-P1,TRAVELERS PROPERTY CASUA,2024-01-18T00:00:00.000,P1,3198028.0,GOOD WIN REALTY,BENNY,13053,2023-04-07T00:00:00.000,No,0,No,0,Approved,833 65TH STREET,
M00366155-P1,ATLANTIC CASUALTY INS CO,2021-11-08T00:00:00.000,P1,1030544.0,UWS ASC LLC,WILLIAM,12942,2021-01-29T00:00:00.000,No,0,No,0,Approved,1111 44TH DRIVE 2ND FL UNIT 4,
B01054817-P1,STATE FARM FIRE & CASUALT,2024-12-10T00:00:00.000,P1,3192060.0,,always,13258,2028-05-11T00:00:00.000,No,1,No,0,Approved,2373 86TH STREET,
M00398503-P1,REPUBLIC FRANKLIN NAT INS,2022-04-21T00:00:00.000,P1,1040763.0,SIXTY HOSPITALITY LLC AVRA MAD,NICK,12165,2021-09-14T00:00:00.000,No,0,No,0,Approved,31-10 37TH AVE SUITE 500,
B08044196-P1,SOUTHWEST MARINE INS,2023-06-12T00:00:00.000,P1,3013212.0,,Paul,12866,2023-03-28T00:00:00.000,No,0,No,0,Approved,200 6TH STREET SUITE 3G,Sustainable Energy Installs
B00648873-P1,ROCKINGHAM INSURANCE CO,2022-08-21T00:00:00.000,P1,3340637.0,VILLAGE GRILL AND RESTAURENT CORP,CHAUDHRY,12702,2027-01-18T00:00:00.000,No,0,No,0,Approved,1465 65TH STREET,
B00553077-I1-EL,ILLINOIS UNION INSURANCE,2021-11-24T00:00:00.000,I1,3186626.0,,SANCHEZ,12243,2021-07-07T00:00:00.000,No,0,No,0,Complete,276 NORTH HENRY STREET,Minor Work
B00748713-I1-EL,STATE FARM FIRE & CASUALT,2023-05-06T00:00:00.000,I1,3144056.0,CLARISTA REALTY CORP,DELVIS,11312,2022-09-01T00:00:00.000,No,0,Yes,0,Complete,359 49TH STREET,
M00679677-I1-EL,UTICA NATIONAL INS COMP,2022-07-23T00:00:00.000,I1,1078241.0,,Michelle,11281,2022-02-13T00:00:00.000,No,0,No,0,Complete,2113 WEST 6TH STREET,Minor Work
B00831762-P1,SENTINEL INS CO LTD,2024-01-31T00:00:00.000,P1,3117651.0,PR,BENJAMIN,12537,2023-07-18T00:00:00.000,No,0,No,0,Approved,"7007 13TH AVE., 1ST FLOOR",
X00089574-I1-EL,ILLINOIS UNION INS CO,2021-11-01T00:00:00.000,I1,2069128.0,,david,10102,2019-07-31T00:00:00.000,No,3,No,0,Permit Issued,3870 WHITE PLAINS ROAD,
B00527383-P1,STATE FARM INS COMPANY,2022-07-18T00:00:00.000,P1,3032157.0,PR,MICHAEL,12865,2021-11-01T00:00:00.000,No,0,No,0,Approved,2568 EAST 17TH STREET,
B08024385-I1-EL,SELECTIVE INS. CO. OF AME,2024-01-24T00:00:00.000,I1,3029306.0,,Carol,12582,2022-10-21T00:00:00.000,No,0,No,0,Complete,"32 EAST 31ST STREET, 8TH FL",
M00473746-P1,TRAVELERS INDEMNITY CO,2022-02-04T00:00:00.000,P1,1081781.0,janus properties,SCOTT,11396,2021-07-10T00:00:00.000,No,0,No,0,Approved,32-21 58TH STREET,
B00047195-P1,STATE FARM INS COMPANY,2022-04-02T00:00:00.000,P1,3089256.0,,Chyvone,12769,2018-10-29T00:00:00.000,No,1,No,0,Approved,185 ROGERS AVENUE,
B00452179-P2,PENN-STAR INSURANCE CO,2021-05-24T00:00:00.000,P2,3139946.0,,XUE ZHU,11509,2022-04-02T00:00:00.000,No,3,No,0,Approved,3601 RIVERDALE AVENUE,
B00865689-I1-EL,HARLEYSVILLE INS CO OF NY,2023-10-24T00:00:00.000,I1,3080424.0,"IRL Systems, Inc.",REY,11467,2023-06-10T00:00:00.000,No,6,No,0,Complete,72-02 COOPER AVENUE,
B00860599-P1,ACE USA,2024-01-25T00:00:00.000,P1,3121186.0,LO DUCA PIZZA,GIUSEPPE,12751,2023-04-18T00:00:00.000,No,0,No,0,Approved,1049 RUTLAND ROAD,
S00541034-P1,PEN-STAR INSURANCE CO,2022-03-16T00:00:00.000,P1,5016156.0,,val,10991,2022-06-16T00:00:00.000,No,1,No,0,Approved,433 CASTLETON AVENUE,
B00507988-P1,GREAT AMERICAN INS COMPAN,2022-05-02T00:00:00.000,P1,3414286.0,SUNRISE X REALTY,EDGARDO,11986,2024-03-10T00:00:00.000,No,0,No,0,Approved,12 E 49TH STREET STE #14,Elevators/Escalator/Material Lift
X00395021-I1-EL,FARM FAMILY CASUALTY INS,2021-09-04T00:00:00.000,I1,,FRANCIOSA ARNOW LLC,ARTHUR,11306,2022-01-07T00:00:00.000,No,0,No,0,Complete,1303 BLONDELL AVENUE,
Q00511766-I1-EL,UTICA FIRST INS CO,2021-06-28T00:00:00.000,I1,4066017.0,,CHUAN YING,12398,2021-05-13T00:00:00.000,No,0,Yes,0,Complete,83-38 PARSONS BLVD,Minor Work
M00621013-I1-EL,SELECTIVE INS CO OF S. CA,2022-05-15T00:00:00.000,I1,1087184.0,,Tom,11308,2021-12-17T00:00:00.000,No,0,No,0,Complete,630 9TH AVENUE-SUITE 1001,
B00982780-P1,GREAT NORTHERN INS CO,2024-04-28T00:00:00.000,P1,3396548.0,,EMILY,12437,2024-12-06T00:00:00.000,No,0,No,0,Approved,20 CLIFTON,
B00663408-P1,HARLEYSVILLE WORCESTER IN,2022-09-15T00:00:00.000,P1,3001236.0,HICKS MGT CORP,FRANK,9514,2022-04-29T00:00:00.000,No,0,No,0,Approved,"1435 65TH STREET, 2ND FL",
B00463628-P1,ATLANTIC CASUALTY,2022-01-17T00:00:00.000,P1,3116829.0,273 Martense Realty LLC,Tony,10985,2022-01-31T00:00:00.000,No,1,No,0,Approved,3006 TILDEN AVENUE,
X00457598-P2,UTICA FIRST INSURANCE CO,2022-03-15T00:00:00.000,P2,2080039.0,,GEORGE,13001,2021-07-31T00:00:00.000,No,3,No,0,Approved,"2568 17TH STREET, SUITE 101",
B08008368-P1,SOUTHWEST MARINE & GEN IN,2022-11-15T00:00:00.000,P1,3085766.0,,IMRON,12818,2023-09-22T00:00:00.000,No,0,No,0,Approved,"67 WEST STREET, SUITE 211",Sustainable Energy Installs
B00739710-P1,TRAVELERS INS COMPANY,2025-01-01T00:00:00.000,P1,3421345.0,RJ Capital Holdings,RON,12954,2023-05-16T00:00:00.000,No,1,No,0,Approved,338 FLUSHING AVE,
B00946303-P1,UTICA NATIONAL INSURANCE,2025-05-19T00:00:00.000,P1,3416853.0,Brooklyn,jack,11101,2023-12-31T00:00:00.000,No,0,No,0,Approved,202 PLYMOUTH STREET 1ST FLR,
B00435904-P1,STILLWATER PROPERTY & CAS,2022-04-27T00:00:00.000,P1,3335858.0,Brooklyn Bridge Park,LINDSEY,12524,2022-05-01T00:00:00.000,No,0,No,0,Approved,1475 EAST 222ND STREET,
B00865139-P1,UTICA FIRST INS,2024-07-22T00:00:00.000,P1,3056665.0,"20 RSW, LLC",DEREK,9840,2025-03-28T00:00:00.000,No,10,No,0,Approved,1325 FOSTER AVENUE,
B00004143-I1-EL,TRAVELERS INS COMPANY,2018-11-09T00:00:00.000,I1,3075417.0,J&C THRIFT SHOP,,12446,2017-12-07T00:00:00.000,No,0,No,0,Complete,126 SCOTT AVENUE,Minor Work
B00728163-P1,TRAVELERS INS COMPANY,2023-07-11T00:00:00.000,P1,3115918.0,BLUEROCK DEVELOPMENT & CONSTRUCTION,DANIEL,12810,2023-04-28T00:00:00.000,No,1,No,0,Approved,"4809 AVENUE N, SUITE 139",
B00980025-P1,ILLIONOIS UNION INS CO,2024-03-23T00:00:00.000,P1,3179297.0,,mohammed,11623,2024-06-20T00:00:00.000,No,0,No,0,Approved,1208 NEPTUNE AVENUE,Sustainable Energy Installs
M00500447-P1,HISCOX INSURANCE COMPANY,2021-10-01T00:00:00.000,P1,1026318.0,COLUMBUS OFFICE LLC,ANDREW,11899,2021-04-09T00:00:00.000,No,0,No,0,Approved,54-15 38TH AVENUE,
M00485954-P1,TRAVELERS PROP CASU INS,2022-08-01T00:00:00.000,P1,1085014.0,ORGANIC DELI & KIMCHI INC.,HEIDI,12835,2021-08-01T00:00:00.000,No,0,No,0,Approved,37-22 55TH STREET,
B01074386-P1,HUB International NE,2024-10-11T00:00:00.000,P1,3051554.0,PR,Eric,13129,2026-07-04T00:00:00.000,No,2,No,0,Approved,"745 5TH AVENUE, SUITE#500",
M00911556-I1-EL,HISCOX INSURANCE CO INC,2023-08-06T00:00:00.000,I1,1041938.0,,jeffrey,10619,2023-08-10T00:00:00.000,No,0,No,0,Complete,610 COLUMBUS AVENUE,Minor Work
B00382159-P1,PENN STAR INSURANCE CO,2024-07-21T00:00:00.000,P1,3116570.0,,Oren,9113,2021-08-07T00:00:00.000,No,2,No,0,Approved,94-24 88TH STREET,
B08025086-I1-EL,NORGUARD INSURANCE COMPAN,2023-10-12T00:00:00.000,I1,3245727.0,,Alla,11006,2025-10-01T00:00:00.000,No,0,No,0,Complete,502 CONEY ISLAND AVE,
Q00552694-I1-EL,GREAT AMERICAN INS COMPAN,2022-05-02T00:00:00.000,I1,4003131.0,QUEENS PROPERTY MANAGEMENT,JONATHAN,11986,2024-06-15T00:00:00.000,No,0,No,0,Complete,12 E 49TH STREET STE #14,Elevators/Escalator/Material Lift
Q00381300-I1-EL,HUDSON EXCESS INSURANCE,2022-08-24T00:00:00.000,I1,4188065.0,PR,MOHAMED,12821,2021-06-10T00:00:00.000,No,0,Yes,0,Cancel,2568 EAST 17TH STREET #101,
Q00511262-I1-EL,MIDVALE INDEMNITY COMPANY,2022-07-29T00:00:00.000,I1,4027349.0,Deol Holdings LLC,Jagdeep,13012,2022-04-27T00:00:00.000,No,0,No,0,Complete,55-10 37TH AVENUE,Sidewalk Shed Wiring & Lighting
M00620568-I1-EL,ILLINOIS UNION INSURANCE,2022-11-24T00:00:00.000,I1,1052384.0,,SANCHEZ,12243,2021-12-03T00:00:00.000,No,0,No,0,Complete,276 NORTH HENRY STREET,
M00507189-P1,UTICA NATIONAL GROUP,2022-01-19T00:00:00.000,P1,1090451.0,SKYLINE DEVELOPERS CONSTRUCTION,JACK,11451,2021-04-21T00:00:00.000,No,0,No,0,Approved,1040 AVENUE OF THE AMERICAS,
B00143086-P1,REPUBLI FRANKLIN INS CO,2022-01-21T00:00:00.000,P1,3244470.0,NYCSCA,GORDON,10492,2020-07-03T00:00:00.000,No,0,No,0,Approved,36-12 23RD STREET,
B00838225-P2,FALLS LAKE NATIONAL,2024-06-25T00:00:00.000,P2,3076885.0,,Miguel,12746,2025-03-04T00:00:00.000,No,4,No,0,Approved,6406 14TH AVENUE,
M00653106-I1-EL,MERCHANTS MUTUAL,2024-02-28T00:00:00.000,I1,1005292.0,TOMS REAL ESTATE,SHERMAN,11552,2022-01-28T00:00:00.000,No,0,No,0,Permit Issued,72-07 67TH STREET,
M00620757-I1-EL,MERCHANTS NUTUAL INS,2022-09-01T00:00:00.000,I1,1014489.0,MUJI U.S.A Limited,Lawrence,12870,2021-10-28T00:00:00.000,No,0,No,0,Complete,34-18 NORTHERN BLVD. #4-47,Minor Work
