job_number,total_billable_work_fee,zip,_10_points,temp_construction_svc,filing_type,borough,job_start_date,job_status,auth_rep_owner_relation,coo_related,owner_type,filing_date,block,gis_bbl,worker_comp_policy
B00748722,0.0,11220,0,No,New Job Filing,BROOKLYN,2022-06-01T00:00:00.000,Job is complete,Manager,No,Corporation,2022-06-01T00:00:00.000,5808,3058080040.0,K 1431 139 3
M00511851,30.0,11105,0,No,New Job Filing,MANHATTAN,2021-04-28T00:00:00.000,Inspection not complete due to withdrawal,,No,Corporation,2021-04-28T00:00:00.000,893,1008930017.0,G 1473 911-4
B00920878,125.0,11205,0,No,PAA,BROOKLYN,2023-08-17T00:00:00.000,Job in Process,,No,Corporation,2025-04-23T00:00:00.000,5170,3051707501.0,K2611493-4
B00917936,111.0,10309,0,No,PAA,BROOKLYN,2023-08-11T00:00:00.000,Job in Process,,No,Corporation,2023-09-27T00:00:00.000,6467,3064670012.0,2023-047208
B00196175,0.0,10312,0,No,New Job Filing,BROOKLYN,2019-07-22T00:00:00.000,Job is complete,,No,Individual,2019-07-18T00:00:00.000,5084,3050840034.0,2020-070125
M00486317,110.0,10013,0,No,PAA,MANHATTAN,2021-03-16T00:00:00.000,Job in Process,,No,Individual,2021-04-27T00:00:00.000,487,1004870012.0,N9WC1740906
B00501319,91.0,11214,0,No,PAA,BROOKLYN,2021-04-12T00:00:00.000,Job in Process,,No,Individual,2021-04-27T00:00:00.000,7671,3076710002.0,K 1457 558-3
X00501132,85.0,11215,0,No,New Job Filing,BRONX,2021-04-09T00:00:00.000,Job is complete,,No,Individual,2021-04-09T00:00:00.000,2452,2024520004.0,G1419 580-4
X00621313,837.5,11378-2318,1,No,PAA,BRONX,2021-10-29T00:00:00.000,Job in Process,,No,Corporation,2022-02-13T00:00:00.000,2215,1022157502.0,ABWCO982554
M00954943,0.0,11211,0,No,New Job Filing,MANHATTAN,2023-10-30T00:00:00.000,Job is complete,,No,Individual,2023-10-29T00:00:00.000,602,1006027501.0,92-EA-W042-1
B00650060,0.0,10003,0,No,New Job Filing,BROOKLYN,2021-12-17T00:00:00.000,Job is complete,special elect,No,Corporation,2021-12-17T00:00:00.000,968,3009680001.0,W373005
Q00552109,0.0,10022,0,No,New Job Filing,QUEENS,2021-07-06T00:00:00.000,Job is complete,,No,Individual,2021-07-05T00:00:00.000,12620,4126200022.0,H1110 105 2
Q00552250,0.0,11378,0,No,New Job Filing,QUEENS,2021-07-06T00:00:00.000,Job is complete,TENANT,No,Corporation,2021-07-06T00:00:00.000,2771,4027710062.0,UB0L6636782043G
M00902242,11.25,11419,0,No,PAA,MANHATTAN,2023-07-11T00:00:00.000,Job in Process,,No,Corporation,2023-09-29T00:00:00.000,1533,1015330122.0,Q 1338 058 9
B01062732,131.75,11220,0,No,PAA,BROOKLYN,2024-06-20T00:00:00.000,Job in Process,,No,Individual,2025-01-01T00:00:00.000,791,3007910066.0,2024-020001
B00703717,82.75,11224,0,No,PAA,BROOKLYN,2022-03-22T00:00:00.000,Job in Process,,No,Partenership,2023-06-28T00:00:00.000,6247,3062470034.0,K 1369 815-4
Q00552599,39.0,10002,0,No,New Job Filing,QUEENS,2021-07-06T00:00:00.000,Job is complete,,No,Individual,2021-07-06T00:00:00.000,8909,4089090014.0,4912823
B00830597,39.5,11215,0,No,PAA,BROOKLYN,2023-02-24T00:00:00.000,Job in Process,,No,Individual,2023-04-26T00:00:00.000,5282,3052820007.0,Z2570 839-7
M00301147,42.0,11104,0,No,PAA,MANHATTAN,2020-01-23T00:00:00.000,Job in Process,,No,Condo Unit Owner or Co-Op Tenant-Shareholder,2021-04-27T00:00:00.000,1186,1011860134.0,4584577
B00634994,46.0,10465,0,No,New Job Filing,BROOKLYN,2021-11-21T00:00:00.000,Job is complete,Electrical Cont,No,Individual,2021-11-20T00:00:00.000,2014,3020140048.0,2022-027931
B00749361,0.0,11101,0,No,New Job Filing,BROOKLYN,2022-06-01T00:00:00.000,Job is complete,,No,Other Government,2022-06-01T00:00:00.000,3137,3031370026.0,UB-3K315368
M00487145,0.75,11101,0,No,New Job Filing,MANHATTAN,2021-03-17T00:00:00.000,Job is complete,,No,Condo Unit Owner or Co-Op Tenant-Shareholder,2021-03-16T00:00:00.000,1502,1015020033.0,Q2387 949-7
Q00299558,30.0,10309,0,No,New Job Filing,QUEENS,2020-01-20T00:00:00.000,Job is complete,,No,Individual,2020-01-18T00:00:00.000,8844,4088440018.0,WCA 9099237
B00372628,0.0,11209,0,No,PAA,BROOKLYN,2020-07-17T00:00:00.000,Job in Process,,No,Corporation,2024-12-02T00:00:00.000,4894,3048940001.0,2024-035910
B00003675,131.0,11235,0,No,New Job Filing,BROOKLYN,2017-12-07T00:00:00.000,Job is complete,contractor,No,Corporation,2017-12-07T00:00:00.000,2540,3025400001.0,K2390 892-2
B00611842,100.25,11385,0,No,PAA,BROOKLYN,2021-10-14T00:00:00.000,Job in Process,,Yes,Individual,2021-10-28T00:00:00.000,585,3005850036.0,UB0N955119
X00489821,38.0,11215,0,No,New Job Filing,BRONX,2021-03-19T00:00:00.000,Job is complete,,No,Individual,2021-03-19T00:00:00.000,3209,2032090036.0,G1419 580-4
B00956048,53.0,11222,0,No,PAA,BROOKLYN,2023-10-31T00:00:00.000,Job in Process,,No,Individual,2023-12-28T00:00:00.000,4399,3043990019.0,WC101888004
M00511992,0.0,11101,0,No,New Job Filing,MANHATTAN,2021-04-28T00:00:00.000,Job is complete,,No,Corporation,2021-04-28T00:00:00.000,142,1001427501.0,KWC1230115
B00935162,929.0,11205,0,No,PAA,BROOKLYN,2023-09-18T00:00:00.000,Job in Process,,No,Corporation,2025-01-21T00:00:00.000,1188,3011880058.0,K2611493-4
B00968793,153.0,10463,0,No,PAA,BROOKLYN,2023-11-29T00:00:00.000,Job in Process,,No,Corporation,2024-01-27T00:00:00.000,865,3008650037.0,2023-024212
B00999999,101.0,10469-4806,0,No,PAA,BROOKLYN,2024-02-02T00:00:00.000,Job in Process,,No,Individual,2025-07-28T00:00:00.000,7204,3072040147.0,Z2565 823 5
B00621110,26.75,11354,0,No,New Job Filing,BROOKLYN,2021-10-28T00:00:00.000,Job is complete,,No,Individual,2021-10-28T00:00:00.000,5545,3055450022.0,Q 1390 810 8
B01184550,437.75,10309,1,No,PAA,BROOKLYN,2025-02-21T00:00:00.000,Job in Process,,No,Corporation,2025-11-07T00:00:00.000,1158,3011580073.0,76WEGBC2XLP
B00553049,0.0,11101,0,No,New Job Filing,BROOKLYN,2021-07-07T00:00:00.000,Job is complete,,No,Other Government,2021-07-07T00:00:00.000,1034,3010340001.0,UB-3K315368
Q00414763,8.0,11411,0,No,Subsequent Filing,QUEENS,2021-02-16T00:00:00.000,Job is complete,,No,Corporation,2021-02-16T00:00:00.000,9764,4097640091.0,76 WEG AH00HW
B00917935,111.0,10309,0,No,PAA,BROOKLYN,2023-08-11T00:00:00.000,Job in Process,,No,Corporation,2023-09-27T00:00:00.000,6489,3064890001.0,2023-047208
B00889389,360.75,11358,0,No,PAA,BROOKLYN,2023-06-13T00:00:00.000,Job in Process,,No,Corporation,2023-09-27T00:00:00.000,286,3002860014.0,WC 9568200
M00420027,60.0,11101,0,No,PAA,MANHATTAN,2020-12-11T00:00:00.000,Job in Process,,No,Corporation,2021-07-07T00:00:00.000,1235,1012350061.0,UB5N6668332125D
B00864487,3530.5,11216,2,No,PAA,BROOKLYN,2023-04-24T00:00:00.000,Job in Process,,No,Individual,2024-02-26T00:00:00.000,2273,3022730033.0,WCP02761087702
Q00478653,84.75,11215,0,No,New Job Filing,QUEENS,2021-03-06T00:00:00.000,Job is complete,,No,Individual,2021-03-05T00:00:00.000,13068,4130680256.0,G1419 580-4
B00541692,47.25,11215,0,No,New Job Filing,BROOKLYN,2021-06-18T00:00:00.000,Job is complete,,No,Individual,2021-06-18T00:00:00.000,178,3001780038.0,373838530101
B00818942,90.75,11432,0,No,PAA,BROOKLYN,2023-03-23T00:00:00.000,Job in Process,,No,Individual,2023-07-29T00:00:00.000,5398,3053980008.0,K 2198 485 1
M00183860,82.25,10013,0,No,PAA,MANHATTAN,2019-06-24T00:00:00.000,Job in Process,Owner,No,Corporation,2021-04-28T00:00:00.000,1010,1010100029.0,B-028
B00004073,255.0,11220,1,No,New Job Filing,BROOKLYN,2017-12-12T00:00:00.000,Job is complete,Owner,No,Individual,2017-12-12T00:00:00.000,992,3009920021.0,K 1431 139 3
M00389046,50.25,11201,0,No,PAA,MANHATTAN,2020-08-23T00:00:00.000,Job in Process,,No,Individual,2021-07-05T00:00:00.000,1396,1013960054.0,Z 946 175 7
M00438800,60.0,11101,0,No,PAA,MANHATTAN,2020-12-11T00:00:00.000,Job in Process,,No,Corporation,2021-07-07T00:00:00.000,1876,1018760001.0,UB5N6668332125D
B07999091,8.0,11101,0,No,New Job Filing,BROOKLYN,2022-09-06T00:00:00.000,Job is complete,,No,Other Government,2022-09-06T00:00:00.000,4744,3047440001.0,N9WC077970
M00511526,250.0,11103,0,No,PAA,MANHATTAN,2021-04-27T00:00:00.000,Job in Process,,No,Corporation,2021-04-27T00:00:00.000,1887,1018870022.0,SW5WC00296-211
M00131999,75.0,11223,0,No,PAA,MANHATTAN,2019-02-20T00:00:00.000,Job in Process,,No,Corporation,2021-04-28T00:00:00.000,859,1008590064.0,Z20559191
B00444181,270.0,11368,1,No,PAA,BROOKLYN,2020-12-23T00:00:00.000,Job in Process,,No,Corporation,2021-04-28T00:00:00.000,1804,3018040010.0,G1197 987 9
M00552146,0.0,11377,0,No,New Job Filing,MANHATTAN,2021-07-05T00:00:00.000,Job is complete,,No,Corporation,2021-07-05T00:00:00.000,1501,1015010033.0,12WECDS9159
B00552222,85.5,11215,0,No,New Job Filing,BROOKLYN,2021-07-05T00:00:00.000,Job is complete,,No,Individual,2021-07-05T00:00:00.000,4172,3041720047.0,G1419 580-4
Q00414763,6.75,11411,0,No,Subsequent Filing,QUEENS,2021-02-16T00:00:00.000,Job is complete,,No,Corporation,2021-02-16T00:00:00.000,9764,4097640091.0,76 WEG AH00HW
B00552139,65.0,11368,0,No,New Job Filing,BROOKLYN,2021-07-06T00:00:00.000,Job is complete,,No,NYCHA,2021-07-05T00:00:00.000,3341,3033410001.0,G1197 987 9
M00438484,38.0,11413,0,No,PAA,MANHATTAN,2020-12-09T00:00:00.000,Job in Process,E CONTRACTOR,No,Individual,2021-07-07T00:00:00.000,1681,1016810004.0,POWC240586
X00337508,728.75,11219-5076,0,No,New Job Filing,BRONX,2020-03-25T00:00:00.000,Job is complete,,Yes,Corporation,2020-03-25T00:00:00.000,2437,2024370008.0,K2411 819-2
M00620955,17.75,10467,0,No,New Job Filing,MANHATTAN,2021-10-29T00:00:00.000,Job is complete,,No,Individual,2021-10-28T00:00:00.000,1473,1014730018.0,APWC2553942
B00520110,38.0,10039,0,No,PAA,BROOKLYN,2021-06-26T00:00:00.000,Job in Process,,No,Individual,2021-07-07T00:00:00.000,450,3004500002.0,M2327 691-8
M00511403,69.25,10016,0,No,New Job Filing,MANHATTAN,2021-04-28T00:00:00.000,Job is complete,,No,Condo Unit Owner or Co-Op Tenant-Shareholder,2021-04-27T00:00:00.000,1420,1014207501.0,WC 9080301
B00552514,0.0,10470,0,No,New Job Filing,BROOKLYN,2021-07-06T00:00:00.000,Job is complete,,No,Corporation,2021-07-06T00:00:00.000,478,3004780042.0,KWC1202409
X00708830,217.75,11435,0,No,PAA,BRONX,2022-03-29T00:00:00.000,Job in Process,,Yes,Individual,2023-01-24T00:00:00.000,4768,,SUWC330628
M00881745,0.0,11235,0,No,New Job Filing,MANHATTAN,2023-05-27T00:00:00.000,Job is complete,,No,NYC Agency,2023-05-27T00:00:00.000,2097,1020970020.0,K2550 314-5
B00538842,84.75,11215,0,No,New Job Filing,BROOKLYN,2021-06-11T00:00:00.000,Job is complete,,No,Individual,2021-06-11T00:00:00.000,8270,3082700030.0,G1419 580-4
B00552955,0.0,11203,0,No,New Job Filing,BROOKLYN,2021-07-07T00:00:00.000,Job is complete,,No,Corporation,2021-07-07T00:00:00.000,324,3003240047.0,K 2185 568 9
M00344806,305.0,11385,0,No,PAA,MANHATTAN,2020-04-27T00:00:00.000,Job in Process,,No,Individual,2021-07-07T00:00:00.000,2110,1021100104.0,G2136 583-8
B00749398,0.0,11101,0,No,New Job Filing,BROOKLYN,2022-06-01T00:00:00.000,Job is complete,,No,Other Government,2022-06-01T00:00:00.000,4739,3047390001.0,UB-3K315368
Q00549584,15.0,11354,0,No,New Job Filing,QUEENS,2021-07-01T00:00:00.000,Job is complete,,No,Corporation,2021-06-29T00:00:00.000,4977,4049770157.0,2020-070473
M00563438,38.0,10022,0,No,PAA,MANHATTAN,2021-07-22T00:00:00.000,Job in Process,,No,Corporation,2022-07-23T00:00:00.000,1694,1016940005.0,H1110 105 2
Q00552918,20.5,11385,0,No,New Job Filing,QUEENS,2021-07-07T00:00:00.000,Inspection not complete due to withdrawal,,No,Condo Unit Owner or Co-Op Tenant-Shareholder,2021-07-06T00:00:00.000,7943,4079430200.0,2020-069980
Q00511724,263.5,11363,0,No,New Job Filing,QUEENS,2021-04-27T00:00:00.000,Job in Process,,No,Individual,2021-04-27T00:00:00.000,1490,4014900014.0,
B00813032,0.0,10469-4806,0,No,New Job Filing,BROOKLYN,2023-01-16T00:00:00.000,Job is complete,,No,Individual,2023-01-15T00:00:00.000,3114,3031140011.0,Z2565 823 5
B00812624,179.5,10304,0,No,PAA,BROOKLYN,2023-01-16T00:00:00.000,Job in Process,,No,Individual,2023-12-28T00:00:00.000,6888,3068880035.0,V1339 430-9
M00706976,23.0,10022,0,No,PAA,MANHATTAN,2022-03-25T00:00:00.000,Job in Process,,No,Corporation,2022-07-23T00:00:00.000,455,1004550028.0,H1110 105 2
B00613288,303.0,10460,0,No,PAA,BROOKLYN,2021-10-16T00:00:00.000,Job in Process,,No,Individual,2023-02-17T00:00:00.000,4212,3042120038.0,X2376 367-5
B01000440,5000.0,10018,0,No,PAA,BROOKLYN,2024-02-03T00:00:00.000,Job in Process,PM,No,Corporation,2024-04-24T00:00:00.000,2414,3024140027.0,UB-8X352221-24-
B00748712,1.0,11219,0,No,New Job Filing,BROOKLYN,2022-06-01T00:00:00.000,Job is complete,,No,Corporation,2022-06-01T00:00:00.000,7177,3071770024.0,2021-059032
M00458107,749.0,10310,0,No,Subsequent Filing,MANHATTAN,2021-01-29T00:00:00.000,Job is complete,VP,No,Partenership,2021-01-29T00:00:00.000,994,1009947504.0,UB-6P9825952126
B00464492,185.0,11232,0,No,PAA,BROOKLYN,2021-02-03T00:00:00.000,Job in Process,,No,Individual,2021-04-27T00:00:00.000,6286,3062860017.0,5196218
Q00476806,159.75,11420,0,No,New Job Filing,QUEENS,2021-02-27T00:00:00.000,Job is complete,,Yes,Individual,2021-02-26T00:00:00.000,12331,4123310089.0,2020-050289
B08024613,38.0,11215,0,No,New Job Filing,BROOKLYN,2022-10-20T00:00:00.000,Job is complete,,No,Individual,2022-10-20T00:00:00.000,8083,3080830051.0,G1419 580-4
B00911906,239.75,11358,0,No,PAA,BROOKLYN,2023-07-31T00:00:00.000,Job in Process,,No,Corporation,2024-02-27T00:00:00.000,2701,3027010035.0,WC 9568200
M00507671,170.0,10470,0,No,PAA,MANHATTAN,2021-04-21T00:00:00.000,Job in Process,,No,Corporation,2021-04-28T00:00:00.000,927,1009270001.0,W2346 372-2
Q00475375,23.0,11377,0,No,New Job Filing,QUEENS,2021-02-26T00:00:00.000,Job is complete,,No,Individual,2021-02-26T00:00:00.000,7180,4071800022.0,Q2377 756-8
B00874419,6.5,11218,0,No,PAA,BROOKLYN,2023-05-16T00:00:00.000,Job in Process,,No,Individual,2023-06-28T00:00:00.000,3303,3033030036.0,5183630
B08008452,46.0,11215,0,No,PAA,BROOKLYN,2022-09-28T00:00:00.000,Job in Process,,No,Individual,2022-10-20T00:00:00.000,5993,3059930006.0,Z2570 839-7
B00510986,59.0,11233,0,No,New Job Filing,BROOKLYN,2021-04-27T00:00:00.000,Job is complete,,No,Corporation,2021-04-27T00:00:00.000,1319,3013190002.0,K1429 323 7
B00434845,0.0,11210,0,No,PAA,BROOKLYN,2020-12-01T00:00:00.000,Job in Process,,No,Partenership,2022-06-01T00:00:00.000,3539,3035390039.0,CUWC366515
B01004310,5000.0,11205,1,No,PAA,BROOKLYN,2024-05-02T00:00:00.000,Job in Process,,No,Partenership,2025-03-17T00:00:00.000,1392,3013920073.0,WWC3727269
B00213134,7.5,10128,0,No,New Job Filing,BROOKLYN,2019-08-19T00:00:00.000,Job is complete,R A,No,NYCHA,2019-08-19T00:00:00.000,3787,3037870001.0,538
M00336973,113.75,10016,0,No,PAA,MANHATTAN,2020-03-24T00:00:00.000,Job in Process,,No,Corporation,2021-07-06T00:00:00.000,402,1004020056.0,GAWC194236
M00734527,1890.25,11419,1,No,PAA,MANHATTAN,2022-05-09T00:00:00.000,Job in Process,,Yes,Corporation,2024-01-27T00:00:00.000,1988,1019880012.0,N9WC556466
X00493476,3.75,10003,0,No,New Job Filing,BRONX,2021-03-26T00:00:00.000,Job is complete,specialelect,No,Corporation,2021-03-26T00:00:00.000,3653,2036530001.0,W373005
B00433440,173.0,11232,0,No,PAA,BROOKLYN,2020-11-26T00:00:00.000,Job in Process,,No,Individual,2023-10-29T00:00:00.000,7126,3071260002.0,SUB-108456
B00985919,125.0,10002,0,No,PAA,BROOKLYN,2024-01-04T00:00:00.000,Job in Process,,No,Individual,2025-03-17T00:00:00.000,809,3008090072.0,L 1329 893-0
B00715709,59.75,11226,0,No,PAA,BROOKLYN,2022-04-08T00:00:00.000,Job in Process,,Yes,Individual,2022-12-07T00:00:00.000,3911,3039110049.0,9363780000
B00892521,46.0,11221,0,No,PAA,BROOKLYN,2023-06-19T00:00:00.000,Job in Process,EC,No,Individual,2023-06-28T00:00:00.000,4105,3041050003.0,ROWC312753
B00484497,1.25,11429,0,No,Subsequent Filing,BROOKLYN,2021-04-28T00:00:00.000,Job is complete,,No,Corporation,2021-04-28T00:00:00.000,3235,3032357503.0,2454240-9
B00464593,338.0,11231,1,No,PAA,BROOKLYN,2021-03-01T00:00:00.000,Job in Process,,No,Corporation,2021-07-07T00:00:00.000,2134,3021347503.0,0800
Q00125436,2.0,11205,0,No,New Job Filing,QUEENS,2019-02-01T00:00:00.000,Job is complete,,No,Individual,2019-01-31T00:00:00.000,2611,4026110450.0,2021-002641
B00540858,84.0,11215,0,No,New Job Filing,BROOKLYN,2021-06-15T00:00:00.000,Job is complete,,No,Individual,2021-06-15T00:00:00.000,4972,3049720066.0,G1419 580-4
B00679987,2.5,10007,0,No,PAA,BROOKLYN,2022-02-16T00:00:00.000,Job in Process,,No,Corporation,2023-02-17T00:00:00.000,8590,3085900031.0,WC053441474 NY
X00126239,0.0,10470,0,No,New Job Filing,BRONX,2019-02-01T00:00:00.000,Job is complete,,No,Corporation,2019-02-01T00:00:00.000,3291,2032910004.0,KWC1202409
S00679664,405.0,10003,0,No,New Job Filing,STATEN ISLAND,2022-02-13T00:00:00.000,Job is complete,special elect,No,Corporation,2022-02-13T00:00:00.000,137,5001370001.0,W373005
M00393009,33.25,11101,0,No,New Job Filing,MANHATTAN,2020-09-01T00:00:00.000,Job is complete,,No,Individual,2020-08-31T00:00:00.000,899,1008990001.0,H 1461 229-5
Q00913481,131.0,11207,0,No,PAA,QUEENS,2023-08-03T00:00:00.000,Job in Process,,No,Individual,2023-10-29T00:00:00.000,12202,4122020042.0,2023-003480
M00244359,11.75,11104,0,No,PAA,MANHATTAN,2019-10-12T00:00:00.000,Job in Process,,No,Individual,2021-04-27T00:00:00.000,1416,1014167501.0,4584577
Q00461974,54.75,11101,0,No,PAA,QUEENS,2021-01-28T00:00:00.000,Job in Process,,No,Corporation,2021-07-06T00:00:00.000,224,4002240022.0,H 1461 229-5
M00553007,30.25,11385,0,No,PAA,MANHATTAN,2021-07-05T00:00:00.000,Job in Process,,No,Individual,2021-07-07T00:00:00.000,1915,1019150058.0,UB0N955119
X00511490,0.0,11106,0,No,New Job Filing,BRONX,2021-04-27T00:00:00.000,Job is complete,,No,HHC,2021-04-27T00:00:00.000,3273,2032730001.0,5260952
Q00552198,16.0,11428,0,No,New Job Filing,QUEENS,2021-07-05T00:00:00.000,Job is complete,,No,Individual,2021-07-05T00:00:00.000,9393,4093930017.0,2021-024020
B00739762,462.75,11377,1,No,PAA,BROOKLYN,2022-05-17T00:00:00.000,Job in Process,,No,Corporation,2022-10-20T00:00:00.000,6491,3064910011.0,DEWC390697
M00480706,23.25,11416,0,No,PAA,MANHATTAN,2021-03-04T00:00:00.000,Job in Process,,No,Individual,2021-04-27T00:00:00.000,202,1002020030.0,Q 2070 112 4
Q00549373,15.0,11354,0,No,New Job Filing,QUEENS,2021-06-29T00:00:00.000,Job is complete,,No,Corporation,2021-06-29T00:00:00.000,4961,4049610001.0,Q 2269 046-5
B00621627,399.5,11432,0,No,PAA,BROOKLYN,2021-10-29T00:00:00.000,Job in Process,,Yes,Individual,2025-04-23T00:00:00.000,5948,3059480048.0,K 2198 485 1
B00552302,0.0,11220,0,No,New Job Filing,BROOKLYN,2021-07-06T00:00:00.000,Job is complete,Partner,No,Partenership,2021-07-06T00:00:00.000,5658,3056580032.0,K 1332 531-1
B00811593,493.5,11101,0,No,PAA,BROOKLYN,2023-01-11T00:00:00.000,Job in Process,,No,Corporation,2023-09-27T00:00:00.000,2755,3027550015.0,ACW403532
B00813052,0.0,10469-4806,0,No,New Job Filing,BROOKLYN,2023-01-16T00:00:00.000,Job is complete,,No,Individual,2023-01-15T00:00:00.000,4243,3042430001.0,Z2565 823 5
M00679675,0.0,10018,0,No,New Job Filing,MANHATTAN,2022-02-25T00:00:00.000,Job is complete,,No,Individual,2022-02-13T00:00:00.000,1373,1013730040.0,M2380 178-0
X00511462,0.0,11106,0,No,New Job Filing,BRONX,2021-04-27T00:00:00.000,Job is complete,,No,HHC,2021-04-27T00:00:00.000,3273,2032730001.0,5260952
B00511268,0.0,10309,0,No,New Job Filing,BROOKLYN,2021-04-27T00:00:00.000,Job is complete,,No,Corporation,2021-04-27T00:00:00.000,8149,3081490001.0,KWC1208005
Q00674356,197.5,11432,0,No,PAA,QUEENS,2022-09-16T00:00:00.000,Job in Process,,No,Individual,2023-05-27T00:00:00.000,6436,4064360038.0,K 2198 485 1
M00692789,96.0,11377,0,No,PAA,MANHATTAN,2022-03-07T00:00:00.000,Job in Process,,No,Condo Unit Owner or Co-Op Tenant-Shareholder,2022-12-07T00:00:00.000,799,1007990060.0,12WECDS9159
X00428033,90.0,10455,0,No,New Job Filing,BRONX,2021-01-15T00:00:00.000,Job is complete,,No,Partenership,2021-01-14T00:00:00.000,2338,2023380003.0,2902W6718
B08036541,97.5,11209,0,No,PAA,BROOKLYN,2022-11-11T00:00:00.000,Job in Process,,No,Individual,2022-12-07T00:00:00.000,5339,3053390026.0,UB-5R043288-22
B00007420,23.0,11249,0,No,New Job Filing,BROOKLYN,2017-12-21T00:00:00.000,Job is complete,,No,Individual,2017-12-21T00:00:00.000,4518,3045180120.0,WC0136961-03
M00923762,225.0,10036,0,No,PAA,MANHATTAN,2023-08-23T00:00:00.000,Job in Process,,No,Corporation,2023-09-29T00:00:00.000,1280,1012800090.0,272
B00236173,637.0,11222,0,No,PAA,BROOKLYN,2019-09-26T00:00:00.000,Job in Process,,No,Corporation,2023-12-28T00:00:00.000,5388,3053880052.0,FRWC473782
B00842692,220.0,11220,0,No,PAA,BROOKLYN,2023-03-13T00:00:00.000,Job in Process,,No,Individual,2024-05-22T00:00:00.000,6601,3066010006.0,KWC1343755
B00622838,69.0,11216,0,No,PAA,BROOKLYN,2021-11-01T00:00:00.000,Job in Process,,No,Individual,2021-12-20T00:00:00.000,7760,3077600078.0,K2118 869-3
