_25_44,cd_10,cd_43,asian,cd_34,_65,hispanic,cd_15,cd_24,cd_42
536,27,16,86,13,97,361,39,17,35
0,*,0,0,0,0,*,0,0,0
0,0,0,0,0,0,*,0,0,0
54,*,*,12,0,18,42,*,0,*
*,0,0,*,0,0,*,0,0,0
*,*,0,*,0,*,*,*,0,*
0,0,0,0,0,0,0,0,0,0
"2,055",45,34,144,60,177,"1,168",126,27,104
19,*,0,*,*,38,33,*,*,*
*,0,0,0,0,0,0,0,0,0
3387,95,28,229,54,271,1964,353,45,134
0,0,0,0,0,*,*,0,0,0
0,0,0,0,0,0,0,*,0,0
*,*,0,0,0,*,*,0,*,0
0,0,0,0,0,0,*,0,0,0
*,0,0,0,0,0,0,0,0,0
4956,137,52,258,95,305,2606,397,76,249
28,0,*,*,0,12,25,*,0,*
*,0,0,0,0,0,*,0,0,0
1576,48,43,173,30,315,1084,168,33,100
*,0,0,0,0,0,0,0,0,0
145,*,0,14,*,49,109,14,*,13
*,0,0,*,0,0,*,0,0,0
17,*,*,19,*,82,43,*,0,*
25,*,0,0,0,*,13,0,0,*
0,0,0,*,0,0,0,0,0,0
0,*,0,0,0,*,*,0,0,0
*,0,0,0,0,*,*,0,0,*
28,*,0,12,0,19,19,*,*,*
1198,89,35,180,32,474,1024,91,23,84
*,0,0,0,0,0,*,0,0,0
*,0,0,0,0,0,0,0,0,0
*,0,0,0,0,0,*,0,0,*
*,0,0,0,0,0,*,0,0,0
*,0,0,0,0,0,0,0,0,0
18,0,0,*,0,0,*,*,0,0
*,*,*,*,0,*,*,0,0,0
*,0,0,0,0,0,0,0,0,0
*,0,0,0,0,0,*,0,0,0
*,0,0,0,0,0,*,0,0,0
0,0,*,*,0,23,*,0,*,0
55,*,0,*,*,22,56,*,0,*
*,0,0,0,0,0,*,*,0,0
*,0,0,0,0,0,*,0,0,0
615,31,12,77,23,44,444,45,11,41
19,0,0,0,*,0,*,*,0,*
15,*,*,15,0,119,52,*,*,*
*,0,0,0,0,0,0,0,*,*
623,34,14,120,23,89,427,45,16,39
*,0,0,*,0,0,0,0,0,0
*,0,0,0,0,0,*,*,0,0
46,*,0,*,*,10,32,*,*,0
924,55,18,115,22,60,642,80,16,54
505,24,13,75,17,42,338,36,11,19
0,0,0,0,0,0,*,*,*,0
32,0,0,*,0,*,17,*,*,*
1370,134,68,422,71,1488,1474,133,48,123
0,0,0,0,0,0,0,0,0,0
0,0,0,*,0,*,0,0,0,0
43,*,*,15,*,111,84,*,*,12
*,0,0,*,0,0,*,0,0,0
55,*,*,13,*,111,79,*,*,*
*,0,0,*,0,*,0,0,0,0
0,0,0,0,0,0,*,0,0,0
10,*,0,*,0,*,*,*,0,0
36,*,0,*,0,26,32,*,*,*
10,0,0,0,0,0,*,*,0,0
59,*,*,24,*,103,87,*,*,*
*,0,0,0,0,0,0,0,0,0
*,*,0,0,0,0,0,0,0,*
405,20,*,11,*,*,194,43,*,24
0,0,0,0,0,0,0,0,0,*
*,0,0,0,*,0,*,0,0,0
0,*,0,0,0,*,*,0,0,0
0,0,0,0,0,0,0,0,0,0
*,0,0,0,0,0,0,0,0,0
*,0,0,*,0,*,*,*,0,*
16,0,0,0,0,0,11,0,*,0
*,0,0,0,*,*,*,0,0,0
613,31,19,84,25,86,393,29,19,37
*,0,0,0,0,0,*,0,0,0
0,0,0,0,0,0,0,0,0,0
*,0,0,*,0,*,*,0,0,0
183,*,*,12,*,11,95,*,*,10
0,0,0,0,0,*,0,0,0,0
3406,256,131,875,133,1936,3143,276,86,245
11,*,*,*,*,22,23,*,0,*
584,*,11,28,34,26,238,15,*,93
194,138,51,338,40,2036,1198,146,30,60
1067,81,30,270,54,895,1037,103,28,92
14,0,*,*,*,*,11,*,0,*
*,0,0,0,0,*,0,0,0,0
11,*,0,*,0,10,10,*,*,*
986,47,17,96,28,54,679,77,20,58
*,*,0,*,0,0,0,0,0,0
134,*,*,*,*,*,59,*,*,*
*,0,0,0,0,0,*,*,0,0
711,27,13,86,32,148,516,44,15,47
32,0,0,11,*,22,26,*,*,*
*,0,0,0,*,*,*,0,0,0
1686,102,55,292,68,236,1303,122,42,93
*,0,0,0,0,0,0,0,0,0
*,0,0,0,0,0,*,0,0,0
16,*,0,0,*,0,*,*,0,0
*,0,0,0,*,*,*,0,0,0
*,0,0,0,0,0,0,0,0,*
*,0,0,0,0,0,*,*,0,0
