bike_store_6,residence_rent_own,scooter_typical_charge_1,diary_platform,reduced_bike_1,increased_veh_5,bike_store_2,r_num_vehicles,increased_bike_997,increased_bike_1,packages,reduced_veh_2,ev_purchase_barriers_1,increased_veh_8,increased_bike_2,increased_veh_6,ev_purchase_barriers_3,participation_group,reduced_veh_3,scooter_typical_charge_6,bike_store_9,ev_typical_charge_7,scooter_typical_charge_5,num_vehicles,bike_store_3,ev_typical_charge_4,ev_typical_charge_2,hh_weight,reduced_veh_997
995,2,995,browser,0,995,995,0,995,995,2,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,93.41631101,995
0,1,995,rmove,995,995,1,0,995,995,1,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,765.9809916,995
995,2,995,rmove,995,995,995,0,995,995,6,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,177.4440306,995
995,1,995,browser,995,995,995,0,995,995,2,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,5463.878655,995
995,995,995,rmove,995,995,995,0,995,995,995,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,3104.045825,995
995,2,995,rmove,995,995,995,1,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,1,995,995,995,451.8591782,995
1,2,995,rmove,0,995,0,0,995,995,997,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,213.0680177,995
995,1,995,rmove,995,995,995,2,995,995,2,995,0,995,995,995,0,9,995,995,995,995,995,2,995,995,995,1349.119699,995
0,2,995,rmove,995,995,0,0,0,0,2,995,995,995,0,995,995,9,995,995,0,995,995,0,0,995,995,388.0474723,995
995,2,995,call,995,995,995,0,995,995,2,995,995,995,995,995,995,5,995,995,995,995,995,0,995,995,995,176.9614957,995
0,2,995,rmove,995,995,1,1,0,0,2,995,995,995,0,995,995,9,995,995,0,995,995,1,0,995,995,1653.956396,995
995,2,995,rmove,995,995,995,1,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,1,995,995,995,3965.699149,995
995,2,995,rmove,995,995,995,0,995,995,997,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,10032.40369,995
