gispropnum,objectid,omppropid,communityb,jurisdicti,permitdist,signname,location
B111A,4838,B111A,306,DPR/DOE,B-06,Washington Park,"5 St., 4 St. bet. 4 Ave. and 5 Ave."
B160,6103,B160,311,DPR,B-11,Ketchum Triangle,"Quentin Rd., Kings Hwy., W. 9 St."
Q025,5859,Q025,412,DPR,Q-12,Major Mark Park,Hillside Ave. bet. 173 St. and 175 St.
X017,5700,X017,205,DPR,X-05,Richman (Echo) Park,Valentine Av bet. E Tremont Av and E Burnside Ave
B102,5059,B102,302,DPR,B-02,Crispus Attucks Playground,Classon Ave. bet. Fulton St. and Lefferts Pl.
M103,4831,M103,102,DPR,M-02,Tony Dapolito Recreation Center,"Carmine St. and Clarkson St., 7 Ave."
B245,5498,B245,308,DPR,B-08,St. John's Park,"Troy Ave., Bergen St., Prospect Pl., Schenectady Ave."
M233,4930,M233,107,DPR/DOE,M-07,Matthew P. Sapolin Playground,W. 70 St. bet. W. End Ave. and Amsterdam Ave.
B223R,4622,B223R,301,DPR,B-01,Jaime Campiz Playground,"Hope St., Marcy Ave., Metropolitan Ave."
Q277,5763,Q277,412,DPR,Q-12,South Gate Mall,Southgate Plaza bet. 140 Ave. and 139 Ave.
B559,11889,B559,306,DPR,B-06,South Brooklyn Children's Garden,Columbia St. bet. Sackett St. and De Graw St.
X346,4752,X346,206,DPR,X-06,Volky Garden & Flowers,Hornaday Pl bet. Crotona Pkwy and Mohegan Av
X149,6436,X149,210,DPR,X-10,Miele Park,Bruckner Blvd bet. Hollywood Ave. and Crosby Ave.
M231,69243,M231,107,DPR/Lincoln Center,M-07,Damrosch Park,Amsterdam Ave. and W. 62 St.
B259,4849,B259,302,DPR,B-02,Underwood Park,Lafayette Ave. bet. Waverly Ave. and Washington Ave.
Q020,5389,Q020,"305, 405",DPR,Q-05A,Highland Park,"Jackie Robinson Pkwy., Vermont Ave., Highland Blvd. bet. Bulwer Pl. and Cypress Hills St."
M401,6630,M401,111,DPR,M-11,Lydia's Magic Garden (El Girasol Magic Garden),Park Ave. bet. E. 117 St. and E. 118 St.
B278,5469,B278,305,DPR/CDOT,B-05,Sam Leggio Triangle,"Highland Pl. at Etna St., Forcetube Ave."
B246,6645,B246,305,DPR/DOE,B-05,Jerome Playground,Wortman Ave. between Jerome St. and Warwick St.
R004,6575,R004,501,CDOT,R-01,Barrett Triangle,"Hyatt St., Bay St., Stuyvesant Pl. and Richmond Ter."
B569,13891,B569,305,DPR,,Chestnut Street Garden,Chestnut St. bet. Jamaica Ave. and Etna St.
X010A,6595,X010A,206,DPR,X-06,Tremont Park,E 175 St to E Tremont Av bet. 3 Av and Arthur Ave
R114,5080,R114,501,DPR,R-01,Jennifer's Playground,"Jules Dr., Elson Ct., Regis Dr."
X 296,4769,X296,204,DPR,X-04,Taqwa Community Farm,W 164 St and Nelson Av bet. Ogden Av and Woodycrest Ave
M249,4947,M249,104,DPR,M-04,Penn South Playground,"W. 26 St., 8 Ave. To 9 Ave."
Q474A,5025,Q474A,404,DPR,Q-04,Corona Taxpayers Association,102 St. bet. Radcliff Ave. and Strong Ave.
B144,5481,B144,316,DPR/DOE,B-16,Ocean Hill Playground,"Dean St., Bergen St. bet. Rockaway Ave.and Hopkinson Ave."
R017A,69245,R017A,502,DPR,R-02,Greenbelt Native Plant Center,Victory Blvd. bet. Ridgeway Ave. and Travis Ave.
B243,6644,B243,302,DPR,B-02,Golconda Playground,Gold St. between Nassau St. and Concord St.
B223V,5787,B223V,301,DPR/CDOT,B-01,Badame Sessa Triangle,"Leonard St., Withers St., Meeker Ave."
Q002,5490,Q002,405,DPR,Q-05,Grover Cleveland Playground,Stanhope St. bet. Fairvier Ave. and Grandview Ave.
e088,69247,R088,502,DPR,R-02,High Rock Park,"Richmond Pkwy., Manor Rd., Summit Ave., Rockland Ave., and Moravian Cemetary"
R147,6395,R147,502,DPR,R-02,South Beach Wetlands,"Qunitard St., Pearsall St., Frank Capodanno Blvd."
Q357I,6296,Q357I,411,DPR/SDOT,Q-11,Nassau Mall,"Horace Harding Exwy. Sr. Rd. N., Little Neck Pkwy., Nassau Blvd."
X096,4807,X096,212,DPR,X-13,Rita Ley Triangle,"E 238 St, Oneida Av, Van Cortlandt Park E"
M042,6326,M042,112,DPR,M-12,Inwood Hill Park,"Dyckman St, Hudson River, Harlem River S"
Q162J,6305,Q162J,414,DPR,Q-14,Beach 17 Playground,Seagirt Blvd bet. B. 17 St. and B. 12 St.
X286,4733,X286,203,DPR,X-03,Rev Lena Irons Unity Park,E 168 St bet. Washington Av and 3 Av
M340,4997,M340,110,DPR,M-10,Elizabeth Langley Memorial Garden,W. 137 St. bet. Lenox Ave. and Adam C Powell Blvd.
X283,5692,X283,205,DPR,X-05,Beanstalk Playground,Billingsley Ter bet. Phelan Pl and Sedwick Av
B411,5225,B411,306,DPR,B-06,Summit Street Community Garden,Summit St. bet. Columbia St. and Hicks St.
Q096,69236,Q096,"410, 412, 413",DPR/CDOT,Q-10,Belt Parkway,Belt Pkwy. bet. Cross Bay Blvd. and Laurelton Pkwy.
B357,5092,B357,309,DPR/DOE,B-09,Jackie Robinson Playground,Montgomery St. between Franklin Ave. and McKeever Pl.
X148E1,5707,X148E1,205,DPR,X-05,Park,Cross Bronx Exwy Service Rd N bet. Monroe Av and Topping Av
M344,5001,M344,111,DPR,M-11,Humacao Community Garden,E. 108 St. bet. 1 Ave. and 2 Ave.
B042,6010,B042,312,DPR,B-12,Gravesend Park,"18 Ave., 19 Ave., bet. 55 St. and 58 St."
Q346,6293,Q346,411,DPR/DOE,Q-11,Challenge Playground,251 St. bet. 61 Ave. and 63 Ave.
M406,13487,M406,110,DPR,,Harlem Grown 134th Street Green House,W. 134 St. bet. Adam C. Powell Blvd. and Lenox Ave.
R080,6060,R080,503,DPR,R-03,Annadale Green,"Annadale Rd., Jefferson Blvd., N. Railroad St."
Q299,21493,Q299,403,DPR,Q-03,Overlook Park,"Ditmars Blvd., 22 Dr. bet. 97 St. and 100 St."
X078,5635,X078,203,DPR,X-03,Franklin Triangle,3 Ave. at Franklin Ave.
X331,4785,X331,205,DPR,X-05,Townsend Garden,E. 175th St. at Walton Ave.
X300,4790,X300,205,DPR,X-05,Davidson Playground,W. 180 St. bet. Davidson Ave. and Grand
q512,66000,Q512,412,DPR,,Garden,Linden Blvd. bet. Farmers Blvd. and 190 St.
X177,5999,X177,209,DPR/DOE,X-09,Castle Hill Playground,"Castle Hill Av, Parker St"
B453,5253,B453,305,DPR,B-05,Concerned Residents of Montauk Avenue,Montauk Ave. between Pitkin Ave. and Belmont Ave.
M409,20296,M409,110,DPR,,Harlem Grown 127th Street Learning Annex,W. 127 St. bet. Lenox Ave. and Adam Clayton Powell Jr. Blvd.
X028,5673,X028,204,DPR,X-04,Joyce Kilmer Park,Grand Concourse to Walton Av bet. E 161 St and E 164 St
B118B,5431,B118B,306,DPR,B-06,St. Mary's Park,Smith St. bet. Nelson St. and Huntington St.
M203A,4871,M203A,106,DPR,M-06,Trygve Lie Plaza,"1 Ave., bet. E. 41 St. and E. 42 St."
X011,5680,X011,"203, 206",DPR,X-06,Crotona Parkway Malls,Crotona Pkwy bet. Bronx Park South and E 175 St
Q429,5379,Q429,401,DPR/DOE,Q-01,Spirit Playground,36 Ave bet. 9 St. and 10 St.
M278,4973,M278,102,DPR,M-02,Jefferson Market Garden,W. 9 St. Ave. Of Americas and Greenwich Ave.
M323,4987,M323,111,DPR,M-11,Diamante Garden,E. 118 St. bet. 1 Ave. and 2 Ave.
Q357F,6262,Q357F,411,DPR,Q-11,Park,Horace Harding Exwy. Sr. Rd. N. bet. Overbrook St. and 248 St.
Q483,5932,Q483,404,DPR,Q-04,Corona Health Sanctuary,"Corona Ave. bet. 104 St. and 106 St., 50 Av."
M125B,4655,M125B,102,DPR,M-02,Minetta Playground,"Minetta Lane, W. 3 St. and Ave. of Americas"
Q360U,5559,Q360U,402,DPR,Q-02,Bridge and Tunnel Park,50 Ave. bet. 11 St. and 11 Pl.
Q057,5868,Q057,402,DPR,Q-02,Sohncke Square,"Woodside Ave., 58 St., Roosevelt Ave."
R158,5970,R158,501,DPR,R-01,Fort Hill Park,Sherman Ave. bet. Fort Pl. and Hendricks Ave.
M122,4652,M122,103,DPR,M-03,Captain Jacob Joseph Playground,Rutgers St. and Henry St.
B210W,4842,B210W,310,DPR,B-10,John J Carty Park,Ft. Hamilton Pkwy. bet. 94 St. and 101 St.
Q455,5122,Q455,414,DPR,Q-14,Rockaway Garage,Amstel Blvd. bet. Beach 75 St. and Beach 74 St.
M130,4650,M130,106,DPR,M-06,Recreation Center 54,E. 54 St. bet. 1 Ave. and 2 Ave.
Q400,5353,Q400,411,DPR/DOE,Q-07A,Oakland Gardens,Springfield Blvd. bet. 53 Ave. and 56 Ave.
R137A,6303,R137A,503,DPR,R-03,Garden,Bayview Ter. bet. Holdridge Ave. and Bennett Pl.
M069,4710,M069,102,DPR,M-02,Vesuvio Playground,Thompson St bet. Spring St and Prince St
B385,4593,B385,301,DPR,B-01,WNYC Transmitter Park,West St. bet. Kent St. and Greenpoint Ave.
Q262,6371,Q262,411,DPR,Q-11,Alameda Malls,"Alameda Ave. bet. Northern Blvd., Hanford St. and Northern Blvd., 247 St."
X162,5540,X162,211,DPR,X-11,Parkside Playground,Arnow Ave. bet. Olinville Ave. and White Plains Rd.
M189,6616,M189,109,DPR,M-09,Roosevelt Triangle,W. 125 St. and Morningside Ave.
B331,6673,B331,313,DPR/DOE,B-13,Neptune Playground,W. 12 St. between Neptune Ave. and Surf Ave.
R118,5049,R118,502,DPR,R-02,Reed's Basket Willow Swamp Park,"Ocean Ter., Emerson Ct., Merrick Ave., Chapin Ave."
B252,5135,B252,313,DPR,B-13,West Playground,Ave. Z between W. 1 St. and West St.
B223DB,6146,B223DB,302,DPR,B-02,Brooklyn Heights Promenade,BQE bet. Joralemon St. and Grace Ct.
B236,4830,B236,318,DPR,B-18,Glenwood Playground,Ralph Ave. and Farragut Rd.
Q410,5500,Q410,403,DPR,Q-03,Hinton Park,"114 St., 113 St. bet. 34 Ave. and 37 Ave."
B210U,5566,B210U,310,DPR,B-10,Park,92 St. bet. Gowanus Exwy. and Ft. Hamilton Pkwy.
X142,6290,X142,208,DPR,X-08,Riverdale Park,"Hudson River, W 254 St, Palisade Av, W 2"
Q4 64,5569,Q464,414,DPR,Q-14,Brant Point Wildlife Sanctuary,Beach 72 St. bet. Bayfields Ave. and Hillmeyer Ave.
R006,4619,R006,503,DPR,R-03,Conference House Park,"Pittsville St., Hylan Blvd. Richard Ave."
B166B,6106,B166B,315,DPR,B-15,Homecrest Playground,"Belt Pkwy., Williams Court  bet. E. 12 St. and Homecrest Ave"
B336A,69252,B336A,313,DPR,B-13,Lot,Surf Ave. between W. 22 St. and W. 21 St.
X214,5412,X214,212,DPR/DOE,X-12,Magenta Playground,Olinville Ave. at Rosewood St.
X271,4771,X271,204,DPR,X-04,Grant Park,E 170 St bet. Sheridan Av and Morris Av
B058,6215,B058,301,DPR,B-01,McCarren Park,"N. 12 St., Lorimer St., Manhattan Ave. bet. Bayard St. and Berry St. - Nassau Ave."
B367,6568,B367,316,DPR/NYCHA,B-16,Livonia Park,Livonia Ave. between Powell St. and Junius St.
Q220G,5899,Q220G,408,DPR,Q-08,Hoover - Manton Playgrounds,"Manton St. bet. 83 Ave., 134 St. and Main St."
Q360Q,5552,Q360Q,405,DPR/SDOT,Q-05,Sitting Area 127 CXXVII,"69 Ln., 58 Rd., Queens - Mid-Town Exwy. Sr. Rd. S."
M227,4925,M227,106,DPR/DOE,M-06,Peter's Field,"E. 20 St. To E. 21 St., 1 Ave. To 2 Ave."
M120B,6108,M120B,102,DPR,M-02,Playground of the Americas,"S/s W. Houston St., Ave. of Americas"
M208G,5849,M208G,111,DPR,M-11,Harlem River Park,E. 127 St. and Harlem River Drive
R077,6056,R077,501,DPR,R-01,St. George Park,Stuyvesant Pl. bet. Wall St. and Hamilton Ave.
Q208,5892,Q208,413,DPR,Q-13,Litchhult Square,"Jamaica Ave., Hempstead Ave. bet. 212 Pl and 213 St."
B431,6341,B431,"302, 306",DPR/BBPC,B-02,Brooklyn Bridge Park,"Furman St.,Water St. and John St. bet. Atlantic Ave.,Old Fulton St.,Main St.,Adams St., and Jay St."
B029,69228,B029,"308, 309",DPR,B-08,Eastern Parkway,Eastern Pkwy. bet. Grand Army Plaza and Ralph Ave.
M003,4814,M003,109,DPR,M-09,Annunciation Playground,"Convent and Amsterdam Av, W 135 St"
X350,5467,X350,203,DPR,X-03,A. Badillo Community Rose Garden and Park,Melrose Ave. bet. E. 162 St. and E. 163 St.
Q304,5904,Q304,406,DPR,Q-06,Ehrenreich-Austin Playground,Austin St. bet. 76 Ave. and 76 Dr.
R150,5863,R150,501,DPR,R-01,Graniteville Quarry Park,"Forest Ave. Wilcox Ave., bet. Van Name Ave. and Eunice Pl."
B240,6191,B240,315,DPR,B-15,Tucker Place,E. 27 St. and Emmons Ave.
B555,5524,B555,304,DPR,B-04,Beaver Noll Park,Beaver St. bet. Locust St. and Arion Pl.
M361,5013,M361,103,DPR,M-03,Lower East Side Ecology Center,E. 7 St. bet. Ave. B and Ave. C
B141,6435,B141,305,DPR,B-05,City Line Park,Atlantic Ave. bet. Fountain Ave. and N. Conduit Ave.
M290,4596,M290,111,DPR,M-15,Pier 107 CVII,FDR Dr. at E. 107 St.
X154,6611,X154,201,DPR,X-01,Melrose Playground,Courtlandt Av bet. E 154 St and E 155 St
B223OC,5123,B223OC,301,DPR,B-01,Rodney Park South,"Division Ave., Rodney St., S. 9 St."
B586,39507,B586,313,DPR,,Garden,Surf Ave. bet. W. 28 St. and W. 29 St.
B53,5305,B533,316,DPR,B-16,Abib Newborn Garden,Newport St. and Osborn St.
M345,5002,M345,103,DPR,M-03,Kenkeleba House Garden,E. 2 St. bet. Ave. B and Ave. C
B324,5180,B324,318,DPR,B-18,Jacob Joffe Fields,Ave. K between E. 58 St. and E. 59 St.
Q504,6322,Q504,403,DPR,Q-03,Park,"Astoria Blvd., 24 Ave., 81 St."
B116,6058,B116,316,DPR,B-16,Zion Triangle,"Pitkin Ave., E. New York Ave. bet. Crafton St. and Legon St."
Q441,4669,Q441,403,DPR,Q-03,Fisher Pool,32 Ave. bet. 99 St. and 100 St.
B265,5142,B265,307,DPR,B-07,Rainbow Playground,6 Ave. bet. 55 St. and 56 St.
Q215,5443,Q215,401,DPR,Q-01,Whitey Ford Field,"26 Ave., bet. 1 St. and 2 St."
32,6637,R132,503,DPR,R-03,Bunker Ponds Park,"Hylan Blvd., Chester Ave., Arbutus Ave., Huguenot Ave."
X287,5688,X287,204,DPR,X-04,Ogden Plimpton Playground,"Ogden Av, Plimpton Av, W 170 St"
M403,11486,M403,110,DPR,M-10,Walter Miller III Memorial Garden (La Casa Frela),W 119 St. bet. Lenox Ave. and 5 Ave.
M298,4975,M298,110,DPR,M-10,Unity Gardens,W. 128. St. bet. 5 Ave. and Lenox Ave.
B297,5403,B297,312,DPR/DOE,B-12,Albemarle Playground,"Albemarle Rd., Dahill Rd., Mcdonald Ave."
X136,4797,X136,207,DPR,X-07,Harris Park,Paul Ave. - Goulden Ave. bet. Bedford Par
