omppropid,subcategor,mapped,url,name311,precinct
Q396,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/Q396/,Montbellier Park,113.0
B408,Greenthumb,False,http://www.nycgovparks.org/parks/B408/,Human Compass Garden,76.0
B117,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/B117/,Lindsay Triangle,90.0
M011,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/M011/,Chelsea Park,10.0
X016,Neighborhood Park,True,http://www.nycgovparks.org/parks/X016/,Owen F. Dolen Park,45.0
M184,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/M184/,Samuel N. Bennerson 2nd Playground,20.0
B389,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/B389/,Umma Park,70.0
M316,Greenthumb,False,http://www.nycgovparks.org/parks/M316/,Rev. Linnette C Williamson Memorial Park,32.0
M318,Building,False,http://www.nycgovparks.org/parks/M318/,Merchant's House Museum,9.0
M206,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/M206/,Tanahey Playground,5.0
B510,Greenthumb,False,http://www.nycgovparks.org/parks/B510/,Marcus Garvey Tenant's Assoc. Garden,73.0
B356,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/B356/,North Pacific Playground,84.0
R010,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/R010/,Staats Circle,122.0
M148,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/M148/,White Playground,23.0
X147B,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/X147B/,Daniel Boone Playground,42.0
B486,Greenthumb,False,http://www.nycgovparks.org/parks/B486/,Green Valley Garden,73.0
Q075,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/Q075/,Glendale Veterans Triangle,104.0
X018,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/X018/,Echo Triangle,46.0
Q140,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/Q140/,Barclay Triangle,115.0
Q341C,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/Q341C/,Sherry Dog Run,108.0
Q041,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/Q041/,Newtown Playground,110.0
B430,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/B430/,Lewis Playground,81.0
R076,JOP,True,http://www.nycgovparks.org/parks/R076/,Markham Playground,120.0
B217,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/B217/,Marcy Playground,79.0
Q212,JOP,False,http://www.nycgovparks.org/parks/Q212/,Queens Valley Playground,107.0
X168,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/X168/,Nelson Playground,44.0
Q447,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/Q447/,Brinkerhoff Mall,113.0
B080,Large Park,True,http://www.nycgovparks.org/parks/B080/,Asser Levy Park,60.0
B484,Greenthumb,False,http://www.nycgovparks.org/parks/B484/,Gregory's Garden,75.0
Q205A,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/Q205A/,Big Bush Playground,108.0
B223K,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/B223K/,Trinity Park,84.0
R138,Undeveloped,False,http://www.nycgovparks.org/parks/R138/,Kingdom Pond Park,123.0
R079,Large Park,True,http://www.nycgovparks.org/parks/R079/,Lemon Creek Park,123.0
B301,JOP,False,http://www.nycgovparks.org/parks/B301/,Greene Playground,88.0
Q337,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/Q337/,Maurice A FitzGerald Playground,102.0
M283,Large Park,True,http://www.nycgovparks.org/parks/M283/,Battery Park City,1.0
B360,JOP,False,http://www.nycgovparks.org/parks/B360/,Remsen Playground,69.0
M255,Neighborhood Park,True,http://www.nycgovparks.org/parks/M255/,James Madison Plaza,5.0
B255L,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/B255L/,"Captain John McKenna, IV Park",72.0
B342,JOP,False,http://www.nycgovparks.org/parks/B342/,100% Playground,69.0
B553,,False,,61 Franklin St Garden,94.0
Q211,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/Q211/,Maple Playground,109.0
M229,JOP,False,http://www.nycgovparks.org/parks/M229/,Happy Warrior Playground,24.0
Q353,JOP,False,http://www.nycgovparks.org/parks/Q353/,Grassmere Playground,101.0
R078,Neighborhood Park,True,http://www.nycgovparks.org/parks/R078/,Northerleigh Park,120.0
Q472,Large Park,False,http://www.nycgovparks.org/parks/Q472/,Vernam Barbadoes Peninsula,100.0
X187,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/X187/,Givan Square,49.0
Q408,JOP,False,http://www.nycgovparks.org/parks/Q408/,Harold Schneiderman Playground,106.0
X297,To Be Determined,False,http://www.nycgovparks.org/parks/X297/,Garden Of Eden,44.0
M281,Greenthumb,False,http://www.nycgovparks.org/parks/M281/,Clinton Community Garden,18.0
B415,Greenthumb,False,http://www.nycgovparks.org/parks/B415/,Georgia Ave Garden,75.0
X205,JOP,False,http://www.nycgovparks.org/parks/X205/,Black Rock Playground,43.0
R128,Large Park,False,http://www.nycgovparks.org/parks/R128/,Shooters Island,120.0
M294,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/M294/,Ruppert Park,19.0
M296,Greenthumb,False,http://www.nycgovparks.org/parks/M296/,132 St Block Association Park,32.0
X008,Large Park,Part,http://www.nycgovparks.org/parks/X008/,Claremont Park,44.0
B491,Greenthumb,False,http://www.nycgovparks.org/parks/B491/,Shield Of Faith,75.0
M045,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/M045/,John Jay Park,19.0
M124,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/M124/,First Park,9.0
Q453,Large Park,False,http://www.nycgovparks.org/parks/Q453/,Queens Farm Park,105.0
Q267,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/Q267/,Court Square Park,108.0
X207,JOP,False,http://www.nycgovparks.org/parks/X207/,Pontiac Playground,40.0
M065,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/M065/,Luther Gulick Park,7.0
Q045,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/Q045/,Andrews Grove,108.0
Q152,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/Q152/,Horsebrook Island,110.0
Q066B,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/Q066B/,Triborough Bridge Playground B,114.0
X232,JOP,False,http://www.nycgovparks.org/parks/X232/,Burns Playground,49.0
Q333,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/Q333/,Ravenswood Playground,114.0
R060,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/R060/,Dodgers Triangle,120.0
B022,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/B022/,Middleton Playground,90.0
Q360Y1,,True,http://www.nycgovparks.org/parks/Q360Y/,Park,104.0
M305,Greenthumb,False,http://www.nycgovparks.org/parks/M305/,Collyer Brothers Park,32.0
Q440,Undeveloped,True,http://www.nycgovparks.org/parks/Q440/,Hilton Holiday Gardens,113.0
Q101,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/Q101/,Middle Village Playground,104.0
Q012,Large Park,True,http://www.nycgovparks.org/parks/Q012/,Crocheron Park,111.0
Q378,JOP,False,http://www.nycgovparks.org/parks/Q378/,Ampere Playground,102.0
Q477,Undeveloped,True,http://www.nycgovparks.org/parks/Q477/,Two Coves Community Garden,114.0
Q162,Large Park,True,http://www.nycgovparks.org/parks/Q162/,Rockaway Beach and Boardwalk,100.0
R127,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/R127/,Joseph Manna Park,120.0
X148A4,STRIP,True,http://www.nycgovparks.org/parks/X148A4/,Park,46.0
M079,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/M079/,St. Catherine's Park,19.0
M306,Greenthumb,False,http://www.nycgovparks.org/parks/M306/,W 104th Street Garden,24.0
B461,Greenthumb,False,http://www.nycgovparks.org/parks/B457/,Euclid Garden,75.0
X224,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/X224/,MacLaughlin Playground,50.0
M273,Building,False,http://www.nycgovparks.org/parks/M273/,Wagner Houses Pool,25.0
Q047,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/Q047/,Queens Village Veterans Plaza,105.0
M388,,False,,Carolina Garden,25.0
B179,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/B179/,Flatbush Malls,70.0
M399,Neighborhood Park,True,http://www.nycgovparks.org/parks/M399/,Bella Abzug Park,10.0
B168,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/B168/,Continental Army Plaza,90.0
X006,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/X006/,Bergen Triangle,46.0
B525,,False,http://www.nycgovparks.org/parks/B525/,Sumpter Community Garden,81.0
B392,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/B392/,Lott Park,67.0
R059,Large Park,True,http://www.nycgovparks.org/parks/R059/,Von Briesen Park,120.0
M254,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/M254/,Gustave Hartman Square,9.0
X063,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/X063/,Martin Luther King Triangle,41.0
M159,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/M159/,Frederick Johnson Playground,32.0
B426,Greenthumb,False,http://www.nycgovparks.org/parks/B426/,St. Nicholas - Powers St. Garden,90.0
M095A,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/M095A/,Broadway Malls,33.0
X291,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/X291/,Walton Park,46.0
X251,Neighborhood Park,True,http://www.nycgovparks.org/parks/X251/,Co-op City Field,45.0
R148,Undeveloped,False,http://www.nycgovparks.org/parks/R148/,Last Chance Pond Park,122.0
Q343,JOP,False,http://www.nycgovparks.org/parks/Q343/,Whitestone Playground,109.0
B375,JOP,False,http://www.nycgovparks.org/parks/B375/,Chiarantano Playground,67.0
M291,Greenthumb,False,http://www.nycgovparks.org/parks/M291/,Fishbridge Garden,1.0
B210R,EXWY,True,http://www.nycgovparks.org/parks/B210R/,Park,68.0
M311,Greenthumb,False,http://www.nycgovparks.org/parks/M311/,Green Oasis and Gilbert's Garden,9.0
M396,,False,,Children's Magical Garden,7.0
Q444,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/Q444/,Sean's Place,114.0
B150,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/B150/,Kolbert Playground,70.0
Q066D,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/Q066D/,Triborough Bridge Playground D,114.0
Q220B,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/Q220B/,Norelli-Hargreaves Playground,103.0
X361,Greenthumb,False,,Synergi Urban Garden UCFP,42.0
B528,Greenthumb,False,http://www.nycgovparks.org/parks/B528/,Howard Av Block Association,73.0
M031,Neighborhood Park,True,http://www.nycgovparks.org/parks/M031/,Amelia Gorman Park,34.0
B210C,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/B210C/,Cough Triangle,76.0
X093,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/X093/,Van Nest Park,49.0
Q306,JOP,False,http://www.nycgovparks.org/parks/Q306/,The Painter's Playground,112.0
R075E,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/R075E/,Park,120.0
M035,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/M035/,Colonel Charles Young Triangle,32.0
B463,Greenthumb,False,http://www.nycgovparks.org/parks/B463/,Fantasy Garden,73.0
Q478,Undeveloped,False,http://www.nycgovparks.org/parks/Q478/,Broad Channel Wetlands,100.0
X044,Large Park,True,http://www.nycgovparks.org/parks/X044/,St. James Park,52.0
B512,Greenthumb,False,http://www.nycgovparks.org/parks/B512/,Hoparkinson R&L Block Association Garden,73.0
Q329,JOP,True,http://www.nycgovparks.org/parks/Q329/,Pomonok Playground,107.0
Q119,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/Q119/,Frederick B. Judge Playground,106.0
M221,JOP,False,http://www.nycgovparks.org/parks/M221/,Gutenberg Playground,18.0
B079,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/B079/,Saratoga Park,81.0
M060A,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/M060A/,Park Avenue Malls,18.0
M375,Greenthumb,False,http://www.nycgovparks.org/parks/M375/,Pleasant Park Garden,23.0
R169,Large Park,False,,Goodhue Park,120.0
X358,,False,,College Avenue Greenthumb,44.0
X026,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/X026/,Hines Park,42.0
B255M,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/B255M/,Park,72.0
B167A,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/B167A/,La Guardia Playground,90.0
M081,Large Park,True,http://www.nycgovparks.org/parks/M081/,Carl Schurz Park,19.0
B051,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/B051/,Kelly Park Playground,61.0
B255J,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/B255J/,Seeley Park,72.0
Q009,Large Park,True,http://www.nycgovparks.org/parks/Q009/,Hermon A. MacNeil Park,109.0
B193,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/B193/,Hamilton Metz Field,71.0
Q010,Large Park,True,http://www.nycgovparks.org/parks/Q010/,Clearview Park Golf Course,109.0
B561,,False,,BSCAH Urban Farm,73.0
M199,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/M199/,Monsignor Kett Playground,34.0
X269,Undeveloped,True,http://www.nycgovparks.org/parks/X269/,Cpl Fischer Park,44.0
