property_id,property_name,nyc_building_identification_number_bin,office_worker_density_number_per_1_000_sq_ft,postcode,largest_property_use_type_gross_floor_area_ft,retail_store_gross_floor_area_ft,weather_normalized_site_natural_gas_intensity_therms_ft,food_sales_gross_floor_area_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_10_or_more_stories,borough,hospital_general_medical_surgical_gross_floor_area_ft,financial_office_weekly_operating_hours,estimated_data_flag_municipally_supplied_potable_water_mixed_indoor_outdoor_use,alert_energy_meter_has_less_than_12_full_calendar_months_of_data,energy_star_certification_last_approval_date,estimated_values_water,annual_maximum_demand_mm_yyyy,movie_theater_gross_floor_area_ft,_2nd_largest_property_use_gross_floor_area_ft,percent_of_total_electricity_generated_from_onsite_renewable_systems,census_tract,energy_star_certification_year_s_certified_score,avoided_emissions_onsite_and_offsite_green_power_metric_tons_co2e,office_number_of_computers,indirect_ghg_emissions_intensity_kgco2e_ft,target_energy_star_score,number_of_buildings,largest_property_use_type,property_gfa_calculated_buildings_and_parking_ft,fuel_oil_2_use_kbtu,hospital_general_medical_surgical_number_of_workers_on_main_shift_density_number_per_1_000_sq_ft,city,medical_office_number_of_workers_on_main_shift,estimated_data_flag_fuel_oil_no_4,hospital_general_medical_surgical_number_of_workers_on_main_shift,electricity_use_grid_purchase_and_generated_from_onsite_renewable_systems_kbtu,weather_normalized_site_electricity_intensity_kwh_ft,indirect_ghg_emissions_metric_tons_co2e,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,urgent_care_clinic_other_outpatient_gross_floor_area_ft,refrigerated_warehouse_gross_floor_area_ft,net_emissions_metric_tons_co2e,direct_ghg_emissions_intensity_kgco2e_ft,automobile_dealership_gross_floor_area_ft,national_median_source_eui_kbtu_ft,alert_energy_meter_has_overlaps,medical_office_percent_that_can_be_heated
1633883,M017-0100039,1025092,Not Available,10001,121300.0,Not Available,0.4,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,03/2020,Not Available,Not Available,Not Available,127.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,121300.0,0,Not Available,New York,Not Available,Not Available,Not Available,1424851.2,3.4,113.2,Not Available,Not Available,Not Available,Not Available,Not Available,307.1,1.6,Not Available,169.0,Ok,Not Available
1634490,K205-0300208,3134749,Not Available,11204,129600.0,Not Available,0.3,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,256.0,Not Available,0.0,Not Available,1.2,75,1,K-12 School,129600.0,414138,Not Available,Brooklyn,Not Available,Not Available,Not Available,1880694.4,4.3,149.4,Not Available,Not Available,Not Available,Not Available,Not Available,389.4,1.9,Not Available,126.6,Ok,Not Available
1633788,Q116-0400102,4218416,Not Available,11433,95060.0,Not Available,0.6,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),01/2020,Not Available,Not Available,Not Available,414.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,95060.0,441600,Not Available,Queens,Not Available,Not Available,Not Available,1085289.0,3.4,86.2,Not Available,Not Available,Not Available,Not Available,Not Available,382.3,3.1,Not Available,109.2,Ok,Not Available
1633263,X004-0200042,2009659,Not Available,10457,127325.0,Not Available,0.5,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,165.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,127325.0,0,Not Available,Bronx,Not Available,Not Available,Not Available,1478897.3,3.4,117.5,Not Available,Not Available,Not Available,Not Available,Not Available,435.9,2.5,Not Available,89.2,Ok,Not Available
1634277,K994-0301793,3329679,Not Available,11216,25400.0,Not Available,0.5,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,06/2020,Not Available,Not Available,Not Available,243.0,Not Available,0.0,Not Available,5,75,1,K-12 School,25400.0,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,1595451.2,18.0,126.8,Not Available,Not Available,Not Available,Not Available,Not Available,193.1,2.6,Not Available,146.9,Ok,Not Available
1634488,K204-0300207,3163702,Not Available,11228,111600.0,Not Available,0.5,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,184.0,Not Available,0.0,Not Available,1.4,75,1,K-12 School,111600.0,344999.9,Not Available,Brooklyn,Not Available,Not Available,Not Available,2006256.0,5.3,159.4,Not Available,Not Available,Not Available,Not Available,Not Available,450.8,2.6,Not Available,120.0,Ok,Not Available
1633988,K210-0300213,%3036289,Not Available,11213,129600.0,Not Available,0,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,07/2020,Not Available,Not Available,Not Available,347.0,Not Available,0.0,Not Available,1.2,75,1,K-12 School,129600.0,5447273.9,Not Available,Brooklyn,Not Available,Not Available,Not Available,1991243.2,4.5,158.2,Not Available,Not Available,Not Available,Not Available,Not Available,568.7,3.2,Not Available,123.4,Ok,Not Available
1634715,"K371, K231-0300319","K371-3337059, K231-3337060",Not Available,11232,106800.0,Not Available,0,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),11/2020,Not Available,Not Available,Not Available,84.0,Not Available,0.0,Not Available,0.9,75,2,K-12 School,106800.0,Not Available,Not Available,Brooklyn,Not Available,No,Not Available,1150526.4,3.1,91.4,Not Available,Not Available,Not Available,Not Available,Not Available,358.9,2.5,Not Available,135.2,Ok,Not Available
1633898,M510-0100088,1005626,Not Available,10002,91280.0,Not Available,0.5,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),08/2020,Not Available,Not Available,Not Available,3601.0,Not Available,0.0,Not Available,1,75,1,K-12 School,91280.0,0,Not Available,New York,Not Available,Not Available,Not Available,1174819.8,3.8,93.4,Not Available,Not Available,Not Available,Not Available,Not Available,295.0,2.2,Not Available,124.4,Ok,Not Available
1633962,K051-0300071,3021057,Not Available,11215,135600.0,Not Available,0,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,06/2020,Not Available,Not Available,Not Available,135.0,Not Available,0.0,Not Available,1,75,1,K-12 School,135600.0,Not Available,Not Available,Brooklyn,Not Available,No,Not Available,1688257.6,3.6,134.2,Not Available,Not Available,Not Available,Not Available,Not Available,459.6,2.4,Not Available,125.5,Ok,Not Available
1634317,Q485-0400213,4080227,Not Available,11385,307200.0,Not Available,0.5,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,01/2020,Not Available,0,Not Available,595.0,Not Available,0.0,Not Available,0.7,75,1,K-12 School,307200.0,0,Not Available,Queens,Not Available,Not Available,Not Available,2776003.2,2.6,220.6,Not Available,Not Available,Not Available,Not Available,Not Available,924.7,2.3,Not Available,127.5,Ok,Not Available
1633070,X052-0200088,200,Not Available,10455,164500.0,Not Available,0,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,No,01/2020,Not Available,Not Available,Not Available,83.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,164500.0,6221591.7,Not Available,Bronx,Not Available,Not Available,Not Available,1838385.6,3.3,146.1,Not Available,Not Available,Not Available,Not Available,Not Available,633.8,3,Not Available,119.9,Ok,Not Available
1633732,"X152-P.S. 152, Bronx (0200235)",2023336,Not Available,10472,109200.0,Not Available,0.1,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,07/19/2016,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,52.0,"2014 (81), 2016 (80)",0.0,Not Available,0.9,75,1,K-12 School,109200.0,Not Available,Not Available,Bronx,Not Available,No,Not Available,1211942.4,3.3,96.3,Not Available,Not Available,Not Available,Not Available,Not Available,430.0,3.1,Not Available,117.3,Ok,Not Available
1633555,K324-0300122,3044657,Not Available,11221,205200.0,Not Available,0,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,10.45785,293.0,Not Available,71.4,Not Available,1.7,75,1,K-12 School,205200.0,5372339.9,Not Available,Brooklyn,Not Available,Not Available,Not Available,4801926.0,6.1,341.7,Not Available,Not Available,Not Available,Not Available,Not Available,740.4,1.9,Not Available,120.1,Ok,Not Available
1633964,K072-0300089,3090219,Not Available,11208,148800.0,Not Available,0,Not Available,Not Available,,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),07/2020,Not Available,Not Available,Not Available,,Not Available,0.0,Not Available,1.1,75,1,K-12 School,148800.0,Not Available,Not Available,Brooklyn,Not Available,No,Not Available,1998067.2,4.0,158.8,Not Available,Not Available,Not Available,Not Available,Not Available,689.4,3.6,Not Available,103.6,Ok,Not Available
1633726,X062-0200097,2005089,Not Available,10455,94880.0,Not Available,0,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,83.0,Not Available,0.0,Not Available,0.8,75,1,K-12 School,94880.0,Not Available,Not Available,Bronx,Not Available,No,Not Available,955905.9,3.0,76,Not Available,Not Available,Not Available,Not Available,Not Available,560.2,5.1,Not Available,107.5,Ok,Not Available
1633437,Q130-0401029,4137034,Not Available,11361,76800.0,Not Available,0,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),03/2020,Not Available,Not Available,Not Available,1463.0,Not Available,0.0,Not Available,1.4,75,1,K-12 School,76800.0,Not Available,Not Available,Queens,Not Available,No,Not Available,1347603.5,5.1,107.1,Not Available,Not Available,Not Available,Not Available,Not Available,366.1,3.4,Not Available,137.0,Ok,Not Available
1633247,M142-0100124,1004080,Not Available,10002,119519.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),07/2020,Not Available,Not Available,Not Available,1402.0,Not Available,0.0,Not Available,1.3,75,1,K-12 School,119519.0,4748993.9,Not Available,New York,Not Available,Not Available,Not Available,1907990.4,4.6,151.6,Not Available,Not Available,Not Available,Not Available,Not Available,512.8,3,Not Available,123.4,Ok,Not Available
1203624,CW/METLIFE 27-01 QPN,4005 016;4005018,1.11465,11101,767029.0,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,02/22/2021,No,Not Available,Not Available,8270,Not Available,33.0,"2007 (75), 2008 (88), 2009 (89), 2010 (91), 2011 (90), 2012 (77), 2013 (82), 2014 (84), 2015 (89), 2016 (90), 2017 (89), 2018 (88), 2019 (83), 2020 (83)",0.0,3121.32,6.9,75,1,Office,782359.0,Not Available,Not Available,LONG ISLAND CITY,Not Available,Not Available,Not Available,29241693.0,10.9,5419.5,Not Available,Not Available,Not Available,Not Available,Not Available,5725.0,0.4,Not Available,183.6,Ok,Not Available
1634201,K155-0300157,3042263,Not Available,11233,81600.0,Not Available,0.7,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,12/2020,Not Available,Not Available,Not Available,369.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,81600.0,414000,Not Available,Brooklyn,Not Available,Not Available,Not Available,926699.2,3.3,73.6,Not Available,Not Available,Not Available,Not Available,Not Available,370.3,3.6,Not Available,109.5,Ok,Not Available
1633362,K199-0300201,3180761,Not Available,11230,82800.0,Not Available,0.5,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,768.0,Not Available,0.0,Not Available,1,75,1,K-12 School,82800.0,248400,Not Available,Brooklyn,Not Available,Not Available,Not Available,1073415.2,3.8,85.3,Not Available,Not Available,Not Available,Not Available,Not Available,301.1,2.6,Not Available,114.1,Ok,Not Available
1633098,K104-0300114,3154775,Not Available,11209,116400.0,Not Available,0,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,01/2020,Not Available,Not Available,Not Available,160.0,Not Available,0.0,Not Available,1.3,75,1,K-12 School,116400.0,Not Available,Not Available,Brooklyn,Not Available,No,Not Available,1861587.2,4.7,147.9,Not Available,Not Available,Not Available,Not Available,Not Available,616.4,4,Not Available,118.9,Ok,Not Available
1633366,K221-0300226,3038372,Not Available,11213,96000.0,Not Available,0,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,03/2020,Not Available,Not Available,Not Available,355.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,96000.0,Not Available,Not Available,Brooklyn,Not Available,No,Not Available,1126778.9,3.4,89.5,Not Available,Not Available,Not Available,Not Available,Not Available,481.0,4.1,Not Available,106.1,Ok,Not Available
1836546,M625-0100186,1026646,Not Available,10019,272912.0,Not Available,0.4,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,03/2020,Not Available,Not Available,Not Available,127.0,Not Available,0.0,Not Available,1.3,75,1,K-12 School,272912.0,0,Not Available,New York,Not Available,No,Not Available,4585728.0,4.9,364.4,Not Available,Not Available,Not Available,Not Available,Not Available,838.1,1.7,Not Available,139.2,Ok,Not Available
1634337,R054-0500091,5034476,Not Available,10314,88800.0,Not Available,0,Not Available,Not Available,STATEN IS,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,27302.0,Not Available,0.0,Not Available,1.1,75,1,K-12 School,88800.0,Not Available,Not Available,Staten Island,Not Available,No,Not Available,1182599.2,3.9,94,Not Available,Not Available,Not Available,Not Available,Not Available,417.4,3.6,Not Available,116.7,Ok,Not Available
1634107,X137-0200181,2013307,Not Available,10457,237600.0,Not Available,0.3,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,379.0,Not Available,0.0,Not Available,2.2,75,1,K-12 School,237600.0,Not Available,Not Available,Bronx,Not Available,No,Not Available,6463692.8,8.0,513.6,Not Available,Not Available,Not Available,Not Available,Not Available,834.0,1.3,Not Available,135.7,Ok,Not Available
1633036,M165-0100143,1056676,Not Available,10025,144125.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),06/2020,Not Available,Not Available,Not Available,195.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,144125.0,0,Not Available,New York,Not Available,Not Available,Not Available,1623020.2,3.3,129,Not Available,Not Available,Not Available,Not Available,Not Available,135.4,0,Not Available,120.9,Ok,Not Available
1633724,X006-0200044,2010892,Not Available,10460,108480.0,Not Available,0,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,359.0,Not Available,0.0,Not Available,1,75,1,K-12 School,108480.0,3936795.1,Not Available,Bronx,Not Available,Not Available,Not Available,1415297.6,3.8,112.5,Not Available,Not Available,Not Available,Not Available,Not Available,415.7,2.8,Not Available,130.1,Ok,Not Available
1633275,X045-0200081,2011937,Not Available,10458,144125.0,Not Available,0.3,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,No,01/2020,Not Available,Not Available,Not Available,387.0,Not Available,0.0,Not Available,1,75,1,K-12 School,144125.0,552137.9,Not Available,Bronx,Not Available,Not Available,Not Available,1773694.1,3.6,140.9,Not Available,Not Available,Not Available,Not Available,Not Available,412.8,1.9,Not Available,98.5,Ok,Not Available
1779652,Guggenheim Museum,104694 6,Not Available,10128,108013.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,Not Available,Not Available,15002.0,Not Available,0.0,Not Available,20.7,Not Available,1,Museum,108013.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,10457708.3,28.4,2231.6,Not Available,Not Available,Not Available,Not Available,Not Available,2236.5,0,Not Available,112.0,Ok,Not Available
1634704,K902-0300283,3259250,Not Available,11217,92480.0,Not Available,0.5,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,12902.0,Not Available,0.0,Not Available,1.5,75,1,K-12 School,92480.0,0,Not Available,Brooklyn,Not Available,Not Available,Not Available,1741484.8,5.5,138.4,Not Available,Not Available,Not Available,Not Available,Not Available,349.6,2.3,Not Available,152.9,Ok,Not Available
1633990,"K213, K893-0300216","K213-3097334, K893-3380772",Not Available,11207,99600.0,Not Available,0,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,01/2020,Not Available,Not Available,Not Available,1104.0,Not Available,0.0,Not Available,1.3,75,2,K-12 School,99600.0,4772039.8,Not Available,Brooklyn,Not Available,No,Not Available,1613739.5,4.7,128.2,Not Available,Not Available,Not Available,Not Available,Not Available,504.5,3.8,Not Available,128.5,Ok,Not Available
1423560,55 Broad Street LP,1000821,0.87219,10004,400143.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,Not Available,Not Available,10152,Not Available,9.0,Not Available,0.0,1372.63,5.4,Not Available,1,Office,410295.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,15975710.8,11.4,2205.5,Not Available,Not Available,Not Available,Not Available,Not Available,2207.0,0,Not Available,180.5,Ok,Not Available
1633717,M191-0100160,1030320,Not Available,10023,90080.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,147.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,90080.0,Not Available,Not Available,New York,Not Available,No,Not Available,992550.8,3.2,78.9,Not Available,Not Available,Not Available,Not Available,Not Available,383.5,3.4,Not Available,120.7,Ok,Not Available
1633038,M171-0100147,1051497,Not Available,10029,114100.0,Not Available,0.7,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),06/2020,Not Available,Not Available,Not Available,168.0,Not Available,0.0,Not Available,1.3,75,1,K-12 School,114100.0,574218,Not Available,New York,Not Available,Not Available,Not Available,1932556.8,5.0,153.6,Not Available,Not Available,Not Available,Not Available,Not Available,562.4,3.6,Not Available,132.9,Ok,Not Available
1634586,X145-0200189,2097111,Not Available,10456,186175.0,Not Available,0,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,No,02/2020,Not Available,Not Available,Not Available,173.0,Not Available,0.0,Not Available,0.7,75,1,K-12 School,186175.0,Not Available,Not Available,Bronx,Not Available,No,Not Available,1716236.0,2.7,136.4,Not Available,Not Available,Not Available,Not Available,Not Available,635.3,2.7,Not Available,118.6,Ok,Not Available
1633695,M011-0100034,1013260,Not Available,10011,115300.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),08/2020,Not Available,0,Not Available,89.0,Not Available,0.0,Not Available,1.1,75,1,K-12 School,115300.0,4293180.5,Not Available,New York,Not Available,Not Available,Not Available,1541132.2,3.9,122.5,Not Available,Not Available,Not Available,Not Available,Not Available,469.8,3,Not Available,139.4,Ok,Not Available
1633173,Q014-0400015,4437311,Not Available,11368,142925.0,Not Available,0.5,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,06/2020,Not Available,Not Available,Not Available,439.0,Not Available,0.0,Not Available,1.6,75,1,K-12 School,142925.0,323747.9,Not Available,Queens,Not Available,Not Available,Not Available,2931590.4,6.0,233,Not Available,Not Available,Not Available,Not Available,Not Available,589.1,2.5,Not Available,109.2,Ok,Not Available
