program_name,strong_family_community_ties_survey_percent_positive,ecers_most_recent_assessment_year,length_of_pre_k_day,ecers_program_structure_score,class_emotional_support_score,quality_review_how_well_do_teachers_work_with_each_other
Barkai Yeshivah,1.0,2016-17 School Year,Half day,3.8,5.3,
Kathy's Day Care,0.88,2014-15 School Year,Full day,2.7,6.3,
P.S. 193 Gil Hodges,0.95,2015-16 School Year,Full day,3.0,6.8,3.0
Brite Adventure Center (30th Avenue),0.92,2015-16 School Year,,1.7,5.9,
P.S. 23 The New Children's School,0.97,2015-16 School Year,Full day,1.7,6.9,3.0
P.S. 230 Doris L. Cohen,0.96,2014-15 School Year,Full day,2.7,6.9,3.0
KESHET LEARNING CENTER,0.99,2015-16 School Year,Full day,5.3,6.9,
"Al Madinah School, Inc.",0.9,2014-15 School Year,Full day,3.7,6.6,
P.S. 155 William Paca,,2014-15 School Year,Full day,2.3,7.0,3.0
The STAR Academy - P.S. 63,0.94,2016-17 School Year,Full day,3.3,,4.0
P.S. 221 The North Hills School,,2016-17 School Year,Full day,5.3,,4.0
Friends of Crown Heights 15,,2016-17 School Year,Full day,6.3,5.9,
P.S. 198 Isador E. Ida Straus,0.92,2014-15 School Year,Full day,2.3,6.6,3.0
P.S. 92 Bronx,0.96,2014-15 School Year,Full day,3.8,6.4,2.0
Yeshivat Shaare Torah,0.99,2015-16 School Year,Half day,7.0,6.8,
P.S. 42 Claremont,0.96,2016-17 School Year,Full day,1.7,,4.0
P.S. 225 - The Eileen E. Zaglin,0.9,2016-17 School Year,Full day,2.7,5.5,3.0
P.S. 62 Inocensio Casanova,0.94,2016-17 School Year,Full day,2.3,,4.0
Mosaic Preparatory Academy,0.9,2016-17 School Year,Full day,3.8,,4.0
John Coker DCC,0.92,2016-17 School Year,Full day,2.5,6.4,
P.S. 3 Charrette School,0.94,2015-16 School Year,Full day,3.7,5.3,3.0
P.S. 65 Mother Hale Academy,,2014-15 School Year,Full day,1.0,6.9,3.0
The Active Learning Elementary School,0.93,2016-17 School Year,Full day,6.0,6.4,4.0
P.S. 38 Roberto Clemente,0.9,2016-17 School Year,Full day,4.5,5.9,4.0
A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,0.97,2014-15 School Year,Full day,4.8,6.8,3.0
P.S. 89 Cypress Hills,0.98,2015-16 School Year,Full day,3.0,6.1,4.0
P.S. 6 Lillie D. Blake,0.84,2016-17 School Year,Full day,4.3,,4.0
P.S. 153 Helen Keller,,2015-16 School Year,Full day,4.3,6.8,3.0
My Little Footprints Daycare Corp.,0.94,2014-15 School Year,Full day,3.8,6.9,
P.S. 153 Adam Clayton Powell,0.96,2014-15 School Year,Full day,3.7,6.6,4.0
P.S. 109 Sedgwick,0.99,2015-16 School Year,Full day,3.0,7.0,3.0
All Children's Child Care (24th Street),,2016-17 School Year,Full day,3.8,,
P.S. 51 Bronx New School,0.9,2014-15 School Year,Full day,2.7,6.9,3.0
Lighthouse CDC,,,,,6.0,
P.S. 397 Foster-Laurie,,2014-15 School Year,Full day,1.8,5.4,3.0
Saratoga - Morris Koppelman Center,0.96,2016-17 School Year,Full day,2.3,5.6,
P.S. 222 Katherine R. Snyder,0.94,2015-16 School Year,Full day,3.5,6.9,3.0
P.S. 46 Albert V. Maniscalco,0.98,2016-17 School Year,Full day,3.7,,4.0
P.S. 396,0.91,2015-16 School Year,Full day,2.8,4.9,4.0
Christopher Avenue Community School,0.96,2016-17 School Year,Full day,2.3,,3.0
Linden Tree Elementary School,0.95,2014-15 School Year,Full day,3.3,6.8,3.0
P.S. 100 Isaac Clason,0.93,2015-16 School Year,Full day,1.7,6.8,4.0
The Salvation Army-Port Richmond),,2014-15 School Year,,5.3,,
P.S. 126 Dr Marjorie H Dunbar,0.93,2014-15 School Year,Full day,1.7,5.2,3.0
P.S./I.S. 266,0.97,2016-17 School Year,Full day,3.7,,4.0
Saratoga II - Shirley Chisholm Center,,2016-17 School Year,Full day,2.8,6.9,
Associated Beth Rivkah School - UPK,0.98,2015-16 School Year,Half day,6.3,6.5,
Blake & Milford DCC,,2015-16 School Year,Full day,4.0,6.8,
P.S. 325,1.0,2014-15 School Year,,3.3,5.8,3.0
BNOS SQUARE OF WILLIAMSBURG,,,,,6.7,
P.S. 188 The Island School,0.98,2016-17 School Year,Full day,1.7,,3.0
Pre-K Center At Bishop Ford School Site,0.95,2015-16 School Year,,4.5,6.8,
P.S. 13 Roberto Clemente,0.91,2016-17 School Year,Full day,1.7,,3.0
P.S. 284 Lew Wallace,0.98,2015-16 School Year,Full day,3.7,5.6,3.0
P.S./I.S. 45 Horace E. Greene,0.95,2014-15 School Year,Full day,1.7,6.3,4.0
Washington Heights Expeditionary Learning School,0.96,2014-15 School Year,Full day,2.7,6.7,4.0
P.S. 328 Phyllis Wheatley,0.95,2015-16 School Year,Full day,4.7,6.4,3.0
P.S. 21 Crispus Attucks,0.92,2015-16 School Year,Full day,4.3,7.0,2.0
M.S. SUNSHINE DAY CARE CENTER,0.95,2015-16 School Year,Full day,6.5,6.4,
Glennwood Avenue Head Start,0.91,2015-16 School Year,Full day,2.7,5.3,
Strong Place Day Care,0.96,2016-17 School Year,Full day,3.0,6.5,
Bishop Sexton,0.99,2016-17 School Year,Full day,4.5,6.3,
Dimitrios & Georgia Kaloidis PS of Holy Cross GOC,0.93,2015-16 School Year,Full day,3.5,6.7,
P.S. 16 John J. Driscoll,0.96,2016-17 School Year,Full day,5.5,,4.0
P.S. 109,0.97,2014-15 School Year,Full day,3.7,6.3,2.0
Early Bird II Educational Center,0.97,2014-15 School Year,Full day,4.3,6.8,
Professional Childcare Inc.,0.96,2015-16 School Year,Full day,4.5,6.6,
Growing Up Green II,0.97,2016-17 School Year,Full day,3.5,,
P.S. 50 Talfourd Lawn Elementary School,0.97,2014-15 School Year,Full day,2.0,6.6,3.0
P.S. 43,0.92,2015-16 School Year,Full day,4.5,6.5,3.0
Stagg Street Center for Children,,2016-17 School Year,Full day,3.7,6.0,
Saint Mark School,0.96,2014-15 School Year,Full day,2.7,6.4,
Children's Aid Society's P.S. 5 Early Childhood Program,0.97,2015-16 School Year,Full day,2.8,6.2,
P.S. 85 Great Expectations,0.95,2015-16 School Year,Full day,3.5,6.1,3.0
P.S. 326,0.96,2014-15 School Year,Full day,2.8,6.9,4.0
P.S. 130 Abram Stevens Hewitt,0.94,2016-17 School Year,Full day,4.3,,3.0
P.S. 154 Queens,0.98,2014-15 School Year,Full day,4.3,6.3,3.0
P.S. 16 Leonard Dunkly,0.98,2016-17 School Year,Full day,5.0,,3.0
P.S. 199 Frederick Wachtel,0.9,2014-15 School Year,Full day,4.8,7.0,4.0
Brooklyn Chinese American Association,0.95,2016-17 School Year,Both half day and full day,1.3,5.3,
P.S. 229 Dyker,0.97,2016-17 School Year,Full day,2.7,,3.0
P.S. 110 Florence Nightingale,0.87,2015-16 School Year,Full day,3.0,6.1,3.0
Ella Baker School,0.95,2014-15 School Year,Full day,2.7,6.3,4.0
Bay Ridge Child Care Center,0.92,2016-17 School Year,Full day,3.7,6.7,
P.S. 124 Yung Wing,0.95,2015-16 School Year,Full day,5.5,6.7,4.0
P.S. 54 Samuel C. Barnes,0.93,2015-16 School Year,Full day,1.7,6.4,3.0
P.S. 192 Jacob H. Schiff,0.97,2014-15 School Year,Full day,5.0,6.5,2.0
P.S. 142 Amalia Castro,0.94,2015-16 School Year,Full day,4.3,6.0,3.0
United Community DCC,0.93,2016-17 School Year,Full day,3.0,6.9,
Ella Baker Charles Romain CDC of Medgar Evers,0.92,2016-17 School Year,Full day,2.3,6.9,
P.S./M.S. 4 Crotona Park West,0.98,2014-15 School Year,Full day,3.3,6.3,4.0
Brooklyn Chinese American Association,0.97,2016-17 School Year,Full day,4.5,5.6,
Tender Tots Decatur,,2016-17 School Year,Full day,3.7,5.8,
Generation21 Day Care,0.88,2016-17 School Year,Full day,1.7,5.9,
P.S. 108 Captain Vincent G. Fowler,0.99,2016-17 School Year,Full day,1.7,,4.0
P.S. 306 Ethan Allen,0.91,2015-16 School Year,Full day,5.3,6.3,3.0
P.S. 147 Isaac Remsen,0.97,2016-17 School Year,Full day,6.8,,4.0
P.S. 72 Dr. William Dorney,0.98,2014-15 School Year,Full day,3.0,6.0,4.0
P.S. 243 - The Weeksville School,0.84,2014-15 School Year,Full day,2.3,6.1,3.0
New York City Academy for Discovery,0.96,2014-15 School Year,Full day,4.0,6.8,4.0
University Settlement Children's Corner,0.96,2014-15 School Year,Full day,3.0,6.6,
The Fresh Creek School,0.89,2015-16 School Year,Full day,1.7,5.6,2.0
Islander's Kids,,,,,7.0,
P.S. 217 Colonel David Marcus School,0.98,2016-17 School Year,Full day,2.7,,3.0
P.S. 15 Jackie Robinson,0.95,2015-16 School Year,Full day,2.3,6.5,3.0
Infinity UPK,0.95,2016-17 School Year,Full day,2.8,6.7,
P.S. 99 Isaac Asimov,0.92,2015-16 School Year,Full day,3.7,5.3,3.0
Cortelyou Academy,0.95,2015-16 School Year,Full day,3.5,6.8,
YWCA-NYC Brownsville Early Learning Center,,2016-17 School Year,Full day,3.5,6.8,
P.S. 224 Hale A. Woodruff,0.95,2014-15 School Year,Full day,1.8,5.7,4.0
P.S. 115 The James J. Ambrose School,0.98,2015-16 School Year,Full day,5.0,6.8,4.0
Little Nest Preschool,1.0,2016-17 School Year,,1.7,6.4,
P.S. 255 Barbara Reing School,,2016-17 School Year,Full day,2.3,5.7,4.0
P.S. 380 John Wayne Elementary,0.95,2015-16 School Year,Full day,7.0,6.7,4.0
P.S. 31 William T. Davis,0.94,2016-17 School Year,Full day,3.3,4.9,2.0
Brightside Academy - Southern,,,,,6.5,
B.Above Worldwide Institute - Tomer Devorah,1.0,2016-17 School Year,Full day,5.0,6.3,
Bushwick United HDFC 9,,2016-17 School Year,Full day,1.7,6.5,
P.S. 30 Westerleigh,0.98,2015-16 School Year,Full day,6.5,6.2,3.0
P.S. 200 - The James Mccune Smith School,0.9,2014-15 School Year,Full day,1.7,6.5,2.0
P.S. 282 Park Slope,0.94,2014-15 School Year,Full day,4.0,6.8,3.0
St. Gregory The Great Catholic Academy,0.93,2015-16 School Year,Full day,2.7,6.2,
The Bellaire School,0.96,2014-15 School Year,Full day,4.5,6.5,3.0
P.S. 161 Arthur Ashe School,0.96,2015-16 School Year,Full day,4.8,6.5,4.0
P.S. 171 Patrick Henry,0.97,2014-15 School Year,Full day,4.5,6.4,4.0
Children's Center at SUNY Brooklyn,,2016-17 School Year,Full day,1.7,6.5,
P.S. 307 Daniel Hale Williams,0.96,2016-17 School Year,Full day,4.3,,4.0
Saint Frances Cabrini Catholic Academy,0.92,2014-15 School Year,Full day,4.5,6.5,
P.S. 105 The Bay School,0.98,2015-16 School Year,Full day,7.0,6.9,3.0
BronxWorks,0.97,2014-15 School Year,Full day,3.8,6.3,
P.S. 120 Carlos Tapia,0.97,2015-16 School Year,Full day,5.5,5.9,4.0
P.S. 273 Wortman,0.97,2014-15 School Year,Full day,1.7,6.3,3.0
Children's Aid Society Drew Hamilton ECC,,2016-17 School Year,Full day,2.8,6.6,
P.S. 150 Queens,0.91,2014-15 School Year,Full day,3.3,6.7,3.0
P.S. 183 Dr. Richard R. Green,0.99,2014-15 School Year,Full day,5.3,6.9,2.0
Dr. Jacqueline Peek-Davis School,,2016-17 School Year,Full day,3.7,,3.0
Wonderland P.A. LLC,0.84,2015-16 School Year,Full day,2.8,6.9,
P.S. 262 El Hajj Malik El Shabazz Elementary School,0.94,2014-15 School Year,Full day,2.3,6.8,3.0
P.S. 51 Elias Howe,0.93,2016-17 School Year,Full day,3.0,6.1,4.0
P.S. 971,,,,,5.4,
Brooklyn New School,0.99,2014-15 School Year,Full day,4.8,6.7,4.0
P.S. 110 The Monitor,0.96,2015-16 School Year,Full day,2.7,6.3,3.0
PAL World of Creative Experiences Head Start,0.87,2014-15 School Year,Full day,4.5,6.1,
P.S. 70,0.94,2015-16 School Year,Full day,4.3,6.6,3.0
P.S. 157 Grove Hill,0.89,2016-17 School Year,Full day,4.5,,4.0
P.S. 398 Walter Weaver,0.97,2014-15 School Year,Full day,1.3,6.2,4.0
Nesivos Bais Yaakov,,2016-17 School Year,Half day,4.5,5.6,
P.S. 29 Bardwell,0.98,2015-16 School Year,Full day,5.5,6.6,3.0
P.S. 242 - The Young Diplomats Magnet Academy,0.97,2015-16 School Year,Full day,2.7,6.2,3.0
P.S. 92 Adrian Hegeman,0.88,2014-15 School Year,Full day,3.0,6.8,3.0
P.S. 288 The Shirley Tanyhill,0.97,2016-17 School Year,Full day,1.7,6.6,3.0
Immanuel Creative,0.94,2014-15 School Year,Full day,4.0,6.3,
P.S. 209 Margaret Mead,0.89,2015-16 School Year,Full day,3.0,6.7,3.0
AHRC Francis of Paola Early Learning Center,,2014-15 School Year,,4.3,6.3,
P.S. 53 - The Barbara Esselborn School,0.96,2015-16 School Year,Full day,3.5,6.3,4.0
P.S. 125 Ralph Bunche,0.97,2015-16 School Year,Full day,5.3,6.9,3.0
P.S. 163 Alfred E. Smith,0.95,2016-17 School Year,Full day,5.5,,4.0
River East Elementary,0.96,2014-15 School Year,Full day,2.3,6.4,4.0
BAIS YAAKOV D'CHASSIDEI GUR,1.0,2014-15 School Year,Both half day and full day,4.3,6.8,
P.S./I.S. 87 Middle Village,0.97,2016-17 School Year,Full day,4.3,,4.0
Afro-American Parents Educational Center Site 2,0.95,2014-15 School Year,Both full day and 5-hour,5.0,6.9,
P.S. 71 Forest,0.95,2015-16 School Year,Full day,5.8,6.6,4.0
P.S. 20 Clinton Hill,0.96,2015-16 School Year,Full day,4.3,6.4,3.0
Yeshivah of Flatbush,0.97,2016-17 School Year,Half day,4.0,6.2,
Adelphi Academy of Brooklyn,0.93,2015-16 School Year,Full day,5.3,6.8,
Brooklyn Developmental Center,,2016-17 School Year,,1.7,6.2,
"Raven's Early Childhood Center, Inc.",0.94,2014-15 School Year,Full day,1.8,6.4,
P.S. 196,0.97,2014-15 School Year,Full day,3.7,7.0,3.0
Friends of Crown Heights 10,0.99,2016-17 School Year,Full day,4.5,5.6,
