site_id,class_instructional_support_score,ecers_space_and_furnishings_rating,survey_number_of_guardian_responses,ecers_space_and_furnishings_score,class_emotional_support_rating,ecers_observation_average_rating
QBGI,2.1,2.0,11.0,3.1,3.0,3.0
09X236,4.3,1.0,18.0,2.8,4.0,3.0
15K024,4.2,2.0,39.0,3.3,4.0,3.0
KBPL,2.7,3.0,10.0,4.9,4.0,4.0
KBWQ,2.2,3.0,13.0,4.0,4.0,3.0
04M083,4.5,2.0,3.0,3.0,4.0,1.0
01M063,,1.0,13.0,2.8,,2.0
25Q107,,3.0,1.0,4.3,,4.0
21K329,3.8,3.0,,3.6,4.0,2.0
RAFG,4.0,3.0,7.0,4.9,4.0,3.0
Z033,3.5,2.0,10.0,3.0,4.0,1.0
08X335,3.9,2.0,13.0,3.0,4.0,3.0
25Q244,3.1,3.0,3.0,3.4,4.0,2.0
28Q303,3.3,2.0,31.0,3.3,3.0,3.0
21K121,3.5,1.0,9.0,2.9,4.0,2.0
15K230,,3.0,26.0,3.8,,3.0
12X536,4.7,,42.0,,3.0,
31R039,2.5,3.0,8.0,3.4,4.0,3.0
KBOW,3.5,3.0,8.0,3.5,4.0,2.0
KAKI,3.5,3.0,,3.8,3.0,3.0
KBJI,3.7,2.0,5.0,3.1,4.0,2.0
08X048,3.7,2.0,11.0,3.1,4.0,1.0
KBEP,3.5,3.0,6.0,3.6,4.0,3.0
07X001,3.0,3.0,20.0,3.5,4.0,2.0
17K249,3.7,1.0,25.0,1.9,4.0,1.0
24Q071,2.8,3.0,40.0,4.9,4.0,4.0
31R058,3.8,1.0,31.0,2.8,4.0,2.0
KBJL,3.4,3.0,,3.9,3.0,3.0
12X092,4.5,4.0,12.0,5.0,4.0,3.0
13K270,3.2,1.0,37.0,2.8,4.0,1.0
KBLB,3.8,3.0,8.0,3.8,4.0,3.0
31R060,3.3,3.0,26.0,4.6,4.0,4.0
12X691,3.1,3.0,3.0,3.4,4.0,1.0
01M361,3.0,3.0,12.0,3.6,4.0,3.0
21K253,2.9,1.0,13.0,2.8,4.0,1.0
28Q080,2.8,3.0,10.0,3.5,4.0,3.0
10X020,3.6,1.0,11.0,2.8,4.0,3.0
12X006,2.1,2.0,7.0,3.3,3.0,2.0
KALT,2.3,4.0,,5.3,4.0,3.0
15K146,3.1,2.0,9.0,3.3,4.0,3.0
24Q229,,3.0,23.0,3.5,,3.0
27Q317,3.5,3.0,15.0,3.5,3.0,3.0
09X163,3.2,3.0,11.0,3.4,4.0,2.0
KCJQ,4.8,3.0,8.0,4.0,4.0,3.0
KBXK,2.2,3.0,18.0,3.4,3.0,2.0
KBKK,3.5,2.0,10.0,3.3,4.0,2.0
17K532,3.0,2.0,22.0,3.3,4.0,3.0
KBJF,3.5,3.0,19.0,3.5,3.0,3.0
18K208,1.3,3.0,3.0,3.5,3.0,3.0
28Q161,2.6,3.0,16.0,4.4,4.0,4.0
13K003,4.1,3.0,1.0,4.0,4.0,3.0
,2.8,1.0,,2.9,4.0,3.0
27Q045,3.7,4.0,15.0,5.0,4.0,3.0
25Q029,,3.0,21.0,3.5,,3.0
32K274,4.2,2.0,19.0,3.1,4.0,3.0
02M217,,4.0,14.0,5.0,,3.0
25Q129,5.6,3.0,16.0,4.1,4.0,3.0
32K075,3.7,4.0,79.0,5.1,4.0,3.0
12X463,2.8,3.0,16.0,4.0,4.0,3.0
QBCW,3.1,3.0,,3.4,4.0,3.0
32K123,2.3,3.0,44.0,3.5,4.0,3.0
22K222,3.6,3.0,22.0,4.3,4.0,3.0
QAVP,3.2,3.0,83.0,4.6,4.0,4.0
XAIC,4.7,3.0,16.0,4.4,4.0,3.0
12X196,,3.0,40.0,3.4,,3.0
31R046,3.9,3.0,9.0,4.4,4.0,3.0
XAPY,3.6,3.0,,3.9,4.0,3.0
11X112,3.4,2.0,7.0,3.0,3.0,3.0
KBMX,3.7,3.0,8.0,3.5,4.0,3.0
04M375,4.9,2.0,10.0,3.3,4.0,1.0
84K362,2.8,3.0,41.0,4.9,4.0,4.0
KAPR,2.3,2.0,9.0,3.3,3.0,2.0
KAPM,2.0,3.0,5.0,4.9,4.0,4.0
XADY,3.3,3.0,14.0,4.5,4.0,3.0
21K095,3.1,2.0,14.0,3.0,4.0,3.0
21K097,3.7,2.0,24.0,3.1,4.0,2.0
22K277,2.5,3.0,31.0,3.8,4.0,3.0
18K235,2.7,3.0,50.0,3.8,4.0,3.0
09X274,3.3,3.0,11.0,4.8,4.0,3.0
25Q200,3.6,3.0,15.0,4.5,4.0,4.0
10X386,4.4,3.0,1.0,4.6,4.0,4.0
KAYS,4.6,3.0,,4.0,4.0,3.0
13K256,2.6,2.0,6.0,3.0,3.0,3.0
KAJT,2.5,3.0,15.0,4.3,4.0,3.0
17K221,2.9,3.0,19.0,3.6,4.0,3.0
KBIZ,2.3,3.0,14.0,3.4,4.0,3.0
01M364,,1.0,22.0,2.4,,1.0
Z084,4.1,3.0,6.0,3.8,4.0,3.0
KCLH,3.2,3.0,20.0,4.6,4.0,4.0
31R078,3.4,1.0,21.0,2.4,4.0,2.0
MAUC,2.9,3.0,,3.4,3.0,2.0
KABN,,3.0,5.0,3.6,,3.0
23K401,3.5,3.0,26.0,4.1,4.0,4.0
24Q305,2.4,3.0,6.0,4.8,3.0,3.0
27Q047,2.7,1.0,29.0,2.9,4.0,3.0
19K013,,3.0,19.0,3.6,,3.0
12X061,,3.0,19.0,4.5,,3.0
KBQG,3.4,3.0,,4.6,4.0,3.0
31R026,1.8,3.0,33.0,4.1,4.0,3.0
07X154,2.5,3.0,9.0,4.0,4.0,3.0
01M134,2.3,1.0,13.0,2.5,4.0,1.0
KBPD,3.9,3.0,6.0,4.1,4.0,4.0
19K213,,3.0,15.0,3.4,,3.0
KBVO,2.9,3.0,8.0,3.8,4.0,3.0
Z047,3.1,1.0,14.0,2.5,4.0,2.0
14K034,,3.0,34.0,4.8,,4.0
04M108,3.5,2.0,16.0,3.3,4.0,3.0
XALA,2.9,3.0,19.0,4.0,4.0,3.0
25Q201,5.9,3.0,22.0,4.3,4.0,3.0
KBPC,3.4,3.0,29.0,4.5,4.0,4.0
KBMZ,1.9,3.0,,4.9,3.0,3.0
KBNP,4.9,3.0,11.0,4.6,4.0,3.0
27Q362,2.5,4.0,13.0,5.1,4.0,4.0
06M004,2.5,3.0,15.0,4.3,4.0,3.0
Z020,2.4,4.0,24.0,5.1,4.0,3.0
KAAE,4.9,1.0,,2.9,4.0,2.0
KBLU,3.3,4.0,12.0,5.1,4.0,4.0
Z034,3.7,3.0,26.0,3.6,4.0,4.0
03M242,1.8,3.0,11.0,3.9,4.0,3.0
QAMK,3.4,3.0,13.0,4.5,4.0,4.0
10X085,,2.0,34.0,3.3,,3.0
XAKH,3.1,3.0,30.0,4.4,4.0,3.0
28Q040,2.1,3.0,12.0,3.5,4.0,3.0
29Q132,,2.0,42.0,3.0,,3.0
31R042,3.7,3.0,12.0,4.1,4.0,3.0
07X005,3.7,3.0,12.0,4.4,4.0,3.0
Z025,3.5,3.0,,4.5,4.0,4.0
09X110,3.0,3.0,10.0,3.8,3.0,3.0
09X063,3.1,3.0,6.0,4.1,4.0,2.0
01M034,,3.0,3.0,3.6,,3.0
Z014,3.0,3.0,13.0,3.4,4.0,3.0
15K015,3.4,3.0,31.0,3.5,4.0,3.0
KAWX,2.6,3.0,31.0,3.8,3.0,3.0
KBQX,3.3,4.0,24.0,5.4,4.0,4.0
KALL,3.9,3.0,9.0,3.9,4.0,3.0
22K198,2.9,3.0,8.0,3.4,3.0,3.0
KAZZ,2.9,2.0,21.0,3.3,3.0,3.0
05M200,1.3,3.0,20.0,3.9,4.0,2.0
KAZC,5.5,3.0,29.0,3.4,4.0,3.0
03M076,3.5,3.0,25.0,3.4,3.0,3.0
10X051,,3.0,21.0,4.0,,3.0
26Q159,4.9,3.0,28.0,4.1,4.0,3.0
27Q062,2.2,1.0,19.0,2.6,4.0,2.0
XAVX,3.9,3.0,12.0,4.3,4.0,3.0
KBPQ,3.0,,,,4.0,
18K233,2.2,3.0,4.0,3.5,4.0,3.0
30Q222,2.7,4.0,12.0,5.0,4.0,3.0
32K106,2.9,2.0,,3.0,4.0,3.0
13K067,2.7,4.0,30.0,5.5,4.0,4.0
03M145,3.0,2.0,41.0,3.1,4.0,2.0
02M151,,3.0,6.0,4.3,,3.0
28Q140,2.7,3.0,12.0,4.1,4.0,4.0
04M057,4.8,2.0,22.0,3.3,4.0,3.0
24Q343,3.4,3.0,10.0,4.8,4.0,3.0
KBAW,2.9,2.0,31.0,3.1,4.0,3.0
KBGP,3.4,1.0,,2.9,3.0,3.0
12X066,2.5,1.0,27.0,2.9,4.0,2.0
KBPT,2.4,3.0,11.0,4.1,3.0,3.0
MAZS,4.6,3.0,,3.4,4.0,3.0
19K325,2.7,3.0,17.0,4.4,4.0,3.0
25Q020,2.8,3.0,10.0,4.8,4.0,3.0
KBPU,5.9,3.0,7.0,3.8,4.0,3.0
26Q205,2.4,2.0,42.0,3.3,3.0,1.0
KAOA,4.1,3.0,,3.9,4.0,3.0
22K109,1.3,2.0,30.0,3.3,1.0,3.0
29Q015,2.6,3.0,4.0,4.1,4.0,3.0
