location_name,tier_3_support_leader_name,community_district,grades_text,principal_title,latitude,fax_number,principal_name,location_category_description
Central Brooklyn Ascend Charter School,,317,"0K,01,02,03,04,05,06",Principal,40.638957,,Michelle Flowers,Elementary
P.S. 250 George H. Lindsay,,301,"PK,0K,01,02,03,04,05,06,SE",Principal,40.706708,718-302-2314,Roseann Lacioppa,Elementary
"Magnet School of Math, Science and Design Technolo",,307,"0K,01,02,03,04,05,06,SE",Principal,40.660912,718-369-1736,LAURA SCOTT,Elementary
Academy for Social Action,,109,"09,10,11,12,SE",PRINCIPAL,40.815747,212-234-8597,Kairis Cox,High school
I.S. 340,Mauriciere de Govia,308,"06,07,08,SE",Principal,40.676357,718-230-5479,Tamara Johnson,Junior High-Intermediate-Middle
"School for Human Rights, The",Mauriciere de Govia,309,"09,10,11,12,SE",I.A. Principal,40.658671,718-771-4815,NATASHA JACK,Secondary School
The Fresh Creek School,,318,"PK,0K,01,02,03,04,05,SE",Principal,40.653368,718-272-2813,Lisa Goodson,Elementary
Brooklyn Ascend Charter School,,317,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Principal,40.661945,718-240-9140,Johana Andujar/Marsha Gadsden,K-12 all grades
Manhattan Charter School II,,103,"0K,01,02,03,04,05",PRINCIPAL,40.713362,212-964-3795,Amy Salazar/Genie Depolo,Elementary
P.S. M094,Tillman Roberto,101,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Principal,40.706384,212-266-5811,JEANNE BRADLEY,K-12 all grades
P.S. 287 Bailey K. Ashford,,302,"PK,0K,01,02,03,04,05,SE",Principal,40.697856,718-834-6766,MICHELE RAWLINS,Elementary
Success Academy Prospect Heights (Brooklyn 6),,308,"0K,01,02,03,04,05,06,07,08",Principal,40.673943,646-514-2070,Sydney Chernoff,K-8
P.S. 009 Sarah Anderson,"CHU, YUET",107,"PK,0K,01,02,03,04,05,SE",Principal,40.785234,212-873-4681,Katherine Witzke,Elementary
P.S. 120 Carlos Tapia,,304,"PK,0K,01,02,03,04,05,SE",Principal,40.700819,718-574-6637,LIZABETH CARABALLO,Elementary
University Neighborhood Middle School,"CHU, YUET",103,"06,07,08,SE",Principal,40.713362,212-349-8224,LAURA PEYNADO CASTRO,Junior High-Intermediate-Middle
P.S. 221 Toussaint L'Ouverture,Mauriciere de Govia,309,"PK,0K,01,02,03,04,05,SE",Principal,40.663964,718-953-2657,Florentine Ulysse,Elementary
P.S. 089 Cypress Hills,,305,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.677707,718-964-1185,IRENE LEON,K-8
P.S. 030 Hernandez/Hughes,"CHU, YUET",111,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.805653,212-876-4034,LEONNA AUSTIN,Elementary
West End Secondary School,,107,"06,07,08,09,10,SE",Principal,40.772608,212-245-1291,JESSICA JENKINS,Secondary School
Brooklyn Technical High School,,302,"09,10,11,12",I.A. Principal,40.688896,718-260-9245,David Newman,High school
P.S. 023 Carter G. Woodson,,303,"PK,0K,01,02,03,04,05,SE",Principal,40.69447,718-302-2312,Joseph Mattina,Elementary
Success Academy Charter School - Harlem 2,,111,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.805653,646-478-9491,Kaitlin McDermott/Lavinia Mackall,K-8
I S 275,,110,SE,Principal,40.8143,212-283-3415,Sal Fernandez,Junior High-Intermediate-Middle
"The Gregory Jocko Jackson School of Sports, Art, a",,316,"PK,0K,01,02,03,04,05,SE",Principal,40.666942,718-495-7839,Keva Pitts,K-8
P.S. 139 Alexine A. Fenty,Mauriciere de Govia,314,"PK,0K,01,02,03,04,05,SE",Principal,40.64134,718-940-1205,MARY MCDONALD,Elementary
EBC High School for Public Service - Bushwick,,304,"09,10,11,12,SE",Principal,40.694723,718-452-3603,Shawn Brown,High school
Brooklyn Studio Secondary School,Mauriciere de Govia,311,"06,07,08,09,10,11,12,SE",Principal,40.60498,718-266-5093,ANDREA CILIOTTA,Secondary School
P.S./I.S. 137 Rachel Jean Mitchell,,316,"PK,0K,01,02,03,04,05,SE",Principal,40.682248,718-453-5363,Suzette Rose,Elementary
New American Academy Charter School,,317,"0K,01,02,03,04,05",PRINCIPAL,40.651642,718-385-1856,Lisa Parquette Silva,Elementary
P.S. 126 Jacob August Riis,"CHU, YUET",103,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.710651,212-349-7342,Carlos Romero,K-8
I.S. 136 Charles O. Dewey,,307,"06,07,08,SE",I.A. Principal,40.652127,718-840-1955,Amanda Bueno,Junior High-Intermediate-Middle
The High School for Global Citizenship,Mauriciere de Govia,309,"09,10,11,12,SE",Principal,40.669805,718-230-6301,Michelle Rochon,High school
P.S. 017 Henry D. Woodworth,,301,"PK,0K,01,02,03,04,05,SE",Principal,40.715268,718-302-2311,ROBERT MARCHI,Elementary
High School for Health Professions and Human Servi,"CHU, YUET",106,"09,10,11,12,SE",Principal,40.732665,212-979-7261,ROBERT GENTILE,High school
P.S. 019 Roberto Clemente,,301,"05,SE",PRINCIPAL,40.710107,718-782-2446,Angela Olden Camiolo,Elementary
A-Tech High School,,301,"09,10,11,12,SE",Principal,40.721448,718-599-4351,NEIL HARRIS,High school
The Locke School of Arts and Engineering,"CHU, YUET",110,"PK,0K,01,02,03,04,05,SE",Principal,40.798461,212-831-8613,JANE MURPHY,Elementary
Leadership Preparatory Ocean Hill Charter School,,316,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Principal,40.672216,718-250-5768,Caroline Kerns/Jessica Pasionek,K-12 all grades
P.S. 059 Beekman Hill International,"CHU, YUET",106,"PK,0K,01,02,03,04,05,SE",Principal,40.759248,212-888-7872,ADELE SCHROETER,Elementary
p.s. 134 henrietta szold,"CHU, YUET",103,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.714248,212-475-6142,ROBERT PERALES,Elementary
Brooklyn Landmark Elementary School,,316,"PK,0K,01,02,03,04,05,SE",Principal,40.680679,718-443-4365,Joyce Beckles Knights,Elementary
Tito Puente Education Complex,,111,"08,SE",,40.792556,212-876-3782,,Junior High-Intermediate-Middle
P.S. 124 Silas B. Dutcher,,306,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.667464,718-965-9558,Maria Interlandi,Elementary
Brooklyn School of Inquiry,Mauriciere de Govia,311,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.606994,718-621-5735,Eric Havlik,K-8
J.H.S. 050 John D. Wells,,301,"06,07,08,SE",Principal,40.711915,718-302-2320,Benjamin Honoroff,Junior High-Intermediate-Middle
Yorkville East Middle School,"CHU, YUET",108,"06,07,08,SE",Principal,40.770215,917-432-5418,Christina Riggio,Junior High-Intermediate-Middle
The Ethical Community Charter School (TECCS),,303,"01,02,03,04,05",PRINCIPAL,40.697377,718-599-2814,Annette Keane,Elementary
High School for Environmental Studies,"CHU, YUET",104,"09,10,11,12,SE",Principal,40.767848,212-262-0702,Amber Najmi Shadid,High school
P.S. 191 Paul Robeson,Mauriciere de Govia,308,"PK,0K,01,02,03,04,05,SE",Principal,40.67173,718-756-5417,HADAR GAHFI,Elementary
Success Academy Charter School - Bed Stuy 3,,303,"05,06",Principal,40.691472,,Rita Deng,Junior High-Intermediate-Middle
P.S. M079 - Horan School,Tillman Roberto,111,"03,06,07,08,09,10,11,12,SE",Principal,40.802547,212-996-8307,GREER PHILLIPS,Secondary School
Lefferts Gardens Ascend Charter School,,317,"0K,01",,40.652671,,,Elementary
P.S. 029 John M. Harrigan,,306,"PK,0K,01,02,03,04,05,06,SE",Principal,40.686843,718-596-1887,Rebecca Fagin,Elementary
The Boerum Hill School for International Studies,,306,"06,07,08,09,10,11,12,SE",I.A. Principal,40.685006,718-875-7522,NICOLE LANZILLOTTO,Secondary School
P.S. 69 Vincent D. Grippo School,Mauriciere de Govia,310,"0K,01,02,03,04,05,SE",Principal,40.632392,718-630-3894,JAYNEMARIE CAPETANAKIS,Elementary
Franklin Delano Roosevelt High School,Mauriciere de Govia,312,"09,10,11,12,SE",Principal,40.621299,718-232-9513,Melanie Katz,High school
M.S. 224 Manhattan East School for Arts & Academic,"CHU, YUET",111,"06,07,08,SE",Principal,40.785107,212-410-0678,LUIS GENAO,Junior High-Intermediate-Middle
P.S. 172 Beacon School of Excellence,,307,"PK,0K,01,02,03,04,05,06,SE",Principal,40.657682,718-965-2468,ERIKA GUNDERSEN,Elementary
P.S. 333 Manhattan School for Children,"CHU, YUET",107,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.791395,212-222-1828,Claire Lowenstein,K-8
School of Science & Technology,Mauriciere de Govia,314,"PK,0K,01,02,03,04,05,SE",Principal,40.632619,718-859-5965,Gina Smalley,Elementary
Academy for Young Writers,,305,"06,07,08,09,10,11,12,SE",Principal,40.657266,718-688-7236,AADEN STERN,Secondary School
I.S. 303 Herbert S. Eisenberg,Mauriciere de Govia,313,"06,07,08,SE",Principal,40.582518,718-996-3785,CARMEN AMADOR,Junior High-Intermediate-Middle
School of Science & Technology,Mauriciere de Govia,314,"PK,0K,01,02,03,04,05,SE",Principal,40.632619,718-859-5965,Gina Smalley,Elementary
P.S. 067 Charles A. Dorsey,,302,"PK,0K,01,02,03,04,05,06,SE",Principal,40.695339,718-834-6719,Kyesha Jackson,Elementary
Achievement First Brownsville Charter School,,316,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Principal,40.674456,347-402-2900,Keith Brooks/Sabrina Silver,K-12 all grades
P.S. 219 Kennedy-King,Mauriciere de Govia,317,"PK,0K,01,02,03,04,05,SE",Principal,40.658834,949-397-9565,WINSOME SMITH,Elementary
P.S. 101 Andrew Draper,,111,"08,SE",,40.796098,212-860-6075,,Junior High-Intermediate-Middle
School in the Square Public Charter School,,112,"06,07,08",PRINCIPAL,40.848864,,Carrie Amon,Junior High-Intermediate-Middle
N.Y.C. Lab School for Collaborative Studies,"CHU, YUET",104,"09,10,11,12,SE",Principal,40.742512,212-691-2147,BROOKE JACKSON,High school
Paul Robeson High School,,308,"11,12,SE",PRINCIPAL,40.675905,718-467-3692,Ronald Williams Wells,High school
P.S. 137 John L. Bernstein,,103,"PK,0K,01,02,03,04,05,SE",I.A. PRINCIPAL,40.714248,646-602-2146,SARAH PINTO VIAGRAN,Elementary
Capital Preparatory (CP) Harlem Charter School,,111,"06,07,08,09,10",Principal,40.793098,315-400-0930,DANITA JONES,Secondary School
BHSFLAT,,303,"09,10,11,12,SE",Principal,40.688399,718-852-4593,Vernon Johnson,High school
The International Charter School of New York,,302,"0K,01,02,03,04,05",Principal,40.692434,,Ellen Borenstein,Elementary
Samuel J. Tilden High School,,317,"10,11,12,SE",,40.647728,718-629-0165,,High school
River East Elementary,"CHU, YUET",111,"PK,0K,01,02,03,04,05,SE",Principal,40.799265,212-289-9231,Michael Panetta,Elementary
Bushwick Ascend Charter School,,304,"0K,01,02,03,04,05,06,07,08",Principal,40.693748,718-366-3916,Zelda Washington/Sarah Adams,K-8
Success Academy Charter School - Bushwick,,304,"0K,01,02,03,04,SE",Principal,40.695975,,Katherine Haves,Elementary
West Prep Academy,"CHU, YUET",107,"06,07,08,SE",Principal,40.799098,212-280-8509,Carland Washington,Junior High-Intermediate-Middle
Freedom Academy High School,,302,"09,10,11,12,SE",PRINCIPAL,40.698274,718-694-8360,ALYSON FORDE,High school
P.S. K811 Connie Lekas School,Tillman Roberto,315,"06,07,08,09,10,11,12,SE",Principal,40.591132,718-648-7816,ANTOINETTE ROSE,Secondary School
P.S. 151 Lyndon B. Johnson,,304,"PK,0K,01,02,03,04,05,SE",Principal,40.693432,718-326-6364,JAYNE HUNT,Elementary
P.S. 073 Thomas S. Boyland,,316,5,I.A. PRINCIPAL,40.680679,718-455-1835,Dellie Edwards,K-8
Digital Arts and Cinema Technology High School,,306,"09,10,11,12,SE",Principal,40.685006,718-694-9745,Dawn Meconi,Secondary School
Collegiate Academy for Math and Personal Awareness,,305,"06,07,08",PRINCIPAL,40.65787,,George E. Leonard,Junior High-Intermediate-Middle
ACORN Community High School,,308,"09,10,11,12,SE",I.A. Principal,40.678591,718-789-2260,Jean Little,High school
TM&SES,,302,"06,07,08,SE",I.A. Principal,40.683951,718-330-0944,Arin Rusch,Junior High-Intermediate-Middle
Inwood Early College for Health and Information Te,,112,"09,10,11,12,SE",Principal,40.865556,212-567-1825,Samona Tait,High school
Bed ford Academy High School,,303,"09,10,11,12,SE",Principal,40.685486,718-636-3819,ADOFO MUHAMMAD,High school
CIPPCS,,313,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Principal,40.582518,718-513-6955,Jacob Mnookin/Evan Burns,K-12 all grades
Lafayette High School,,313,"09,10,11,12",,40.593028,718-996-6684,,High school
MS 378 Carroll Gardens C.S,,306,SE,,40.6801,718-923-4620,,Junior High-Intermediate-Middle
East Flatbush Ascend Charter School,,317,"0K,01",,40.652671,,,Elementary
P.S. 269 Nostrand,,317,"03,04,05,SE",PRINCIPAL,40.637625,718-940-3098,Jazmine Santiago,Elementary
Brooklyn Prospect Charter School,,307,"07,08,09,10,11,12,SE",Principal,40.647893,347-889-7083,Kim Raccio/Carolyn Michael,K-12 all grades
International High School at Prospect Heights,,309,"09,10,11,12,SE",Principal,40.669805,718-230-6322,Nedda De Castro,High school
Brooklyn High School for Leadership and Community,,303,"09,10,11,12,SE",Principal,40.692015,718-638-3404,GEORGIA KOURIAMPALIS,High school
M.S. 061 Dr. Gladstone H. Atwell,Mauriciere de Govia,309,"06,07,08,SE",Principal,40.663605,718-467-4335,Dewana Daids,Junior High-Intermediate-Middle
P.S. 256 Benjamin Banneker,,303,"PK,0K,01,02,03,04,05,SE",Principal,40.690595,718-783-7384,SHARYN HEMPHILL,Elementary
P.S. 747 A Great Start Academy,,316,"0K,01,02,03,04,05,SE",,40.672216,,,Elementary
Institute for Collaborative Education,,106,"06,07,08,09,10,11,12",Principal,40.732665,212-475-0459,Peter Karp,Secondary School
P.S. 138,Tillman Roberto,111,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Principal,40.805653,212-427-6608,Gregg Soulette,K-12 all grades
P.S. 290 Juan Morel Campos,,305,"PK,0K,01,02,03,04,05,SE",Principal,40.678182,718-827-5842,BRIGITTE NEWELL,Elementary
P.S. 018 Park Terrace,"CHU, YUET",112,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.871456,212-304-1423,CONNIE MEJIA,K-8
Edmund W. Gordon Brooklyn Laboratory Charter Schoo,,302,"06,07,09",Principal,40.70043,,"Eric Tucker, Phd",Secondary School
Sheepshead Bay High School,,315,"09,10,11,12,SE",PRINCIPAL,40.593157,718-648-9349,John Omahoney,High school
I.S. 285 Meyer Levin,Mauriciere de Govia,317,"06,07,08,SE",Principal,40.647818,718-228-4118,George Patterson,Junior High-Intermediate-Middle
Millennium High School,,101,"09,10,11,12,SE",Principal,40.704697,212-825-9095,COLIN MCEVOY,High school
Wad leigh Secondary School for the Performing & Vis,,110,"06,07,08,09,10,11,12,SE",Principal,40.80261,212-749-6463,Kyleema Norman,Secondary School
P.S./ I.S. 155 Nicholas Herkimer,,316,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.677634,718-345-9064,MICHELLE MANNS,K-8
Community Preparator y High School,,105,,,40.7444,212-889-8056,,High school
JHS 142,,306,,,40.6801,718-923-4620,,Junior High-Intermediate-Middle
Leadership Prep Bedford Stuyvesant Uncommon Prep C,,303,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Principal,40.68192,718-636-0747,Ishani Mehta/Aidan K. Thomas,K-12 all grades
P.S. 138 Brooklyn,Mauriciere de Govia,308,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.673943,718-953-3422,MARIE CHAUVET MONCHIK,K-8
Powell M.S. for Law & Social Justice,,109,"08,SE",PRINCIPAL,40.8153,212-690-5980,Winston Riley,Junior High-Intermediate-Middle
P.S. M169 - Robert F. Kennedy,Tillman Roberto,108,"0K,01,02,03,04,05,06,07,08,10,11,12,SE",Principal,40.780798,212-996-8245,ELEYNA RIVAS,K-12 all grades
I.S. 364 Gateway,,305,"06,07,08,SE",Principal,40.646211,718-642-8516,Nicole Fraser Edmund,Junior High-Intermediate-Middle
The Uft Charter School,,305,"09,10,11,12,SE",Principal,40.659934,718-922-0543,Justin A. Davis,High school
W.E.B. Dubois Academic High School,,309,"09,10,11,12",PRINCIPAL,40.669561,718-773-7849,Catherine Hartnett,High school
East Williamsburg Scholars Academy,,301,"09,10,11,12,SE",Principal,40.711134,718-387-3281,Rosemary Vega,High school
P.S. 096 Joseph Lanzetta,"CHU, YUET",111,"PK,0K,01,02,03,04,05,06,07,08,SE",I.A. Principal,40.79969,212-860-6074,James Konstantinakos,K-8
Achievement First Endeavor Charter School,,302,"0K,01,02,03,04,05,06,07,08,12",Principal,40.682422,718-789-1649,Sabrina Silver/Cristina Lopez Del Castillo,K-12 all grades
Frederick Douglass Academy VIII Middle School,,305,"06,07,08,SE",Principal,40.64664,718-642-4537,Chantal Grandchamps,Junior High-Intermediate-Middle
Cypress Hills Collegiate Preparatory School,,305,"09,10,11,12,SE",Principal,40.693002,718-647-6719,Amy Yager,High school
is 370m learning project ms,,103,,,40.7297,212-673-9503,,Junior High-Intermediate-Middle
New Hope Academy Charter School,,317,,PRINCIPAL,40.643897,,Dr. Temica Francis,Elementary
Thomas Jefferson High School,,305,"11,12,SE",Principal,40.6675,718-345-2014,,High school
Harlem Link Charter School,,110,"PK,0K,01,02,03,04,05",Principal,40.798461,212-289-3686,Steven Evangelista/Margaret Ryan,Elementary
Medgar Evers College Preparatory School,,309,"06,07,08,09,10,11,12,SE",Principal,40.66679,718-703-5600,MICHAEL WILTSHIRE,Secondary School
P.S. 158 Bayard Taylor,"CHU, YUET",108,"PK,0K,01,02,03,04,05,06,SE",Principal,40.770215,212-772-8424,DINA ERCOLANO,Elementary
M.S. M246 Crossroads School,,107,,,40.802653,212-678-4275,,Junior High-Intermediate-Middle
P.S. 159 Isaac Pitkin,,305,"0K,01,02,03,04,05,SE",Principal,40.676111,718-827-4531,MONICA DUNCAN,Elementary
John Dewey High School,Mauriciere de Govia,313,"09,10,11,12,SE",Principal,40.58807,718-266-4385,CONNIE HAMILTON,High school
WHIN Music Community,,112,"0K,01,02,03",Principal,40.836982,212-227-2763,Charlie Ortiz,Elementary
Beginning with Children Charter School II,,301,"0K,01,02,03,04,05,06,07,08",Principal,40.703996,,Mike Ferrara/Yvette Ferrara,K-8
P.S. 242 - The Young Diplomats Magnet Academy,"CHU, YUET",110,"PK,0K,01,02,03,04,05,SE",Principal,40.806055,212-678-2927,DENISE GOMEZ,Elementary
P.S. 397 Foster-Laurie,Mauriciere de Govia,309,"PK,0K,01,02,03,04,05,SE",Principal,40.658663,718-953-4856,Marie Casseus Monteau,Elementary
Success Academy Charter School - Bensonhurst - New,,311,"0K,01,02,03,04,05",Principal,40.608135,646-219-1663,Jonathan Dant,Elementary
Achievement First Linden Elementary School,,305,"0K,01,02,03,04,05,06",Principal,40.659934,718-228-3778,Amanda Hageman,Elementary
P.S. K053,Tillman Roberto,307,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Principal,40.660805,718-965-1734,HEATHER LEYKAM,K-12 all grades
"Brooklyn Latin School, The",,301,"09,10,11,12",I.A. Principal,40.709765,718-381-3012,Katrina Billy Wilkinson,High school
P.S. 019 Asher Levy,"CHU, YUET",103,"PK,0K,01,02,03,04,05,SE",Principal,40.730009,212-673-1477,JACQUELINE FLANAGAN,Elementary
I.S. 289,"CHU, YUET",101,"06,07,08,SE",Principal,40.71701,212-587-6610,Zeynep Ozkan,Junior High-Intermediate-Middle
P.S. 040 Augustus Saint-Gaudens,"CHU, YUET",106,"PK,0K,01,02,03,04,05,SE",Principal,40.735328,212-533-5388,SUSAN FELDER,Elementary
East Brooklyn Ascend Charter School,,305,0K,,40.681183,,,Junior High-Intermediate-Middle
P.S. 135 Sheldon A. Brookner,Mauriciere de Govia,317,"PK,0K,01,02,03,04,05,SE",Principal,40.653093,718-941-0847,Trevlyn Mcrae,Elementary
Satellite Three,,302,"08,SE",PRINCIPAL,40.684286,718-789-5814,Beatrice Thompson,Junior High-Intermediate-Middle
P.S. 054 Samuel C. Barnes,,303,"PK,0K,01,02,03,04,05,SE",Principal,40.692616,718-852-8129,Anthony Pirro,Elementary
Success Academy Charter School - Harlem 1,,110,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Principal,40.802649,212-457-5659,Andrea Klein/Danique Loving,K-12 all grades
P.S./I.S. 157 The Benjamin Franklin Health & Scien,,303,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.695397,718-398-4155,KOURTNEY BOYD,K-8
The Urban Assembly School for Collaborative Health,,305,"09,10,11,12,SE",Principal,40.693002,718-277-6041,Candace Hugee,High school
La Cima Charter School,,303,"0K,01,02,03,04,05",Principal,40.68797,718-443-7291,Guerschmide Saint-Ange/Nisah Brinson,Elementary
Brooklyn Environmental Exploration School (BEES),,316,"06,07,08,SE",Principal,40.680679,718-453-3508,Craig Garber,Junior High-Intermediate-Middle
Transit Tech Career and Technical Education High S,,305,"09,10,11,12,SE",Principal,40.67878,718-647-4458,Marlon Bynum,High school
Hamilton Heights School,"CHU, YUET",109,"0K,01,02,03,04,05,SE",Principal,40.826514,212-862-9946,Charles Reilly,Elementary
Bushwick Leaders High School for Academic Excellen,,304,"09,10,11,12,SE",Principal,40.695436,718-574-1103,CATHERINE REILLY,High school
Riverdale Avenue Community School,,316,"PK,0K,01,02,03,04,05,SE",Principal,40.659618,718-485-1768,Meghan Dunn,Elementary
P.S. 200 Benson School,Mauriciere de Govia,311,"PK,0K,01,02,03,04,05,SE",Principal,40.602809,718-232-3428,JAVIER MUNIZ,Elementary
New Heights Academy Charter School,,109,"05,06,07,08,09,10,11,12",PRINCIPAL,40.82884,917-507-9314,Fred Givens III/Rinaldo Murray,Secondary School
Harlem Village Academy East Charter School,,111,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Principal,40.799265,212-996-1626,Yohana De Los Santos/Yaritza Cortes,K-12 all grades
Bushwick Community High School,,304,"09,10,11,12",Principal,40.695875,718-919-0781,Llermi Gonzalez,High school
Leadership Preparatory Brownsville Charter School,,316,"0K,01,02,03,04,05,06,07,08",PRINCIPAL,40.655644,718-228-6496,Jacobi Clifton/Brianna Riis,K-8
P.S. 119 Amersfort,Mauriciere de Govia,318,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.626038,718-338-0694,Denise Nopper,Elementary
P.S. 102 Jacques Cartier,"CHU, YUET",111,"PK,0K,01,02,03,04,05,SE",Principal,40.795,212-860-6076,GAYNELL TAYLOR,Elementary
Success Academy Charter School - Bergen Beach - Ne,,318,"0K,01,02,03,04,05,06,SE",Principal,40.620537,347-521-7879,Jessica Johnson,Elementary
Brooklyn RISE Charter School,,307,"0K,01",,40.643747,,,Elementary
P.S. 205 Clarion,Mauriciere de Govia,311,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.614737,718-331-7299,Feiga Mandel,Elementary
M.S. 255 Salk School of Science,"CHU, YUET",106,"06,07,08,SE",Principal,40.735328,212-614-0095,Rhonda Perry,Junior High-Intermediate-Middle
