device_id,job_filing_number,type_of_machine_break,hoist_direction,counter_weight_buffer_stroke,outdoor_escalator,counter_weight_safety_type,number_of_openings_side,escalator_energy_saving,hoist_rope_material,car_inside_width_inches,cwtgovernor_ropes_qty,machine_jack_type,hoist_rope_size,glass_or_transparent,escalator_step_width_feet,main_supply_power_type,hoist_rope_ultimate_strength,cargovernor_ropes_size,car_counterweight_ropes_1,counter_weight_buffer_2,glass_car,counter_weight_buffer_type,travel_to_floor,interlocks_type,cargovernor_ropes_qty,fire_emergency_phase,sized_for_stretcher,device_in_conjunction_with,hoist_manufacturer,car_opening,escalator_travel_to_floor
1P48568,M00268894-I1,Disc,Horizontal,,,,1.0,,Steel,7.0,1.0,,5/8,,,AC,,3/8,,,No,,5,M/O,1.0,Yes,No,No,GAL,Door,
4P0993423,Q00481524-I1,Disc,Horizontal,0.0,,,0.0,,Steel,4.0,,,40MM,,,AC,56KN,6MM,,,No,Spring,9,890,1.0,Yes,Yes,No,ECI,Door,
1P28527,M00041466-I1,Drum,Vertical,0.0,,,0.0,,Steel,6.0,,,5/8,,,AC,"23,000",3/8,,Yes,No,Oil,8,Peelle,1.0,Yes,Yes,No,Peelle,Gate,
4P0988367,Q00122829-I1,,Horizontal,0.0,,,0.0,,Steel,0.0,,Single Jack,3/8,,,AC,14400,,,,No,,2,PROLOCK,,Yes,No,No,SAVARIA,Door,
4E6067,Q08015133-P1,,,,No,,,Yes,,,,,,,3.0,,,,,,,,,,,,,No,,,2.0
1P20647,M00415512-I1,Disc,Horizontal,0.0,,,0.0,,Steel,2.0,,,1/2'',,,AC,"14,500#",3/8'',,Yes,No,Spring,6,N,1.0,Yes,No,No,GAL,Door,
1P33630,M00779668-I1,Emergency Brake,Horizontal,0.0,,,0.0,,Steel,8.0,1.0,,5/8,,,AC,23000,1/2,,,No,Oil,10,MO,1.0,Yes,No,No,GAL,Door,
1P27601,M00150191-I1,Disc,Horizontal,,,,0.0,,,8.0,,,,,,AC,,,,,No,,12,MO,,Yes,Yes,No,GAL,Door,
1F5696#,M00243855-I1,Emergency Brake,Horizontal,,,,0.0,,,4.0,,Dual Jack,,,,AC,,,,,No,,ST,MO,,Yes,No,No,GAL,Gate,
1F830,M00931098-I1,Emergency Brake,Horizontal,,,,0.0,,,0.0,,Dual Jack,,,,AC,,,,,No,,3,Existing,,Yes,Yes,No,Existing,Door,
2P10367,X00643851-I1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3P1000765,B08008132-S8,Disc,Horizontal,0.0,,,0.0,,Steel,6.0,,,3/8'',,,AC,8200#,3/8'',,,No,Spring,R,INT,1.0,Yes,Yes,No,GAL Manufacturing,Door,
1P44053,M00267191-I1,,Horizontal,,,,0.0,,,5.0,,Dual Jack,,,,AC,,,,,No,,1,MO,,Yes,No,No,GAL,Door,
1P35451,M00069194-I1,Drum,Horizontal,0.0,,,0.0,,Steel,5.0,,,5/8'',,,AC,"23,000",3/8'',,,No,Oil,2,E5A,1.0,Yes,No,No,WESTINGHOUSE,Door,
1P28681,M00121955-I1,Drum,Horizontal,3.0,,,0.0,,Steel,2.0,,,5/8,,,AC,23000,1/2,,,No,Oil,R,MO,1.0,Yes,No,No,GAL,Door,
3P7312,B01186523-I1,,Horizontal,,,,0.0,,,8.0,,Single Jack,,,,AC,,,,,No,,3,MO,,Yes,No,No,EXISTING,Door,
1P36217,M00443174-P1,Emergency Brake,Horizontal,,,,0.0,,,9.0,,Single Jack,,,,AC,,,,,No,,G,Existing,,Yes,No,No,Dover,Door,
2P2880,X00767246-I1,,Horizontal,0.0,,,0.0,,Steel,8.0,,,1/2,,,AC,14500,3/8,,,No,Spring,13,MO,1.0,Yes,No,No,GAL,Door,
1P40720,M00201338-I1,Drum,Horizontal,,,,0.0,,,5.0,,,,,,AC,,,,,No,,PH,MO,,Yes,No,No,GAL,Door,
1P41115,M00054429-I1,Emergency Brake,Horizontal,,,,0.0,,,4.0,,Single Jack,,,,AC,,,,,No,,L,MO,,Yes,No,No,GAL,Door,
1P36665,M00994668-I1,Drum,Horizontal,0.0,,,0.0,,Steel,8.0,,,5/8,,,AC,"23,000",1/2,,Yes,No,Oil,5,MO,1.0,Yes,No,No,GAL,Door,
3P6070,B00020897-I1,Drum,Horizontal,1.0,,,0.0,,Steel,6.0,,,5/8,,,AC,23000,3/8,,yes,No,Oil,23,MO,1.0,Yes,No,No,GAL,Door,
1P45242,M00126082-I1,Disc,Horizontal,,,,0.0,,,0.0,,,1/2,,,AC,,3/8,,,No,,29,MO,1.0,Yes,Yes,No,GAL,Door,
1C0994002,M00569879-P1,,Vertical,0.0,,,0.0,,,3.0,,,,,,AC,,9.55 mm,Steel,,,Oil,23,,1.0,,,,,,
1P5672,M00362949-I1,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
1P29853,M00178868-I1,Drum,Horizontal,5.0,,,0.0,,Steel,0.0,,,5/8,,,AC,23000,1/2,,,No,Oil,38,MO,1.0,Yes,No,No,GAL,Door,
4P817,Q00124612-I1,Disc,Horizontal,0.0,,,0.0,,Steel,6.0,,,1/2'',,,AC,"14,500",3/8'',,,No,Spring,6,MO,1.0,Yes,No,No,GAL,Door,
1P45204,M00178968-I1,Drum,Horizontal,8.0,,,0.0,,Steel,9.0,1.0,,5/8,,,AC,,3/8,,Yes,No,Oil,12,Thyssen,1.0,Yes,No,No,Thyssen,Door,
1P16740,M00537653-P1,Disc,Horizontal,0.0,,,0.0,,Steel,11.0,,,5/8,,,AC,23000,1/2,,,No,Oil,PH,MO,1.0,Yes,No,No,GAL,Door,
3P0992564,B00400851-P3,Disc,Horizontal,5.0,,,0.0,,Steel,6.0,,,5/8in,,,AC,23000lbs,10mm,,ETSL Feature,No,Oil,29-74,MO,1.0,Yes,Yes,No,ThyssenKrupp,Door,
1P25582,M00204225-I1,Drum,Horizontal,4.0,,,0.0,,Steel,7.0,1.0,,11/16,,,AC,27000,1/2,,,No,Oil,29,MOH,1.0,Yes,No,No,GAL,Door,
1P0994137,M00595452-I1,Drum,Horizontal,1.0,,,0.0,,Steel,8.0,,,5/8,,,AC,23000,3/8,,,No,Oil,25,MO,1.0,Yes,No,No,GAL,Door,
1P43311,M00556451-I1,Disc,Horizontal,0.0,,,0.0,,Steel,4.0,,,1/2,,,AC,,3/8,,,No,Oil,R,MO,1.0,Yes,No,No,GAL,Door,
1P29498,M00347072-I1,Disc,Horizontal,0.0,,,0.0,,Steel,8.0,,,1/2'',,,AC,"14,500#",1/2'',,Yes,No,Spring,6,N,1.0,Yes,No,No,G.A.L.,Door,
1P0996669,M08008077-I1,Disc,Horizontal,0.0,,,0.0,,Steel,0.0,,,1/2,,,AC,14500,3/8,,,No,Oil,19,AMD,1.0,Yes,No,No,GAL,Door,
1P30582,M00190440-I1,Drum,Horizontal,0.0,,,0.0,,Steel,0.0,,,5/8,,,AC,23000,3/8,,,No,Oil,18,MO,1.0,Yes,Yes,No,GAL,Door,
3 C0996500,B07993589-P2,,Horizontal,,,,1.0,,,9.0,,,,,,AC,,,,,,,Roof,,,,,,,,
2P5358,X00338458-I1,Disc,Horizontal,,,,0.0,,,0.0,,,,,,AC,,,,,No,,6,MO,,Yes,Yes,No,GAL,Door,
3P789,B00332246-I1,Emergency Brake,Horizontal,1.0,,,0.0,,Steel,0.0,,,1/2,,,AC,24625,3/8,,yes,No,Oil,12,MO,1.0,Yes,No,No,GAL,Door,
1P 11865,M00283717-P1,,Horizontal,1.0,,,0.0,,Steel,9.0,,,5/8,,,AC,23000,1/2,,,No,Oil,M-21,MO,1.0,Yes,No,No,GAL,Door,
1F1231,M00870370-I1,Drum,Horizontal,0.0,,,0.0,,Steel,2.0,,,1/2,,,AC,14500,3/8,,Yes,No,Spring,5,N,1.0,Yes,No,No,GAL,Door,
1P0990784,M00286690-P4,Disc,Horizontal,6.0,,,0.0,,Steel,5.0,,,18mm,,,AC,"47,882",1/2,Steel,Yes,No,Oil,65,NG,1.0,Yes,No,No,Otis,Door,
3P12862,B00035190-I1,Disc,Vertical,,,,0.0,,Steel,4.0,,,5/8,,,AC,23000,3/8'',,,No,,6,MO,1.0,Yes,No,No,GAL,Door,
1C0992242,M00399890-I1,,Vertical,,,,0.0,,,11.0,,,,,,AC,,,,,,,BulkR,,,,,,,,
1P27431,M00322344-I1,Drum,Horizontal,,,,0.0,,,7.0,,,,,,AC,,,,,No,,6,n,,No,No,No,gal,Door,
2P3002,X00831627-I1,Drum,Horizontal,0.0,,,0.0,,Steel,11.0,0.0,,1/2'',,,AC,"14,500#",3/8'',,,No,Spring,6,MO,1.0,Yes,No,No,G.A.L.,Door,
1P24315,M00183708-I1,Disc,Horizontal,0.0,,,0.0,,Steel,6.0,,,1/2,,,AC,14500,3/8,,,No,Spring,8,MO,1.0,Yes,No,No,GAL,Door,
1P23572,M00408293-I1,Disc,Horizontal,0.0,,,0.0,,Steel,10.0,,,1/2,,,AC,14500,3/8,,,No,Oil,17,MO,1.0,Yes,No,No,GAL,Door,
1P20030,M00262238-I1,Disc,Horizontal,,,,0.0,,,0.0,,,,,,AC,,,,,No,,5,L,,Yes,No,No,Otis,Door,
3P0992230,B00375731-I1,Emergency Brake,Horizontal,,,,0.0,,Steel,0.0,,Single Jack,3/8'',,,AC,"14,400LBS",,,,No,,2,WITTUR,,Yes,No,No,SAVARIA,Door,
1P22087,M00488772-I1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
3P11924,B00671974-I1,,,,,,,,Steel,,1.0,,.472,,,,,.375,,,,,ROF,,1.0,,,,,,
3P13822,B00361636-I1,Drum,Horizontal,,,,0.0,,Steel,0.0,,,3/8,,,AC,,3/8,,,No,Oil,1-4,,1.0,Yes,No,No,kone,Door,
1P18137,M00610524-I1,Drum,Horizontal,3.0,,,0.0,,Steel,3.0,,,5/8,,,AC,23000,1/2,,Oil,No,Oil,12-22,MO,1.0,Yes,No,No,GAL,Door,
3P0999270,B07995743-P9,Drum,Horizontal,0.0,,,1.0,,Steel,10.0,,,10MM,,,AC,12900#,3/8'',,YES,No,Spring,R,MO,1.0,Yes,Yes,No,GAL,Door,
3P13395,B00739567-I1,Disc,Horizontal,,,,0.0,,,0.0,,,,,,AC,,,,,No,,7,MO,,Yes,Yes,No,G.A.L.,Door,
2P4263,X00163432-I1,Disc,Horizontal,0.0,,,0.0,,Steel,8.0,,,1/2'',,,AC,"14,500#",3/8'',,Yes,No,Oil,26,MO,1.0,Yes,No,No,GAL,Door,
1F5503,M00290628-I1,,Horizontal,,,,0.0,,,4.0,,Single Jack,,,,AC,,,,,No,,3,MO,,Yes,No,No,GAL,Door,
3P0993882,B00544306-P1,Disc,Horizontal,0.0,,,0.0,,Belt,8.0,,,30MM,,,AC,9673,1/4,,Yes,No,Oil,"6, R",6940,1.0,Yes,No,No,Otis,Door,
4P1555,Q00287093-I1,Drum,Horizontal,,,,0.0,,,2.0,,,,,,AC,,,,,No,,6,N,,Yes,No,No,GAL,Door,
3P11764,B00180699-I1,Disc,Horizontal,,,,0.0,,Steel,8.0,1.0,,1/2,,,AC,,3/8,,,No,,7,MO,1.0,Yes,No,No,GAL,Door,
4P15525,Q00279628-I1,,Horizontal,,,,0.0,,,10.0,,Single Jack,,,,AC,,,,,No,,2,existing,,Yes,Yes,No,existing,Door,
1P0997118,M08032717-I1,Drum,Horizontal,0.0,,,0.0,,Steel,8.0,,,3/8,,,AC,8200,3/8,,,No,Oil,6,MO,1.0,Yes,Yes,No,GAL,Door,
3P7560,B00420441-I1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
1P11886,M00054590-P1,Drum,Horizontal,1.0,,,0.0,,Steel,6.0,,,1/2'',,,AC,14500#,1/2'',,YES,No,Oil,18,MOH,1.0,Yes,No,No,GAL,Door,
4P2916,Q00112432-I1,Drum,Horizontal,0.0,,,0.0,,Steel,10.0,,,1/2'',,,AC,"14,500",3/8'',,YES,No,Spring,7,N,1.0,Yes,No,No,GAL,Door,
3P6692,B00068067-I1,Disc,Horizontal,0.0,,,0.0,,Steel,6.0,,,5/8'',,,AC,"23,000#",3/8'',,Yes,No,Oil,18,MO,1.0,Yes,No,No,G.A.L.,Door,
1P24308,M00224785-I1,Disc,Horizontal,1.0,,,0.0,,Steel,5.0,,,1/2,,,AC,14500,1/2,,,No,Oil,4-10,MO,1.0,Yes,No,No,GAL,Door,
1P18035,M00575867-I1,,,,,,,,Steel,,1.0,,5/8,,,,,1/2,,,,,41,,1.0,,,,,,
2P2288,X00109293-I1,Drum,Horizontal,0.0,,,0.0,,Steel,0.0,,,1/2,,,AC,14500,3/8,,,No,Spring,7,Exisitng,1.0,Yes,No,No,Exisitng,Door,
3P0988025,B00099854-P2,Emergency Brake,Horizontal,1.0,,,0.0,,Steel,6.0,,,1/2 (8x19),,,AC,14500,3/8,,,No,Oil,38,66401,1.0,Yes,No,No,TKE,Door,
4P11428,Q00,Disc,Horizontal,,,,0.0,,,8.0,,,,,,AC,,,,,No,,PH,existing,,Yes,No,No,existing,Door,
1P32282,M00229346-I1,Disc,Horizontal,,,,0.0,,,2.0,,,,,,AC,,,,,No,,9,MO,,Yes,No,No,G.A.L.,Door,
1C0989679,M00152510-P1,,Vertical,,,,0.0,,,10.0,,,,,,AC,,,,,,,2ND,,,,,,,,
3C0989505,B00193631-I1,,Horizontal,,,,1.0,,,9.0,,,,,,AC,,,,,,,ROOF,,,,,,,,
1P16842,M00221596-I1,Disc,Horizontal,1.0,,,0.0,,Steel,4.0,,,60MM,,,AC,14388,1/2,,YES,No,Oil,26,6940,1.0,Yes,No,No,OTIS,Door,
1P46065,M00243377-I1,Disc,Horizontal,,,,0.0,,Steel,8.0,,,,,,AC,,,,,No,,R,MO,,Yes,No,No,GAL,Door,
1P28868,M00128274-I1,Drum,Vertical,1.0,,,0.0,,Steel,3.0,,,1/2,,,AC,"14,500",3/8,,YES,No,Oil,12,MOCP,1.0,Yes,No,No,GAL,Door,
4P11715,Q00184926-I1,Disc,Horizontal,,,Flexible Guide,0.0,,Steel,9.0,1.0,,5/8,,,AC,,3/8,,,No,,11,TKE,1.0,Yes,No,No,Tke,Door,
3P12779,B00881496-I1,Drum,Horizontal,0.0,,,0.0,,Steel,8.0,,,10mm,,,AC,"12,900#",3/8'',,YES,No,Spring,5,MO,1.0,Yes,No,No,G.A.L.,Door,
4P3132,Q00347180-I1,Drum,Horizontal,,,,0.0,,,4.0,1.0,,1/2,,,AC,,7/1,,,No,,6,MO,1.0,Yes,No,No,GAL,Door,
3P6783*,B00288484-I1,Disc,Horizontal,,,,0.0,,Steel,8.0,,,,,,AC,,,,,No,,9,MO,,Yes,No,No,GAL,Door,
1P6533,M00537182-I1,Disc,Vertical,2.0,,,0.0,,Steel,8.0,,,5/8,,,AC,23000,1/2,,,No,Oil,26,mo,1.0,Yes,Yes,No,gal,Door,
4P0996805,Q08023994-I1,Drum,Horizontal,1.0,,,0.0,,Steel,8.0,,,5/8,,,AC,"27,200",3/8,,LB25,No,Oil,33,MOH,1.0,Yes,No,No,GAL,Door,
2P4561,X00138818-I1,,Horizontal,0.0,,,0.0,,,0.0,,Single Jack,,,,AC,,,,,No,Spring,5,MO,,Yes,No,No,GAL,Door,
1P19071,M00933189-I1,,Horizontal,3.0,,,0.0,,Steel,7.0,,,5/8,,,AC,23000,1/2,,,No,Oil,35,MO,1.0,Yes,No,No,GAL,Door,
4P1877,Q00275844-I1,Drum,Horizontal,,,,0.0,,,9.0,1.0,,1/2,,,AC,,3/8,,,No,,6,n,1.0,Yes,Yes,No,gal,Door,
1P1809,M00163402-I1,Drum,Horizontal,0.0,,,0.0,,Steel,0.0,,,1/2,,,AC,14500,1/2,,,No,Spring,6,,1.0,Yes,No,No,,Door,
1P48861,M01024637-I1,Disc,Horizontal,0.0,,Flexible Guide,0.0,,Steel,2.0,1.0,,5/8,,,AC,23000,3/8,,,No,Oil,6,601231,1.0,Yes,No,No,Wittur,Door,
1P47144,M00268104-I1,Drum,Horizontal,0.0,,,0.0,,Steel,0.0,,,,,,DC,,3/8,,,No,Oil,27,mo,1.0,Yes,No,No,gal,Door,
3D143,B00967911-I1,,Vertical,,,,0.0,,Steel,0.0,,,5/16'',,,AC,200,,,,,,1,,,,,,,Door,
1P26912,M00333832-I1,,Horizontal,,,,0.0,,,8.0,,Single Jack,,,,AC,,,,,No,,1,existing,,Yes,No,No,existing,Door,
3P0996243,B00797811-P3,Drum,Horizontal,0.0,,,0.0,,Steel,0.0,,,10MM,,,AC,"12,900#",3/8'',,,No,Spring,8,MO,1.0,Yes,Yes,No,G.A.L.,Door,
1P40369,M00157956-I1,Emergency Brake,Horizontal,,,,0.0,,,8.0,,Dual Jack,,,,AC,,,,,No,,P,MO,,Yes,No,No,G.A.L.,Door,
1P15412,M00246649-I1,Drum,Horizontal,,,,0.0,,Steel,0.0,1.0,,5/8,,,AC,,1/2,,,No,,20,mo,1.0,Yes,Yes,No,GAL,Door,
1P21006,M00105366-I1,Drum,Horizontal,0.0,,,0.0,,Iron,0.0,,,5/8,,,DC,23000,,,,No,Spring,4,,,No,No,No,,Door,
1P26416,M00088214-I1,Disc,Horizontal,0.0,,,0.0,,Steel,8.0,,,5/8'',,,AC,"23,000",3/8'',,,No,Oil,23,MO,1.0,Yes,No,No,GAL,Door,
3P11459,B01037519-I1,,Horizontal,,,,0.0,,,9.0,,Single Jack,,,,AC,,,,,No,,5,mce,,Yes,No,No,mce,Door,
3C0999674,B01019566-I1,,Vertical,,,,0.0,,,0.0,,,,,,AC,,,,,,,11th,,,,,,,,
2P10397,X00231229-I1,Emergency Brake,Horizontal,,,,0.0,,,8.0,,,,,,AC,,,,,No,,4,existing,,Yes,Yes,No,existing,Door,
1P33045,M00241846-I1,,Horizontal,2.0,,,0.0,,Steel,1.0,,,1/2,,,AC,14500,1/2,,,No,,23,6970,1.0,Yes,No,No,OTIS,Door,
1P13435,M00046252-I1,Disc,Horizontal,0.0,,,0.0,,Steel,8.0,,,1/2,,,AC,14500,1/2,,,No,Spring,PH,MO,1.0,Yes,No,No,GAL,Door,
4P11024,Q00156247-I1,,Horizontal,,,,0.0,,,9.0,,Single Jack,,,,AC,,,,,No,,G3,Existing,,Yes,Yes,No,ECI,Door,
3P12156,B00197364-I1,,Horizontal,,,,0.0,,Steel,8.0,,Single Jack,3/8,,,AC,,,,,No,,R,MO,,Yes,No,No,GAL,Door,
3P5488,B00292966-I1,Drum,Horizontal,0.0,,,0.0,,Steel,11.0,,,1/2,,,AC,14500,3/8,,,No,Spring,7,MO,1.0,Yes,No,No,GAL,Door,
4P12648,Q00178700-I1,,Horizontal,,,,0.0,,,8.0,,Dual Jack,,,,AC,,,,,No,,2,MO,,Yes,No,No,GAL,Door,
3P13796,B00102117-I1,Disc,Horizontal,,,,0.0,,Steel,9.0,1.0,,10MM,,,AC,,3/8,,,No,,5,27 BN,1.0,Yes,No,No,TKE,Door,
3P0996122,B00782321-P1,Disc,Horizontal,0.0,,,0.0,,Belt,5.0,,,43KN,,,AC,9673,1/4,,Yes,No,Other,8,NG,1.0,Yes,Yes,No,Otis,Door,
1P44079,M00270634-I1,Drum,Horizontal,,,,0.0,,Steel,9.0,1.0,,1/2,,,AC,,3/8,,,No,,6,MO,1.0,Yes,Yes,No,GAL,Door,
1P0,M00286607-P4,Drum,Horizontal,3.0,,,0.0,,Steel,5.0,,,11/16,,,AC,"42,266",1/2,Steel,Yes,No,Oil,52,NG,1.0,Yes,No,No,Otis,Door,
2P5473,X00378620-I1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
2P982,X00731993-I1,Drum,Horizontal,0.0,,,0.0,,Steel,6.0,,,1/2,,,AC,"14,500",3/8,,,No,Spring,6,N,1.0,Yes,No,No,GAL,Door,
2P4966,x00688848-p1,Drum,Horizontal,0.0,,,0.0,,Steel,0.0,,,1/2,,,AC,14500,3/8,,,No,Spring,6,MO,1.0,Yes,No,No,GAL,Door,
1P2169,M00268634-I1,Drum,Horizontal,,,,0.0,,Steel,7.0,,,1/2,,,AC,,3/8,,,No,,6,MO,1.0,Yes,No,No,GAL,Door,
3P0995329,B00710408-I1,Disc,Horizontal,0.0,,,0.0,,Steel,8.0,,,5/16'',,,AC,"9,736 LBS",3/8'',,,No,Oil,R,MO,1.0,Yes,Yes,No,G.A.L.,Door,
1P24190,M00753246-P1,Drum,Horizontal,0.0,,,0.0,,Steel,10.0,,,1/2,,,AC,14500,3/8,,Yes,No,Oil,20,MO,1.0,Yes,No,No,GAL,Door,
1P47051,M00203634-I1,Drum,Horizontal,0.0,,Flexible Guide,0.0,,Steel,0.0,1.0,,5/8,,,AC,23000,3/8,,,No,Oil,12,MOCP,1.0,Yes,No,No,GAL,Door,
1P29608,M00424335-P1,Drum,Horizontal,5.0,,,0.0,,Iron,2.0,,,11/16,,,AC,13400,1/2,,YES,No,Oil,53,,1.0,Yes,Yes,No,,Door,
2P11133,X00431946-I1,Drum,Horizontal,,,,0.0,,Steel,0.0,,,5/8,,,AC,,3/8,,,No,,6,66401,1.0,Yes,No,No,THYSSENKRUPP,Door,
3P6140,B00045328-I1,Disc,Horizontal,2.0,,Instantaneous,0.0,,Steel,0.0,,,1/2,,,AC,"14,600",3/8,Steel,,No,Oil,23,MO,1.0,Yes,No,No,GAL,Door,
