queens_condominiums_comparable_properties_boro_block_lot,queens_condominiums_comparable_properties_year_built,comparable_rental_1_market_value_per_sqft,comparable_rental_2_building_classification,comparable_rental_3_distance_from_condo_in_miles,comparable_rental_2_gross_sqft,comparable_rental_2_total_units,comparable_rental_1_gross_income_per_sqft,borough,comparable_rental_2_estimated_gross_income,comparable_rental_3_gross_income_per_sqft,latitude,queens_condominiums_comparable_properties_gross_sqft,comparable_rental_2_expense_per_sqft
4-04129-7501,1986.0,46.96,C1-WALK-UP, ,35400.0,46.0,13.67,4,500445.0, ,,6901,7.39
4-03322-7501,2002.0,95.74,D7-ELEVATOR, ,20000.0,21.0,19.13,4,518012.0, ,,35180,7.52
4-05051-7502,2000.0,85.42,D1-ELEVATOR, ,58411.0,70.0,21.32,4,1112655.0, ,,20448,6.89
4-05039-7502,2002.0,84.72,D1-ELEVATOR, ,67324.0,71.0,21.38,4,1423576.0, ,,41800,5.55
4-02858-7501,1987.0,103.65,D1-ELEVATOR,1.56,68440.0,77.0,22.53,4,987403.0,13.38,,20333,5.24
4-05136-7501,1989.0,57.37,C1-WALK-UP, ,18457.0,23.0,17.04,4,276862.0, ,,6620,5.3
4-01910-7501,1961.0,47.9,D9-ELEVATOR, ,12293.0,13.0,14.43,4,111375.0, ,,75780,5.71
4-15612-7501,2007.0,104.82,D6-ELEVATOR, ,54496.0,96.0,20.68,4,1515247.0, ,40.595662,51175,9.07
4-02467-7502,1990.0,47.9,C1-WALK-UP,1.12,15050.0,17.0,14.43,4,339038.0,13.38,,14013,8.35
4-03097-7501,1966.0,103.65,D1-ELEVATOR,1.45,68440.0,77.0,22.53,4,987403.0,15.82,,5083,5.24
4-03159-7501,1939.0,166.06,D1-ELEVATOR, ,68440.0,77.0,15.82,4,987403.0, ,,63000,5.24
4-04259-7501,1983.0,45.39,C1-WALK-UP, ,12144.0,16.0,14.24,4,166327.0, ,,11076,4.19
4-09736-7501,2007.0,134.93,D3-ELEVATOR, ,22662.0,29.0,27.8,4,637733.0, ,,29969,7.42
4-02500-7501,1988.0,41.72,D1-ELEVATOR, ,68440.0,77.0,13.38,4,987403.0, ,,11782,5.24
4-11431-7502,1965.0,73.35,D1-ELEVATOR,2.67,40902.0,48.0,16.6,4,607259.0,16.03,,198687,4.94
4-01270-7501,1964.0,48.47,D1-ELEVATOR, ,59723.0,96.0,15.23,4,992929.0, ,,214300,6.99
4-01337-7503,2005.0,80.81,D6-ELEVATOR, ,105008.0,90.0,20.69,4,2040305.0, ,40.588613,19625,9.13
4-03339-7501,1987.0,104.41,D1-ELEVATOR, ,53580.0,49.0,18.2,4,1024732.0, ,,115082,4.38
4-05192-7501,2005.0,96.36,D1-ELEVATOR, ,10168.0,12.0,21.44,4,211560.0, ,,12712,3.65
4-07353-7501,1950.0,62.43,C1-WALK-UP,0.76,44100.0,54.0,15.32,4,681612.0,15.78,,26190,6.14
4-00534-7501,2006.0,120.3,D6-ELEVATOR, ,61700.0,63.0,25.11,4,1379612.0, ,,24480,10.06
4-09177-7501,1959.0,65.87,D5-ELEVATOR, ,31023.0,26.0,15.82,4,434979.0, ,,3800,4.91
4-03097-7504,1961.0,47.9,C1-WALK-UP, ,7112.0,8.0,14.43,4,112513.0, ,,23531,9.94
4-01747-7501,2006.0,59.49,C1-WALK-UP,1.2,14895.0,36.0,18.51,4,329517.0,26.19,,10000,11.91
4-00021-7501,2008.0,196.03,D8-ELEVATOR, ,466000.0,395.0,42.78,4,14588166.0, ,,249920,11.72
4-04955-7512,1987.0,59.49,D6-ELEVATOR, ,71600.0,64.0,18.99,4,1412993.0, ,,4010,4.92
4-00541-7501,2005.0,70.68,C1-WALK-UP,0.86,18200.0,24.0,19.21,4,368186.0,22.8,40.780626,18833,9.1
4-00504-7501,2006.0,120.3, , ,,,25.11,4,, ,,71589,
4-06283-7502,2008.0,85.23,D3-ELEVATOR, ,147700.0,152.0,22.99,4,2856450.0, ,,17287,6.63
4-05415-7501,1987.0,54.89,D1-ELEVATOR, ,85602.0,101.0,15.51,4,1364599.0, ,,16145,8.01
4-01509-7501,1939.0,45.77,D1-ELEVATOR, ,73995.0,71.0,13.83,4,995778.0, ,,84057,4.43
4-04977-7501,1983.0,112.74,D1-ELEVATOR, ,78000.0,82.0,21.15,4,1211340.0, ,,87612,7.77
4-01617-7501,1988.0,47.9,D3-ELEVATOR, ,22662.0,29.0,14.43,4,637733.0, ,,4900,7.42
4-03239-7501,1965.0,166.06,D1-ELEVATOR, ,43099.0,42.0,15.82,4,784534.0, ,,181853,3.7
4-05043-7501,1929.0,48.82,D7-ELEVATOR, ,130548.0,148.0,15.07,4,2028789.0, ,,92000,7.23
4-03358-7501,1951.0,73.23,C1-WALK-UP, ,7112.0,8.0,17.87,4,112513.0, ,40.710735,66880,9.94
4-01839-7501,2008.0,103.65,C1-WALK-UP, ,9471.0,12.0,22.53,4,209916.0, ,,9996,10.36
4-00549-7501,2006.0,97.0,D6-ELEVATOR, ,61700.0,63.0,21.07,4,1379612.0, ,,30386,10.06
4-01540-7501,2006.0,106.34,D1-ELEVATOR, ,25000.0,40.0,24.12,4,541483.0, ,,54852,10.01
4-04994-7505,2007.0,112.74,D3-ELEVATOR, ,39000.0,41.0,21.15,4,836000.0, ,40.774986,23878,7.5
4-04672-7501,1947.0,48.49,C1-WALK-UP, ,24927.0,36.0,15.93,4,474128.0, ,,14950,9.68
4-05598-7501,1982.0,48.34,C1-WALK-UP,1.15,13281.0,16.0,16.84,4,208754.0,16.33,,23400,7.49
4-00552-7501,2009.0,120.3,D6-ELEVATOR,0.29,61700.0,63.0,25.11,4,1379612.0,17.28,,28564,10.06
4-15557-7501,1961.0,38.81,D1-ELEVATOR, ,87926.0,108.0,13.37,4,1077972.0, ,,73060,5.51
4-00432-7501,2007.0,116.46,D7-ELEVATOR, ,25920.0,27.0,25.01,4,540648.0, ,,30480,6.4
4-05121-7501,2005.0,112.74,D1-ELEVATOR, ,78474.0,103.0,21.15,4,1578645.0, ,,106500,8.47
4-00571-7501,1932.0,55.99,D1-ELEVATOR, ,85422.0,91.0,14.25,4,1317623.0, ,,61600,5.86
4-00807-7501,1992.0,73.73,D7-ELEVATOR, ,16873.0,12.0,16.79,4,278734.0, ,,34650,6.02
4-01866-7501,1988.0,103.65,D1-ELEVATOR, ,68440.0,77.0,22.53,4,987403.0, ,,7341,5.24
