queens_condominiums_comparable_properties_condo_section,comparable_rental_3_address,council_district,comparable_rental_1_building_classification,comparable_rental_1_year_built,comparable_rental_1_estimated_gross_income,longitude,comparable_rental_2_full_market_value,comparable_rental_3_building_classification,queens_condominiums_comparable_properties_total_units,comparable_rental_2_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_2_address,comparable_rental_1_net_operating_income,comparable_rental_1_boro_block_lot,comparable_rental_3_gross_sqft,comparable_rental_1_expense_per_sqft,comparable_rental_3_estimated_gross_income,comparable_rental_3_market_value_per_sqft,comparable_rental_3_estimated_expense
0315-R1, ,,D1-ELEVATOR,1963,987403,,2189000.0, ,9,109.45,68440,102 QUEENS BOULEVARD,628638,4-02474-0010, ,5.24, , , 
0370-R1, ,,C7-WALK-UP,2003,171764,,1500000.0, ,23,30.4,9044,140 45 AVENUE,115719,4-04955-0029, ,6.2, , , 
0183-R1, ,,C1-WALK-UP,1998,112513,,3278000.0, ,157,47.9,7112,51 VAN KLEECK STREET,41837,4-02265-0114, ,9.94, , , 
0658-R1, ,,D3-ELEVATOR,1970,870833,,2849000.0, ,44,116.46,30572,10 JACKSON AVENUE,554234,4-00575-0029, ,10.36, , , 
0145-R1, ,,D1-ELEVATOR,1963,987403,,1189000.0, ,62,41.72,68440,64 GRAND AVENUE,628638,4-02474-0010, ,5.24, , , 
0268-R1,64 GRAND AVENUE,,D1-ELEVATOR,1963,987403,,1560000.0,C7-WALK-UP,8,103.65,68440,46 88 STREET,628638,4-02474-0010,"28,500",5.24,"381,330",41.72,"202,065"
0126-R1,34 82 STREET,,D1-ELEVATOR,1951,860870,,2676000.0,D1-ELEVATOR,52,51.05,57888,82 35 AVENUE,486216,4-01268-0001,"51,872",6.47,"758,997",60.42,"305,138"
0652-R1, ,,D3-ELEVATOR,2004,836000,,7590000.0, ,23,112.74,39000,137 NORTHERN BOULEVARD,543400,4-04995-0050, ,7.5, , , 
0483-R1, ,,D1-ELEVATOR,1990,613169,,3227000.0, ,24,82.91,29636,42 65 PLACE,331034,4-01332-0026, ,9.52, , , 
0129-R3, ,,D7-ELEVATOR,1964,1590806,,10874000.0, ,264,44.11,108120,96 57 AVENUE,928568,4-01902-0039, ,6.13, , , 
0114-R1, ,,D1-ELEVATOR,1971,1578645,,6970000.0, ,48,73.71,78474,140 FRANKLIN AVENUE,913798,4-04994-0070, ,8.47, , , 
0542-R1, ,,D1-ELEVATOR,2007,3422550,,2849000.0, ,43,116.46,80000,10 JACKSON AVENUE,2079134,4-00414-0041, ,16.79, , , 
0441-R1, ,,D1-ELEVATOR,1950,541483,,1364000.0, ,14,59.57,25000,40 ITHACA STREET,291137,4-01305-0001, ,10.01, , , 
0507-R1, ,,D1-ELEVATOR,2006,211560,,3758000.0, ,10,96.36,10168,34 146 STREET,174412,4-05193-0039, ,3.65, , , 
0387-R1, ,,D1-ELEVATOR,1963,987403,,1229000.0, ,20,69.03,68440,41 STREET,628638,4-02474-0010, ,5.24, , , 
0589-R1,46 88 STREET,,D7-ELEVATOR,2002,518012,,3379000.0,C1-WALK-UP,22,149.1,20000,99 67 ROAD,367671,4-03173-0022,"15,050",7.52,"339,038",103.65,"125,621"
0118-R1, ,,C1-WALK-UP,1998,112513,,945000.0, ,58,73.23,7112,123 82 AVENUE,41837,4-02265-0114, ,9.94, , , 
0424-R1, ,,D1-ELEVATOR,1969,1112655,,1801000.0, ,32,67.91,58411,37 PARSONS BOULEVARD,709949,4-05024-0019, ,6.89, , , 
0255-R1, ,,D1-ELEVATOR,1963,461900,,2793000.0, ,16,58.78,26522,145 34 AVENUE,249515,4-05015-0006, ,8.01, , , 
0481-R1,144 BARCLAY AVENUE,,D6-ELEVATOR,1930,1364665,,3762000.0,D3-ELEVATOR,70,46.92,87978,37 147 STREET,896111,4-05287-0020,"46,837",5.33,"663,112",38.99,"188,058"
0620-R1, ,,D1-ELEVATOR,1926,714738,,5574000.0, ,15,120.3,33066,31 21 STREET,430210,4-00588-0026, ,8.6, , , 
0014-R1, ,,D8-ELEVATOR,2004,8872212,,87230000.0, ,458,70.99,540846,188 64 AVENUE,4942929,4-06809-0001, ,7.27, , , 
0100-R8, ,,C1-WALK-UP,1929,376174,,1000000.0, ,75,48.19,25832,37 80 STREET,194138,4-01272-0025, ,7.05, , , 
0593-R1, ,,D1-ELEVATOR,2000,1423576,,3758000.0, ,32,96.36,67324,34 146 STREET,1049993,4-04977-0021, ,5.55, , , 
0492-R1, ,,D1-ELEVATOR,2000,1423576,,3758000.0, ,20,96.36,67324,34 146 STREET,1049993,4-04977-0021, ,5.55, , , 
0049-R4,202 43 AVENUE,20.0,C1-WALK-UP,1927,223609,-73.791701,642000.0,C1-WALK-UP,16,48.34,13281,43 165 STREET,133550,4-05423-0030,"14,080",6.78,"215,743",62.43,"87,674"
0342-R1,142 84 DRIVE,,D7-ELEVATOR,1996,230663,,4500000.0,D1-ELEVATOR,28,104.41,12905,135 COOLIDGE AVENUE,131434,4-03359-0011,"18,821",7.69,"325,000",90.64,"88,678"
0485-R1, ,,D1-ELEVATOR,2001,226917,,781000.0, ,10,43.39,11000,48 111 STREET,166639,4-02011-0036, ,5.48, , , 
0293-R1,123 82 AVENUE,,D8-ELEVATOR,1996,399283,,1181000.0,D7-ELEVATOR,69,166.06,12442,113 76 ROAD,265565,4-02236-0010,"12,905",10.75,"230,663",73.23,"99,229"
0111-R1,144 41 AVENUE,,D1-ELEVATOR,1962,1215485,,6479000.0,D1-ELEVATOR,48,60.12,80173,144 41 AVENUE,668173,4-05016-0011,"85,602",6.83,"1,364,599",54.16,"685,323"
0199-R1, ,,D1-ELEVATOR,1942,1017573,,3762000.0, ,78,46.92,66795,37 147 STREET,679804,4-05294-0006, ,5.06, , , 
0494-R1, ,,D1-ELEVATOR,1985,2511633,,5831000.0, ,78,104.82,120278,2 BEACH 96 STREET,1084691,4-15810-0030, ,11.86, , , 
0741-R1, ,,D3-ELEVATOR,2004,367612,,7740000.0, ,40,64.35,10962,19 SEAGIRT BOULEVARD,244696,4-15890-0097, ,11.21, , , 
0373-R1, ,,C1-WALK-UP,1961,102447,,1067000.0, ,9,77.48,6484,70 WOODSIDE AVENUE,102447,4-01508-0057, ,, , , 
0671-R1, ,,D8-ELEVATOR,2007,14588166,,54300000.0, ,124,118.04,466000,47 CENTER BOULEVARD,9124926,4-00021-0060, ,11.72, , , 
0450-R1, ,,D7-ELEVATOR,2002,518012,,4500000.0, ,95,104.41,20000,135 COOLIDGE AVENUE,367671,4-03173-0022, ,7.52, , , 
0415-R1, ,,D1-ELEVATOR,1950,541483,,1364000.0, ,20,59.57,25000,40 ITHACA STREET,291137,4-01305-0001, ,10.01, , , 
0100-R9, ,,C1-WALK-UP,1929,376174,,1000000.0, ,204,48.19,25832,37 80 STREET,194138,4-01272-0025, ,7.05, , , 
0711-R1, ,,D6-ELEVATOR,2000,1201088,,7590000.0, ,16,112.74,52477,137 NORTHERN BOULEVARD,859290,4-04977-0017, ,6.51, , , 
0154-R1, ,,C7-WALK-UP,2006,381330,,1560000.0, ,17,103.65,28500,46 88 STREET,179265,4-02716-0001, ,7.09, , , 
0581-R1, ,,C1-WALK-UP,1979,345108,,4499000.0, ,40,77.02,13722,144 38 AVENUE,196773,4-05048-0013, ,10.81, , , 
0499-R1, ,,D1-ELEVATOR,1927,597707,,3597000.0, ,62,60.23,30540,92 34 AVENUE,340986,4-01290-0049, ,8.41, , , 
0200-R1,144 41 AVENUE,,D7-ELEVATOR,1962,1129112,,4763000.0,D1-ELEVATOR,83,59.36,76032,143 38 AVENUE,582425,4-05023-0001,"85,602",7.19,"1,364,599",54.16,"685,323"
0551-R1, ,,C1-WALK-UP,2004,183990,,1429000.0, ,8,104.14,9269,143 41 AVENUE,109838,4-05011-0034, ,8.0, , , 
0588-R1, ,,D3-ELEVATOR,2004,367612,,7740000.0, ,26,64.35,10962,19 SEAGIRT BOULEVARD,244696,4-15890-0097, ,11.21, , , 
0100-R1, ,,C1-WALK-UP,1929,376174,,1000000.0, ,16,48.19,25832,37 80 STREET,194138,4-01272-0025, ,7.05, , , 
0549-R1,136 37 AVENUE,,D1-ELEVATOR,2000,1423576,,6276000.0,D6-ELEVATOR,54,119.6,67324,136 NORTHERN BOULEVARD,1049993,4-04977-0021,"71,600",5.55,"1,412,993",106.03,"352,414"
0222-R1, ,,D1-ELEVATOR,2006,211560,,1606000.0, ,24,47.95,10168,134 MAPLE AVENUE,174412,4-05193-0039, ,3.65, , , 
0602-R1, ,,D1-ELEVATOR,1951,860870,,3134000.0, ,96,60.42,57888,34 82 STREET,486216,4-01268-0001, ,6.47, , , 
0446-R1, ,,D1-ELEVATOR,2000,1423576,,2816000.0, ,20,72.88,67324,140 34 AVENUE,1049993,4-04977-0021, ,5.55, , , 
0611-R1, ,,D3-ELEVATOR,2003,2545099,,7590000.0, ,42,112.74,97187,137 NORTHERN BOULEVARD,2071745,4-09760-0025, ,4.87, , , 
0438-R1, ,,C1-WALK-UP,1979,345108,,824000.0, ,9,60.74,13722,144 ROOSEVELT AVENUE,196773,4-05048-0013, ,10.81, , , 
0580-R1, ,,D3-ELEVATOR,2004,836000,,7590000.0, ,21,112.74,39000,137 NORTHERN BOULEVARD,543400,4-04995-0050, ,7.5, , , 
0449-R1, ,,D1-ELEVATOR,2003,1024732,,692000.0, ,50,56.24,53580,40 97 STREET,790049,4-09712-0146, ,4.38, , , 
0196-R1,85 ELMHURST AVENUE,,D1-ELEVATOR,1940,841800,,2175000.0,D1-ELEVATOR,86,66.82,60000,42 JUDGE STREET,420600,4-01518-0060,"19,101",7.02,"242,449",44.03,"116,788"
0151-R1, ,,D1-ELEVATOR,1971,1426642,,5593000.0, ,63,70.75,80241,139 35 AVENUE,697013,4-05022-0018, ,9.09, , , 
0088-R1, ,,D7-ELEVATOR,1996,230663,,1181000.0, ,75,166.06,12905,113 76 ROAD,131434,4-03359-0011, ,7.69, , , 
0361-R1, ,,C1-WALK-UP,1926,401988,,498000.0, ,16,57.37,21533,134 BLOSSOM AVENUE,210667,4-05102-0015, ,8.89, , , 
0228-R1,214 43 AVENUE,,C1-WALK-UP,1922,215743,,2475000.0,C7-WALK-UP,27,56.12,14080,42 201 STREET,128069,4-06263-0004,"51,150",6.23,"807,394",58.28,"263,102"
0171-R1,158 SANFORD AVENUE,,C1-WALK-UP,1931,260190,,642000.0,C1-WALK-UP,15,48.34,15750,43 165 STREET,127417,4-05210-0007,"13,598",8.43,"270,453",74.28,"103,782"
0144-R1, ,,D7-ELEVATOR,1996,230663,,5130000.0, ,377,95.74,12905,141 84 DRIVE,131434,4-03359-0011, ,7.69, , , 
0245-R1, ,,C1-WALK-UP,1975,173225,,824000.0, ,16,60.74,12120,144 ROOSEVELT AVENUE,81336,4-05005-0045, ,7.58, , , 
0569-R1, ,,D1-ELEVATOR,1998,1416334,,3379000.0, ,46,149.1,57600,99 67 ROAD,965045,4-03155-0019, ,7.83, , , 
0099-R1,34 81 STREET,,D1-ELEVATOR,1936,749318,,3352000.0,D1-ELEVATOR,52,57.9,52422,81 34 AVENUE,386266,4-01443-0033,"93,936",6.93,"1,143,574",37.71,"557,800"
0558-R2, ,,D9-ELEVATOR,2005,611905,,37800000.0, ,3,81.12,24464,47 CENTER BOULEVARD,428343,4-00040-0015, ,7.5, , , 
0343-R1, ,,D1-ELEVATOR,1969,2427510,,3333000.0, ,47,49.9,146525,36 167 STREET,1399185,4-05958-0030, ,7.02, , , 
0474-R1,137 NORTHERN BOULEVARD,,D6-ELEVATOR,1990,939801,,1243000.0,D1-ELEVATOR,10,122.25,43957,43 ROBINSON STREET,507704,4-05104-0027,"67,324",9.83,"1,423,576",112.74,"373,583"
