queens_condominiums_comparable_properties_condo_section,queens_condominiums_comparable_properties_boro_block_lot,queens_condominiums_comparable_properties_address,comparable_rental_2_gross_income_per_sqft,comparable_rental_3_total_units,comparable_rental_1_estimated_expense,comparable_rental_3_expense_per_sqft,comparable_rental_1_total_units,comparable_rental_2_distance_from_condo_in_miles,comparable_rental_3_net_operating_income,queens_condominiums_comparable_properties_market_value_per_sqft,comparable_rental_2_net_operating_income,bbl,queens_condominiums_comparable_properties_expense_per_sqft,nta,comparable_rental_3_neighborhood,bin,queens_condominiums_comparable_properties_neighborhood,community_board,comparable_rental_1_full_market_value,queens_condominiums_comparable_properties_building_classification,comparable_rental_1_address,comparable_rental_1_neighborhood
0215-R1,4-09651-7501,85 MAIN STREET,15.96,120,735654.0,6.88,108,0.17,"778,723",62.1,898381.0,,4.5,,BRIARWOOD,,BRIARWOOD,,4938000,R9-CONDOMINIUM,141 PERSHING CRESCENT,BRIARWOOD
0167-R1,4-00184-7501,41 41 STREET,16.74, ,270411.0, ,60,0.12, ,50.58,547054.0,,6.0,, ,,SUNNYSIDE,,2596000,R4-CONDOMINIUM,47 SKILLMAN AVENUE,SUNNYSIDE
0001-R1,4-11431-7501,84 153 AVENUE,16.03, ,152450.0, ,26,2.5, ,55.25,356664.0,,7.0,, ,,HOWARD BEACH,,1386000,R4-CONDOMINIUM,100 92 AVENUE,WOODHAVEN
0279-R1,4-01307-7501,41 68 STREET,19.07, ,112214.0, ,23,0.09, ,71.77,117722.0,,7.5,, ,,WOODSIDE,,1067000,R2-CONDOMINIUM,70 WOODSIDE AVENUE,ELMHURST
0323-R1,4-05180-7502,42 UNION STREET,16.08,107,738210.0,6.15,113,0.23,"913,913",59.64,235642.0,,7.0,,FLUSHING-NORTH,,FLUSHING-NORTH,,6970000,R4-CONDOMINIUM,140 FRANKLIN AVENUE,FLUSHING-NORTH
0730-R1,4-01517-7501,83 VIETOR AVENUE,28.14, ,549409.0, ,72,1.97, ,160.18,469529.0,,8.0,, ,,ELMHURST,,4808000,R2-CONDOMINIUM,44 MACNISH STREET,ELMHURST
0535-R1,4-00570-7501,23 31 AVENUE,22.36, ,395560.0, ,52,0.26, ,111.06,758910.0,,7.07,, ,,ASTORIA,,5574000,R4-CONDOMINIUM,31 21 STREET,ASTORIA
0211-R1,4-01310-7501,41 71 STREET,18.94,19,88222.0,8.93,19,0.1,"132,665",47.97,148604.0,,8.0,,WOODSIDE,,ELMHURST,,532000,R2-CONDOMINIUM,41 69 STREET,WOODSIDE
0085-R1,4-04994-7501,139 35 AVENUE,20.12, ,268446.0, ,44,0.0, ,56.62,913798.0,,7.0,Douglas Manor-Douglaston-Little Neck                                       , ,,FLUSHING-NORTH,11.0,2816000,R4-CONDOMINIUM,140 34 AVENUE,FLUSHING-NORTH
0113-R1,4-02851-7501,87 GRAND AVENUE,22.53,16,358765.0,7.09,77,0.39,"179,265",57.84,213417.0,,5.75,,MASPETH,,ELMHURST,,3278000,R4-CONDOMINIUM,51 VAN KLEECK STREET,ELMHURST
0594-R1,4-00040-7501,10 JACKSON AVENUE,25.01, ,1343416.0, ,141,0.0, ,123.53,428343.0,,8.0,, ,,LONG ISLAND CITY,,15682000,R4-CONDOMINIUM,41 CRESCENT STREET,LONG ISLAND CITY
0524-R1,4-16112-7501,79 ROCKAWAY BEACH BOULEVA,20.88, ,122916.0, ,16,2.73, ,89.89,1084691.0,,11.54,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      , ,,HAMMELS,14.0,1545000,R4-CONDOMINIUM,3 BEACH 53 STREET,ARVERNE
0505-R1,4-09755-7501,89 PARSONS BOULEVARD,34.83, ,5463240.0, ,395,8.63, ,81.14,11954271.0,,9.0,, ,,JAMAICA,,37800000,R9-CONDOMINIUM,47 CENTER BOULEVARD,LONG ISLAND CITY
0049-R3,4-05598-7501,5603 UTOPIA PARKWAY,15.72,54,90059.0,6.14,16,1.15,"411,030",55.68,109314.0,4056697501.0,7.49,Auburndale                                                                 ,BAYSIDE,4454818.0,FLUSHING-NORTH,11.0,642000,R2-CONDOMINIUM,43 165 STREET,FLUSHING-NORTH
0705-R1,4-15817-7501,120 BEACH 26 STREET,27.8, ,356667.0, ,72,7.99, ,62.78,1020722.0,4158177501.0,10.0,Far Rockaway-Bayswater                                                     , ,4595352.0,FAR ROCKAWAY,14.0,5831000,R4-CONDOMINIUM,2 BEACH 96 STREET,HAMMELS
0714-R1,4-00885-7501,26 21 STREET,14.43, ,316599.0, ,30,9.88, ,96.56,161406.0,,8.13,, ,,ASTORIA,,3985000,R4-CONDOMINIUM,27 27 STREET,ASTORIA
0664-R1,4-05066-7502,40 COLLEGE POINT BOULEVAR,34.83, ,5463240.0, ,395,6.39, ,122.65,11954271.0,,8.0,, ,,FLUSHING-NORTH,,37800000,R4-CONDOMINIUM,47 CENTER BOULEVARD,LONG ISLAND CITY
0487-R1,4-00032-7501,5 50 AVENUE,31.31, ,183562.0, ,25,0.22, ,123.54,9124926.0,,8.0,, ,,LONG ISLAND CITY,,2849000,R4-CONDOMINIUM,10 JACKSON AVENUE,LONG ISLAND CITY
0075-R1,4-02224-7501,109 71 ROAD,19.13, ,159365.0, ,42,1.66, ,54.93,790049.0,,9.0,, ,,FOREST HILLS,,4500000,R4-CONDOMINIUM,135 COOLIDGE AVENUE,BRIARWOOD
0061-R1,4-02112-7501,63 102 STREET,17.02, ,830380.0, ,132,0.18, ,44.98,678952.0,,7.5,, ,,REGO PARK,,4895000,R4-CONDOMINIUM,99 64 AVENUE,REGO PARK
0506-R1,4-00518-7501,12 31 AVENUE,20.86, ,224768.0, ,14,0.59, ,106.67,374882.0,,9.5,Douglas Manor-Douglaston-Little Neck                                       , ,,ASTORIA,11.0,2250000,R2-CONDOMINIUM,14 31 AVENUE,ASTORIA
0561-R1,4-05050-7502,144 BARCLAY AVENUE,19.05,12,519368.0,3.65,84,0.15,"174,412",104.81,709949.0,,5.5,,FLUSHING-NORTH,,FLUSHING-NORTH,,5577000,R4-CONDOMINIUM,144 ROOSEVELT AVENUE,FLUSHING-NORTH
0356-R1,4-03169-7501,99 67 ROAD,14.43, ,70676.0, ,8,1.7, ,49.85,628638.0,,7.59,, ,,REGO PARK,,1181000,R4-CONDOMINIUM,113 76 ROAD,FOREST HILLS
0716-R1,4-05104-7501,132 POPLE AVENUE,18.67,35,432097.0,4.68,33,0.05,"318,697",177.44,210667.0,,8.89,,FLUSHING-NORTH,,FLUSHING-NORTH,,3724000,R4-CONDOMINIUM,132 POPLE AVENUE,FLUSHING-NORTH
0229-R1,4-02082-7501,62 97 PLACE,22.53,8,358765.0,9.94,77,0.97,"41,837",44.52,213417.0,,8.5,,FOREST HILLS,,REGO PARK,,3278000,R4-CONDOMINIUM,51 VAN KLEECK STREET,ELMHURST
0566-R1,4-00414-7501,24 QUEENS PLAZA NORTH,16.36, ,343478.0, ,66,0.66, ,55.9,344316.0,,7.0,, ,,LONG ISLAND CITY,,3708000,R4-CONDOMINIUM,36 30 STREET,LONG ISLAND CITY
0289-R1,4-03342-7501,111 76 DRIVE,17.87, ,70676.0, ,8,0.43, ,53.76,131434.0,,8.82,, ,,FOREST HILLS,,1181000,R4-CONDOMINIUM,113 76 ROAD,FOREST HILLS
0048-R1,4-09245-7501,84 AUSTIN STREET,12.89,16,125322.0,6.77,31,0.2,"87,248",53.93,345719.0,,5.39,,KEW GARDENS,,KEW GARDENS,,1113000,R2-CONDOMINIUM,119 METROPOLITAN AVENUE,KEW GARDENS
0567-R1,4-01776-7501,39 108 STREET,27.47, ,125621.0, ,17,1.81, ,82.28,173011.0,,8.0,, ,,CORONA,,1560000,R2-CONDOMINIUM,46 88 STREET,ELMHURST
0534-R1,4-04044-7501,14 110 STREET,20.12, ,373583.0, ,71,2.12, ,94.45,913798.0,,7.01,, ,,COLLEGE POINT,,7590000,R4-CONDOMINIUM,137 NORTHERN BOULEVARD,FLUSHING-NORTH
0621-R1,4-04954-7501,32 UNION STREET,27.47, ,56045.0, ,13,0.6, ,119.07,173011.0,,6.5,, ,,FLUSHING-NORTH,,538000,R4-CONDOMINIUM,33 UNION STREET,FLUSHING-NORTH
0042-R1,4-05024-7501,144 ROOSEVELT AVENUE,19.05, ,598242.0, ,137,0.0, ,69.49,709949.0,,7.99,, ,,FLUSHING-NORTH,,6479000,R4-CONDOMINIUM,144 41 AVENUE,FLUSHING-NORTH
0595-R1,4-05186-7504,140 BEECH AVENUE,28.14, ,341798.0, ,63,2.69, ,124.02,469529.0,4053830034.0,8.0,East Flushing                                                              , ,4121462.0,FLUSHING-NORTH,7.0,6276000,R4-CONDOMINIUM,136 NORTHERN BOULEVARD,FLUSHING-NORTH
0010-R4,4-04981-7501,140 34 AVENUE,16.34, ,533792.0, ,90,0.08, ,52.57,1744744.0,,8.5,Douglas Manor-Douglaston-Little Neck                                       , ,,FLUSHING-NORTH,11.0,5593000,R4-CONDOMINIUM,139 35 AVENUE,FLUSHING-NORTH
0003-R3,4-03097-7501,94 64 ROAD,14.43,8,125621.0,9.94,17,1.29,"41,837",57.84,628638.0,,7.0,,FOREST HILLS,,REGO PARK,,1560000,R2-CONDOMINIUM,46 88 STREET,ELMHURST
0316-R1,4-05005-7501,147 35 AVENUE,16.51,44,463275.0,6.95,84,0.18,"431,520",67.18,560150.0,,7.0,,FLUSHING-NORTH,,FLUSHING-NORTH,,4587000,R4-CONDOMINIUM,144 35 AVENUE,FLUSHING-NORTH
0527-R1,4-02891-7502,84 GRAND AVENUE,25.9, ,125621.0, ,17,1.63, ,111.41,367671.0,,7.94,, ,,ELMHURST,,1560000,R4-CONDOMINIUM,46 88 STREET,ELMHURST
0502-R1,4-01993-7501,106 50 AVENUE,25.9,29,125621.0,7.42,17,1.39,"469,529",111.49,367671.0,,9.5,Hunters Point-Sunnyside-West Maspeth                                       ,REGO PARK,,CORONA,2.0,1560000,R4-CONDOMINIUM,46 88 STREET,ELMHURST
0642-R1,4-01774-7501,104 37 DRIVE,18.51, ,, ,8,0.3, ,117.12,110553.0,,7.5,, ,,CORONA,,597000,R2-CONDOMINIUM,34 108 STREET,CORONA
0129-R4,4-01910-7501,94 60 AVENUE,9.06, ,358765.0, ,77,1.05, ,47.96,41182.0,,4.71,, ,,ELMHURST,,3278000,R9-CONDOMINIUM,51 VAN KLEECK STREET,ELMHURST
0613-R1,4-06799-7502,71 160 STREET,20.81, ,292600.0, ,41,1.86, ,109.59,174412.0,,6.5,, ,,FLUSHING-SOUTH,,3758000,R4-CONDOMINIUM,34 146 STREET,FLUSHING-NORTH
0629-R1,4-01939-7502,54 101 STREET,22.12, ,34490.0, ,14,1.05, ,110.0,152189.0,,7.09,, ,,CORONA,,688000,R2-CONDOMINIUM,57 VAN DOREN STREET,CORONA
0186-R1,4-05052-7501,147 BARCLAY AVENUE,18.98,71,292600.0,5.55,41,0.06,"1,049,993",64.09,155760.0,,8.01,,FLUSHING-NORTH,,FLUSHING-NORTH,,3758000,R4-CONDOMINIUM,34 146 STREET,FLUSHING-NORTH
0116-R1,4-01337-7501,62 WOODSIDE AVENUE,20.7,20,140169.0,8.23,19,0.11,"98,794",59.55,126588.0,,8.5,,WOODSIDE,,WOODSIDE,,944000,R4-CONDOMINIUM,60 43 AVENUE,WOODSIDE
0012-R1,4-11417-7502,149 88 STREET,13.71, ,152450.0, ,26,1.81, ,51.27,270741.0,,6.09,, ,,HOWARD BEACH,,1386000,R4-CONDOMINIUM,100 92 AVENUE,WOODHAVEN
0468-R1,4-01531-7501,78 46 AVENUE,19.71, ,250346.0, ,40,0.49, ,74.9,238133.0,,9.66,, ,,ELMHURST,,2134000,R4-CONDOMINIUM,73 73 STREET,ELMHURST
0704-R1,4-02166-7501,108 63 AVENUE,28.14, ,451289.0, ,66,0.8, ,133.93,469529.0,,8.5,, ,,FOREST HILLS,,7015000,R4-CONDOMINIUM,66 AUSTIN STREET,REGO PARK
0429-R1,4-05105-7502,133 AVERY AVENUE,20.41, ,432097.0, ,33,0.23, ,85.14,1396717.0,,8.0,, ,,FLUSHING-NORTH,,3724000,R4-CONDOMINIUM,132 POPLE AVENUE,FLUSHING-NORTH
