permitid,fullapplicationno,axle2weight,totalnoofaxle,axle3loadrating,loadindescription,axle4space,loadoutheight,vehicletype,loadoutdescription,overalllength,leasecompanyname,vehicletypeother,steeringnooftires
3461,Wor-2015317-300,,,,Bulk Raw Milk,,12.03,,Empty,,,,
3141,C.-20141229-1411,,,,,,,Tractor Trailer,,,,,
2806,Val-2014106-1076,29000.0,3.0,8800.0,,,,Other Single,,31.03,,CONCRETE MIXER,2.0
3356,Ast-2015224-195,19653.0,3.0,,,,,,,38.11,,,
3249,DEF1-2015119-88,38124.0,2.0,,,,,,,41.11,,,
5886,Sup-20161229-1158,22800.0,4.0,,,4.04,,,,43.1,,,
4348,con-20151028-1097,22700.0,3.0,5675.0,,,,Other Single,,34.0,,utility,2.0
2773,con-2014925-1043,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
4006,Val-2015810-845,29000.0,3.0,8800.0,,,,Other Single,,31.03,,CONCRETE MIXER,2.0
3449,Wor-2015317-288,,,,Bulk Raw Milk,,12.03,,Empty,,,,
3470,Wor-2015317-309,,,,Bulk Raw Milk,,11.06,,Empty,,,,
2564,NEW3-2014815-834,29500.0,3.0,32400.0,,,,Dump Truck,,28.0,,,2.0
2654,con-2014917-924,22500.0,3.0,5625.0,,,,Dump Truck,,34.0,,,2.0
3224,SKA-2015116-63,32200.0,2.0,,,,,,,41.02,,,
3016,Wor-2014128-1286,,,,Bulk Raw Milk,,11.06,,Empty,,,,
4420,con-2015112-1169,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
3907,Val-2015713-746,29000.0,3.0,8800.0,,,,Other Single,,31.03,,CONCRETE MIXER,2.0
3812,NYC1-2015612-651,,,,Raw Bulk Milk,,11.06,,Empty,,,,
2548,Val-2014811-818,29000.0,3.0,8800.0,,,,Other Single,,31.03,,CONCRETE MIXER,2.0
3199,Val-201518-38,29000.0,3.0,8800.0,,,,Other Single,,31.03,,CONCRETE MIXER,2.0
3516,Dem-2015325-355,,,,,,,Tractor Trailer,,,,,
4503,J.B-2015116-1252,,,,,,,Tractor Trailer,,,,,
3548,Val-201546-387,29500.0,3.0,8800.0,,,,Other Single,,31.03,,CONCRETE MIXER,2.0
3989,Cor1-201588-828,26000.0,3.0,6600.0,,,,Cement Truck,,29.05,,,2.0
3805,Wor-2015611-644,,,,Bulk Raw Milk,,12.0,,Empty,,,,
4330,con-20151027-1079,22500.0,3.0,5625.0,,,,Dump Truck,,34.0,,,2.0
4176,con-2015910-925,23000.0,3.0,24020.0,,,,Other Single,,34.0,,UTILITY,2.0
2914,Eas1-2014117-1184,,,,,,,Tractor Trailer,,,,,
3820,NYC1-2015612-659,,,,Raw Bulk Milk,,11.06,,Empty,,,,
2784,Y.M-2014926-1054,,,,,,,Tractor Trailer,,,,,
3120,Eas1-20141217-1390,,,,,,,Tractor Trailer,,,,,
3480,Wor-2015317-319,,,,Bulk Raw Milk,,12.0,,Empty,,,,
5946,NOR-201716-54,25000.0,3.0,,,,,,,28.01,,,
2757,con-2014924-1027,23000.0,3.0,5750.0,,,,Other Single,,34.0,,tank truck,2.0
4378,con-20151029-1127,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
3445,con-2015317-284,23000.0,3.0,24020.0,,,,Other Single,,34.0,,Tank,2.0
3607,Sca-2015420-446,29500.0,3.0,29500.0,,,,Cement Truck,,32.04,,,2.0
3822,C.A-2015615-661,27720.0,3.0,6610.0,,,,Dump Truck,,21.11,,,2.0
3399,SJ-201539-238,24210.0,3.0,8800.0,,,,Other Single,,32.0,,,2.0
3746,Dou-2015528-585,29500.0,3.0,7375.0,,,,Dump Truck,,26.05,,,2.0
2837,Par-20141014-1107,29500.0,3.0,8100.0,,,,Dump Truck,,24.11,,,2.0
3946,NYC1-2015720-785,,,,Raw Bulk Milk,,11.06,,Empty,,,,
4328,con-20151027-1077,22700.0,3.0,5675.0,,,,Other Single,,34.0,,utility,2.0
2968,Wor-20141125-1238,,,,Bulk Raw MIlk,,11.06,,Empty,,,,
2646,con-2014917-916,23000.0,3.0,5750.0,,,,Other Single,,34.0,,1003utility,2.0
