oldpermitno,loadinlength,industrytypename,applicationtypeother,state,axle2nooftires,loadinweight,permitservicecompany,applicationtypename,axle3space,wheelbase,axle3weight,model,permitfromdate,loadoutweight,axle5space,permittype,loadinheight,serialno
PI1620131028-868,,Construction,,,4.0,,K & D EQUIPMENT LEASING CORP.,Correction,4.07,18.11,29500.0,,2014-11-07T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,L&M CRANE AND RIGGING,,4.06,27.08,22000.0,MANITEX TRUCK CRANE,2015-07-22T00:00:00.000,,,,,227094
PI6W20131028874,,Other,,,4.0,,SJ FUEL CO.INC.,Correction,4.06,20.01,26000.0,,2014-11-07T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Cranes Inc.,,,12.04,,RT650 E,2015-03-24T00:00:00.000,,,,,226530
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-08-17T00:00:00.000,32200.0,,,11.06,
,,Cement,,,4.0,,CASA REDIMIX CONCRETE CORP.,Other,4.08,21.11,28640.0,,2015-09-30T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,58.06,Bulk Transportation,,,,98875.0,Worcester Creameries,,,,,,2015-03-23T00:00:00.000,33380.0,,,12.03,
EVWI-2014111-1072,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
vsr5-2013329-293,,Other,,,4.0,,consolidated edison co. inc.,Other,5.0,18.0,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
evwi-2014111-1116,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.0,19.06,23000.0,,2015-11-23T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Bay Crane Service Inc,,,12.05,,TR450,2015-04-10T00:00:00.000,,,,,540570
,58.06,Bulk Transportation,,,,98875.0,Worcester Creameries,,,,,,2014-09-17T00:00:00.000,33380.0,,,12.03,
EVWI-2014111-1096,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.09,18.0,23000.0,,2015-11-23T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,60.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-06T00:00:00.000,31000.0,,,11.06,
WIS5-20131118-1116,,Construction,,,,,"Yonkers Contracting Co., Inc.",Renewal,,,,,2015-08-21T00:00:00.000,,,"Type 4, 6 axles",,
BGJT-2015225-43,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.06,22.11,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
K8LU-2013826-768,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2014-10-08T00:00:00.000,,,"Type 2, 3 to 4 axles",,
YRBW-20141010-977,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.06,22.11,23000.0,,2014-12-18T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Construction,adding a trailer,,,,Bedford Construction Corp,Other,,,,,2016-10-24T00:00:00.000,,,"Type 4, 6 axles",,
wj1o-2013322-256,,Other,,,4.0,,consolidated edison co. inc.,Other,4.09,18.01,22700.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
VUX8-2014426-476,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2015-05-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
RT2R-201477-773,,Construction,,,4.0,,La Strada General Contracting Corp,Renewal,4.06,23.01,29500.0,,2015-07-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
0608-201443-368,,Construction,,,,,RANCO SAND & STONE CORP.,Renewal,,,,,2014-12-22T00:00:00.000,,,"Type 4, 6 axles",,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-07-24T00:00:00.000,32200.0,,,11.06,
B3M4-201427-93,,Other,,,4.0,,Catholic Cemeteries,Renewal,4.08,17.0,23000.0,,2015-02-24T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,57.09,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-06T00:00:00.000,32060.0,,,11.06,
RT2R-201477-781,,Construction,,,4.0,,"G.A.P. INDUSTRIES, INC.",Renewal,4.06,21.02,29500.0,,2015-07-11T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,58.05,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2015-03-23T00:00:00.000,32060.0,,,11.06,
J8DH-2014312-308,,Construction,,,4.0,,"CORZO CONTRACTING CO., INC.",Renewal,,14.06,,,2015-08-19T00:00:00.000,,,"Type 1, 2 axles",,
,,Special Hauling,,NY,,,TRI STATE LUMBER LTD,,4.04,29.08,23000.0,Fassi,2018-01-12T00:00:00.000,,,,,3803-5276
X7BE-2014109-973,,Construction,,,4.0,,Sal Dona Inc,Renewal,4.06,24.06,26880.0,,2015-10-20T00:00:00.000,,,"Type 2, 3 to 4 axles",,
JI2V-20131116-1071,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.09,18.0,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
XX3H-2013321-223,,Other,,,,,consolidated edison co. inc.,Other,,,,,2014-11-01T00:00:00.000,,,"Type 3, 5 axles",,
JI2V-20131116-967,,Construction,,,,,"Ecco III Enterprises, Inc.",Renewal,,,,,2014-11-01T00:00:00.000,,,"Type 4, 6 axles",,
QPW6-201539-101,,Construction,,,,,Almar Supplies Inc,Renewal,,,,,2015-09-30T00:00:00.000,,,"Type 4, 6 axles",,
CL3E-2014320-316,,Other,,,2.0,,consolidated edison co. inc.,Transfer,4.06,22.11,23000.0,,2015-04-21T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,32200.0,,,11.06,
,65.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-06T00:00:00.000,32140.0,,,12.0,
wj1o-2013322-242,,Other,,,4.0,,consolidated edison co. inc.,Other,4.06,17.0,22500.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,65.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-06T00:00:00.000,32140.0,,,12.0,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,32200.0,,,11.06,
X7BE-2014109-937,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2015-09-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,58.06,Bulk Transportation,,,,98875.0,Worcester Creameries,,,,,,2015-03-23T00:00:00.000,33380.0,,,12.03,
UTM7-201393-777,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2014-10-09T00:00:00.000,,,"Type 2, 3 to 4 axles",,
JI2V-20131116-1076,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
JI2V-20131116-1072,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.09,18.0,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
CL3E-2014320-323,,Other,,,4.0,,PETRO INC,Renewal,4.04,20.0,29500.0,,2015-03-04T00:00:00.000,,,"Type 2, 3 to 4 axles",,
EVWI-2014111-1092,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
PI6W-20131028-878,,Cement,,,4.0,,Maspeth Avenue Operating Corp.,Renewal,4.08,17.06,29500.0,,2014-10-09T00:00:00.000,,,"Type 2, 3 to 4 axles",,
EVWI-2014111-1109,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.09,18.01,23000.0,,2015-11-23T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,DECORAMA BUILDING & PLUMBING SUPPLY INC.,,4.1,27.11,18000.0,CORMACH 30000 WB 80-03,2015-03-23T00:00:00.000,,,,,790603
EVWI-2014111-1049,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,21.03,23000.0,,2015-11-21T00:00:00.000,,,"Type 2, 3 to 4 axles",,
GPQZ-201482-852,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2015-08-24T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,65.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-09-17T00:00:00.000,31180.0,,,11.06,
,60.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-13T00:00:00.000,31500.0,,,11.06,
,,Special Hauling,,NJ,,,"Superior Crane Rental, Inc,",,4.04,26.03,20127.0,AC38127SHL,2015-03-23T00:00:00.000,,,,,0207EG0380
,60.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-09-17T00:00:00.000,31500.0,,,11.06,
ZRCY-2014323-340,,Waste Management,,,4.0,,Mid-Bronx Haulage Corp.,Renewal,4.06,21.03,26000.0,,2015-03-04T00:00:00.000,,,"Type 2, 3 to 4 axles",,
vsr5-2013329-294,,Other,,,4.0,,consolidated edison co. inc.,Other,5.0,18.0,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Atlantic Crane(Lessee) TKO Crane (Lessor),,,12.06,,TR-450XL-4,2015-04-15T00:00:00.000,,,,,540309
vsr5-2013329-308,,Other,,,4.0,,consolidated edison co. inc.,Other,4.08,17.11,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Lifting Solutions,,12.0,28.0,23500.0,EFFER2200L 6S+JIB 4S,2015-03-23T00:00:00.000,,5.0,,,116727
LU6Y2014429-495,,Construction,,,4.0,,"Acme Skillman Concrete Co., Inc.",Renewal,4.06,23.09,29500.0,,2015-01-26T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-07-24T00:00:00.000,30800.0,,,11.06,
,58.06,Bulk Transportation,,,,98875.0,Worcester Creameries,,,,,,2014-09-17T00:00:00.000,33380.0,,,12.03,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-07-24T00:00:00.000,32200.0,,,11.06,
KCHZ-2014428-488,,Cement,,,4.0,,"Scaccia & Son's Leasing Co., Inc.",Renewal,4.1,21.08,29500.0,,2015-05-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
ZRCY-2014323-341,,Waste Management,,,4.0,,Mid-Bronx Haulage Corp.,Renewal,4.06,21.05,26000.0,,2015-03-04T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,60.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-09-17T00:00:00.000,32000.0,,,11.06,
IDGP-2013824-722,,Construction,,,2.0,,SEVENTY THREE TRUCK LEASING CORP.,Renewal,4.06,21.02,29500.0,,2014-08-02T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,58.06,Bulk Transportation,,,,98875.0,Worcester Creameries,,,,,,2014-12-06T00:00:00.000,33380.0,,,12.03,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-08-17T00:00:00.000,32200.0,,,11.06,
DE7L-2014108-933,,Construction,,,4.0,,J.R.M. Construction Corp.,Renewal,4.05,25.06,28640.0,,2015-10-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
BWIH-2014512-567,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2014-10-09T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,32200.0,,,11.06,
RT2R-201477-753,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2015-06-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
IDGP-2013824-715,,Other,,,,,ISLAND TRANSPORTATION CORP,Renewal,,,,,2014-08-02T00:00:00.000,,,"Type 3, 5 axles",,
VUX8-2014426-471,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2015-05-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
EG9Y-2013727-535,,Construction,,,4.0,,Empire City Subway Co Ltd,Renewal,4.06,17.02,29000.0,,2015-05-30T00:00:00.000,,,"Type 2, 3 to 4 axles",,
qjun-201342-320,,Other,,,4.0,,consolidated edison co. inc.,Other,4.08,17.11,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,58.06,Bulk Transportation,,,,98875.0,NYC DOT bm,,,,,,2015-06-23T00:00:00.000,33380.0,,,12.03,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,32200.0,,,11.06,
p7tu-201389-660,,Other,,,4.0,,consolidated edison co. inc.,Other,4.08,17.11,22700.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
B5VL-2014310-266,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2015-02-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
scdt-2013326-272,,Other,,,4.0,,consolidated edison co. inc.,Other,4.08,17.11,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,"S. G. Blakley Tree Company, inc.",,18.0,27.0,21000.0,CONDOR 170S,2015-04-13T00:00:00.000,,,,,311-05/27/94
EVWI-2014111-1111,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.09,18.01,23000.0,,2015-11-23T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,CNB Crane Rental Inc,,5.04,14.06,26500.0,3055,2015-04-15T00:00:00.000,,,,,3055-9180
,57.09,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,32060.0,,,11.06,
EVWI-2014111-1078,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Bay Crane Service Inc,,,12.05,,TR450,2016-01-09T00:00:00.000,,,,,540360
,,Special Hauling,,NY,,,Astro Rigging Corp.,,4.03,28.04,18333.0,sterling 14127h,2015-06-01T00:00:00.000,,,,,291094
,57.09,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,32060.0,,,11.06,
KCHZ-2014428-485,,Cement,,,4.0,,"Scaccia & Son's Leasing Co., Inc.",Renewal,4.06,20.01,29000.0,,2015-05-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,65.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2015-06-23T00:00:00.000,32140.0,,,12.0,
,,Special Hauling,,NY,,,Galasso Trucking Inc.,,4.06,25.07,14600.0,M38124,2016-01-01T00:00:00.000,,,,,198939
qjun-201342-349,,Other,,,4.0,,consolidated edison co. inc.,Other,4.08,17.11,22700.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,58.06,Bulk Transportation,,,,98875.0,NYC DOT bm,,,,,,2015-07-24T00:00:00.000,33380.0,,,12.03,
RT56-20131120-1134,,Construction,,,,,brer-four transportation corp.,Renewal,,,,,2014-11-01T00:00:00.000,,,"Type 4, 6 axles",,
IDGP-2013824-753,,Cement,,,4.0,,Corona Ready Mix Inc,Renewal,4.04,21.01,23000.0,,2014-10-09T00:00:00.000,,,"Type 2, 3 to 4 axles",,
BWIH-2014512-563,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.04,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
EVWI-2014111-1069,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
qjun-201342-324,,Other,,,4.0,,consolidated edison co. inc.,Other,4.08,19.01,22700.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
GPQZ-201482-843,,Other,,,,,ISLAND TRANSPORTATION CORP,Renewal,,,,,2015-07-22T00:00:00.000,,,"Type 3, 5 axles",,
HMQ7-2014117-1135,,Other,,,4.0,,SJ FUEL CO.INC.,Renewal,4.05,21.01,27000.0,,2015-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
JQ1A2013810693,,Cement,,,4.0,,CASA REDIMIX CONCRETE CORP.,Correction,4.08,21.11,28640.0,,2014-11-07T00:00:00.000,,,"Type 2, 3 to 4 axles",,
20141222-1284,,Construction,XQAD-20141222-1284,,,,ARCO EQUIPMENT CORP,Other,,,,,2016-01-05T00:00:00.000,,,"Type 4, 6 axles",,
sj2014916907,,Other,,,4.0,,SJ FUEL CO.INC.,Correction,4.05,21.01,27000.0,,2014-11-07T00:00:00.000,,,"Type 2, 3 to 4 axles",,
EMV2-20131123-1161,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.02,29500.0,,2014-12-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,60.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-13T00:00:00.000,31000.0,,,11.06,
DZLN-2013109-888,,Construction,,,8.0,,"Vincent Rusciano Construction Co., Inc.",Renewal,4.08,17.11,27000.0,,2014-12-23T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,58.07,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,32060.0,,,11.06,
,58.06,Bulk Transportation,,,,98875.0,NYC DOT bm,,,,,,2015-06-23T00:00:00.000,98875.0,,,12.03,
,60.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-13T00:00:00.000,32000.0,,,11.06,
,58.06,Bulk Transportation,,,,98875.0,Worcester Creameries,,,,,,2015-03-23T00:00:00.000,33380.0,,,12.03,
BNVU2014925925,,Cement,,,4.0,,CASA REDIMIX CONCRETE CORP.,Renewal,4.06,15.07,28640.0,,2015-05-30T00:00:00.000,,,"Type 2, 3 to 4 axles",,
JI2V-20131116-1075,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Masonry Services Inc.,,7.1,18.08,26400.0,LTM 1100-4.2,2015-05-26T00:00:00.000,,,,,064026
,55.04,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-06T00:00:00.000,34000.0,,,12.0,
,,Special Hauling,,NY,,,Atlantic Crane(Lessee) TKO Crane (Lessor),,,12.06,,TR-450 XL-4,2015-04-15T00:00:00.000,,,,,540310
FDLI-201554-450,,Other,,,,,"A. Russo Wrecking, Inc",Renewal,,,,,2015-08-27T00:00:00.000,,,"Type 4, 6 axles",,
px16-201479-824,,Construction,,,,,C. Broman Leasing Inc.,Renewal,,,,,2015-07-21T00:00:00.000,,,"Type 4, 6 axles",,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-08-17T00:00:00.000,32200.0,,,11.06,
HMQ7-2014117-1124,,Other,,,4.0,,SJ FUEL CO.INC.,Renewal,4.05,15.07,23165.0,,2015-10-28T00:00:00.000,,,"Type 2, 3 to 4 axles",,
EVWI-2014111-1093,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.07,19.01,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
GPQZ-201482-859,,Construction,,,2.0,,SEVENTY THREE TRUCK LEASING CORP.,Renewal,4.06,21.02,29500.0,,2015-07-17T00:00:00.000,,,"Type 2, 3 to 4 axles",,
GV6Q-2014130-65,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2015-01-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
HMQ7-2014117-1143,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2015-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
EVWI-2014111-1112,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.04,23000.0,,2015-11-23T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Construction,,,,,CNC INDUSTRIES INC,Other,,,,,2015-07-15T00:00:00.000,,,"Type 4, 6 axles",,
,57.09,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2015-07-24T00:00:00.000,32060.0,,,11.06,
DE7L-2014108-930,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,19.09,29500.0,,2015-09-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
V278-2014212-139,,Construction,,,,,C. Broman Leasing Inc.,Renewal,,,,,2015-02-24T00:00:00.000,,,"Type 4, 6 axles",,
WJ1O-2013322-247,,Other,,,4.0,,consolidated edison co. inc.,Transfer,4.06,22.11,23000.0,,2015-02-25T00:00:00.000,,,"Type 2, 3 to 4 axles",,
EVWI-2014111-1062,,Other,,,4.0,,consolidated edison co. inc.,Renewal,5.0,18.0,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,60.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2015-03-23T00:00:00.000,31000.0,,,11.06,
,,Special Hauling,,NY,,,Bay Crane Service Inc,,7.1,18.08,26400.0,LTM1090,2018-01-01T00:00:00.000,,,,,62023
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-08-17T00:00:00.000,32200.0,,,11.06,
,60.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-13T00:00:00.000,31500.0,,,11.06,
K8LU-2013826-761,,Construction,,,4.0,,"LA CROSSE, INC.",Renewal,4.06,21.02,29500.0,,2014-10-09T00:00:00.000,,,"Type 2, 3 to 4 axles",,
df89-2014325-351,,Other,,,4.0,,SJ FUEL CO.INC.,Renewal,4.05,21.01,28095.0,,2015-04-24T00:00:00.000,,,"Type 2, 3 to 4 axles",,
VUX8-2014426-448,,Cement,,,4.0,,"Scaccia & Son's Leasing Co., Inc.",Renewal,4.08,22.02,29500.0,,2015-04-24T00:00:00.000,,,"Type 2, 3 to 4 axles",,
vsr5-2013329-317,,Other,,,4.0,,consolidated edison co. inc.,Other,4.08,17.11,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
IDGP-2013824-710,,Construction,,,4.0,,Empire City Subway Co Ltd,Renewal,4.06,17.01,29000.0,,2015-05-30T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,58.06,Bulk Transportation,,,,98875.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,33380.0,,,12.03,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-08-17T00:00:00.000,32200.0,,,11.06,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,32200.0,,,11.06,
,60.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2015-03-23T00:00:00.000,31500.0,,,11.06,
,55.04,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-09-17T00:00:00.000,34000.0,,,12.0,
J5H6-2014211-118,,Other,,,4.0,,KINGS MATERIAL CO. INC.,Renewal,4.07,24.07,24680.0,,2015-05-30T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,65.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-06T00:00:00.000,32140.0,,,12.0,
,58.06,Bulk Transportation,,,,98875.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,33380.0,,,12.03,
,,Special Hauling,,NY,,,con ed,,7.1,18.08,23600.0,telescopic mobile,2017-01-01T00:00:00.000,,,,,061962
,57.09,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2015-03-23T00:00:00.000,32060.0,,,11.06,
,,Other,Transfer,,,,consolidated edison co. inc.,Other,,,,,2015-04-21T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Other,Renewal of OWP #2013824700,,,,"A. Russo Wrecking, Inc",Other,,,,,2014-08-02T00:00:00.000,,,"Type 4, 6 axles",,
HMQ7-2014117-1137,,Cement,,,4.0,,CASA REDIMIX CONCRETE CORP.,Renewal,4.08,21.11,29000.0,,2015-10-19T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Atlantic Crane(Lessee) TKO Crane (Lessor),,7.1,18.08,26400.0,LTM1100,2016-05-16T00:00:00.000,,,,,064047
,58.07,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2015-07-24T00:00:00.000,32060.0,,,11.06,
,,Special Hauling,,NY,,,DUN-RITE SPECIALIZED,,,21.02,,M2106,2015-07-10T00:00:00.000,,,,,1FVACXDTXBHBC5409
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-06-23T00:00:00.000,99000.0,,,11.06,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,32200.0,,,11.06,
