fullpermitno,year,axle2loadrating,axle2space,oldgrossvehicleweight,oldexpirationdate,make,industrytypeother,loadoutwidth,permittodate
MA7R-201619-83,2005,,12.05,,,TADANO,,,2016-12-31T00:00:00.000
EVWI-2014111-1042,2008,5750.0,13.03,,2013-10-31T00:00:00.000,FREIGHTLINER,,,2015-10-31T00:00:00.000
JPD6-2015716-632,2003,29500.0,15.06,77460.0,2014-12-31T00:00:00.000,MACK,,,2015-12-31T00:00:00.000
B2GR-20151122-1073,2012,5750.0,4.09,,,mack,,,2016-10-31T00:00:00.000
ANU2-2015324-196,2007,,22.01,,,TADAN,,,2015-12-31T00:00:00.000
I5ZY-2015102-851,1995,22400.0,16.08,64000.0,2015-08-31T00:00:00.000,MACK,fuel and oil co,,2016-08-31T00:00:00.000
HMQ7-2014117-1144,1973,8000.0,16.06,,,MACK,oil,,2015-09-30T00:00:00.000
XQAD-20141222-1278,2007,8800.0,16.08,77460.0,2014-11-30T00:00:00.000,MACK,Concrete Supply,,2015-11-30T00:00:00.000
H5DJ-2015319-134,2014,,,,,Peterbuilt,,8.0,2015-04-16T00:00:00.000
G5PT-20151029-937,2002,,,,,Kenworth,,,2016-06-30T00:00:00.000
KUPW-2015711-600,2000,29500.0,15.07,77460.0,2015-04-30T00:00:00.000,MACK,,,2016-04-30T00:00:00.000
I63S-2017330-377,2012,,5.05,,,LIEBHERR,,,2017-12-31T00:00:00.000
X7BE-2014109-942,2014,24020.0,20.08,63400.0,2014-10-31T00:00:00.000,FREIGHTLINER,,,2014-10-31T00:00:00.000
FJVQ-20151020-895,2014,8800.0,16.09,78000.0,2015-09-30T00:00:00.000,MACK,Concrete Supply,,2016-09-30T00:00:00.000
G87G-2014126-1200,1987,,,,,International,,8.06,2015-01-16T00:00:00.000
Z72R-2015423-390,2002,,11.05,,,LINK-BELT,,,2015-12-31T00:00:00.000
D82K-2015723-671,2014,,,,,PETERBILT,,8.0,2015-10-16T00:00:00.000
UCV8-2015428-439,1991,9370.0,16.09,58060.0,2015-02-28T00:00:00.000,MACK,,,2016-02-28T00:00:00.000
I6IA-2015623-526,2011,,,,,Peterbuilt,,8.0,2015-07-16T00:00:00.000
FJVQ-20151020-896,2014,8800.0,16.09,78000.0,2015-09-30T00:00:00.000,MACK,Concrete Supply,,2016-09-30T00:00:00.000
EGHI-201533-51,1988,9370.0,12.01,79000.0,2015-02-28T00:00:00.000,white,,,2016-02-28T00:00:00.000
RIWY-2015328-254,2008,8800.0,16.09,78000.0,2015-03-31T00:00:00.000,MACK,Concrete Supply,,2016-03-31T00:00:00.000
H5DJ-2015319-145,2013,,,,,Peterbuilt,,8.0,2015-04-16T00:00:00.000
TPMJ-201615-18,2006,22000.0,4.07,,,Mack,,,2016-11-30T00:00:00.000
DE7L-2014108-933,2005,7660.0,21.01,79000.0,2014-08-31T00:00:00.000,MACK,,,2015-08-31T00:00:00.000
I6IA-2015623-548,2014,,,,,Mack,,8.0,2015-07-16T00:00:00.000
POZL-20151214-1138,2015,,13.05,,,LINK-BELT,,,2015-12-31T00:00:00.000
EVWI-2014111-1119,2003,5625.0,12.06,,,gmc,,,2015-10-31T00:00:00.000
KUPW-2015711-615,2014,,,120000.0,2015-04-30T00:00:00.000,VOLVO,,,2016-04-30T00:00:00.000
XQAD-20141222-1282,2009,8800.0,16.09,78000.0,2014-11-30T00:00:00.000,MACK,Concrete Supply,,2015-11-30T00:00:00.000
TMFM-2015819-746,2007,6170.0,16.09,66000.0,2015-07-31T00:00:00.000,MACK,,,2016-07-31T00:00:00.000
BNDU-20151028-934,2005,,,120000.0,2015-03-31T00:00:00.000,PETERBILT,,,2016-03-31T00:00:00.000
V8L7-20141213-1211,2005,,,,,Peterbuilt,,8.0,2015-01-16T00:00:00.000
D82K-2015723-669,2013,,,,,PETERBILT,,8.0,2015-10-16T00:00:00.000
Z72R-2015423-405,2008,8800.0,16.09,78000.0,2015-04-30T00:00:00.000,MACK,Concrete Supply,,2016-04-30T00:00:00.000
PWXH-2015821-757,1989,8100.0,12.06,79000.0,2015-06-30T00:00:00.000,MACK,,,2016-06-30T00:00:00.000
RLB6-2016114-125,2011,,,,,FREIGHTLINER,,8.0,2016-01-16T00:00:00.000
RIE1-2014917-896,2013,,,,,Peterbuilt,,8.06,2014-10-16T00:00:00.000
EVWI-2014111-1068,2010,5750.0,13.03,,,FREIGHTLINER,,,2015-10-31T00:00:00.000
YRFH-2018118-95,2017,,,,,International,,,2019-01-31T00:00:00.000
D82K-2015723-684,2011,,,,,FREIGHTLINER,,8.0,2015-10-16T00:00:00.000
H5DJ-2015319-132,2011,,,,,Freightliner,,8.0,2015-04-16T00:00:00.000
EVWI-2014111-1102,2010,5750.0,13.03,,,FREIGHTLINER,,,2015-10-31T00:00:00.000
Y3H2-20151121-1021,2008,5750.0,13.03,,,FREIGHTLINER,,,2016-10-31T00:00:00.000
CZ47-2015420-369,2008,,13.05,,,LINK-BELT,,,2015-12-31T00:00:00.000
B2GR-20151122-1041,2009,5750.0,13.0,,,FREIGHTLINER,,,2016-10-31T00:00:00.000
X7BE-2014109-948,2007,6170.0,16.09,,2014-07-31T00:00:00.000,MACK,,,2015-07-31T00:00:00.000
RIE1-2014917-905,2012,,,,,Mack,,8.0,2014-10-16T00:00:00.000
O6YZ-2015810-699,2015,,9.02,,,GROVE GMK,,,2015-12-31T00:00:00.000
X7BE-2014109-968,2008,7610.0,15.03,73600.0,2014-09-30T00:00:00.000,MACK,,,2015-09-30T00:00:00.000
RIE1-2014917-885,2009,,,,,Freightliner,,8.0,2014-10-16T00:00:00.000
H5DJ-2015319-143,2013,,,,,Peterbuilt,,8.0,2015-04-16T00:00:00.000
S93X-20171227-987,2015,,12.06,,,Tadano,,,2018-12-31T00:00:00.000
G87G-2014126-1189,2010,,,,,Volvo,,8.0,2015-01-16T00:00:00.000
RIE1-2014917-908,2010,,,,,Freightliner,,8.0,2014-10-16T00:00:00.000
X7BE-2014109-957,2002,32400.0,15.04,,2014-07-03T00:00:00.000,MACK,,,2015-07-31T00:00:00.000
RIE1-2014917-909,2012,,,,,Peterbuilt,,8.0,2014-10-16T00:00:00.000
V7G8-20151123-1091,2013,24020.0,18.05,,,FREIGHTLINER,,,2016-10-31T00:00:00.000
HMQ7-2014117-1128,2008,28640.0,17.03,77280.0,2014-08-31T00:00:00.000,VOLVO,,,2015-08-31T00:00:00.000
G87G-2014126-1182,2013,,,,,Peterbuilt,,8.06,2015-01-16T00:00:00.000
M2HR-2015424-420,2004,8100.0,12.08,79000.0,2015-03-31T00:00:00.000,Mack,,,2016-03-31T00:00:00.000
EVWI-2014111-999,2004,5750.0,13.04,,,freightliner,,,2015-10-31T00:00:00.000
V7G8-20151123-1107,2015,24020.0,18.05,,,FREIGHTLINER,,,2016-10-31T00:00:00.000
AAQU-2015427-426,2002,29000.0,15.07,77460.0,2015-04-30T00:00:00.000,MACK,,,2016-04-30T00:00:00.000
Y3H2-20151121-983,2003,5625.0,12.06,,,gmc,,,2016-10-31T00:00:00.000
ZOGM-201534-71,1988,9370.0,17.06,79000.0,2015-02-28T00:00:00.000,MACK,,,2016-02-28T00:00:00.000
ANU2-2015324-209,2000,,13.05,,,LINK BELT,,,2015-12-31T00:00:00.000
Y3H2-20151121-1013,2007,5675.0,13.03,,,AMER. LAFRANCE,,,2016-10-31T00:00:00.000
TPMJ-201615-4,2005,6600.0,16.11,72000.0,2015-10-31T00:00:00.000,Mack,,,2016-10-31T00:00:00.000
EVWI-2014111-1085,2012,5750.0,4.09,,,freightliner,,,2015-10-31T00:00:00.000
I6IA-2015623-532,2014,,,,,PETERBILT,,8.0,2015-07-16T00:00:00.000
EVWI-2014111-1023,2006,5675.0,13.03,,,STERLING,,,2015-10-31T00:00:00.000
S93X-20171227-997,2001,,12.05,,,TADANO,,,2018-12-31T00:00:00.000
I6IA-2015623-540,2012,,,,,International,,8.06,2015-07-16T00:00:00.000
HMQ7-2014117-1126,2008,26308.0,17.03,77280.0,2014-08-31T00:00:00.000,VOLVO,,,2015-08-31T00:00:00.000
EVWI-2014111-1060,2009,5750.0,13.0,,,FREIGHTLINER,,,2015-10-31T00:00:00.000
S6YL-20151022-899,1995,,,93000.0,2015-10-31T00:00:00.000,Mack,fuel and oil co,,2016-10-31T00:00:00.000
B2GR-20151122-1057,2010,5750.0,13.03,,,FREIGHTLINER,,,2016-10-31T00:00:00.000
I6IA-2015623-551,2016,,,,,PETERBILT,,8.0,2015-07-16T00:00:00.000
Z72R-2015423-395,2005,8800.0,16.08,77460.0,2015-04-30T00:00:00.000,MACK,Concrete Supply,,2016-04-30T00:00:00.000
S6YL-20151022-916,1998,,,120000.0,2014-10-21T00:00:00.000,Peterbilt,,,2016-10-31T00:00:00.000
S6YL-20151022-900,2005,6720.0,18.11,71760.0,2015-10-31T00:00:00.000,MACK,OIL/FUEL,,2016-10-31T00:00:00.000
GPQZ-201482-854,2013,8800.0,16.09,78000.0,2014-07-31T00:00:00.000,MACK,Concrete Supply,,2015-07-31T00:00:00.000
QW9G-20141217-1259,2014,24020.0,20.08,,,FREIGHTLINER,,,2015-10-31T00:00:00.000
EVWI-2014111-1121,2007,5750.0,13.03,,,FREIGHTLINER,,,2015-10-31T00:00:00.000
JTD1-20141215-1246,1988,33000.0,14.06,50000.0,2015-05-31T00:00:00.000,GMC,,,2015-05-31T00:00:00.000
B2GR-20151122-1065,2010,5750.0,13.03,,,freightliner,,,2016-10-31T00:00:00.000
V7G8-20151123-1110,2015,24020.0,18.0,,,Freightliner,,,2016-10-31T00:00:00.000
D3UQ-2015323-167,2014,,25.0,,,WESTERN STARR,,,2015-12-31T00:00:00.000
RIE1-2014917-895,2014,,,,,International,,8.06,2014-10-16T00:00:00.000
T65Q-2015530-485,2008,8800.0,16.09,78000.0,2015-05-31T00:00:00.000,MACK,Concrete Supply,,2016-05-31T00:00:00.000
M2HR-2015424-415,1982,8800.0,15.08,69680.0,2014-12-31T00:00:00.000,autocar,FUEL OIL,,2015-12-31T00:00:00.000
ZO2Q-201859-270,1989,8850.0,13.08,,2018-04-30T00:00:00.000,MACK,,,2019-04-30T00:00:00.000
WIXL-20141223-1315,2008,28640.0,17.03,77280.0,2014-08-31T00:00:00.000,VOLVO,,,2015-08-31T00:00:00.000
B2GR-20151122-1076,2012,5750.0,13.03,,,FREIGHTLINER,,,2016-10-31T00:00:00.000
JFXV-2016128-190,1992,29500.0,19.03,79000.0,2015-12-31T00:00:00.000,Mack,,,2016-12-31T00:00:00.000
OW4H-2015313-106,2008,,,120000.0,2015-01-31T00:00:00.000,Kenworth,,,2016-01-31T00:00:00.000
B2GR-20151122-1084,2013,5750.0,13.03,,,freig,,,2016-10-31T00:00:00.000
RIE1-2014917-889,2011,,,,,Freightliner,,8.0,2014-10-16T00:00:00.000
RIWY-2015328-249,2014,8800.0,16.09,79000.0,2015-03-31T00:00:00.000,MACK,Concrete Supply,,2016-03-31T00:00:00.000
QW9G-20141217-1248,1995,,,93000.0,2014-10-31T00:00:00.000,Mack,fuel and oil co,,2015-10-31T00:00:00.000
V8L7-20141213-1216,2015,8800.0,16.09,76460.0,2014-07-31T00:00:00.000,MACK,Concrete Supply,,2015-10-31T00:00:00.000
MSFH-2016715-628,1991,44400.0,12.1,,2016-04-30T00:00:00.000,Ford,,,2017-04-30T00:00:00.000
X3KY-20151023-922,2006,,,,2015-06-30T00:00:00.000,Mack,Sand & Gravel,,2016-06-30T00:00:00.000
D82K-2015723-673,2012,,,,,Peterbuilt,,8.0,2015-10-16T00:00:00.000
XQAD-20141222-1283,2009,8800.0,16.09,78000.0,2014-11-30T00:00:00.000,MACK,Concrete Supply,,2015-11-30T00:00:00.000
G87G-2014126-1186,2013,,,,,Peterbuilt,,8.0,2015-01-16T00:00:00.000
M2HR-2015424-423,2002,29000.0,15.05,77460.0,2015-03-31T00:00:00.000,MACK,,,2016-03-31T00:00:00.000
SL64-2015320-155,2012,,,,,Peterbuilt,,8.0,2015-04-16T00:00:00.000
WRKF-2015713-617,2006,,9.02,,,GROVE GMK,,,2015-12-31T00:00:00.000
Y3H2-20151121-1003,2006,5675.0,14.05,,,freightliner,,,2016-10-31T00:00:00.000
D3UQ-2015323-164,2007,,6.0,,,WESTERN STARR,,,2015-12-31T00:00:00.000
T65Q-2015530-491,2008,7160.0,17.11,70000.0,2015-05-31T00:00:00.000,Mack,fuel and oil co,,2016-05-31T00:00:00.000
H5DJ-2015319-117,2013,,,,,Mack,,8.0,2015-04-16T00:00:00.000
B2GR-20151122-1045,2009,5750.0,13.0,,,FREIGHTLINER,,,2016-10-31T00:00:00.000
KUPW-2015711-614,2006,26000.0,18.05,,,Mack,,,2016-03-31T00:00:00.000
H5DJ-2015319-146,2013,,,,,Peterbuilt,,8.0,2015-04-16T00:00:00.000
HMQ7-2014117-1145,1973,8000.0,16.06,,2014-09-30T00:00:00.000,MACK,oil,,2015-09-30T00:00:00.000
V7G8-20151123-1087,2013,5750.0,13.03,,,freig,,,2016-10-31T00:00:00.000
RIE1-2014917-907,2011,,,,,Freightliner,,8.0,2014-10-16T00:00:00.000
XQAD-20141222-1286,2005,6600.0,16.11,72000.0,2014-10-31T00:00:00.000,Mack,,,2015-10-31T00:00:00.000
G5PT-20151029-944,2013,29500.0,11.01,75800.0,2015-04-30T00:00:00.000,VOLVO,,,2016-03-31T00:00:00.000
JFXV-2016128-180,2016,24040.0,18.05,,,Freightliner,,,2016-10-31T00:00:00.000
G87G-2014126-1177,2012,,,,,Mack,,8.0,2015-01-16T00:00:00.000
S6YL-20151022-902,2013,8800.0,16.09,78000.0,2015-10-31T00:00:00.000,MACK,Concrete Supply,,2016-10-31T00:00:00.000
B2GR-20151122-1074,2012,5750.0,4.09,,,freightliner,,,2016-10-31T00:00:00.000
D82K-2015723-680,2012,,,,,Mack,,8.0,2015-10-16T00:00:00.000
HMQ7-2014117-1125,2008,26308.0,17.03,77280.0,2014-08-31T00:00:00.000,VOLVO,,,2015-08-31T00:00:00.000
H5DJ-2015319-111,2012,,,,,Mack,,8.0,2015-04-16T00:00:00.000
XQAD-20141222-1295,2012,8800.0,16.08,79000.0,2014-12-31T00:00:00.000,MACK,Concrete Supply,,2015-12-31T00:00:00.000
G87G-2014126-1197,2013,,,,,Peterbuilt,,8.06,2015-01-16T00:00:00.000
BNDU-20151028-930,2002,,,,2015-09-30T00:00:00.000,KENWORTH,FUEL OIL,,2016-09-30T00:00:00.000
Y3H2-20151121-1007,2006,5675.0,13.03,,,STERLING,,,2016-10-31T00:00:00.000
FJVQ-20151020-890,1974,8100.0,13.09,,,Mack,,,2016-10-31T00:00:00.000
RIE1-2014917-890,2014,,,,,Mack,,8.0,2014-10-16T00:00:00.000
Y3H2-20151121-985,2004,5750.0,13.03,,,freightliner,,,2016-10-31T00:00:00.000
X7BE-2014109-960,2014,8800.0,16.09,,,MACK,Concrete Supply,,2015-09-30T00:00:00.000
EVWI-2014111-1112,2013,5750.0,12.08,,,FREIGHTLINER,,,2015-10-31T00:00:00.000
I3JF-2016126-170,2015,,12.06,,,Tadano,,,2016-12-31T00:00:00.000
FG5G-2015930-831,2003,,,,2015-03-31T00:00:00.000,PETERBILT,,,2016-03-31T00:00:00.000
EG3X-2015108-866,2014,,18.06,,,PETE,,,2015-12-31T00:00:00.000
AZI4-2015818-738,2008,8800.0,16.09,78000.0,2015-08-31T00:00:00.000,MACK,Concrete Supply,,2016-08-31T00:00:00.000
G87G-2014126-1202,2013,,,,,Peterbuilt,,8.0,2015-01-16T00:00:00.000
TILC-2015224-31,1990,,,120000.0,2014-12-31T00:00:00.000,MACK,,,2015-12-31T00:00:00.000
