brooklyn_condominiums_comparable_properties_condo_section,comparable_rental_1_building_classification,brooklyn_condominiums_comparable_properties_boro_block_lot,comparable_rental_2_full_market_value,comparable_rental_1_neighborhood,comparable_rental_2_net_operating_income,comparable_rental_2_neighborhood,brooklyn_condominiums_comparable_properties_market_value_per_sqft,comparable_rental_3_boro_block_lot,comparable_rental_3_estimated_gross_income,comparable_rental_3_address,comparable_rental_3_expense_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_3_distance_from_condo_in_miles,comparable_rental_1_estimated_expense,comparable_rental_2_distance_from_condo_in_miles,comparable_rental_2_estimated_gross_income,comparable_rental_1_full_market_value,comparable_rental_1_distance_from_condo_in_miles,comparable_rental_3_full_market_value,comparable_rental_2_gross_sqft
0444-R1,C1-WALK-UP,3-02147-7503,2382000.0,WILLIAMSBURG-SOUTH,326486.0,WILLIAMSBURG-SOUTH,71.09,3-02138-0029,"135,266",878 DRIGGS AVENUE,9.04,91.88,25500,0.06,228735,0.11,606783.0,1649000,0.09,"1,014,000",25924.0
1624-R1,D9-ELEVATOR,3-08669-7502,3218000.0,CROWN HEIGHTS,449004.0,BENSONHURST,91.14,3-08693-0012,"2,198,400",3161 BRIGHTON 6 STREET,8.79,62.58,54516,0.40,890581,2.36,1004184.0,2849000,6.64,"7,050,000",51419.0
1287-R1,D9-ELEVATOR,3-02264-7518,934000.0,WILLIAMSBURG-SOUTH,201966.0,WILLIAMSBURG-SOUTH,89.72,3-02412-0027,"607,117",367 SOUTH 2 STREET,13.49,40.61,24126,0.72,320801,0.68,431272.0,1050000,0.68,"1,276,000",23000.0
1231-R1,D9-ELEVATOR,3-01899-7502,1098000.0,WILLIAMSBURG-SOUTH,237661.0,WILLIAMSBURG-SOUTH,89.73,3-02104-0008,"827,639",299 ADELPHI STREET,9.31,51.8,20430,0.82,226216,1.0,521344.0,1059000,0.95,"3,001,000",21197.0
2189-R1,D1-ELEVATOR,3-06761-7502,1631000.0,MIDWOOD,225645.0,FLATBUSH-CENTRAL,81.87,3-05210-0017,"435,982",1247 FLATBUSH AVENUE,11.79,101.43,92768,1.98,891361,2.69,429829.0,5640000,0.21,"1,002,000",16080.0
0151-R1,C1-WALK-UP,3-01293-7501,1507000.0,CROWN HEIGHTS,254183.0,CROWN HEIGHTS,36.99,3-01412-0001,"622,621",565 CROWN STREET,7.02,36.94,40790,0.15,318114,0.06,507448.0,1425000,0.92,"1,613,000",40800.0
1651-R1,D9-ELEVATOR,3-00939-7502,2142000.0,FORT GREENE,298688.0,FORT GREENE,95.1,3-00171-0049,"875,152",337 STATE STREET,6.57,78.91,71470,0.88,931596,0.63,525261.0,7926000,0.55,"4,497,000",27144.0
0022-R1,D9-ELEVATOR,3-05468-7501,915000.0,CROWN HEIGHTS,132653.0,PARK SLOPE SOUTH,40.93,3-04868-0024,"162,266",274 LINDEN BOULEVARD,6.47,43.46,56377,2.50,256381,2.72,311116.0,3014000,3.69,"374,000",21056.0
1443-R1,C1-WALK-UP,3-08782-7502,637000.0,SHEEPSHEAD BAY,93464.0,SHEEPSHEAD BAY,77.87,, , , ,66.35,9000, ,67231,0.36,155000.0,554000,0.7, ,9600.0
1561-R1,D9-ELEVATOR,3-02465-7501,1050000.0,WILLIAMSBURG-SOUTH,178498.0,WILLIAMSBURG-SOUTH,73.24,3-02424-0016,"431,272",370 SOUTH 2 STREET,9.97,43.52,20295,0.27,198149,0.27,499299.0,856000,0.25,"934,000",24126.0
1581-R1,C1-WALK-UP,3-08678-7501,284000.0,SHEEPSHEAD BAY,38924.0,BRIGHTON BEACH,81.72,, , , ,91.61,10384, ,90652,0.06,73440.0,707000,1.06, ,3100.0
0182-R1,C1-WALK-UP,3-05462-7501,1000000.0,BOROUGH PARK,138640.0,BOROUGH PARK,55.46,, , , ,66.67,17508, ,148819,1.4,263934.0,1025000,1.54, ,15000.0
1354-R1,D9-ELEVATOR,3-02262-7504,934000.0,WILLIAMSBURG-CENTRAL,201966.0,WILLIAMSBURG-SOUTH,72.75,3-02412-0025,"377,503",373 SOUTH 2 STREET,8.91,40.61,25800,0.81,204336,0.77,431272.0,1243000,0.53,"795,000",23000.0
0287-R1,D9-ELEVATOR,3-01276-7501,804000.0,BEDFORD STUYVESANT,117865.0,FLATBUSH-CENTRAL,53.37,3-01148-0001,"839,187",597 GRAND AVENUE,4.55,50.0,117570,0.87,935324,1.43,256395.0,5910000,1.36,"3,014,000",16080.0
1232-R1,D1-ELEVATOR,3-06766-7501,1659000.0,MIDWOOD,239314.0,MADISON,68.58,3-05101-0090,"428,463",543 OCEAN AVENUE,8.84,85.52,28700,2.54,205896,0.2,276000.0,1342000,1.2,"1,686,000",19400.0
1678-R1,C1-WALK-UP,3-01984-7501,1309000.0,CLINTON HILL,175275.0,CLINTON HILL,135.86,3-01977-0004,"274,376",487 CLINTON AVENUE,9.82,151.33,16400,0.36,186318,0.38,268412.0,2951000,0.66,"1,368,000",8650.0
1818-R1,D9-ELEVATOR,3-08470-7501,2849000.0,FLATBUSH-CENTRAL,390592.0,CROWN HEIGHTS,118.53,, , , ,52.26,16080, ,204184,4.38,1281173.0,1631000,3.63, ,54516.0
0949-R1,D9-ELEVATOR,3-02264-7512,1059000.0,WILLIAMSBURG-SOUTH,227847.0,WILLIAMSBURG-SOUTH,89.71,3-02412-0033,"431,273",355 SOUTH 2 STREET,11.95,45.13,24126,0.72,320801,0.68,503375.0,1050000,0.68,"934,000",23467.0
0885-R1,C1-WALK-UP,3-02234-7502,355000.0,WILLIAMSBURG-EAST,48322.0,WILLIAMSBURG-EAST,76.2,3-03031-0015,"78,806",22 STAGG STREET,9.57,94.67,13810,0.28,58529,0.28,78806.0,1675000,0.42,"325,000",3750.0
0100-R1,C7-WALK-UP,3-00275-7501,1530000.0,COBBLE HILL,131003.0,BROOKLYN HEIGHTS,98.74,3-00253-0001,"230,964",236 HENRY STREET, ,342.67,11490,0.21,91256,0.14,131003.0,936000,0.11,"1,860,000",4465.0
1082-R1,D9-ELEVATOR,3-08720-7507,2849000.0,FLATBUSH-CENTRAL,390592.0,CROWN HEIGHTS,94.27,3-06264-0029,"1,004,184",2160 78 STREET,10.80,52.26,16080,2.68,204184,6.59,1281173.0,1631000,5.08,"3,218,000",54516.0
1823-R1,D9-ELEVATOR,3-02433-7502,711000.0,WILLIAMSBURG-SOUTH,102967.0,WILLIAMSBURG-SOUTH,90.93,3-02408-0012,"468,052",230 SOUTH 1 STREET,11.25,49.14,23400,0.11,237872,0.13,324333.0,1646000,0.11,"1,650,000",14470.0
1161-R1,C1-WALK-UP,3-01164-7502,1824000.0,PROSPECT HEIGHTS,252283.0,PROSPECT HEIGHTS,103.54,, , , ,113.12,15528, ,154471,0.06,431800.0,2055000,0.0, ,16124.0
2073-R1,D1-ELEVATOR,3-06802-7501,302000.0,MADISON,203137.0,MADISON,66.63,, , , ,19.3,19200, ,75072,0.15,273875.0,1344000,0.17, ,15650.0
2268-R1,D9-ELEVATOR,3-01715-7506,1050000.0,WILLIAMSBURG-SOUTH,178498.0,WILLIAMSBURG-SOUTH,80.59,3-02413-0031,"395,336",385 SOUTH 2 STREET,9.76,43.52,23467,0.85,275528,0.82,499299.0,1059000,0.82,"856,000",24126.0
1757-R1,D5-ELEVATOR,3-02721-7502,3867000.0,WILLIAMSBURG-EAST,561013.0,GREENPOINT,96.23,3-03113-0032,"1,113,307",9 COOK STREET,10.36,102.37,43230,1.18,451589,1.1,806146.0,3210000,0.31,"4,167,000",37776.0
0014-R1,C1-WALK-UP,3-07440-7501,584000.0,SHEEPSHEAD BAY,102086.0,SHEEPSHEAD BAY,71.63,, , , ,56.99,9000, ,67231,0.24,195452.0,554000,0.34, ,10248.0
1350-R1,D9-ELEVATOR,3-02262-7506,1050000.0,WILLIAMSBURG-CENTRAL,178498.0,WILLIAMSBURG-SOUTH,79.49,3-02424-0016,"431,272",370 SOUTH 2 STREET,9.97,43.52,25800,0.77,204336,0.77,499299.0,1243000,0.53,"934,000",24126.0
0651-R1,D9-ELEVATOR,3-00942-7501,926000.0,FORT GREENE,128593.0,CROWN HEIGHTS,69.89,3-00268-0039,"409,047",54 LIVINGSTON STREET,9.27,63.42,44046,1.33,409988,1.26,263643.0,3001000,0.77,"1,529,000",14600.0
2165-R1,D1-ELEVATOR,3-04660-7501,4047000.0,FLATBUSH-NORTH,554006.0,FLATBUSH-NORTH,81.1,, , , ,128.74,37446, ,293741,0.67,717521.0,1683000,0.69, ,31435.0
1489-R1,D9-ELEVATOR,3-01913-7512,1059000.0,FORT GREENE,277159.0,WILLIAMSBURG-SOUTH,105.68,3-02104-0008,"827,639",299 ADELPHI STREET,9.31,51.84,71470,0.77,931596,1.08,503375.0,7926000,0.83,"3,001,000",20430.0
1875-R2,D9-ELEVATOR,3-08720-7510,2849000.0,FLATBUSH-CENTRAL,390592.0,CROWN HEIGHTS,99.83,3-06264-0029,"1,004,184",2160 78 STREET,10.80,52.26,16080,2.68,204184,6.59,1281173.0,1631000,5.08,"3,218,000",54516.0
1735-R1,D1-ELEVATOR,3-00053-7501,2636000.0,DOWNTOWN-FULTON MALL,366768.0,DOWNTOWN-FULTON FERRY,116.93,3-00221-0020,"2,458,853",80 CRANBERRY STREET,9.06,92.95,242752,0.36,2762431,0.19,530948.0,26305000,0.82,"10,766,000",28358.0
1897-R1,C1-WALK-UP,3-06578-7502,430000.0,GRAVESEND,97971.0,GRAVESEND,69.45,3-07079-0001,"201,923",1905 WEST 10 STREET,7.26,31.77,8636,0.87,66929,1.51,217710.0,390000,0.87,"753,000",13536.0
1544-R1,D9-ELEVATOR,3-02469-7501,1650000.0,WILLIAMSBURG-SOUTH,230182.0,WILLIAMSBURG-SOUTH,86.52,3-02408-0007,"468,052",226 SOUTH 1 STREET,10.17,78.01,13412,0.47,132139,0.47,468052.0,904000,0.47,"1,646,000",21150.0
2001-R1,D1-ELEVATOR,3-00800-7501,804000.0,PARK SLOPE SOUTH,117865.0,FLATBUSH-CENTRAL,48.94,3-05062-0026,"195,857",373 OCEAN AVENUE,6.75,50.0,21056,2.67,178463,2.53,256395.0,915000,1.9,"755,000",16080.0
0812-R1,C1-WALK-UP,3-00403-7504,4497000.0,COBBLE HILL,614045.0,DOWNTOWN-FULTON MALL,68.7,3-00263-0044,"309,659",18 SIDNEY PLACE,11.42,113.08,8600,0.60,85467,0.41,875152.0,1220000,0.38,"1,470,000",39770.0
2356-R1,D9-ELEVATOR,3-02235-7509,934000.0,WILLIAMSBURG-SOUTH,201966.0,WILLIAMSBURG-SOUTH,94.28,3-02412-0027,"607,117",367 SOUTH 2 STREET,13.49,40.61,24126,0.69,320801,0.65,431272.0,1050000,0.65,"1,276,000",23000.0
2169-R1,D9-ELEVATOR,3-01754-7502,9416000.0,WILLIAMSBURG-CENTRAL,1533354.0,BEDFORD STUYVESANT,59.53,3-01850-0028,"269,325",944 MARCY AVENUE,7.05,44.33,25800,0.98,204336,0.73,2977384.0,1243000,0.94,"840,000",212405.0
1595-R1,D9-ELEVATOR,3-05423-7501,3170000.0,FLATBUSH-CENTRAL,439207.0,OCEAN PARKWAY-NORTH,98.03,, , , ,73.69,16080, ,204184,0.21,745514.0,1631000,1.5, ,43018.0
0822-R1,D9-ELEVATOR,3-07293-7501,7050000.0,BENSONHURST,1143600.0,BRIGHTON BEACH,72.5,, , , ,58.75,51419, ,555180,1.85,2198400.0,3218000,1.77, ,120000.0
0920-R1,D5-ELEVATOR,3-08664-7501,1797000.0,BRIGHTON BEACH,261252.0,BRIGHTON BEACH,74.49,, , , ,50.76,49600, ,507317,0.33,532770.0,3105000,0.55, ,35400.0
2071-R1,D9-ELEVATOR,3-00891-7502,1776000.0,SUNSET PARK,173865.0,SUNSET PARK,90.59,3-00898-0012,"212,366",308 21 STREET,5.30,106.03,20816,0.16,88123,0.33,285588.0,2365000,0.1,"415,000",16750.0
0187-R1,D9-ELEVATOR,3-06113-7501,7050000.0,SUNSET PARK,1143600.0,BRIGHTON BEACH,47.92,3-04868-0024,"162,266",274 LINDEN BOULEVARD,6.47,58.75,21173,5.13,182511,4.89,2198400.0,3242000,3.63,"374,000",120000.0
2102-R1,D9-ELEVATOR,3-06765-7502,1631000.0,BENSONHURST,225645.0,FLATBUSH-CENTRAL,112.06,, , , ,101.43,51419, ,555180,2.68,429829.0,3218000,1.88, ,16080.0
2081-R1,D9-ELEVATOR,3-01926-7503,7926000.0,FORT GREENE,1102334.0,FORT GREENE,122.61,3-02108-0021,"525,261",25 LAFAYETTE AVENUE,8.35,110.9,19350,1.08,260769,0.71,2033930.0,2340000,0.8,"2,142,000",71470.0
1924-R1,C1-WALK-UP,3-05130-7501,988000.0,FLATBUSH-CENTRAL,148522.0,FLATBUSH-CENTRAL,67.19,3-05124-0033,"389,004",667 OCEAN AVENUE,8.65,44.49,23365,0.48,187926,0.79,372521.0,1501000,0.92,"1,473,000",22208.0
2070-R1,D1-ELEVATOR,3-01052-7501,9313000.0,PARK SLOPE SOUTH,1356660.0,PARK SLOPE SOUTH,84.24,3-01109-0001,"3,101,731",1601 8 AVENUE,9.13,56.32,32928,0.58,481265,0.35,2536863.0,4738000,0.15,"9,615,000",165367.0
1207-R1,D9-ELEVATOR,3-02132-7503,1650000.0,WILLIAMSBURG-SOUTH,230182.0,WILLIAMSBURG-SOUTH,89.14,3-02409-0015,"324,333",276 SOUTH 1 STREET,15.30,78.01,15836,0.37,231550,0.32,468052.0,766000,0.37,"711,000",21150.0
0056-R1,C1-WALK-UP,3-01285-7501,1822000.0,CROWN HEIGHTS,263259.0,CROWN HEIGHTS,47.83,3-01412-0025,"476,611",1510 CARROLL STREET,9.15,50.86,31100,0.30,212375,0.72,516714.0,1403000,0.3,"1,318,000",35824.0
0250-R1,D9-ELEVATOR,3-06796-7501,1683000.0,BENSONHURST,325361.0,FLATBUSH-CENTRAL,39.5,3-05328-0015,"794,098",120 OCEAN PARKWAY,4.64,29.61,51419,2.87,555180,2.37,671422.0,3218000,1.64,"1,980,000",56844.0
0273-R1,D9-ELEVATOR,3-06134-7501,374000.0,FLATBUSH-CENTRAL,60040.0,FLATBUSH-EAST,47.94,3-04868-0019,"172,536",264 LINDEN BOULEVARD,6.47,23.67,16080,5.25,138530,5.25,162266.0,804000,4.54,"398,000",15800.0
1396-R1,D9-ELEVATOR,3-02134-7501,3046000.0,WILLIAMSBURG-CENTRAL,419552.0,WILLIAMSBURG-EAST,114.58,3-02408-0001,"711,034",201 ROEBLING STREET,9.64,121.43,18750,0.66,276703,1.69,632400.0,2175000,1.1,"2,583,000",25085.0
0141-R1,D1-ELEVATOR,3-08679-7501,10644000.0,BRIGHTON BEACH,1482662.0,BRIGHTON BEACH,81.7,, , , ,68.38,109832, ,1053590,0.77,2939968.0,11664000,0.72, ,155661.0
0446-R4,C1-WALK-UP,3-01498-7501,231000.0,BUSHWICK,38775.0,OCEAN HILL,34.89,3-01500-0034,"136,950",640 MAC DONOUGH STREET,6.91,35.68,17800,0.29,125908,0.25,87990.0,790000,0.29,"357,000",6474.0
1488-R1,D9-ELEVATOR,3-02417-7502,1646000.0,WILLIAMSBURG-SOUTH,230180.0,WILLIAMSBURG-SOUTH,79.69,3-02409-0008,"339,614",260 SOUTH 1 STREET,14.63,70.34,13412,0.35,132139,0.27,468052.0,904000,0.27,"766,000",23400.0
1238-R1,C1-WALK-UP,3-00874-7502,1151000.0,SUNSET PARK,161148.0,SUNSET PARK,92.1,, , , ,79.58,10975, ,58168,1.14,295800.0,415000,0.19, ,14464.0
1871-R1,D9-ELEVATOR,3-01898-7501,1098000.0,WILLIAMSBURG-SOUTH,237661.0,WILLIAMSBURG-SOUTH,89.71,3-02104-0008,"827,639",299 ADELPHI STREET,9.31,51.8,20430,0.77,226216,1.03,521344.0,1059000,0.97,"3,001,000",21197.0
0232-R3,D9-ELEVATOR,3-01957-7501,2142000.0,FORT GREENE,298688.0,FORT GREENE,68.48,3-02104-0008,"827,639",299 ADELPHI STREET,9.31,78.91,71470,0.23,931596,0.45,525261.0,7926000,0.05,"3,001,000",27144.0
1208-R1,D9-ELEVATOR,3-01755-7501,1059000.0,WILLIAMSBURG-SOUTH,277159.0,WILLIAMSBURG-SOUTH,89.71,3-02424-0006,"499,299",354 SOUTH 2 STREET,13.30,51.84,23562,1.04,311933,1.01,503375.0,1287000,0.99,"1,050,000",20430.0
2183-R1,D1-ELEVATOR,3-06782-7501,8344000.0,MADISON,1157178.0,MADISON,83.17,, , , ,63.77,46200, ,362463,0.32,2319510.0,2489000,0.66, ,130842.0
1221-R1,C1-WALK-UP,3-00300-7501,936000.0,COBBLE HILL,130567.0,COBBLE HILL,99.25,3-00307-0006,"191,117",265 CLINTON STREET,9.45,81.46,90288,0.21,1709296,0.15,221823.0,7280000,0.05,"725,000",11490.0
1775-R1,C1-WALK-UP,3-08374-7505,2374000.0,BERGEN BEACH,271244.0,BERGEN BEACH,73.27,, , , ,84.86,27975, ,237787,0.57,478445.0,1708000,0.57, ,27975.0
2425-R1,C1-WALK-UP,3-03290-7501,444000.0,WYCKOFF HEIGHTS,60868.0,WYCKOFF HEIGHTS,126.4,3-03326-0065,"430,567",255 LINDEN STREET,10.21,63.43,7000,0.24,45467,0.19,160742.0,447000,0.19,"1,674,000",7000.0
0446-R2,C1-WALK-UP,3-01498-7501,231000.0,BUSHWICK,38775.0,OCEAN HILL,34.79,3-01500-0034,"136,950",640 MAC DONOUGH STREET,6.91,35.68,17800,0.29,125908,0.25,87990.0,790000,0.29,"357,000",6474.0
0628-R1,D9-ELEVATOR,3-02147-7505,1069000.0,WILLIAMSBURG-SOUTH,199357.0,WILLIAMSBURG-SOUTH,75.81,3-02408-0038,"260,030",233 SOUTH 2 STREET,9.85,75.46,23400,0.40,237872,0.38,357936.0,1646000,0.4,"904,000",14166.0
2430-R1,D9-ELEVATOR,3-00741-7501,1980000.0,SUNSET PARK,446289.0,KENSINGTON,36.83,3-05079-0019,"429,829",142 ST PAUL'S PLACE,12.70,26.4,21173,2.08,182511,1.37,794098.0,3242000,1.13,"1,631,000",75000.0
1672-R1,C1-WALK-UP,3-06555-7501,855000.0,BOROUGH PARK,118932.0,BOROUGH PARK,82.66,3-00925-0019,"286,914",832 42 STREET,13.37,63.33,8100,2.39,78520,1.88,250747.0,529000,1.49,"629,000",13500.0
2010-R1,D9-ELEVATOR,3-02740-7501,871000.0,WILLIAMSBURG-SOUTH,184081.0,WILLIAMSBURG-SOUTH,74.14,3-02424-0016,"431,272",370 SOUTH 2 STREET,9.97,39.5,19900,0.74,177309,0.7,413524.0,795000,0.7,"934,000",22050.0
2162-R1,D9-ELEVATOR,3-02719-7503,934000.0,WILLIAMSBURG-SOUTH,203057.0,WILLIAMSBURG-SOUTH,87.95,3-02409-0008,"339,614",260 SOUTH 1 STREET,14.63,48.89,19900,0.78,177309,0.76,431273.0,795000,0.76,"766,000",19104.0
1726-R1,D1-ELEVATOR,3-05322-7501,1484000.0,KENSINGTON,213890.0,KENSINGTON,56.2,, , , ,45.55,62400, ,493664,0.08,458413.0,1980000,0.29, ,32580.0
0051-R1,C1-WALK-UP,3-00286-7501,840000.0,BOERUM HILL,114852.0,COBBLE HILL,128.58,3-00291-0033,"232,302",155 AMITY STREET,13.63,96.15,7624,0.12,68439,0.16,193800.0,1323000,0.13,"925,000",8736.0
0126-R1,C1-WALK-UP,3-00274-7501,1450000.0,COBBLE HILL,195183.0,BROOKLYN HEIGHTS,134.57,3-00268-0044,"131,003",66 LIVINGSTON STREET, ,183.15,8000,0.22,109046,0.19,265267.0,925000,0.14,"1,530,000",7917.0
2184-R1,D1-ELEVATOR,3-07405-7501,5246000.0,SHEEPSHEAD BAY,769004.0,SHEEPSHEAD BAY,78.34,, , , ,54.0,54678, ,528430,0.06,1553576.0,3256000,0.61, ,97157.0
0036-R1,D9-ELEVATOR,3-06253-7501,1683000.0,KENSINGTON,325361.0,FLATBUSH-CENTRAL,37.53,, , , ,29.61,75000, ,347809,2.9,671422.0,1980000,2.84, ,56844.0
1016-R1,D9-ELEVATOR,3-08720-7505,2849000.0,FLATBUSH-CENTRAL,390592.0,CROWN HEIGHTS,89.13,3-06264-0029,"1,004,184",2160 78 STREET,10.80,52.26,16080,2.68,204184,6.59,1281173.0,1631000,5.08,"3,218,000",54516.0
2167-R1,D9-ELEVATOR,3-02235-7508,1098000.0,WILLIAMSBURG-SOUTH,237661.0,WILLIAMSBURG-SOUTH,94.28,3-02424-0035,"503,375",347 SOUTH 3 STREET,11.74,51.8,24126,0.65,320801,0.65,521344.0,1050000,0.65,"1,059,000",21197.0
1383-R1,D9-ELEVATOR,3-02417-7501,1059000.0,WILLIAMSBURG-SOUTH,180892.0,WILLIAMSBURG-SOUTH,87.96,3-02409-0008,"339,614",260 SOUTH 1 STREET,14.63,48.7,21150,0.35,237870,0.34,503375.0,1650000,0.27,"766,000",21744.0
0784-R1,C1-WALK-UP,3-06548-7501,529000.0,BOROUGH PARK,73628.0,BOROUGH PARK,68.15,, , , ,65.31,14400, ,69768,1.37,152148.0,956000,1.75, ,8100.0
0413-R1,C1-WALK-UP,3-00254-7501,1557000.0,BROOKLYN HEIGHTS,208302.0,BROOKLYN HEIGHTS,118.39,3-00253-0001,"230,964",236 HENRY STREET, ,198.55,7917,0.09,70084,0.07,241223.0,1450000,0.0,"1,860,000",7842.0
0050-R1,C1-WALK-UP,3-00428-7501,1439000.0,CARROLL GARDENS,193750.0,CARROLL GARDENS,117.2,, , , ,158.31,4656, ,42520,0.12,303305.0,373000,0.44, ,9090.0
2057-R1,D9-ELEVATOR,3-02242-7504,795000.0,WILLIAMSBURG-SOUTH,200194.0,WILLIAMSBURG-SOUTH,79.49,3-02412-0030,"413,524",359 SOUTH 2 STREET,10.41,39.95,23000,0.50,229306,0.5,377503.0,934000,0.47,"871,000",19900.0
1075-R1,D1-ELEVATOR,3-02240-7512,2013000.0,WILLIAMSBURG-EAST,299168.0,WILLIAMSBURG-SOUTH,76.41,3-02368-0029,"449,621",94 HAVEMEYER STREET,9.67,59.51,52650,0.91,545418,0.62,578208.0,4167000,0.52,"1,783,000",33825.0
1425-R1,D9-ELEVATOR,3-00886-7501,4497000.0,BOERUM HILL,614045.0,DOWNTOWN-FULTON MALL,105.82,3-01959-0027,"2,033,930",80 GREENE AVENUE,13.03,113.08,42000,2.04,404480,1.95,875152.0,7072000,1.88,"7,926,000",39770.0
1200-R1,D9-ELEVATOR,3-02137-7503,904000.0,WILLIAMSBURG-SOUTH,127891.0,WILLIAMSBURG-SOUTH,89.59,3-02408-0007,"468,052",226 SOUTH 1 STREET,10.17,67.4,14166,0.42,158579,0.42,260030.0,1069000,0.37,"1,646,000",13412.0
0008-R1,C1-WALK-UP,3-00285-7501,6185000.0,COBBLE HILL,833211.0,COBBLE HILL,225.0,, , , ,151.96,35950, ,275729,0.1,1372151.0,2810000,0.15, ,40701.0
1362-R1,D9-ELEVATOR,3-06383-7502,2849000.0,FLATBUSH-CENTRAL,390592.0,CROWN HEIGHTS,91.73,3-06264-0029,"1,004,184",2160 78 STREET,10.80,52.26,16080,0.49,204184,5.64,1281173.0,1631000,3.83,"3,218,000",54516.0
0085-R1,C1-WALK-UP,3-01097-7501,1221000.0,PARK SLOPE,184789.0,PARK SLOPE,93.69,3-01093-0001,"279,048",911 8 AVENUE,8.81,85.22,14328,0.09,139921,0.0,358748.0,1540000,0.0,"1,255,000",14328.0
1333-R1,D9-ELEVATOR,3-02129-7506,1646000.0,WILLIAMSBURG-SOUTH,230180.0,WILLIAMSBURG-SOUTH,92.98,3-02408-0014,"520,058",234 SOUTH 1 STREET,12.50,70.34,14166,0.52,158579,0.52,468052.0,1069000,0.46,"1,859,000",23400.0
1139-R2,D9-ELEVATOR,3-01734-7504,862000.0,WILLIAMSBURG-SOUTH,170200.0,WILLIAMSBURG-SOUTH,66.35,3-02183-0058,"408,672",189 ROSS STREET,7.92,37.48,23000,0.78,229306,0.97,476100.0,934000,0.97,"1,243,000",23000.0
0718-R1,D9-ELEVATOR,3-02224-7502,934000.0,WILLIAMSBURG-SOUTH,201966.0,WILLIAMSBURG-SOUTH,76.04,3-02424-0035,"503,375",347 SOUTH 3 STREET,11.74,40.61,24126,0.69,320801,0.69,431272.0,1050000,0.69,"1,059,000",23000.0
0663-R1,D9-ELEVATOR,3-02244-7501,5910000.0,WILLIAMSBURG-SOUTH,960988.0,BEDFORD STUYVESANT,68.72,3-02424-0016,"431,272",370 SOUTH 2 STREET,9.97,50.27,24126,0.62,320801,1.15,1896312.0,1050000,0.62,"934,000",117570.0
