address_1,national_median_energy_star_score,medical_office_number_of_mri_machines,annual_maximum_demand_kw,estimated_data_flag_natural_gas,number_of_active_energy_meters_not_used_to_compute_metrics,financial_office_gross_floor_area_ft,source_eui_kbtu_ft,estimated_data_flag_fuel_oil_no_1,supermarket_grocery_number_of_walk_in_refrigeration_freezer_units,egrid_output_emissions_rate_kgco2e_mbtu,electricity_use_grid_purchase_kwh,alert_data_center_issue_with_estimates_it_configuration_or_it_meter,parking_completely_enclosed_parking_garage_size_ft,council_district,third_party_certification_date_achieved,estimated_data_flag_fuel_oil_no_2,hotel_gym_fitness_center_floor_area_ft,office_number_of_workers_on_main_shift,default_values,courthouse_gross_floor_area_ft,retail_store_number_of_open_or_closed_refrigeration_freezer_units,financial_office_number_of_computers,green_power_onsite_kwh,year_ending,percent_of_recs_retained,total_ghg_emissions_intensity_kgco2e_ft,parking_open_parking_lot_size_ft,distribution_center_gross_floor_area_ft,data_center_it_source_energy_kbtu,water_use_all_water_sources_kgal,property_gfa_calculated_parking_ft,pre_school_daycare_gross_floor_area_ft,wholesale_club_supercenter_exterior_entrance_to_the_public,national_median_site_eui_kbtu_ft,senior_living_community_living_unit_density_number_per_1_000_sq_ft,direct_ghg_emissions_metric_tons_co2e,restaurant_worker_density_number_per_1_000_sq_ft,last_modified_date_non_electric_non_gas_energy_meters,college_university_gross_floor_area_ft,laboratory_gross_floor_area_ft,multifamily_housing_percent_that_can_be_cooled,alert_property_has_no_uses,data_center_ups_output_meter_kwh,avoided_emissions_offsite_green_power_metric_tons_co2e,office_percent_that_can_be_cooled
33-09 35th Avenue,50,Not Available,386.6,No,0,Not Available,106.3,Not Available,Not Available,79.5,690799.9,Ok,Not Available,26.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77.7,Not Available,355.1,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
65-10 Dieterle Crescent,50,Not Available,115.2,No,0,Not Available,83.2,Not Available,Not Available,79.5,318400,Ok,Not Available,29.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.6,Not Available,Not Available,Not Available,472.9,Not Available,Not Available,Not Available,77.3,Not Available,317.9,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
227 Sterling Place,50,Not Available,83.2,No,0,Not Available,148.1,Not Available,Not Available,79.5,237920,Ok,Not Available,35.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.5,Not Available,Not Available,Not Available,8290.9,Not Available,Not Available,Not Available,70.0,Not Available,77.6,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
70 Ocean Parkway,50,Not Available,114.4,No,0,Not Available,108.4,Not Available,Not Available,79.5,412879.9,Ok,Not Available,39.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,85.7,Not Available,133.8,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
149-11 Melbourne Avenue,50,Not Available,621.1,No,0,Not Available,94,Not Available,Not Available,79.5,1642399.8,Ok,Not Available,24.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63.0,Not Available,210.2,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
8973 Bay Parkway Suite 1,50,Not Available,Not Available,No,0,Not Available,147,Not Available,Not Available,79.5,1762835.8,Ok,Not Available,43.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,64.7,Not Available,143.3,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
58 Lawrence Avenue,50,Not Available,204,No,0,Not Available,97.5,Not Available,Not Available,79.5,332000,Ok,Not Available,49.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,89.7,Not Available,278,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
400 Ashford Street,50,Not Available,118.4,No,0,Not Available,81.1,Not Available,Not Available,79.5,422239.9,Ok,Not Available,37.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,865.8,Not Available,Not Available,Not Available,58.9,Not Available,226,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1070 Castle Hill Avenue,50,Not Available,160.8,No,0,Not Available,87.1,Not Available,Not Available,79.5,334720,Ok,Not Available,18.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.7,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,96.9,Not Available,224.9,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
120 East 184th Street,50,Not Available,272,No,0,Not Available,117.5,Not Available,Not Available,79.5,1035959.8,Ok,Not Available,14.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,72.9,Not Available,291.7,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
2 Penn Plaza,50,Not Available,Not Available,Not Available,0,Not Available,120.6,Not Available,Not Available,79.5,13928261,Ok,Not Available,3.0,Not Available,Not Available,Not Available,825.23,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.3,Not Available,Not Available,Not Available,12385.7,Not Available,Not Available,Not Available,77.0,Not Available,0,Not Available,05/12/2021 03:54 PM EDT,Not Available,Not Available,Not Available,Ok,0,0,100
41 Madison Ave,50,Not Available,Not Available,No,0,Not Available,161.2,Not Available,Not Available,79.5,4836140.5,Ok,Not Available,2.0,Not Available,Not Available,Not Available,231.55,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,6.5,Not Available,Not Available,Not Available,5659.2,Not Available,Not Available,Not Available,95.0,Not Available,11.7,0.33679,04/29/2021 07:46 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
194 Harman Street,50,Not Available,336,No,0,Not Available,103.5,Not Available,Not Available,79.5,756399.9,Ok,Not Available,37.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,59.6,Not Available,106.3,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
439 West 49th Street,50,Not Available,518.4,No,0,Not Available,81.4,Not Available,Not Available,79.5,1343999.8,Ok,Not Available,3.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.1,Not Available,Not Available,Not Available,0.7,Not Available,Not Available,Not Available,84.6,Not Available,473.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
8010 12th Avenue,50,Not Available,258,No,0,Not Available,83,Not Available,Not Available,79.5,486399.9,Ok,Not Available,43.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,1309.1,Not Available,Not Available,Not Available,92.3,Not Available,333.5,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
74-01 78th Avenue,50,Not Available,264,No,0,Not Available,92.3,Not Available,Not Available,79.5,565599.9,Ok,Not Available,30.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,286.8,Not Available,Not Available,Not Available,83.0,Not Available,315.6,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
15-30 Petracca Place,50,Not Available,Not Available,No,0,Not Available,122.8,Not Available,Not Available,79.5,920156.4,Ok,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.1,Not Available,Not Available,Not Available,1037.5,Not Available,Not Available,Not Available,54.4,Not Available,131,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
560 Lexington Avenue,50,Not Available,Not Available,Not Available,11,Not Available,110.9,Not Available,Not Available,79.5,3346902,Ok,Not Available,4.0,Not Available,Not Available,Not Available,210,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,74.8,Not Available,0,Not Available,05/10/2021 03:06 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
800 Gates Avenue,50,Not Available,400.3,No,0,Not Available,87.6,Not Available,Not Available,79.5,1260183.5,Ok,Not Available,36.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,147180,2020-12-31T00:00:00.000,100,3.6,Not Available,Not Available,Not Available,307.1,Not Available,Not Available,Not Available,68.0,Not Available,398.7,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
250 West 18th Street,50,Not Available,272,No,0,Not Available,130.3,Not Available,Not Available,79.5,551999.9,Ok,Not Available,3.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.2,Not Available,Not Available,Not Available,0.9,Not Available,Not Available,Not Available,57.5,Not Available,55.8,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1399 Ogden Avenue,50,Not Available,184,No,0,Not Available,104.9,Not Available,Not Available,79.5,377200,Ok,Not Available,16.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,161.6,Not Available,Not Available,Not Available,65.4,Not Available,59.8,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
116 West 11th Street,50,Not Available,206,No,0,Not Available,65.6,Not Available,Not Available,79.5,326812,Ok,Not Available,3.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.3,Not Available,232.2,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
54-25 Skillman Avenue,50,Not Available,493.9,No,0,Not Available,92.5,Not Available,Not Available,79.5,1311599.9,Ok,Not Available,26.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.2,Not Available,Not Available,Not Available,1113.4,Not Available,Not Available,Not Available,63.9,Not Available,266.3,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1328 Putnam Avenue,50,Not Available,147.6,No,0,Not Available,65.1,Not Available,Not Available,79.5,269360,Ok,Not Available,37.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.9,Not Available,Not Available,Not Available,582.9,Not Available,Not Available,Not Available,88.1,Not Available,215.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
490 Hudson Street,50,Not Available,132.8,No,0,Not Available,79.5,Not Available,Not Available,79.5,351519.9,Ok,Not Available,3.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,93.4,Not Available,324.7,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
215 West 114th Street,50,Not Available,799.2,No,0,Not Available,110.8,Not Available,Not Available,79.5,1527199.7,Ok,Not Available,9.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5,Not Available,Not Available,Not Available,96.4,Not Available,Not Available,Not Available,80.9,Not Available,622.9,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
34 West 118th Street,50,Not Available,270.7,No,0,Not Available,100.3,Not Available,Not Available,79.5,770399.9,Ok,Not Available,9.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122.3,Not Available,394.7,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
57-12 94th Street,50,Not Available,508.8,No,0,Not Available,87.1,Not Available,Not Available,79.5,799999.9,Ok,Not Available,25.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,86.6,Not Available,142,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
825 4th Avenue,50,Not Available,145.6,No,0,Not Available,94.6,Not Available,Not Available,79.5,266240,Ok,Not Available,38.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,557.5,Not Available,Not Available,Not Available,91.8,Not Available,146.3,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
4210 Arthur Kill Road,50,Not Available,56,No,0,Not Available,63.7,Not Available,Not Available,79.5,84000,Ok,Not Available,51.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,89.7,Not Available,31.5,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
75-10 21st Avenue,50,Not Available,152,No,0,Not Available,66.9,Not Available,Not Available,79.5,226400,Ok,Not Available,22.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.7,Not Available,Not Available,Not Available,433.9,Not Available,Not Available,Not Available,95.7,Not Available,142.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
24 State Street,50,Not Available,Not Available,Not Available,0,Not Available,158.4,Not Available,Not Available,79.5,10251529.9,Ok,38567,1.0,Not Available,Not Available,Not Available,467.01,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.7,0,Not Available,Not Available,6044,38567,Not Available,Not Available,88.9,Not Available,0,Not Available,04/26/2021 12:04 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
35-01 Union Street,50,Not Available,320,No,0,Not Available,86.2,Not Available,Not Available,79.5,1102159.8,Ok,Not Available,20.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.7,Not Available,Not Available,Not Available,297.7,Not Available,Not Available,Not Available,98.6,Not Available,991,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
900 Tinton Avenue,50,Not Available,228,No,0,Not Available,91.9,Not Available,Not Available,79.5,687999.9,Ok,Not Available,17.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4,Not Available,Not Available,Not Available,878.4,Not Available,Not Available,Not Available,76.6,Not Available,444.2,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
223 Graham Avenue,50,Not Available,211.4,No,0,Not Available,73.4,Not Available,Not Available,79.5,577599.9,Ok,Not Available,34.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.1,Not Available,Not Available,Not Available,1223,Not Available,Not Available,Not Available,85.7,Not Available,411.4,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
350 Gerard Avenue,50,Not Available,473,No,0,Not Available,98.6,Not Available,Not Available,79.5,1007999.9,Ok,Not Available,8.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,355.3,Not Available,Not Available,Not Available,69.5,Not Available,144.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1007 Evergreen Avenue,50,Not Available,216,No,0,Not Available,74,Not Available,Not Available,79.5,355200,Ok,Not Available,17.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84.6,Not Available,333.7,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
179-01 90th Avenue,50,Not Available,169.6,No,0,Not Available,81.6,Not Available,Not Available,79.5,455479.9,Ok,Not Available,27.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,668.8,Not Available,Not Available,Not Available,82.6,Not Available,257.9,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
149 East Mosholu Parkway,50,Not Available,352,No,0,Not Available,120.3,Not Available,Not Available,79.5,1079199.8,Ok,Not Available,,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.3,Not Available,Not Available,Not Available,217.6,Not Available,Not Available,Not Available,81.4,Not Available,435.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
616 Quincy Street,50,Not Available,220,No,0,Not Available,67.1,Not Available,Not Available,79.5,539599.9,Ok,Not Available,36.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,82.7,Not Available,314.9,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
284 Baltic Street,50,Not Available,360,No,0,Not Available,76.2,Not Available,Not Available,79.5,757599.9,Ok,Not Available,33.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,86.4,Not Available,506.9,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
515 4th Avenue,50,Not Available,106.4,No,0,Not Available,103.4,Not Available,Not Available,79.5,278800,Ok,Not Available,39.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,819.3,Not Available,Not Available,Not Available,64.5,Not Available,77.5,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
430 Howard Avenue,50,Not Available,324,No,0,Not Available,102.3,Not Available,Not Available,79.5,779199.9,Ok,Not Available,41.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.9,Not Available,126.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1 United Nations Plaza,50,Not Available,Not Available,No,0,Not Available,190,Not Available,Not Available,79.5,8401101,Ok,Not Available,4.0,Not Available,Not Available,9825,1610,Yes,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,6.8,Not Available,Not Available,Not Available,19976,Not Available,Not Available,Not Available,110.3,Not Available,21.4,Not Available,02/09/2021 01:38 PM EST,Not Available,Not Available,Not Available,Ok,Not Available,0,100
