property_id,address_1,natural_gas_use_therms,last_modified_date_gas_meters,data_center_energy_estimates_applied,supermarket_grocery_number_of_open_or_closed_refrigeration_freezer_units,district_chilled_water_use_kbtu,hospital_general_medical_surgical_licensed_bed_capacity,data_center_pdu_input_meter_kwh,estimated_data_flag_district_steam,multifamily_housing_government_subsidized_housing,hospital_general_medical_surgical_number_of_staffed_beds,third_party_certification_date_anticipated,hospital_general_medical_surgical_mri_density_number_per_1_000_sq_ft,social_meeting_hall_gross_floor_area_ft,office_gross_floor_area_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,property_gfa_self_reported_ft,office_percent_that_can_be_heated,senior_living_community_gross_floor_area_ft,fuel_oil_4_use_kbtu,nyc_borough_block_and_lot_bbl,number_of_active_it_meters,weather_normalized_source_eui_kbtu_ft,generation_date,food_service_gross_floor_area_ft,data_center_gross_floor_area_ft,medical_office_weekly_operating_hours,hotel_gross_floor_area_ft,green_power_onsite_and_offsite_kwh,energy_star_score,data_center_ups_system_redundancy,other_gross_floor_area_ft,hospital_general_medical_surgical_laboratory,multifamily_housing_gross_floor_area_ft,municipally_supplied_potable_water_total_use_all_meter_types_kgal,site_eui_kbtu_ft,weather_normalized_site_eui_kbtu_ft,financial_office_number_of_workers_on_main_shift,estimated_values_energy,weather_normalized_site_electricity_kwh,occupancy,electricity_use_generated_from_onsite_renewable_systems_kwh,multifamily_housing_number_of_laundry_hookups_in_common_area_s,restaurant_gross_floor_area_ft,fuel_oil_1_use_kbtu,outdoor_water_use_all_water_sources_kgal,latitude,weather_normalized_source_energy_use_kbtu,ambulatory_surgical_center_gross_floor_area_ft,_3rd_largest_property_use_type,source_energy_use_kbtu,data_center_it_equipment_input_meter_kwh,electricity_use_generated_from_onsite_renewable_systems_and_used_onsite_kwh,construction_status,property_gfa_calculated_buildings_ft,district_steam_use_kbtu,medical_office_number_of_computers,estimated_data_flag_electricity_grid_purchase,third_party_certification,longitude,retail_store_number_of_walk_in_refrigeration_freezer_units
1633945,601 Newman Avenue,183.0000109,04/12/2021 02:33 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,102000,Not Available,Not Available,4074568.4,2035640001,0,69.9,2021-05-28T17:13:01.000,Not Available,Not Available,Not Available,Not Available,0.0,85,Not Available,Not Available,Not Available,Not Available,Not Available,50.6,50.6,Not Available,No,313600.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.818228,7130538,Not Available,Not Available,7130538.0,Not Available,Not Available,Existing,102000.0,Not Available,Not Available,No,Not Available,-73.856302,Not Available
1418514,351 E 68 St,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,20520,Not Available,60273,100,Not Available,Not Available,1-01443-0020,0,312.2,2021-04-05T12:47:10.000,Not Available,Not Available,Not Available,Not Available,0.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,136.9,138.8,Not Available,No,1606539.7,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.76574,18819018.8,Not Available,Not Available,18925455.0,Not Available,Not Available,Existing,60273.0,2616909.2,Not Available,No,Not Available,-73.959026,Not Available
1633175,141-11 Holly Avenue,62983.99948,04/12/2021 02:42 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,162476,Not Available,Not Available,Not Available,4052010021,0,119.6,2021-05-28T17:12:58.000,Not Available,Not Available,Not Available,Not Available,0.0,48,Not Available,Not Available,Not Available,Not Available,874.5,68.3,73.5,Not Available,No,1159493.3,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.75146,19424259.4,Not Available,Not Available,18623597.1,Not Available,Not Available,Existing,162476.0,Not Available,Not Available,No,Not Available,-73.817849,Not Available
1633952,965 Longwood Avenue,1920.000093,04/12/2021 02:33 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,102100,Not Available,Not Available,2584200,2027100001,0,54.7,2021-05-28T17:13:11.000,Not Available,Not Available,Not Available,Not Available,0.0,96,Not Available,Not Available,Not Available,Not Available,90.1,36.8,37,Not Available,No,287920.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.817512,5587102.4,Not Available,Not Available,5562314.5,Not Available,Not Available,Existing,102100.0,Not Available,Not Available,No,Not Available,-73.898212,Not Available
1633774,70 Ocean Parkway,22491.99978,04/12/2021 02:50 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60000,Not Available,Not Available,Not Available,3053190001,0,112.4,2021-05-28T17:11:52.000,Not Available,Not Available,Not Available,Not Available,0.0,75,Not Available,Not Available,Not Available,Not Available,Not Available,64.2,68.5,Not Available,No,407597.5,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.648884,6742355.4,Not Available,Not Available,6501282.3,Not Available,Not Available,Existing,60000.0,Not Available,Not Available,No,Not Available,-73.975607,Not Available
1634069,116-01 Guy Brewer Boulevard,29077.00057,04/12/2021 02:53 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,197423,Not Available,Not Available,Not Available,4123350049,0,148.1,2021-05-28T17:11:52.000,Not Available,Not Available,Not Available,Not Available,0.0,21,Not Available,Not Available,Not Available,Not Available,804.9,62.8,63.9,Not Available,No,2683199.6,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.686329,29246754.1,Not Available,Not Available,29035754.2,Not Available,Not Available,Existing,197423.0,Not Available,Not Available,No,Not Available,-73.784216,Not Available
1634533,33-09 35th Avenue,60437.99711,04/12/2021 02:42 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,126125,Not Available,Not Available,Not Available,4006100001,0,113.9,2021-05-28T17:13:30.000,Not Available,Not Available,Not Available,Not Available,0.0,59,Not Available,Not Available,Not Available,Not Available,Not Available,70.2,77.4,Not Available,No,690799.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.757309,14359864.6,Not Available,Not Available,13408915.4,Not Available,Not Available,Existing,126125.0,Not Available,Not Available,No,Not Available,-73.926733,Not Available
1633150,101 Park Avenue,50986.99875,04/12/2021 02:50 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,166800,Not Available,Not Available,Not Available,3020280001,0,63.3,2021-05-28T17:12:14.000,Not Available,Not Available,Not Available,Not Available,0.0,95,Not Available,Not Available,Not Available,Not Available,Not Available,41.7,41.7,Not Available,No,545599.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.696324,10566079.2,Not Available,Not Available,10566079.2,Not Available,Not Available,Existing,166800.0,Not Available,Not Available,No,Not Available,-73.97578,Not Available
1634442,195 Sanford Street,43570.9998,04/12/2021 02:50 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96000,Not Available,Not Available,Not Available,3017650015,0,96.8,2021-05-28T17:12:17.000,Not Available,Not Available,Not Available,Not Available,0.0,74,Not Available,Not Available,Not Available,Not Available,Not Available,66.2,72,Not Available,No,347600.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.693018,9297111.7,Not Available,Not Available,8717989.0,Not Available,Not Available,Existing,96000.0,Not Available,Not Available,No,Not Available,-73.953034,Not Available
1836733,1401 Emmons Avenue,42852.00001,04/12/2021 02:50 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,170400,Not Available,Not Available,Not Available,3087670026,0,63.7,2021-05-28T17:12:04.000,Not Available,Not Available,Not Available,Not Available,0.0,93,Not Available,Not Available,Not Available,Not Available,482.7,37.5,40,Not Available,No,618399.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.583125,10858134.2,Not Available,Not Available,10407406.1,Not Available,Not Available,Existing,170400.0,Not Available,Not Available,No,Not Available,-73.954037,Not Available
1634431,350 Gerard Avenue,27189.00014,04/12/2021 02:33 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,126600,Not Available,Not Available,Not Available,2023440096,0,108.2,2021-05-28T17:12:28.000,Not Available,Not Available,Not Available,Not Available,0.0,80,Not Available,Not Available,Not Available,Not Available,355.3,48.6,57.3,Not Available,No,1019556.4,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.815938,13701130.9,Not Available,Not Available,12484874.5,Not Available,Not Available,Existing,126600.0,Not Available,Not Available,No,Not Available,-73.930386,Not Available
1634004,1137 Herkimer Street,466.0000194,04/12/2021 02:50 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,228000,Not Available,Not Available,Not Available,3015500001,0,55.6,2021-05-28T17:11:51.000,Not Available,Not Available,Not Available,Not Available,0.0,98,Not Available,Not Available,Not Available,Not Available,85.4,35.1,38.2,Not Available,No,632799.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.677805,12669239.7,Not Available,Not Available,11940323.7,Not Available,Not Available,Existing,228000.0,Not Available,Not Available,No,Not Available,-73.915843,Not Available
1633869,1375 kace Avenue,22250.99697,04/12/2021 02:33 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,55080,Not Available,Not Available,Not Available,2044740001,0,109.6,2021-05-28T17:13:01.000,Not Available,Not Available,Not Available,Not Available,0.0,75,Not Available,Not Available,Not Available,Not Available,Not Available,69.3,75,Not Available,No,289120.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.862839,6037852.4,Not Available,Not Available,5712320.8,Not Available,Not Available,Existing,55080.0,Not Available,Not Available,No,Not Available,-73.846791,Not Available
1633324,5010 6th Avenue,37329.99731,04/12/2021 02:50 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,114000,Not Available,Not Available,Not Available,3007920026,0,90,2021-05-28T17:12:11.000,Not Available,Not Available,Not Available,Not Available,0.0,82,Not Available,Not Available,Not Available,Not Available,64.3,55.4,59.5,Not Available,No,529759.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.64366,10259265.1,Not Available,Not Available,9761571.4,Not Available,Not Available,Existing,114000.0,Not Available,Not Available,No,Not Available,-74.008252,Not Available
