block,owner_s__phone__,special_dist_name,professional_cert,efiling_filed,sign_height_roof,job_status_descrp,community___board,fully_permitted,non_profit,zoning_distr_2,zoning_distr_3,zoning_distr_1,approved
5709,7187865555,,Y,Y,0,PRE-FILING                              ,208,,,,,R6          ,
2980,7189258200,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,203,2017-08-17T00:00:00.000,,,,R7-1        ,2017-08-17T00:00:00.000
12700,5164727880,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,412,2017-10-10T00:00:00.000,,,,M1-1        ,2017-10-10T00:00:00.000
1544,6179826962,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,502,2017-10-12T00:00:00.000,,,,R3-2        ,2017-10-12T00:00:00.000
2014,2128046600,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,110,2017-09-25T00:00:00.000,,,,C8-3        ,2017-09-25T00:00:00.000
7104,6172919287,OP    ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,315,2017-08-17T00:00:00.000,,,,R4          ,2017-08-17T00:00:00.000
1185,7183358600,,,Y,456,APPLICATION PROCESSED - ENTIRE          ,402,,,,,M1-1        ,
2550,9174177511,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,201,2017-10-13T00:00:00.000,,,,R6          ,2017-10-13T00:00:00.000
2091,9012083435,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,406,2017-09-07T00:00:00.000,,,,C4-2        ,2017-09-07T00:00:00.000
508,2126446147,,Y,Y,246,PLAN EXAM - APPROVED                    ,306,,,,,M1-1        ,2017-08-11T00:00:00.000
1858,6306237667,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,303,2017-09-13T00:00:00.000,,R6A         ,,R7D         ,2017-09-13T00:00:00.000
8790,7187669155,,Y,Y,0,PLAN EXAM - DISAPPROVED                 ,413,,,R2A         ,,R3-2        ,
6731,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,407,,,R4-1        ,,R5B         ,
1455,7183420637,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,316,,,,,M1-1        ,
5547,7182321250,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,311,,,R5          ,,C4-2        ,
813,9089381056,MID   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-09-11T00:00:00.000,,,,C6-6        ,2017-09-11T00:00:00.000
3814,9172619019,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,209,2017-09-11T00:00:00.000,,,,R5          ,2017-09-11T00:00:00.000
3880,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,209,,,,,R5          ,
8274,5162489006,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,411,,,R1-2        ,,R4          ,
5419,9173865986,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,407,2017-08-29T00:00:00.000,,,,R5B         ,2017-08-29T00:00:00.000
5272,9176625746,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,407,2017-08-02T00:00:00.000,,R5B         ,,R1-2A       ,2017-08-02T00:00:00.000
6731,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,407,,,R4-1        ,,R5B         ,
12116,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,412,,,,,R3-2        ,
7474,7185750045,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,411,2017-08-17T00:00:00.000,,,,R6B         ,2017-08-17T00:00:00.000
