gispropnum,gisobjid,global_id,pip_ratabl,department,commission,eapply,parentid
M344,100004784,{48CF5D4C-74BB-4F63-824C-A3C0B148C8A3},No,M-11,20100106000000.0,Humacao Community Garden,M-11
Q400,100000418,{80EE6F41-8ECE-40CB-AB06-819401523580},Yes,Q-07A,20110712000000.0,Oakland Gardens,Q-11
M042,100004337,{B2B11A75-EF65-4990-B9C7-C19591B33336},No,M-12,20100106000000.0,Inwood Hill Park,M-12
M122,100003898,{7CBED419-691D-4396-82C5-73DB064A4C5F},Yes,M-03,20100106000000.0,Captain Jacob Joseph Playground,M-03
B367,100004252,{01AD13F4-0459-44AD-976B-9A84F11D1D1D},Yes,B-16,20100106000000.0,Livonia Park,B-16
M069,100004938,{1AED20BF-2B18-478B-BB2D-4CEFA85683C7},Yes,M-02,20100106000000.0,Vesuvio Playground,M-02
X142,100004035,{F883B0AA-D83C-481C-AA13-261DA55C619B},No,X-08,20100106000000.0,Riverdale Park,X-08
B058,100004428,{844F730C-7ED2-46FD-B641-9411AB7281F4},No,B-01,20100106000000.0,McCarren Park,B-01
B223DB,100003868,{72DC02CD-A45B-4DAA-BA5E-3F274D2208FB},No,B-02,20100106000000.0,Brooklyn Heights Promenade,B-02
B202,100004088,{F4E5500C-9BCF-45ED-B14D-094952BD6E80},Yes,B-01,20100106000000.0,Lithuania Square,B-01
B246,100004184,{0374C559-56ED-4988-BA55-62CAE46E2A97},Yes,B-05,20100106000000.0,Jerome Playground (PS 273),B-05
B111A,100003913,{8842C92B-92E3-49EB-99E4-61493E957B92},Yes,B-06,20100106000000.0,JHS 51 JOP,B-06
M361,100003808,{78B799A1-4216-4643-AD02-B5E98A723324},No,M-03,20100106000000.0,Lower East Side Ecology Center,M-03
B223IB,100004193,{8CC7B469-8879-476E-9334-540B312FB426},Yes,B-02,20100106000000.0,Bar and Grill Park,B-02
M059,100004741,{FA432DB3-2C80-4B4D-B8B4-C8C3211EBCB2},Yes,M-06,20100106000000.0,Murphys Brothers Playground,M-06
X148F4,100005065,{238EEEB3-F7B5-4CC0-8E22-C42D4602A6B4},No,X-06,20100106000000.0,Park,X-06
M323,100003900,{4D71EF50-63FA-4C6D-B831-1EBF5905CB69},No,M-11,20100106000000.0,Diamante Garden,M-11
B245,100004071,{A168DC36-25D9-4480-8304-6FE3EF78070C},Yes,B-08,20100106000000.0,St. John's Park,B-08
B324,100004147,{15373BE7-0EF4-4B2F-96BC-B4DEF766450E},Yes,B-18,20100106000000.0,Jacob Joffe Fields,B-18
B371,100004750,{DF9E1D08-7B54-43BA-8C68-1309EE96FC89},Yes,B-05,20100106000000.0,Spring Creek Park,B-05
B297,100004017,{3D60D1B7-D2D6-4408-9301-BDF84926E5A0},Yes,B-12,20100106000000.0,Albemarle Playground (PS 230),B-12
B582,100024481,{B687C2C5-C8E0-4125-9E3C-18E61DE3771D},,B-02,,,B-02
B261,100004726,{B4CCAF22-EF33-4A8E-8839-20BBBC7AD72A},Yes,B-05,20100106000000.0,Sankofa Park,B-05
Q262,100000376,{178C3F6A-2C23-417C-A965-1A17FE90B1C7},Yes,Q-11,,Alameda Malls,Q-11
X299,100005126,{613BAD36-6429-453E-BE92-1E8A6FC281AF},Yes,X-03,20100106000000.0,Little Claremont Playgound,X-03
X141,100004608,{C1C8959D-31C9-41A4-9B82-E9DA37028410},Yes,X-12,20100106000000.0,Rienzi Playground,X-12
M103,100003961,{13E74215-EA2C-49C5-A7CB-E8CAD9176128},No,M-02,20100106000000.0,Tony Dapolito Recreation Center,M-02
M212,100004584,{48BA5EE8-EFF2-4AAB-BE2D-8B54E794193A},Yes,M-01,20100106000000.0,The Queen Elizabeth II September 11th Garden,M-01
X331,100004037,{851E032C-7A4D-47FC-9AD8-2D18BF5160D3},No,X-05,20100106000000.0,Townsend Garden,X-05
Q096,100000385,{F9FD25ED-3B64-4849-A637-79D12F811721},No,Q-10,,Southern Parkway,Q-10
B032,100004617,{5213D76F-C703-4A7D-AE7A-4EC4A2A367E1},No,B-02,20100106000000.0,Fort Greene Park,B-02
Q003,100000390,{D98C037F-2A67-4F5A-AE1D-6F201ECC68B2},Yes,Q-12,20090423000000.0,Ashmead Mall,Q-12
R099,100003818,{03E73453-B96F-4321-96CE-D24C3DD0C9A3},Yes,R-03,20100106000000.0,Park,R-03
M019,100004339,{EB9D4A5D-B3E5-4BFE-AB58-7F305BDF29EF},Yes,M-03,20100106000000.0,Coleman Playground,M-03
M161,100004217,{83DDB79F-F603-424C-A7CF-264D2E08AC6F},Yes,M-04,20100106000000.0,McCaffrey Playground,M-04
B090,100003875,{B5F9F939-D8BC-4EEF-849A-0ED264E1173D},Yes,B-01,20100106000000.0,Sobel Playground,B-01
M195,100004373,{3E48CA9D-4DF3-4A9D-9006-1097BFB0CFCC},Yes,M-03,20100106000000.0,Sidney Hillman Playground,M-03
Q338,100000273,{F1338440-ED4E-4171-AA19-C95C052F4A87},Yes,Q-11,,Sy Seplowe Playground,Q-11
B135,100003859,{9720118A-2A68-4CD0-8388-0AFDA7843B72},Yes,B-01,20100106000000.0,Newtown Barge Playground,B-01
X071,100004029,{093F60F6-A96A-4EE0-816F-CD212B5ED496},Yes,X-06,20100106000000.0,Whalen Grove,X-06
B438,100004001,{6B0567EC-26F8-439A-AE94-B2AAC839B4F3},No,B-16,20100106000000.0,700 Decatur St Block Association,B-16
M308,100004773,{0EE9A179-AAE2-452B-9819-2E93EC8C2A13},Yes,M-01,20100106000000.0,Washington Market Park,M-01
M219,100004668,{BD74FF76-7CF3-456E-8DDC-765D5B50E79C},Yes,M-07,20100106000000.0,Tecumseh Playground,M-07
X148C5,100004942,{676218F5-CD27-434C-A97D-BBA39A0ABA6A},Yes,X-05,20100106000000.0,Jennie Jerome Playground,X-05
X217,100005063,{793BC8CB-8319-42D3-B289-589355D301ED},Yes,X-01,20100106000000.0,Willis Playground,X-01
X343,100004399,{0732CDD5-18A7-438A-B942-ADEEDFC7C5A9},No,X-07,20100106000000.0,Davidson Ave. Community Gardeners Group,X-07
B242,100004207,{2F8DFD83-925F-4265-BC3F-E4C9FF6CA45F},Yes,B-15,20100106000000.0,Meucci Triangle,B-15
X051,100004111,{7B5D536A-422B-494F-B1D9-ED2233C1EC20},Yes,X-05,20100106000000.0,University Woods,X-05
Q095,100000315,{AD3F6CB3-EDFD-4F47-99BE-DEC6100897D4},Yes,Q-10,20090423000000.0,Vito Locascio Field / Loring Field,Q-10
X015,100003884,{878E37E7-8EBC-4F22-807E-EE8054036A5C},Yes,X-02,20100106000000.0,Joseph Rodman Drake Park,X-02
M215,100004363,{7A9F528D-C2ED-4E2E-B26C-3791B0BACB09},Yes,M-11,20100106000000.0,Cherry Tree Park,M-11
Q468,100000263,{63676E72-5A1C-484A-BD8B-9D323E4858FC},No,Q-03,20090423000000.0,Louis Armstrong Community Center,Q-03
M072,100005045,{7DF7CC7E-9717-4314-B32D-6A44E171A621},No,M-14,20100106000000.0,Riverside Park,M-14
Q471,100000265,{906F07E6-3A5C-4FBD-8DD8-636590A2ED0B},No,Q-02,20090423000000.0,Hunter's Point South Park,Q-02
B459,100004635,{522841F1-2688-435B-942F-C95E6D59294F},No,B-09,20100106000000.0,Eern Parkway Coalition,B-09
R109,100004148,{3FBD063C-C8B2-48BB-93D0-31592C3BA4E2},Yes,R-01,20100106000000.0,Cpl. Thompson Park,R-01
M131,100003783,{A34BECC6-00B4-4031-B33D-0E7879BC4DF5},No,M-10,20100106000000.0,Hansborough Recreation Center,M-10
M061,100004139,{6C3BAC26-27B4-40C7-8273-6EFEC9702F39},Yes,M-12,20100106000000.0,Plaza Lafayette,M-12
Q360M,100000461,{FDC80590-FB33-438A-A179-BD4799020F5A},Yes,Q-05,20090423000000.0,Frontera Park,Q-05
Q348,100000369,{F33004AE-5878-4ECC-8476-8B5CA3B76A7E},Yes,Q-06,20090423000000.0,Willow Lake Playground,Q-06
B215,100004542,{367BAF82-747A-46F3-9E74-EA99378D4F2B},Yes,B-03,20100106000000.0,Decatur Playground (PS 35),B-03
Q042,100000301,{F4810079-CBB9-4BE7-BBFA-B3C0C35D5DE5},Yes,Q-07,,Poppenhusen Park,Q-07
M086,100005108,{19D16062-BB0F-4ED8-A495-42D822631BA7},Yes,M-06,20100106000000.0,Stuyvesant Square,M-06
Q133A,100008329,{2F2D1A4B-66AF-4C72-A988-06B954738D16},Yes,Q-13,,Park,Q-13
X247,100004895,{FACE1F9C-558C-442A-B893-ADE2F44C7CC3},Yes,X-02,20100106000000.0,Fox Playground,X-02
X258,100004904,{2021ABB5-509D-4BD8-96F7-77453CD1BEC7},Yes,X-05,20100106000000.0,Cleopatra Playground,X-05
Q317,100000223,{A3A77053-66AC-461F-B112-CFFDF191FF21},Yes,Q-11,20090423000000.0,Tall Oak Playground,Q-11
B021,100004435,{D23C0332-C83C-4375-A9CB-AFEB03C8B3D8},Yes,B-02,20100106000000.0,Commodore Barry Park,B-02
B057,100004993,{6685B699-BE8E-4D7E-A14A-EB608A7D84FC},No,B-18,20100106000000.0,Marine Park,B-18
B267,100004463,{A49EC5BF-12C4-49B4-9830-DF56DCAE48FF},Yes,B-09,20100106000000.0,Winthrop Playground,B-09
Q162H01,100000122,{1BFE5327-5293-466C-B420-F73ED1C6BB3A},No,Q-14,20100106000000.0,Park,Q-14
B368,100003997,{0DCACC5D-2E25-4684-B37C-24A462F3A749},No,B-13,20100106000000.0,Cyclone Site,B-13
Q065,100000322,{3C25B1C4-1112-4186-B116-5F91310BB60C},Yes,Q-02,20090423000000.0,John (Vincent Daniels Jr. Square),Q-02
R038B,100003752,{9A07D0C0-B6D2-4BCA-B7A5-C4D434449616},No,R-02B,20100106000000.0,Park,R-02
M325A,100042710,{69B15308-17B5-4442-AB97-C58D1205DD76},No,M-03,,,M-03
Q096B,100007898,{A7BB8755-91DC-405B-9CB3-7BC56D6E433C},Yes,Q-10,,Southern Fields,Q-10
M067,100004756,{15B072EE-8468-4F73-93BD-83C3BD24356D},Yes,M-03,20100106000000.0,Sophie Irene Loeb,M-03
B223DF,100004438,{733E447E-E98C-4822-9FD9-BD5F02FF2FB7},No,B-02,20100106000000.0,Brooklyn Heights Promenade,B-02
Q454,100000424,{177ABC89-5B49-4989-9288-CA915E5F0F5B},No,Q-13,20090423000000.0,Hook Creek Park,Q-13
R110,100004789,{F68541D4-DAC0-4105-AD2E-B6FB805527E7},Yes,R-03,20100106000000.0,Tottenville Pool,R-03
Q494,100000090,{5F6C6C83-72E4-4EE8-8272-E3D4668B8DD8},Yes,Q-14,,Flight 587 Memorial Park,Q-14
X356,100008351,{7D5FAA1D-FB0A-470F-9BA9-CD533593FD16},No,X-03,20130114000000.0,Little Green Garden,X-03
Q089B,100000190,{DFA16550-4866-43B5-BAA0-7E1DDF7EB582},Yes,Q-07,,Harvey Park,Q-07
B429,100004257,{8AA1C01E-5D4D-4045-9C4B-09BE90FA4DF2},Yes,B-04,20100106000000.0,Hope Ballfields,B-04
X284,100004949,{525982B4-839B-436B-84C5-5B6C8D0B4FAD},Yes,X-02,20100106000000.0,Printer's Park,X-02
M223,100004367,{A73C4DE8-295E-453B-82B1-F931BECBA366},Yes,M-09,20100106000000.0,Jacob H. Schiff Playground,M-09
B448,100004446,{141F2F82-FC62-4BAD-85C5-5BCF39D02A00},No,B-03,20100106000000.0,Cedar Tree Garden,B-03
M060B,100005200,{FF7312B0-C505-40EA-9A80-C586942B091B},No,M-06,20100106000000.0,Park Avenue Malls 34th-39th,M-06
M145,100004104,{64A34F0F-159E-4EEB-A181-B809222BA95D},Yes,M-01,20100106000000.0,Albert Capsouto Park,M-01
X270,100004101,{753DEF5E-1F9D-4E8F-8FC7-45EB5F0055EA},No,X-03,20100106000000.0,Freeman Garden,X-03
B106B,100004250,{BCB65C76-437A-4061-AD75-6DB34AED3DFD},Yes,B-13,20100106000000.0,Lafayette Playground (JOP),B-13
B284,100004737,{62632215-3799-411B-B2AC-32665293F259},Yes,B-09,20100106000000.0,Marc And Jason's Playground (JHS 61),B-09
B346,100004426,{A86FED50-9EFB-43B5-99AD-A6D9DBF78C86},Yes,B-01,20100106000000.0,Ericsson Playground (JHS 126),B-01
B052,100004465,{7F0B42CD-0BB3-4CF1-BA89-E6586431B7D0},Yes,B-10,20100106000000.0,Leif Ericson Park,B-10
Q018,100000295,{C3853538-6469-4F20-9993-6820A50026A8},Yes,Q-02,20090423000000.0,Gordon Triangle,Q-02
B282,100004738,{2712493A-8A66-4A2B-BC9B-FCA2FCB4A634},Yes,B-10,20100106000000.0,Patrick O'Rourke Park (PS 201),B-10
B494,100004618,{85477485-CEC6-4828-AF27-B042E466C59C},No,B-03,20100106000000.0,Vernon Tandt Block Association,B-03
X253,100004813,{0A4EA237-4E52-4AEA-8B1F-A05089FF2FC1},Yes,X-15,20100106000000.0,Ambrosini Field,X-10
Q334,100000454,{72394AC0-7107-4E94-A5B5-F23C993FF86A},Yes,Q-07,,Playground Twenty One,Q-07
M313A,100004783,{64A3BAAD-7B32-4A92-A1BC-94631EEA146B},No,M-03,20100106000000.0,5th St Slope Garden,M-03
B124,100004561,{009A5EBA-1F66-44DE-8156-E70D64179FB5},Yes,B-01,20100106000000.0,William Sheridan Playground (PS 84),B-01
B055,100003863,{9C9563A8-39F5-4CBB-A164-34D22770097D},Yes,B-01,20100106000000.0,Sternberg Park (Lindsey Park),B-01
Q469,100000049,{CDAB8CFB-1E49-4EA2-B355-45FC807C776D},No,Q-14,20090423000000.0,Seagirt Ave Wetlands,Q-14
M368,100004141,{382D02F8-53B0-4215-8546-F6210558AFC4},No,M-09,20100106000000.0,West 111th St. People's Garden,M-09
M225,100004682,{12917FE1-5540-4A53-A3F8-6D0CFAA75B32},Yes,M-11,20100106000000.0,Wagner Playground,M-11
Q069,100000152,{7EE36C46-69A6-4150-941F-6B1A9096E958},Yes,Q-04,20090423000000.0,Middleburgh Triangle,Q-04
X116,100005185,{C81F8FDD-AFD6-4CE8-AC02-DD043066BA6A},Yes,X-02,20100106000000.0,Rev J Polite Playground,X-02
M260,100004218,{7AD20379-1418-479B-A0F0-E0AAED094D75},No,M-04,20100106000000.0,Chelsea Recreation Center,M-04
X237,100005178,{54424293-2244-4D6B-B414-B763830767B0},No,X-04,20100106000000.0,Yankee Stadium Garages/Lots,X-04
X202,100003777,{F5DC90BF-C5AD-46DF-9D55-CA6DB5B0BEFE},Yes,X-08,20100106000000.0,Marble Hill Playground,X-08
Q296,100000450,{96F6BA6B-0EAA-43FC-BDBB-3CDFE09CF97C},Yes,Q-01,20090423000000.0,Playground Thirty Five XXXV,Q-01
M235,100004280,{03F6D229-687D-4750-B62B-9608592B4104},Yes,M-03,20100106000000.0,Sol Lain Plgd,M-03
X030,100005060,{03E888B6-F02C-4FE8-AE1A-29F1095738DC},No,X-04,20100106000000.0,Macombs Dam Park,X-04
X178,100003768,{E4BFEA78-45C1-48EF-8D32-DBC065BB0E9F},Yes,X-11,20100106000000.0,Matthews Muliner Playground,X-11
Q301,100000218,{D82D5FE3-2C46-4C5D-BD1D-8A86E8D116A4},Yes,Q-12,20090423000000.0,Jamaica Playground,Q-12
M326,100003812,{69507217-F9F9-431A-968E-F5AFFC9738A8},No,M-03,20100106000000.0,Liz Christy Garden,M-03
M108Q1,100004685,{D044CB00-EF47-4E4F-B773-86922C3CF06B},No,M-15,20100106000000.0,Andrew Haswell Green Park,M-08
X148C3,100004952,{859EED3E-D77A-4862-8B4B-22007F0C2C2E},Yes,X-04,20100106000000.0,Inwood Park,X-04
B310,100004086,{A9927825-8606-4506-8FE0-28D7C09DCD97},Yes,B-01,20100106000000.0,Bushwick Pool & Playground,B-01
Q446,100000088,{6838B0FF-BA34-48E0-B9D1-583C2BBA4E28},No,Q-14,20090423000000.0,Sorrentino Recreation Center,Q-14
X304,100004687,{BC18FFD7-282C-4521-85E3-5E1007E464D1},No,X-02,,Tiffany Street Pier,X-02
Q096C,100000384,{B5A4B53D-0121-4CE6-A2CE-E129D41542A4},No,Q-13,20090423000000.0,Mentone Playground,Q-13
M044,100003960,{82B6D6BF-3448-44D3-A644-E7B0FD88E332},Yes,M-02,20100106000000.0,Jackson Square,M-02
M177,100003798,{D9009DE5-F827-420C-BA5D-AF30E4DE5970},No,M-08,20100106000000.0,Honey Locust Park,M-08
X313,100004837,{A980BCC2-527D-44AA-9EE4-24F1DA77B3C5},No,X-01,20100106000000.0,El Batey Borincano Garden,X-01
B487,100004641,{15836B1F-DAA6-42E0-AAF1-C728B55CBECB},No,B-16,20100106000000.0,Preston Comm Garden,B-16
X130,100004996,{5C239D74-6D61-4459-BFED-4042A41589C5},Yes,X-04,20100106000000.0,Barry Plaza,X-04
B255D,100003914,{D72DF938-3CC1-4728-87B1-9973B9DC7094},Yes,B-07,20100106000000.0,Park,B-07
Q354,100000233,{FDDAC8EA-F232-4301-A0DD-32D6AEFFB3A7},Yes,Q-08,20090423000000.0,Playground Seventy Five,Q-08
M242,100004567,{1ADEDC5B-CEC7-4A89-95B7-71D51045328A},Yes,M-01,20100106000000.0,Collect Pond Park,M-01
M319A,100004790,{4FDC4495-6538-4F74-AAE3-6C3A7BBE4B1C},No,M-09,20100106000000.0,Sugar Hill Garden,M-09
B384,100003745,{AB462236-C5A9-4606-A1F3-9C5CB782FCDA},Yes,B-18,20100106000000.0,Fresh Creek Nature Preserve,B-18
B077,100004314,{F75E182D-5E88-4682-9DEE-6E7BF00DB3C5},Yes,B-06,20100106000000.0,Coffey Park,B-06
X148J,100004273,{031A69B5-7F3C-42AF-873F-5503D1CB0356},No,X-06,20100106000000.0,Strip,X-06
B234,100004161,{D14B29EA-47A5-41BE-9158-8ADF579A8746},Yes,B-17,20100106000000.0,Tilden Playground,B-17
B239,100003832,{8DD4EA09-C447-41BA-AB77-887C09C99179},Yes,B-15,20100106000000.0,Sheepshead Playground,B-15
Q491,100000473,{DBC7E4C6-93D9-4B40-B941-4BF805B412D0},Yes,Q-01,20090423000000.0,Carlos R. Lillo Park,Q-01
M039,100005175,{CFFF05EE-D571-4BE0-A6E3-2EF0A84B9816},No,M-11,20100106000000.0,Harlem River Park,M-12
X139,100004413,{5FF77CFA-B984-4341-A839-BA1ABE1B0A52},Yes,X-01,20100106000000.0,Gouverneur Morris Triangle,X-01
Q284,100000449,{45B7F06B-C5B9-449F-8533-FCEC089C89F3},Yes,Q-01,20090423000000.0,sixteen Oaks Grove,Q-01
B210D,100003917,{AFB1560F-1E12-4FD8-B2BB-A33AAC692F32},No,B-07,20100106000000.0,Backhoe Gulch,B-07
B047A,100003695,{2F47626E-33F8-4E15-98C3-A5D942B66483},No,Q-05A,20100106000000.0,Highland Park Childrens Garden (BOOKED BY QUEENS),B-05
B465,100004179,{31578C12-2F1F-48E4-BBB7-7853939D864F},No,B-03,20100106000000.0,First Quincy St Block Association,B-03
Q052,100000320,{509727ED-DA77-48AB-AB5F-F5843C36E452},Yes,Q-08,20090423000000.0,Captain Tilly Park,Q-08
B402,100004547,{F821DC99-B2A4-483C-8EA0-08F96BE48184},Yes,B-05,20100106000000.0,George Walker Jr. Park,B-05
X119,100004954,{6F919BCC-66C0-4E08-AC7D-636D8C7521A4},Yes,X-01,20100106000000.0,Alexander's Alley,X-01
B070,100004350,{8461BA59-4FCC-43DE-913E-D8EBC6118380},Yes,B-14,20100106000000.0,Machate Circle,B-14
M001,100004667,{D4618026-3E38-46A3-83F0-C1C87E1E4DF2},Yes,M-02,20100106000000.0,Abingdon Square,M-02
B017,100004622,{FCE52CC2-90EF-4E74-A929-AAFE5F7A332C},Yes,B-04,20100106000000.0,Bushwick Playground,B-04
M276,100005031,{55437A65-B889-4AD5-95F0-E832B459471D},No,M-02,20100106000000.0,The Public Theater,M-02
R171,100042702,{85231BE6-F11A-4645-8354-40F9109136FE},,R-01,,,R-01
R011,100004540,{BF441685-C447-4AAB-8918-5B3CC5287E22},Yes,R-01,20100106000000.0,Hero Park,R-01
X021,100005012,{E848978D-935A-4740-B50B-E3429FD6D481},Yes,X-03,20100106000000.0,Drew Playground,X-03
X174,100004845,{37A31993-CD77-4D82-BBFE-E79B4F5628A3},Yes,X-06,20100106000000.0,Webster Playground,X-06
B151,100004308,{854B2610-8BEC-45F0-A2E6-1CB7438EE555},Yes,B-12,20100106000000.0,Dome Playground,B-12
Q391,100000250,{75534548-BB21-471B-B877-E99EDD3A40A2},Yes,Q-08,,Joseph Austin Playground,Q-08
M108R,100003780,{43F37FE9-AC34-4950-B216-4600CC857381},No,M-06,20100106000000.0,Sutton Place Park,M-06
M279,100004407,{ADD7A5D5-9E7A-48B5-A58B-3B3C7476BAF1},Yes,M-02,20100106000000.0,Juan Pablo Duarte Square,M-02
B545,100008356,{FEFB64B7-E81C-41F8-B16D-E9BE5ACEC1FA},No,B-01,20130114000000.0,Oko Farms Aquaponics Education Garden,B-01
M365,100004274,{1B8D70FD-3188-425A-B51A-B269F0CF5CD4},No,M-10,20100106000000.0,Our Little Green Acre Garden,M-10
Q360D,100000095,{66002C13-7D05-4686-ABC6-20AD4FA4AFA9},No,Q-02,20090423000000.0,Strip,Q-02
X148M1,100005085,{EAEF38D9-A42A-4E9E-A73D-A037EA2B5C7C},Yes,X-09,20100106000000.0,Havemeyer Playground,X-09
X281,100004844,{D0DEB2D8-C8D9-4149-A7FE-A3569F569636},Yes,X-06,20100106000000.0,Stop & Go Playground,X-06
X195E,100008357,{5BF2B2E9-AFA1-411C-A57E-8E10DCC388F1},No,X-09,20140724000000.0,Park,X-09
X349,100003876,{7A10EF3A-3F70-499B-8F21-DADAB024ACFF},No,X-03,20100106000000.0,Jardin de la Roca,X-03
B488,100004021,{A3ED8797-A9F4-4232-8885-DB4170401D4D},No,B-03,20100106000000.0,Red Gate Garden,B-03
B110,100004572,{54760C46-0E6C-4194-9B88-D674341E4FE7},Yes,B-16,20100106000000.0,Marion Hopkinson Playground,B-16
B567,100042694,{AD7B8306-94F6-43E0-A055-F197E875F2FA},,B-03,,,B-03
M211A,100004108,{D5A5D7F8-B604-4C0F-8DBD-BF7360663B64},Yes,M-10,20100106000000.0,St. Nicholas Playground South,M-10
B205,100006886,{295CA01F-561D-4100-B5AD-2D8C23882267},Yes,B-15,20110712000000.0,Corporal Wiltshire Square,B-15
Q355,100000375,{62700020-4840-4F4A-A15A-7D65B9A6A794},Yes,Q-01,20090423000000.0,Strippoli Square,Q-01
Q147,100000389,{E5E28575-D4B9-41E5-99A3-C6FC769A32A1},Yes,Q-09,20090423000000.0,Ruoff Triangle,Q-09
Q411,100000252,{F271B81B-C39A-4432-9A25-AEA6ABEFA518},No,Q-11,,Douglaston Park Golf Course,Q-11
X025,100004697,{59B83AE8-2AB8-4954-B98A-C198C3CDD2F6},Yes,X-09,20100106000000.0,Hugh J. Grant Circle,X-09
B157,100004154,{46D19E85-C8E6-458F-86C0-2C1480AD5BD9},Yes,B-15,20100106000000.0,Kelly Park Playground (PS 255),B-15
Q393H,100000282,{5F73DD18-0906-47A5-8C4D-1BE29CDEC8D6},Yes,Q-03,20090423000000.0,LaGuardia Landing Lights,Q-03
B394,100004883,{32CEAF16-0F33-45C7-9842-C6A55377B2F4},No,B-18,20100106000000.0,Four Sparrow Marsh,B-18
M379,100003805,{4AFACBD3-C30E-4948-BE9B-35EECBA0E49B},Yes,M-01,20100106000000.0,Canal Park,M-01
B391,100003848,{A5D4F820-6198-45E2-AE6A-21A889855209},Yes,B-14,20100106000000.0,Lt. Federico Narvaez Tot Lot,B-14
M108B,100004785,{333D915E-4392-4913-B94A-5B8E9A7AC5B9},No,M-11,20100106000000.0,Park,M-11
X188,100004702,{E33C24CE-ACEB-4018-BAF0-3CE447C8A2AF},Yes,X-12,20100106000000.0,Wakefield Playground,X-12
X314,100004966,{FC3CAC4D-DD4B-489C-BBC8-42B9B7F5A86D},No,X-01,20100106000000.0,Isla Verde Garden,X-01
B159,100004388,{E5888225-F6A3-426B-BCEE-34A6D129668B},Yes,B-08,20100106000000.0,Mount Prospect Park,B-08
B352,100004064,{B451EA54-E79C-4386-961C-BA61E781A5AE},Yes,B-18,20100106000000.0,Curtis Playground,B-18
X180,100003878,{D64911DA-EFF0-4DEE-97CF-450C343363E9},Yes,X-07,20100106000000.0,Whalen Playground,X-07
X148I2,100005071,{62554866-6428-4EF7-96E6-A34EC5933DF3},No,X-06,20100106000000.0,Strip,X-03
B313,100004620,{B9B72EB4-4768-4CA9-B186-E64CF2F0626C},Yes,B-03,20100106000000.0,El Shabazz Playground (PS 262),B-03
X175,100004398,{0D7AF47F-EA00-4F52-A13C-E4055A304862},Yes,X-07,20100106000000.0,Riverbend Playground,X-07
X150D,100003746,{B3571249-2D54-4CA6-81F8-3D31D541FAFA},No,X-07,20100106000000.0,Gasoline Alley,X-07
