property_id,property_name,address_1,percent_of_recs_retained,weather_normalized_site,propane_use_kbtu,electricity_use_grid_purchase,last_modified_date_water,municipally_supplied_potable_1,hospital_general_medical,retail_store_walk_in,weather_normalized_site_energy,national_median_source_eui,fuel_oil_4_use_kbtu,year_built,movie_theater_gross_floor,alert_property_has_no_uses,data_center_it_energy,hotel_worker_density_number,restaurant_worker_density,hospital_general_medical_2,difference_from_national,hospital_general_medical_3,metered_areas_energy,water_use_all_water_sources,weather_normalized_site_1,self_storage_facility_gross,council_district,nyc_building_identification,manufacturing_industrial,avoided_emissions_onsite,green_power_offsite_kwh,data_center_pue,weather_normalized_source_1,financial_office_gross_floor,restaurant_weekly_operating,other_computer_density_number,data_center_ups_output_meter,senior_care_community_living,parent_property_id,estimated_data_flag_fuel_2,hospital_general_medical_7,mailing_center_post_office,hospital_general_medical_11,property_gfa_calculated_2,multifamily_housing_number_2,data_center_it_equipment
1633435,Q238-0400231,88-15 182nd Street,Not Available,3.5,Not Available,2896105.6,Not Available,Not Available,Not Available,Not Available,10770853.3,107.5,7480806.4,1972,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-37.7,Not Available,Whole Building,Not Available,0,Not Available,27.0,4212425,Not Available,Not Available,0,Not Available,16078348.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634115,X193-0200199,1919 Prospect Avenue,Not Available,5.5,Not Available,3949731.3,Not Available,Not Available,Not Available,Not Available,10393366.8,130.3,Not Available,1974,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-35.7,Not Available,Whole Building,Not Available,0,Not Available,17.0,2094582,Not Available,Not Available,0,Not Available,17531256.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1416310,345 Park Ave LP,345 Park Ave,Not Available,18.8,Not Available,118384827.1,04/15/2019 05:16 PM EDT,39526.8,Not Available,Not Available,271056604.6,265.5,Not Available,1969,Not Available,Ok,Uninterruptible Power Supply (UPS) supports only IT Equipment (preferred),Not Available,8.78049,Not Available,7,Not Available,Whole Building,39526.8,0,Not Available,4.0,1036460,Not Available,Not Available,0,Not Available,514786374,10000,119,Not Available,3740228.9,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,47077,Not Available,0
1633730,X198-0200212,1180 Tinton Avenue,Not Available,6.4,Not Available,2675008.1,Not Available,Not Available,Not Available,Not Available,7420946.1,136.8,Not Available,1974,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-26.6,Not Available,Whole Building,Not Available,0,Not Available,17.0,2004869,Not Available,Not Available,0,Not Available,12285572,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634411,X081-0200120,5550 Riverdale Avenue,Not Available,5.8,Not Available,1468661.3,Not Available,Not Available,Not Available,Not Available,5635090,133.2,Not Available,1935,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-15.3,Not Available,Whole Building,Not Available,0.5,Not Available,11.0,2084806,Not Available,Not Available,0,Not Available,8473201.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1407848,Metlife Building,200 Park Ave,Not Available,15.8,Not Available,161546077.8,02/08/2019 11:00 AM EST,Not Available,Not Available,Not Available,382602836.5,191.6,Not Available,1963,Not Available,Ok,Not Available,Not Available,3.06021,Not Available,25,Not Available,Whole Building,Not Available,0,Not Available,4.0,1085735,Not Available,Not Available,0,Not Available,717160696.8,Not Available,85,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,69235,Not Available,Not Available
1634077,R039-0500062,71 Sand Lane,Not Available,6.5,Not Available,1136878.4,Not Available,Not Available,Not Available,Not Available,4299773.3,142.1,Not Available,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-13.3,Not Available,Whole Building,Not Available,0.5,Not Available,50.0,5045488,Not Available,Not Available,0,Not Available,6489719,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633201,Q226-0400249,121-10 Rockaway Boulevard,100,5.8,Not Available,4966567,Not Available,Not Available,Not Available,Not Available,16207602.1,121.5,Not Available,1973,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-15.4,Not Available,Whole Building,Not Available,0.4,Not Available,28.0,4253607,Not Available,72.1,0,Not Available,25636091.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633533,X879-0201209,1122 East 180th Street,Not Available,12.5,Not Available,2968439.6,Not Available,Not Available,Not Available,Not Available,5329873.3,145.5,Not Available,1915,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,7.5,Not Available,Whole Building,Not Available,0.3,Not Available,15.0,2042451,Not Available,Not Available,0,Not Available,10748436.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634723,K909-0301382,561 Grand Avenue,Not Available,7.9,Not Available,2344044,Not Available,Not Available,Not Available,Not Available,3508328.5,144.7,Not Available,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-37.8,Not Available,Whole Building,Not Available,0.1,Not Available,35.0,3027982,Not Available,Not Available,0,Not Available,7741749.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634694,K235-0300240,525 Lenox Road,Not Available,5.7,Not Available,2044470.5,Not Available,Not Available,Not Available,Not Available,8246467.1,99.3,Not Available,1929,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,18.3,Not Available,Whole Building,Not Available,0.5,Not Available,41.0,3107846,Not Available,Not Available,0,Not Available,12197269.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634179,K040-0300062,265 Ralph Avenue,Not Available,4,Not Available,1647996,Not Available,Not Available,Not Available,Not Available,7491794,125.4,5302690.8,1964,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-30.8,Not Available,Whole Building,Not Available,0,Not Available,41.0,3041214,Not Available,Not Available,0,Not Available,10537752.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634107,X137-0200181,22-25 Webster Avenue,Not Available,9.2,Not Available,7476374.4,Not Available,Not Available,Not Available,Not Available,13933033.2,137.7,Not Available,1975,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-15.3,Not Available,Whole Building,Not Available,0.3,Not Available,15.0,2013307,Not Available,Not Available,0,Not Available,27713340,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634755,Q430-0400230,58-20 Utopia Parkway,Not Available,6.1,Not Available,7693172.8,Not Available,Not Available,Not Available,Not Available,21642033.2,147.4,12921278.3,1960,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-34.2,Not Available,Whole Building,Not Available,0,Not Available,20.0,4148763,Not Available,Not Available,0,Not Available,35577856.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633531,X023-0201156,2151 Washington Avenue,Not Available,7.2,Not Available,2281945.6,Not Available,Not Available,Not Available,Not Available,8751223.9,136.6,Not Available,1992,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,6.5,Not Available,Whole Building,Not Available,0.3,Not Available,15.0,2090472,Not Available,Not Available,0,Not Available,12924570.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634275,K987-0301762,1396 Broadway,Not Available,14.8,Not Available,2462099.2,Not Available,Not Available,Not Available,Not Available,5688472.2,143.4,Not Available,1911,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,46.8,Not Available,Whole Building,Not Available,0.7,Not Available,41.0,3039676,Not Available,Not Available,0,Not Available,10258544.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633555,K324-0300122,800 Gates Avenue,100,7.7,Not Available,5410067.1,Not Available,Not Available,Not Available,Not Available,10517394.5,116.4,Not Available,1974,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-15.2,Not Available,Whole Building,Not Available,0,Not Available,36.0,3044657,Not Available,60.9,0,Not Available,20256107.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634506,K505-0300354,5800 20th Avenue,100,2.6,Not Available,3012072.9,Not Available,Not Available,Not Available,Not Available,20678742.8,125.9,15472205,1965,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-40.1,Not Available,Whole Building,Not Available,0,Not Available,44.0,3131537,Not Available,194.5,0,Not Available,26334642.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633589,K288-0300287,2950 West 25th Street,Not Available,4.3,Not Available,1428945.6,Not Available,Not Available,Not Available,Not Available,7088812.3,104.6,Not Available,1961,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-5.2,Not Available,Whole Building,Not Available,0.6,Not Available,47.0,3189538,Not Available,Not Available,0,Not Available,9943907.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633476,M125-0100114,425 West 123rd Street,Not Available,5.6,Not Available,3085812.7,Not Available,Not Available,Not Available,Not Available,15938586.3,127.6,12421694.4,1921,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,3.2,Not Available,Whole Building,Not Available,0,Not Available,7.0,1059526,Not Available,Not Available,0,Not Available,21621628.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633759,K088-0300099,544 7th Avenue,Not Available,4.6,Not Available,2691385.6,Not Available,Not Available,Not Available,Not Available,10371014.2,113.8,Not Available,1966,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-21.8,Not Available,Whole Building,Not Available,0.1,Not Available,38.0,3331276,Not Available,Not Available,0,Not Available,15364812.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634539,Q219-0400187,144-39 Gravett Road,Not Available,5.4,Not Available,2138641.7,Not Available,Not Available,Not Available,Not Available,9508425.4,93.2,7084942,1952,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,22.7,Not Available,Whole Building,Not Available,0,Not Available,24.0,4448708,Not Available,Not Available,0,Not Available,13433826.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1575697,866 UN Plaza,866 UN Plaza,Not Available,13.4,Not Available,17436845.8,04/12/2019 07:58 PM EDT,5897.8,Not Available,Not Available,25432439.8,188.7,Not Available,1966,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-16.9,Not Available,Whole Building,5897.8,Not Available,Not Available,4.0,1040072,Not Available,Not Available,0,Not Available,58153793.3,5484,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,42674,Not Available,Not Available
1634421,X415-0200213,925 Astor Avenue,Not Available,5,Not Available,5407337.7,Not Available,Not Available,Not Available,Not Available,24751552.7,147.6,Not Available,1939,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-24.1,Not Available,Whole Building,Not Available,0.5,Not Available,13.0,2050179,Not Available,Not Available,0,Not Available,35343228.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634157,X167-0200211,1970 West Farms Road,Not Available,5.2,Not Available,3704067.3,Not Available,Not Available,Not Available,Not Available,8193463.2,124.5,Not Available,1972,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-41.6,Not Available,Whole Building,Not Available,0.2,Not Available,17.0,2094603,Not Available,Not Available,0,Not Available,15047640.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634135,M146-0100129,421 East 106th Street,Not Available,4,Not Available,1489269.8,Not Available,Not Available,Not Available,Not Available,4740569.9,113.9,Not Available,1964,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-39.1,Not Available,Whole Building,Not Available,0.3,Not Available,8.0,1052999,Not Available,Not Available,0,Not Available,7583820.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634700,K258-0300262,141 Macon Street,Not Available,4.8,Not Available,2820768.7,Not Available,Not Available,Not Available,Not Available,12396469.6,127.0,8824137.9,1960,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-20.2,Not Available,Whole Building,Not Available,0,Not Available,36.0,3053075,Not Available,Not Available,0,Not Available,17557104.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633429,Q158-0400194,46-35 Oceania Street,Not Available,3.1,Not Available,1727290.9,Not Available,Not Available,Not Available,Not Available,7114562.6,104.2,5205688.5,1956,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-40,Not Available,Whole Building,Not Available,0,Not Available,19.0,4438325,Not Available,Not Available,0,Not Available,10284822.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633028,M022-0100044,111 Columbia Street,100,4.3,Not Available,2635131.2,Not Available,Not Available,Not Available,Not Available,17295302.8,135.3,Not Available,1958,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-0.8,Not Available,Whole Building,Not Available,0,Not Available,2.0,1004070,Not Available,58.8,0,Not Available,24920635.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633419,Q176-0400158,120-45 235th Street,Not Available,9.1,Not Available,4043902.5,Not Available,Not Available,Not Available,Not Available,9857678.4,85.4,4191222.1,1947,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,56.2,Not Available,Whole Building,Not Available,0.1,Not Available,27.0,4276382,Not Available,Not Available,0,Not Available,17260728.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634683,Q136-0400122,201-15 115th Avenue,Not Available,3,Not Available,864737.3,Not Available,Not Available,Not Available,Not Available,4960516.7,91.5,Not Available,1939,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-13.6,Not Available,Whole Building,Not Available,0.4,Not Available,27.0,4236757,Not Available,Not Available,0,Not Available,6687692.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633215,X100-0200142,800 Taylor Avenue,Not Available,3.7,Not Available,1234461.6,Not Available,Not Available,Not Available,Not Available,5214842.1,90.4,3796876,1960,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-16.6,Not Available,Whole Building,Not Available,0,Not Available,18.0,2022550,Not Available,Not Available,0,Not Available,7478443.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633183,Q150-0400137,40-01 43rd Avenue,Not Available,7.7,Not Available,2809850.2,Not Available,Not Available,Not Available,Not Available,9158904.5,134.6,Not Available,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,2.7,Not Available,Whole Building,Not Available,0.6,Not Available,26.0,4002387,Not Available,Not Available,0,Not Available,14372348.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633766,K106-0300116,1328 Putnam Avenue,Not Available,4,Not Available,1375309,Not Available,Not Available,Not Available,Not Available,6466920.2,128.0,Not Available,1893,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-29,Not Available,Whole Building,Not Available,0.4,Not Available,37.0,3077286,Not Available,Not Available,0,Not Available,9138879.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1439975,19 East 57th Street,19E 57th Street,Not Available,Not Available,Not Available,7965588.1,03/27/2019 03:22 PM EDT,2043.7,Not Available,Not Available,Not Available,203.1,Not Available,2001,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,31.3,Not Available,Whole Building,2043.7,Not Available,Not Available,4.0,1086164,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0.63032,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633551,K370-0300110,3000 West 1st Street,Not Available,8.9,Not Available,1639807.2,Not Available,Not Available,Not Available,Not Available,4251970,145.6,Not Available,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-4.6,Not Available,Whole Building,Not Available,0.5,Not Available,48.0,3196587,Not Available,Not Available,0,Not Available,7262130.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634552,Q450-0400220,28-01 41st Avenue,Not Available,5.1,Not Available,2578107.2,Not Available,Not Available,Not Available,Not Available,9654194.8,140.6,6458120.1,1902,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-31.5,Not Available,Whole Building,Not Available,0,Not Available,26.0,4004874,Not Available,Not Available,0,Not Available,14380856.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634325,Q212-0401422,34-85 82nd Street,Not Available,11.4,Not Available,3723174.1,Not Available,Not Available,Not Available,Not Available,7525374.5,121.1,Not Available,1998,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,24.8,Not Available,Whole Building,Not Available,0.3,Not Available,25.0,4437128,Not Available,Not Available,0,Not Available,14360556.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633873,X130-0200173,750 Prospect Avenue,Not Available,4.2,Not Available,1168268.8,Not Available,Not Available,Not Available,Not Available,6593407.7,114.2,5214827.9,1956,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-8.5,Not Available,Whole Building,Not Available,0,Not Available,17.0,2005168,Not Available,Not Available,0,Not Available,8750600.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633948,X655-0200225,445 Southern Boulevard,Not Available,5.4,Not Available,3603072.1,Not Available,Not Available,Not Available,Not Available,13249139.9,138.6,Not Available,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-26,Not Available,Whole Building,Not Available,0.5,Not Available,8.0,2003883,Not Available,Not Available,0,Not Available,20216973.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633956,X003-0201199,2100 Lafontaine Avenue,Not Available,8,Not Available,2619051.2,Not Available,Not Available,Not Available,Not Available,6642333.7,112.6,Not Available,1992,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,5.9,Not Available,Whole Building,Not Available,0.4,Not Available,15.0,2099356,Not Available,Not Available,0,Not Available,11541213.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634685,K217-0300221,1100 Newkirk Avenue,Not Available,9.3,Not Available,4184477.5,Not Available,Not Available,Not Available,Not Available,12236004.6,114.0,Not Available,1924,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,35.8,Not Available,Whole Building,Not Available,0.6,Not Available,40.0,3121072,Not Available,Not Available,0,Not Available,20140280.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634442,K054-0300073,195 Sanford Street,Not Available,4.6,Not Available,1498550.4,Not Available,Not Available,Not Available,Not Available,7927705.1,102.7,Not Available,1925,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,9,Not Available,Whole Building,Not Available,0.6,Not Available,33.0,3049020,Not Available,Not Available,0,Not Available,10916353.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
