bin,geometry,citycouncil,boroughcode
5015169.0,POINT(-74.09100182676453 40.62570560630179),49.0,Staten Island
5056405.0,POINT(-74.11211808489698 40.560553394165126),50.0,Staten Island
5015158.0,POINT(-74.09276597429051 40.62421737574464),49.0,Staten Island
5015239.0,POINT(-74.09125575758118 40.62334045333577),49.0,Staten Island
5021099.0,POINT(-74.13081967432801 40.60130273115864),49.0,Staten Island
5013918.0,POINT(-74.0761430345168 40.62394851353919),49.0,Staten Island
5057127.0,POINT(-74.112579299232 40.55986273088687),50.0,Staten Island
5023879.0,POINT(-74.13065932987487 40.63635625072266),49.0,Staten Island
5055466.0,POINT(-74.11424909633843 40.560785091336726),50.0,Staten Island
3029868.0,POINT(-73.94404777028993 40.67829561612317),36.0,Brooklyn
5015255.0,POINT(-74.08929481590557 40.62266336268375),49.0,Staten Island
3027963.0,POINT(-73.96345779169222 40.679194237035084),35.0,Brooklyn
1051847.0,POINT(-73.9476624254221 40.788713247814194),8.0,Manhattan
5013871.0,POINT(-74.07803985721192 40.624274096545264),49.0,Staten Island
3140613.0,POINT(-74.00286617258807 40.633250318259556),38.0,Brooklyn
5056369.0,POINT(-74.11172833712516 40.56124176331927),50.0,Staten Island
5056436.0,POINT(-74.11206907776545 40.55971206004408),50.0,Staten Island
3393791.0,POINT(-73.98732616767961 40.57643293682527),47.0,Brooklyn
4244091.0,POINT(-73.73136542417802 40.694699957781985),27.0,Queens
4029193.0,POINT(-73.88671119993016 40.75286429642377),25.0,Queens
5011933.0,POINT(-74.13351516400837 40.61816572358147),50.0,Staten Island
1078676.0,POINT(-73.94575547635917 40.782854389267136),5.0,Manhattan
4167924.0,POINT(-73.72637966552335 40.725722061420996),23.0,Queens
5109669.0,POINT(-74.11565516537034 40.5618219225939),50.0,Staten Island
5015160.0,POINT(-74.09218078934276 40.62439744791152),49.0,Staten Island
5056401.0,POINT(-74.11161476890209 40.560284559663465),50.0,Staten Island
3189555.0,POINT(-73.98719179819624 40.57644960060724),47.0,Brooklyn
3233957.0,POINT(-73.88882720460124 40.6398608259614),46.0,Brooklyn
5015171.0,POINT(-74.09092132709631 40.6248058300297),49.0,Staten Island
5015151.0,POINT(-74.09169509898393 40.625112358274706),49.0,Staten Island
5015248.0,POINT(-74.09000883402712 40.62330160827192),49.0,Staten Island
3131460.0,POINT(-73.98742642860137 40.623137766530974),44.0,Brooklyn
4153617.0,POINT(-73.78833526114231 40.73177638047482),24.0,Queens
1048425.0,POINT(-73.9513124377742 40.78437551934636),5.0,Manhattan
4029193.0,POINT(-73.88671235048199 40.75285894243597),25.0,Queens
2059496.0,POINT(-73.85288448063969 40.87904517377986),12.0,Bronx
5055659.0,POINT(-74.11474647942968 40.557612685627944),50.0,Staten Island
5013855.0,POINT(-74.07667458149709 40.624677680131484),49.0,Staten Island
5056439.0,POINT(-74.11235788940606 40.55987559440899),50.0,Staten Island
5013942.0,POINT(-74.07812194962695 40.62397068354871),49.0,Staten Island
5013917.0,POINT(-74.07629802729952 40.623901621230836),49.0,Staten Island
5109686.0,POINT(-74.11715653025122 40.562752019026995),50.0,Staten Island
5052936.0,POINT(-74.08997718855689 40.582971553832174),50.0,Staten Island
5019598.0,POINT(-74.13087135501982 40.60657972580521),49.0,Staten Island
5070816.0,POINT(-74.1567308091018 40.560717508577355),51.0,Staten Island
3170805.0,POINT(-73.97305909118602 40.625771004966325),44.0,Brooklyn
5015169.0,POINT(-74.090977022026 40.626007554727316),49.0,Staten Island
5056433.0,POINT(-74.11167072524742 40.559482531914654),50.0,Staten Island
3222803.0,POINT(-73.91317704487975 40.64115927514249),46.0,Brooklyn
5108841.0,POINT(-74.07749469852463 40.62366409510228),49.0,Staten Island
5109697.0,POINT(-74.11627542676077 40.56364847754312),50.0,Staten Island
4227997.0,POINT(-73.74539068827976 40.72464046108341),23.0,Queens
3105541.0,POINT(-73.92364805512051 40.64662420470818),45.0,Brooklyn
3110172.0,POINT(-73.94446204430143 40.647237603159404),45.0,Brooklyn
5109684.0,POINT(-74.11701627790907 40.56289512596031),50.0,Staten Island
3032095.0,POINT(-73.94084483168803 40.671487253727946),35.0,Brooklyn
5109714.0,POINT(-74.11567069226828 40.562669533812745),50.0,Staten Island
1006266.0,POINT(-73.9875621938607 40.727686715521195),2.0,Manhattan
5023457.0,POINT(-74.12101506641781 40.577161343910554),50.0,Staten Island
5043066.0,POINT(-74.06369540269353 40.61060621889969),49.0,Staten Island
4230232.0,POINT(-73.73312480220066 40.72226391932646),23.0,Queens
5056368.0,POINT(-74.11163374314789 40.56118764988698),50.0,Staten Island
5015243.0,POINT(-74.09148027469415 40.62210244322464),49.0,Staten Island
5023885.0,POINT(-74.13080085346633 40.6362919692377),49.0,Staten Island
5055488.0,POINT(-74.11378898799924 40.56142141695648),50.0,Staten Island
5053732.0,POINT(-74.08818274000957 40.582491651858284),50.0,Staten Island
5015224.0,POINT(-74.0930718098843 40.62326462730127),49.0,Staten Island
5015237.0,POINT(-74.09203444151532 40.6230938740359),49.0,Staten Island
5013874.0,POINT(-74.07785906940305 40.62421144459393),49.0,Staten Island
3027314.0,POINT(-73.97952347192481 40.6587302012652),39.0,Brooklyn
4276713.0,POINT(-73.73309007680625 40.68443812469155),31.0,Queens
5109686.0,POINT(-74.1172106478575 40.562880626747884),50.0,Staten Island
4270560.0,POINT(-73.76435569537516 40.677207884856706),27.0,Queens
3016709.0,POINT(-73.9783115268739 40.65593169295976),39.0,Brooklyn
2054854.0,POINT(-73.86519923297631 40.86888935130807),15.0,Bronx
4152936.0,POINT(-73.79243849519031 40.73624349134276),24.0,Queens
5015248.0,POINT(-74.08982727831703 40.62330881639884),49.0,Staten Island
5013907.0,POINT(-74.07760645463881 40.62351294865837),49.0,Staten Island
3175061.0,POINT(-73.9660358991549 40.60966342347029),44.0,Brooklyn
4219434.0,POINT(-73.77474420048424 40.69451087753969),27.0,Queens
5113449.0,POINT(-74.11684809674038 40.56221414987559),50.0,Staten Island
5049929.0,POINT(-74.08733060421615 40.58762239494259),50.0,Staten Island
5015257.0,POINT(-74.09120383993073 40.62225623515863),49.0,Staten Island
4092481.0,POINT(-73.86429322342092 40.70956987451068),30.0,Queens
,POINT(-74.08996282430677 40.58281586268223),,Staten Island
5015195.0,POINT(-74.09044059321049 40.6234161515629),49.0,Staten Island
5013916.0,POINT(-74.07638666465347 40.62387429000607),49.0,Staten Island
5023892.0,POINT(-74.13117963184371 40.63580033923249),49.0,Staten Island
4233055.0,POINT(-73.7591370848423 40.707278254215794),27.0,Queens
,POINT(-74.08957672426676 40.58261899598045),,Staten Island
5109685.0,POINT(-74.11708012263665 40.56282953258122),50.0,Staten Island
5042868.0,POINT(-74.07025174676102 40.61109963323019),49.0,Staten Island
3393503.0,POINT(-73.96224378715249 40.67443275690288),35.0,Brooklyn
5108842.0,POINT(-74.07778331831345 40.62367801528093),49.0,Staten Island
5015150.0,POINT(-74.09159049231181 40.625222638761386),49.0,Staten Island
5105551.0,POINT(-74.11388880536576 40.56253934633367),50.0,Staten Island
5056370.0,POINT(-74.11192221318939 40.56134998480977),50.0,Staten Island
5009003.0,POINT(-74.11493980623675 40.61583991757071),50.0,Staten Island
3154509.0,POINT(-74.03296447103169 40.62081082989),43.0,Brooklyn
1061650.0,POINT(-73.94361240849614 40.83018742709317),7.0,Manhattan
5015236.0,POINT(-74.09205818858239 40.62292985024083),49.0,Staten Island
,POINT(-74.08966133819415 40.58288042968019),,Staten Island
2053793.0,POINT(-73.86245008198324 40.86697541467464),13.0,Bronx
1090330.0,POINT(-73.94616631506354 40.83116410964076),7.0,Manhattan
3185270.0,POINT(-73.98710341504245 40.5989008985326),47.0,Brooklyn
5055446.0,POINT(-74.1135353844485 40.56022999226322),50.0,Staten Island
5013885.0,POINT(-74.07640469643003 40.62463593311855),49.0,Staten Island
5108839.0,POINT(-74.0774464384356 40.62433145054399),49.0,Staten Island
4230326.0,POINT(-73.73155371482777 40.72332124902601),23.0,Queens
5013943.0,POINT(-74.07808199214999 40.6238956577934),49.0,Staten Island
3021929.0,POINT(-73.98519969028348 40.66954403661966),39.0,Brooklyn
5052865.0,POINT(-74.11108904063052 40.57198350711127),50.0,Staten Island
5056937.0,POINT(-74.10144833894095 40.562752387776776),50.0,Staten Island
4065090.0,POINT(-73.87652978632028 40.73342064961561),25.0,Queens
5015149.0,POINT(-74.09152257935428 40.625296554049314),49.0,Staten Island
5055439.0,POINT(-74.11307283165573 40.56098669565446),50.0,Staten Island
5055513.0,POINT(-74.11681879161476 40.56019488615051),50.0,Staten Island
5056428.0,POINT(-74.11109848396951 40.55915428152876),50.0,Staten Island
5154809.0,POINT(-74.21072526868942 40.53683159117058),51.0,Staten Island
5015236.0,POINT(-74.09205029715615 40.622998299104275),49.0,Staten Island
5034766.0,POINT(-74.15587582148791 40.59563034679631),50.0,Staten Island
5109646.0,POINT(-74.11666436804138 40.56210830865678),50.0,Staten Island
5055463.0,POINT(-74.11460795276481 40.5609997679174),50.0,Staten Island
5056435.0,POINT(-74.11197718276206 40.55965939271478),50.0,Staten Island
4111336.0,POINT(-73.79761247214171 40.77200377307355),19.0,Queens
5056300.0,POINT(-74.11253923258633 40.560659606125796),50.0,Staten Island
4077143.0,POINT(-73.85193921399141 40.71268366681918),29.0,Queens
5013941.0,POINT(-74.07817052931681 40.624065360139056),49.0,Staten Island
5109656.0,POINT(-74.11575219536448 40.56125088274422),50.0,Staten Island
5055457.0,POINT(-74.11478620974388 40.56098415321239),50.0,Staten Island
5015256.0,POINT(-74.08861409263555 40.62274940741671),49.0,Staten Island
2058870.0,POINT(-73.85840319503744 40.879058184144554),12.0,Bronx
2021957.0,POINT(-73.84752154621762 40.8211907854149),18.0,Bronx
5013919.0,POINT(-74.0760720470924 40.62394830835552),49.0,Staten Island
5055580.0,POINT(-74.11597318075427 40.559425552307154),50.0,Staten Island
5055412.0,POINT(-74.11516337227225 40.561628760151564),50.0,Staten Island
5013946.0,POINT(-74.07795398634215 40.6235991207251),49.0,Staten Island
5148450.0,POINT(-74.16732107828027 40.559334842621475),51.0,Staten Island
1081585.0,POINT(-73.9642220741798 40.79897007646386),7.0,Manhattan
1032669.0,POINT(-73.97755665357643 40.78448682967392),6.0,Manhattan
5055475.0,POINT(-74.11360346244462 40.56117320964678),50.0,Staten Island
3034915.0,POINT(-73.95851761810482 40.66193926498061),40.0,Brooklyn
2004751.0,POINT(-73.90048942534561 40.83090118614226),17.0,Bronx
5056335.0,POINT(-74.10886325833478 40.55963295178445),50.0,Staten Island
5055666.0,POINT(-74.11437532677006 40.55833203030609),50.0,Staten Island
5013931.0,POINT(-74.07832725929552 40.624202827572425),49.0,Staten Island
5015255.0,POINT(-74.08934073498807 40.622514097213475),49.0,Staten Island
5074983.0,POINT(-74.17464095632427 40.546368951439305),51.0,Staten Island
5057278.0,POINT(-74.12097976296101 40.57447104552291),50.0,Staten Island
5117995.0,POINT(-74.22903898315872 40.50879026362742),51.0,Staten Island
5052936.0,POINT(-74.09003257459432 40.582907179689016),50.0,Staten Island
2086313.0,POINT(-73.90721174837822 40.90480157350678),11.0,Bronx
5055459.0,POINT(-74.11501097875438 40.56111934182522),50.0,Staten Island
5056437.0,POINT(-74.11215697585428 40.559760232574014),50.0,Staten Island
5015203.0,POINT(-74.09287674424463 40.62407744658287),49.0,Staten Island
5109716.0,POINT(-74.11580636748741 40.562539542460506),50.0,Staten Island
5070260.0,POINT(-74.15325547893293 40.551969138825505),51.0,Staten Island
3112708.0,POINT(-73.93789425172587 40.639669330061984),45.0,Brooklyn
3164716.0,POINT(-73.99446211479894 40.605958914067905),47.0,Brooklyn
,POINT(-74.08969346070839 40.5829477140464),,Staten Island
3032045.0,POINT(-73.94205282678769 40.67180199561143),35.0,Brooklyn
4133730.0,POINT(-73.77808553520657 40.77524965745497),19.0,Queens
4234460.0,POINT(-73.76552674365446 40.701931379259086),27.0,Queens
1059153.0,POINT(-73.95465453005639 40.80816289798682),9.0,Manhattan
5015198.0,POINT(-74.09358740170056 40.62424963606798),49.0,Staten Island
5013862.0,POINT(-74.07726539433347 40.62450216116115),49.0,Staten Island
4188850.0,POINT(-73.85719248700684 40.68034959011735),32.0,Queens
5053746.0,POINT(-74.08803298176082 40.58208671721023),50.0,Staten Island
4269059.0,POINT(-73.76168060087144 40.687240274314895),27.0,Queens
,POINT(-74.09002068021498 40.582846196048585),,Staten Island
5055445.0,POINT(-74.11334368749971 40.56004024533967),50.0,Staten Island
5056409.0,POINT(-74.11226483731464 40.56050619334323),50.0,Staten Island
5015212.0,POINT(-74.09119716037509 40.62434808617988),49.0,Staten Island
4190205.0,POINT(-73.85287876894496 40.67822801614558),32.0,Queens
1090263.0,POINT(-73.99758223694114 40.725976648323545),1.0,Manhattan
3067564.0,POINT(-73.94788648453375 40.72148877788772),33.0,Brooklyn
5056431.0,POINT(-74.11146887573778 40.55936919236614),50.0,Staten Island
