refno,int_c_code,adjtypecd,c_code,empname-db_entity_start
R0053136,,,IND,"CUNY-8/31/2016""  ""12\:00\:00 AM"
R0047621,,,IND,"YorkGroup Associates, LLC-2/11/2011""  ""12\:00\:00 AM"
R0055793,,,IND,"NYSNA-5/25/2011""  ""12\:00\:00 AM"
R0021959,,,IND,"RENAISSANCE REALTY GROUP LLC-8/31/2014""  ""12\:00\:00 AM"
R0002916,,,IND,WHEDCO-nan
R0049420,,,IND,"Riders Alliance-1/1/2013""  ""12\:00\:00 AM"
R0044108,,2.0,IND,nan-nan
R0043295,,,IND,"Pryor Cashman Sherman-5/16/2009""  ""12\:00\:00 AM"
R0003492,IND,,IND,"afd contract-5/31/2014""  ""12\:00\:00 AM"
R0053877,,,IND,"Beyer Blinder Belle-10/31/2014""  ""12\:00\:00 AM"
R0088479,,,IND,"Svam International-2/2/2008""  ""12\:00\:00 AM"
R0015630,,2.0,IND,nan-nan
R0057743,,2.0,IND,nan-nan
R0019952,,2.0,IND,nan-nan
R0085869,,,IND,"NYC Board of Education-12/1/2013""  ""12\:00\:00 AM"
R0050395,,,IND,"Forest City Ratner-7/1/2014""  ""12\:00\:00 AM"
R0083242,,,IND,"Not employed-12/1/2014""  ""12\:00\:00 AM"
R0046969,,,IND,"Crystal Windows-7/31/2008""  ""12\:00\:00 AM"
R0003553,IND,,IND,"afd contract-5/31/2014""  ""12\:00\:00 AM"
R0048442,,,IND,"LitLife, Inc.-2/21/2012""  ""12\:00\:00 AM"
R0050987,,,IND,"Encore Community Services-2/2/2008""  ""12\:00\:00 AM"
R0013166,IND,,IND,CIEN +-nan
R0068154,,,IND,"Park Strategies-5/16/2009""  ""12\:00\:00 AM"
R0019264,,,IND,"LEMLE & WOLFF INC-3/31/2016""  ""12\:00\:00 AM"
R0045888,,,IND,"Con Edision-10/1/2015""  ""12\:00\:00 AM"
R0047955,IND,,IND,"Con Edison-10/1/2015""  ""12\:00\:00 AM"
R0073200,,,IND,"Encore Community Services-2/2/2008""  ""12\:00\:00 AM"
R0073458,,,IND,"Maspeth Town Hall-12/3/2008""  ""12\:00\:00 AM"
R0086832,,,IND,"Coalition for Hispanic Family-2/2/2008""  ""12\:00\:00 AM"
R0057857,,,IND,"Waterfront Alliance-5/1/2013""  ""12\:00\:00 AM"
R0072421,,,IND,"Green Taurig-5/16/2009""  ""12\:00\:00 AM"
R0051522,,,IND,"Jonathan Rose Corp-12/1/2012""  ""12\:00\:00 AM"
R0044090,,,IND,"Red Apple Group-1/29/2015""  ""12\:00\:00 AM"
R0017746,,,IND,"ISJ MANAGEMENT-11/18/2015""  ""12\:00\:00 AM"
R0011338,,,IND,"Self-11/30/2014""  ""12\:00\:00 AM"
R0073889,,,IND,"Bradford Construction-5/1/2012""  ""12\:00\:00 AM"
R0051133,,,IND,"H+H-2/2/2008""  ""12\:00\:00 AM"
R0000309,,,IND,"Church at the Gateway-8/31/2014""  ""12\:00\:00 AM"
R0071758,,,IND,"Self-10/31/2015""  ""12\:00\:00 AM"
R0044115,,2.0,IND,nan-nan
R0023095,,,IND,"ARROWSMITH LLC-9/1/2009""  ""12\:00\:00 AM"
R0043519,,,IND,"Forest City Ratner Companies-5/16/2009""  ""12\:00\:00 AM"
R0008567,,2.0,IND,nan-nan
R0055603,,,IND,"Arnell Const Corp-2/2/2008""  ""12\:00\:00 AM"
R0081990,,,IND,"Not Employed-7/1/2012""  ""12\:00\:00 AM"
R0078573,,,IND,"City of New York-1/29/2013""  ""12\:00\:00 AM"
R0079855,,,IND,"The New School-8/1/2016""  ""12\:00\:00 AM"
R0002974,,2.0,IND,nan-nan
R0072706,,,IND,"NYCAASA-6/8/2008""  ""12\:00\:00 AM"
R0047401,,,IND,"First Madison Park-10/1/2015""  ""12\:00\:00 AM"
R0002225,IND,,IND,"Alchemy ABR Investment Partner-10/1/2015""  ""12\:00\:00 AM"
R0088485,,,IND,"Svam International-2/2/2008""  ""12\:00\:00 AM"
R0080755,,2.0,IND,nan-nan
R0078974,,,IND,"NY Lawyers of Public Interest-8/3/2016""  ""12\:00\:00 AM"
R0047860,,,IND,"CCS-9/12/2015""  ""12\:00\:00 AM"
R0078626,,,IND,"Bushwick Economic Development-2/2/2008""  ""12\:00\:00 AM"
R0051448,,,IND,"Global Futures Group LLC-7/31/2008""  ""12\:00\:00 AM"
R0002688,,,IND,"ACO Programs for the Homeless-8/1/2015""  ""12\:00\:00 AM"
R0000460,,,IND,"Tenement Museum-7/31/2008""  ""12\:00\:00 AM"
R0078799,,,IND,"A Better Jamaica Inc.-8/3/2016""  ""12\:00\:00 AM"
R0085740,,,IND,Omni New York-nan
R0006847,IND,,IND,"Self-2/11/2016""  ""12\:00\:00 AM"
R0001397,IND,,IND,"S. Katzman Produce-12/3/2008""  ""12\:00\:00 AM"
R0000148,,,IND,"self-employed-10/31/2013""  ""12\:00\:00 AM"
R0003509,,2.0,IND,nan-nan
R0000944,,,IND,"Structure Tone-4/16/2010""  ""12\:00\:00 AM"
R0076956,,,IND,"Asphalt Green-8/1/2008""  ""12\:00\:00 AM"
R0049495,,,IND,"ExpandED Schools-7/1/2014""  ""12\:00\:00 AM"
R0067464,,,IND,"God's Battalion of Prayer-10/1/2014""  ""12\:00\:00 AM"
R0005935,IND,,IND,"New Boston Fund-10/6/2008""  ""12\:00\:00 AM"
R0044113,,2.0,IND,nan-nan
R0084028,,,IND,"Not Employed-3/31/2016""  ""12\:00\:00 AM"
R0049470,,,IND,"NYC OMB-7/1/2014""  ""12\:00\:00 AM"
R0055373,,,IND,"self-employed-5/16/2009""  ""12\:00\:00 AM"
R0007343,,2.0,IND,nan-nan
R0084357,,,IND,"Stroock & Stroock-5/16/2009""  ""12\:00\:00 AM"
R0085323,,,IND,"Curtis and Ginsberg-8/31/2014""  ""12\:00\:00 AM"
R0047981,,,IND,"Little Scholars-3/1/2014""  ""12\:00\:00 AM"
R0085384,,,IND,"Public Health Solutions-1/1/2010""  ""12\:00\:00 AM"
R0066709,,,IND,"IFP-8/1/2012""  ""12\:00\:00 AM"
R0064382,,2.0,IND,nan-nan
R0002898,,,IND,"nan-10/31/2008""  ""12\:00\:00 AM"
R0025048,,,IND,"S&P Global-7/31/2008""  ""12\:00\:00 AM"
R0077649,,,IND,"CLOTH-12/3/2008""  ""12\:00\:00 AM"
R0084359,,,IND,"Stroock & Stroock-5/16/2009""  ""12\:00\:00 AM"
R0085232,,,IND,"Fund for the City of NY-12/3/2008""  ""12\:00\:00 AM"
R0017257,,,IND,"MOORE CATHOLIC-7/22/2009""  ""12\:00\:00 AM"
R0084227,,,IND,"Prestige Management-3/1/2013""  ""12\:00\:00 AM"
R0000855,IND,,IND,"Self Employed-7/31/2008""  ""12\:00\:00 AM"
R0044701,,,IND,"Law Offices of Domenic Recchia-3/31/2015""  ""12\:00\:00 AM"
R0053532,,,IND,"MedReview-2/2/2008""  ""12\:00\:00 AM"
R0052874,,,IND,"MedReview-2/2/2008""  ""12\:00\:00 AM"
R0055044,,,IND,"TLM Associates, LLC-5/16/2009""  ""12\:00\:00 AM"
R0082126,,,IND,"Venable LLP-5/1/2012""  ""12\:00\:00 AM"
R0086798,,,IND,"Jacobi Medical Center-2/2/2008""  ""12\:00\:00 AM"
R0044512,,,IND,"Retired-1/21/2016""  ""12\:00\:00 AM"
R0066916,,,IND,"Venable LLP-5/1/2012""  ""12\:00\:00 AM"
R0051872,,,IND,"Scarsdale Strings-11/3/2014""  ""12\:00\:00 AM"
R0045890,,,IND,"NYC DOT-5/1/2016""  ""12\:00\:00 AM"
R0083751,,,IND,"Brown & Weinraub, PLLC-1/1/2010""  ""12\:00\:00 AM"
R0061845,,,IND,"Hunger Free America-5/16/2009""  ""12\:00\:00 AM"
R0050901,,,IND,"WEN Management-10/1/2015""  ""12\:00\:00 AM"
R0089283,,,IND,"Self-10/1/2013""  ""12\:00\:00 AM"
R0009667,,,IND,"Retired-7/31/2008""  ""12\:00\:00 AM"
R0001445,IND,,IND,"Pryor Cashman LLP-8/1/2016""  ""12\:00\:00 AM"
R0002659,,2.0,IND,nan-nan
R0071319,,,IND,"Techno Consult Engineering PC-10/1/2013""  ""12\:00\:00 AM"
R0057567,,,IND,"Not employed-8/31/2009""  ""12\:00\:00 AM"
R0088917,,,IND,Federated National Land LLC-nan
R0048492,IND,,IND,"Con Edison-10/1/2015""  ""12\:00\:00 AM"
R0004404,IND,,IND,"HK Organization-9/4/2013""  ""12\:00\:00 AM"
R0084670,,,IND,"LIFE Camp Inc-1/1/2013""  ""12\:00\:00 AM"
R0002760,,,IND,"nan-2/2/2008""  ""12\:00\:00 AM"
R0056483,,,IND,"VJ Associates-2/2/2008""  ""12\:00\:00 AM"
R0085443,,,IND,"Magnum Real Estate Group-1/29/2015""  ""12\:00\:00 AM"
R0005036,IND,,IND,"Superior Pest Elimination-4/7/2016""  ""12\:00\:00 AM"
R0053803,IND,,IND,"GNYHA-5/16/2009""  ""12\:00\:00 AM"
R0047910,,,IND,"American Federation of Teacher-2/2/2008""  ""12\:00\:00 AM"
R0002417,,,IND,"A Boima Curtis & Associates, L-6/8/2008""  ""12\:00\:00 AM"
R0071141,,,IND,"ASPCA-5/16/2009""  ""12\:00\:00 AM"
R0054816,,,IND,"Heights-Hill Mental Health Ser-2/2/2008""  ""12\:00\:00 AM"
R0067062,,,IND,"The Doe Fund-12/3/2008""  ""12\:00\:00 AM"
R0045693,,,IND,"The Legal Aid Society-5/16/2009""  ""12\:00\:00 AM"
R0005996,IND,,IND,"Nucor Construction Corp-5/1/2012""  ""12\:00\:00 AM"
R0066904,,,IND,"God's Battalion of Prayer-10/1/2014""  ""12\:00\:00 AM"
R0044747,,,IND,"Physician-5/1/2011""  ""12\:00\:00 AM"
R0009468,,,IND,"GEC-7/31/2008""  ""12\:00\:00 AM"
R0061760,,,IND,"Pioneer Lock Corporation-7/1/2015""  ""12\:00\:00 AM"
R0002266,,,IND,"citywide environmental service-11/16/2011""  ""12\:00\:00 AM"
R0006090,,2.0,IND,nan-nan
R0053855,,,IND,"Schnur Assoc.-5/16/2009""  ""12\:00\:00 AM"
R0085814,,,IND,"Not Employed-8/1/2016""  ""12\:00\:00 AM"
R0006422,,,IND,"Renaissance Technologies-7/1/2016""  ""12\:00\:00 AM"
R0047301,,,IND,"Michael O'Loughlin and Company-8/31/2015""  ""12\:00\:00 AM"
R0047719,,,IND,"Human Services Council of NY-5/16/2009""  ""12\:00\:00 AM"
R0047946,IND,,IND,"Con Edison-10/1/2015""  ""12\:00\:00 AM"
R0044991,,,IND,"Unemployed-2/2/2008""  ""12\:00\:00 AM"
R0043538,IND,,IND,"Logan Bus Co-10/1/2014""  ""12\:00\:00 AM"
R0052493,,,IND,"Association to Benefit Childre-2/2/2008""  ""12\:00\:00 AM"
R0004140,,,IND,"Church at the Gateway-8/31/2014""  ""12\:00\:00 AM"
R0043593,IND,,IND,"JDS Development-8/1/2014""  ""12\:00\:00 AM"
R0072740,,,IND,"Viale Intervention Program-1/1/2014""  ""12\:00\:00 AM"
R0054536,,,IND,"GEC-7/31/2008""  ""12\:00\:00 AM"
R0086222,,,IND,"Purelements-3/30/2010""  ""12\:00\:00 AM"
R0058252,,,IND,"Association to Benefit Childre-2/2/2008""  ""12\:00\:00 AM"
R0071771,,,IND,"Lakhani& Jordan Engineers-5/1/2009""  ""12\:00\:00 AM"
R0048416,,2.0,IND,nan-nan
R0047614,,,IND,"Con Edison-8/31/2014""  ""12\:00\:00 AM"
R0044138,,,IND,"Magnusson Architecture & Plann-1/1/2016""  ""12\:00\:00 AM"
R0001804,,,IND,"Munich American Reassurance Co-5/16/2009""  ""12\:00\:00 AM"
R0057750,,2.0,IND,nan-nan
R0008853,,,IND,"MOORE CATHOLIC-7/22/2009""  ""12\:00\:00 AM"
R0049134,,,IND,"Greenburger Center-5/31/2016""  ""12\:00\:00 AM"
R0045703,,,IND,"NYU-7/31/2008""  ""12\:00\:00 AM"
R0048790,,,IND,"Primary Care Development Corp-8/3/2015""  ""12\:00\:00 AM"
R0000385,,,IND,"Meringoff Properties-3/31/2013""  ""12\:00\:00 AM"
R0049059,,,IND,"NYC Council-7/1/2012""  ""12\:00\:00 AM"
R0066140,,,IND,"NYCHA-3/31/2009""  ""12\:00\:00 AM"
R0084799,,,IND,"Bushwick Economic Development-2/2/2008""  ""12\:00\:00 AM"
R0090179,,2.0,IND,nan-nan
R0043225,IND,,IND,"Carlo Scissura PC-2/2/2008""  ""12\:00\:00 AM"
R0044863,,,IND,"The friends of crown heights-9/4/2014""  ""12\:00\:00 AM"
R0086477,,,IND,"self-5/16/2009""  ""12\:00\:00 AM"
R0085638,,,IND,"Good Shepherd Services-5/16/2009""  ""12\:00\:00 AM"
R0043998,,,IND,"Ickes Enright Group-11/30/2014""  ""12\:00\:00 AM"
R0085590,,,IND,"Real Estate of B NY-1/1/2010""  ""12\:00\:00 AM"
R0066620,,,IND,"Fashion Institute of Technolog-7/1/2016""  ""12\:00\:00 AM"
R0043597,IND,,IND,"JDS Development-8/1/2014""  ""12\:00\:00 AM"
R0082755,,,IND,"Asian American Federation-10/31/2015""  ""12\:00\:00 AM"
R0084035,,,IND,"CUNY-8/31/2016""  ""12\:00\:00 AM"
R0000077,,,IND,"Urban Justice Center-2/2/2008""  ""12\:00\:00 AM"
R0054213,,,IND,"NYC Transit Museum-8/3/2016""  ""12\:00\:00 AM"
R0055712,,,IND,"The Center for Anti-Violence E-8/1/2015""  ""12\:00\:00 AM"
R0084332,,,IND,"Uniformed Sanitationmen's Asso-2/2/2008""  ""12\:00\:00 AM"
R0048488,,2.0,IND,nan-nan
R0061037,,,IND,"Not employed-8/31/2009""  ""12\:00\:00 AM"
R0057742,,2.0,IND,nan-nan
R0071546,,,IND,"Battalion Christian Academy-10/1/2014""  ""12\:00\:00 AM"
R0056867,,,IND,"BLS-1/29/2015""  ""12\:00\:00 AM"
R0056992,,,IND,"NYLPI-8/3/2016""  ""12\:00\:00 AM"
R0044022,IND,,IND,"Radson Development-3/1/2015""  ""12\:00\:00 AM"
R0074269,,,IND,"FPWA-8/31/2010""  ""12\:00\:00 AM"
R0005939,,2.0,IND,nan-nan
R0052454,,,IND,"DBI-1/1/2016""  ""12\:00\:00 AM"
R0078708,,,IND,"Hunger Free America-5/16/2009""  ""12\:00\:00 AM"
R0052179,,,IND,"Kehilat Sephardim-2/4/2008""  ""12\:00\:00 AM"
R0059416,,,IND,"self-8/4/2008""  ""12\:00\:00 AM"
R0003428,,2.0,IND,nan-nan
R0061608,,,IND,"Leslie-Lohman Museum for Gay a-1/29/2013""  ""12\:00\:00 AM"
R0044869,,,IND,"Manhattan Youth-5/5/2010""  ""12\:00\:00 AM"
R0000313,,,IND,"Brite Adventure Center, Inc.-2/2/2008""  ""12\:00\:00 AM"
R0026937,,2.0,IND,nan-nan
R0065863,,,IND,"Morningside Center for Teachin-2/2/2008""  ""12\:00\:00 AM"
R0046091,,,IND,"Self-employed-12/24/2013""  ""12\:00\:00 AM"
R0048419,,2.0,IND,nan-nan
R0047823,,,IND,"NYC Council-7/1/2012""  ""12\:00\:00 AM"
R0084179,,2.0,IND,nan-nan
R0050970,,,IND,"Broadridge-8/1/2016""  ""12\:00\:00 AM"
R0044856,,,IND,"Columbia University-5/16/2009""  ""12\:00\:00 AM"
R0001552,,,IND,"Savills Studley-3/31/2016""  ""12\:00\:00 AM"
R0007032,,,IND,"Arrochar Pharmacy-12/3/2008""  ""12\:00\:00 AM"
R0000398,,,IND,"The Writing Revolution-3/31/2015""  ""12\:00\:00 AM"
R0045220,,,IND,"Bradford Construction-5/1/2012""  ""12\:00\:00 AM"
R0048421,,2.0,IND,nan-nan
R0084940,,,IND,"Black Spectrum Theatre-10/1/2014""  ""12\:00\:00 AM"
R0048481,,2.0,IND,nan-nan
R0020448,,,IND,F.J. SCIAME CONSTRUCTION CO IN-nan
R0057749,,2.0,IND,nan-nan
R0045351,,,IND,"SKA Marin-3/1/2015""  ""12\:00\:00 AM"
R0004877,,,IND,"Nucor Construction-5/1/2012""  ""12\:00\:00 AM"
R0043841,,,IND,"Forest City Ratner Companies-5/16/2009""  ""12\:00\:00 AM"
R0072705,,,IND,"NYCAASA-6/8/2008""  ""12\:00\:00 AM"
R0055306,,,IND,"Brown & Weinraub-1/1/2010""  ""12\:00\:00 AM"
