dbn,programname,programtype,address,phonenumber,t5_address,extendedhoursallschools,rank,dense_rank
02Z089,District 2 Pre-K Center at 10 Reade Street,Pre-K Center,10 Reade Street,212-422-6310,10 Reade Street,,1,1
84M518,East Harlem Education Center,Charter School,2050 Second Avenue,212-348-2518,2050 Second Avenue,,1,1
21K215,P.S. 215 Morris H. Weiss,District School,415 Avenue S,718-339-2464,415 Avenue S,PM,1,1
10X209,P.S. 209,District School,313 East 183 Street,718-364-0085,313 East 183 Street,Contact Program,1,1
06M187,P.S./I.S. 187 Hudson Cliffs,District School,349 Cabrini Boulevard,212-927-8218,349 Cabrini Boulevard,Contact Program,1,1
06M189,P.S. 189,District School,2580 Amsterdam Avenue,212-927-8303,2580 Amsterdam Avenue,,1,1
05M129,P.S. 129 John H. Finley,District School,425 West 130 Street,212-690-5932,425 West 130 Street,AM,1,1
05M123,P.S. 123 Mahalia Jackson,District School,301 West 140 Street,212-342-6200,301 West 140 Street,,1,1
09X058,P.S. 58,District School,459 East 176 Street,718-583-6866,459 East 176 Street,Contact Program,1,1
21K253,P.S. 253,District School,601 Ocean View Avenue,718-332-3331,601 Ocean View Avenue,,1,1
02M089,P.S. 89,District School,201 Warren Street,212-571-5659,201 Warren Street,Contact Program,1,1
02M124,P.S. 124 Yung Wing,District School,40 Division Street,212-966-7237,40 Division Street,AM,1,1
02M340,Sixth Avenue Elementary School,District School,590 Sixth Avenue,917-305-1000,590 Sixth Avenue,,1,1
02M040,P.S. 40 Augustus Saint-Gaudens,District School,320 East 20 Street,212-475-5500,320 East 20 Street,,1,1
02M340,Sixth Avenue Elementary School,District School,590 Sixth Avenue,917-305-1000,590 Sixth Avenue,PM,1,1
04M182,The Bilingual Bicultural School,District School,219 East 109 Street,212-860-6031,219 East 109 Street,,1,1
04M182,The Bilingual Bicultural School,District School,219 East 109 Street,212-860-6031,219 East 109 Street,Contact Program,1,1
15K038,P.S. 38 The Pacific,District School,450 Pacific Street,718-330-9305,450 Pacific Street,PM,1,1
15K516,Sunset Park Avenues Elementary School,District School,4222 4 Avenue,718-369-8330,4222 4 Avenue,Contact Program,1,1
16K628,Brooklyn Brownstone School,District School,272 Macdonough Street,718-573-2307,272 Macdonough Street,Contact Program,1,1
10X207,P.S. 207,District School,3030 Godwin Terrace,718-796-9645,3030 Godwin Terrace,AM,1,1
13K020,P.S. 20 Clinton Hill,District School,225 Adelphi Street,718-834-6744,225 Adelphi Street,AM/PM,1,1
10X396,P.S. 396,District School,1930 Andrews Avenue,718-294-0862,1930 Andrews Avenue,Contact Program,1,1
08X182,P.S. 182,District School,601 Stickball Boulevard,718-828-6607,601 Stickball Boulevard,,1,1
08X107,P.S. 107,District School,1695 Seward Avenue,718-860-8760,1695 Seward Avenue,,1,1
13K067,P.S. 67 Charles A. Dorsey,District School,51 Saint Edwards Street,718-834-6756,51 Saint Edwards Street,,1,1
14K257,P.S. 257 John F. Hylan,District School,60 Cook Street,718-384-7128,60 Cook Street,,1,1
