work_permit,work_permit_1,job_filing_number,job_filing_number_1,work_type,filing_reason,total_estimated_job_costs,permit_status
Q00900187-S2-FO-EA,Q00900187-S2-FO-EA,Q00900187-S2,Q00900187-S2,Earth Work,Initial Permit,0.0,Signed-off
M01139683-S3-FN,M01139683-S3-FN,M01139683-S3,M01139683-S3,Construction Fence,Initial Permit,8000.0,Signed-off
X00927185-I1-SH,X00927185-I1-SH,X00927185-I1,X00927185-I1,Sidewalk Shed,Renewal Permit Without Changes,1.0,Permit Issued
M01031771-I1-MS,M01031771-I1-MS,M01031771-I1,M01031771-I1,Mechanical Systems,Initial Permit,121000.0,Signed-off
Q01170734-S1-MS,Q01170734-S1-MS,Q01170734-S1,Q01170734-S1,Mechanical Systems,Initial Permit,50000.0,Permit Issued
S01170084-I1-GC-CX,S01170084-I1-GC-CX,S01170084-I1,S01170084-I1,Mechanical Systems,Initial Permit,0.0,Permit Issued
B00338846-S1-BE,B00338846-S1-BE,B00338846-S1,B00338846-S1,Boiler Equipment,Initial Permit,2000.0,Permit Issued
B00629993-Z1-PL,B00629993-Z1-PL,B00629993-Z1,B00629993-Z1,Plumbing,Renewal Permit Without Changes,2000.0,Permit Issued
X00868217-I1-SF,X00868217-I1-SF,X00868217-I1,X00868217-I1,Sidewalk Shed,Initial Permit,60000.0,Signed-off
B00629993-Z1-PL,B00629993-Z1-PL,B00629993-Z1,B00629993-Z1,Plumbing,Renewal Permit Without Changes,1000.0,Signed-off
B01239231-I1-PMM,B01239231-I1-PMM,B01239231-I1,B01239231-I1,Protection and Mechanical Methods,Renewal Permit Without Changes,50000.0,Permit Issued
M00936552-I1-ST,M00936552-I1-ST,M00936552-I1,M00936552-I1,Structural,Initial Permit,435350.0,Signed-off
B00485579-I1-GC-CX,B00485579-I1-GC-CX,B00485579-I1,B00485579-I1,Earth Work,Renewal Permit Without Changes,18900000.0,Permit Issued
B01016766-S1-ST,B01016766-S1-ST,B01016766-S1,B01016766-S1,Structural,Initial Permit,100000.0,Signed-off
Q01179617-I1-GC,Q01179617-I1-GC,Q01179617-I1,Q01179617-I1,General Construction,Initial Permit,80000.0,Signed-off
