location_type,complaint_count,intersection_street_2,location,location_1
Street/Sidewalk,1,RIDGEWOOD AVENUE,"{'type': 'Point', 'coordinates': [-73.875687, 40.685621]}","{'type': 'Point', 'coordinates': [-73.875687, 40.685621]}"
Street/Sidewalk,1,EAST 7 STREET,"{'type': 'Point', 'coordinates': [-73.975425, 40.65181]}","{'type': 'Point', 'coordinates': [-73.975425, 40.65181]}"
Street/Sidewalk,1,EUCLID AVENUE,"{'type': 'Point', 'coordinates': [-73.871713, 40.673013]}","{'type': 'Point', 'coordinates': [-73.871713, 40.673013]}"
Street/Sidewalk,1,AVENUE P,"{'type': 'Point', 'coordinates': [-73.983361, 40.608589]}","{'type': 'Point', 'coordinates': [-73.983361, 40.608589]}"
Street/Sidewalk,2,HIGH LINE,"{'type': 'Point', 'coordinates': [-74.001704, 40.751985]}","{'type': 'Point', 'coordinates': [-74.001704, 40.751985]}"
Street/Sidewalk,2,92 STREET,"{'type': 'Point', 'coordinates': [-74.028117, 40.617562]}","{'type': 'Point', 'coordinates': [-74.028117, 40.617562]}"
Street/Sidewalk,1,MYRTLE AVENUE,"{'type': 'Point', 'coordinates': [-73.914099, 40.699086]}","{'type': 'Point', 'coordinates': [-73.914099, 40.699086]}"
Street/Sidewalk,1,102 STREET,"{'type': 'Point', 'coordinates': [-73.866813, 40.754603]}","{'type': 'Point', 'coordinates': [-73.866813, 40.754603]}"
Street/Sidewalk,1,41 AVENUE,"{'type': 'Point', 'coordinates': [-73.890874, 40.745384]}","{'type': 'Point', 'coordinates': [-73.890874, 40.745384]}"
Street/Sidewalk,3,WEST230 STREET,"{'type': 'Point', 'coordinates': [-73.90236, 40.874268]}","{'type': 'Point', 'coordinates': [-73.90236, 40.874268]}"
Street/Sidewalk,1,118 AVENUE,"{'type': 'Point', 'coordinates': [-73.745031, 40.696135]}","{'type': 'Point', 'coordinates': [-73.745031, 40.696135]}"
Street/Sidewalk,2640,169 STREET,"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}","{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}"
Street/Sidewalk,4,6 AVENUE,"{'type': 'Point', 'coordinates': [-74.023535, 40.626176]}","{'type': 'Point', 'coordinates': [-74.023535, 40.626176]}"
Street/Sidewalk,2,JUDGE STREET,"{'type': 'Point', 'coordinates': [-73.880338, 40.744092]}","{'type': 'Point', 'coordinates': [-73.880338, 40.744092]}"
Street/Sidewalk,400,MANHATTAN AVENUE,"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}","{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}"
Street/Sidewalk,1,HOBART AVENUE,"{'type': 'Point', 'coordinates': [-73.832172, 40.852479]}","{'type': 'Point', 'coordinates': [-73.832172, 40.852479]}"
Street/Sidewalk,1,ROOSEVELT AVENUE,"{'type': 'Point', 'coordinates': [-73.870378, 40.749527]}","{'type': 'Point', 'coordinates': [-73.870378, 40.749527]}"
Street/Sidewalk,1,16 AVENUE,"{'type': 'Point', 'coordinates': [-74.008504, 40.612056]}","{'type': 'Point', 'coordinates': [-74.008504, 40.612056]}"
Street/Sidewalk,1920,VERNON BOULEVARD,"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}","{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}"
Street/Sidewalk,1,37 AVENUE,"{'type': 'Point', 'coordinates': [-73.871966, 40.751412]}","{'type': 'Point', 'coordinates': [-73.871966, 40.751412]}"
Street/Sidewalk,1,AVENUE Z,"{'type': 'Point', 'coordinates': [-73.943155, 40.590106]}","{'type': 'Point', 'coordinates': [-73.943155, 40.590106]}"
Street/Sidewalk,2,85 ROAD,"{'type': 'Point', 'coordinates': [-73.816631, 40.710028]}","{'type': 'Point', 'coordinates': [-73.816631, 40.710028]}"
