location_name,location_code,t3_location_code,t4_location_name,fiscal_year,category,count,avg_value,total_value,max_value
Bronx Center for Science and Mathematics,X260,X260,Bronx Center for Science and Mathematics,2019,Large,32,320900011260.0,10268800360320.0,320900011260
P.S. 043 Jonas Bronck,X043,X043,P.S. 043 Jonas Bronck,2019,Large,1,320700010043.0,320700010043.0,320700010043
South Bronx Preparatory: A College Board School,X221,X221,South Bronx Preparatory: A College Board School,2019,Large,1,320700011221.0,320700011221.0,320700011221
P.S. 181 Brooklyn,K181,K181,P.S. 181 Brooklyn,2019,Large,1,331700010181.0,331700010181.0,331700010181
P.S. 306,X306,X306,P.S. 306,2019,Large,1,321000010306.0,321000010306.0,321000010306
P.S. X114 - Luis Llorens Torres Schools,X114,X114,P.S. X114 - Luis Llorens Torres Schools,2019,Large,1,320900010114.0,320900010114.0,320900010114
Tompkins Square Middle School,M839,M839,Tompkins Square Middle School,2019,Large,1,310100010839.0,310100010839.0,310100010839
P.S. 025 Eubie Blake School,K025,K025,P.S. 025 Eubie Blake School,2019,Large,1,331600010025.0,331600010025.0,331600010025
University Neighborhood High School,M448,M448,University Neighborhood High School,2019,Large,1,310100011448.0,310100011448.0,310100011448
Success Academy Charter School - Flatbush,K886,K886,Success Academy Charter School - Flatbush,2019,Large,1,331700861094.0,331700861094.0,331700861094
Forsyth Satellite Academy,M458,M458,Forsyth Satellite Academy,2019,Large,1,310100011458.0,310100011458.0,310100011458
J.H.S. 218 James P. Sinnott,K218,K218,J.H.S. 218 James P. Sinnott,2019,Large,1,331900010218.0,331900010218.0,331900010218
Eleanor Roosevelt High School,M416,M416,Eleanor Roosevelt High School,2019,Large,1,310200010416.0,310200010416.0,310200010416
P.S. 024,K024,K024,P.S. 024,2019,Large,1,331500010024.0,331500010024.0,331500010024
P.S. 019 Judith K. Weiss,X019,X019,P.S. 019 Judith K. Weiss,2019,Large,1,321100010019.0,321100010019.0,321100010019
P.S. 138,M138,M138,P.S. 138,2019,Large,1,307500011138.0,307500011138.0,307500011138
Alfred E. Smith Career and Technical Education Hig,X600,X600,Alfred E. Smith Career and Technical Education Hig,2019,Large,1,320700011600.0,320700011600.0,320700011600
The Hunts Point School,X424,X424,The Hunts Point School,2019,Large,1,320800010424.0,320800010424.0,320800010424
P.S. 128 Audubon,M128,M128,P.S. 128 Audubon,2019,Large,1,310600010128.0,310600010128.0,310600010128
Soundview Academy for Culture and Scholarship,X448,X448,Soundview Academy for Culture and Scholarship,2019,Large,1,320800010448.0,320800010448.0,320800010448
DeWitt Clinton High School,X440,X440,DeWitt Clinton High School,2019,Large,1,321000011440.0,321000011440.0,321000011440
Richard R. Green High School of Teaching,M580,M580,Richard R. Green High School of Teaching,2019,Large,2,310200011580.0,620400023160.0,310200011580
Brooklyn Prospect Charter School,K707,K707,Brooklyn Prospect Charter School,2019,Large,1,331500860935.0,331500860935.0,331500860935
Renaissance School of the Arts,M377,M377,Renaissance School of the Arts,2019,Large,1,310400010377.0,310400010377.0,310400010377
High School for Medical Professions,K633,K633,High School for Medical Professions,2019,Large,1,331800011633.0,331800011633.0,331800011633
South Bronx Charter School for International Cultu,X309,X309,South Bronx Charter School for International Cultu,2019,Large,1,320700860889.0,320700860889.0,320700860889
Success Academy Charter School - Bronx 4 - New Yor,X464,X464,Success Academy Charter School - Bronx 4 - New Yor,2019,Large,1,320800861074.0,320800861074.0,320800861074
New York French American Charter School,M483,M483,New York French American Charter School,2019,Large,1,310300860963.0,310300860963.0,310300860963
