dsny_zone,unique_count,total,t1_address,t4_address,t4_bin,t7_bin,additional_info,location_point
MN,1,13.0,"265 Nagle Avenue, New York, NY, USA","265 Nagle Avenue, New York, NY, USA",1064706.0,1064706.0,,"{'type': 'Point', 'coordinates': [-73.9202520001307, 40.8630830001835]}"
SI,1,11.0,"1513 Forest Avenue, Staten Island, NY, USA","1513 Forest Avenue, Staten Island, NY, USA",5110056.0,5110056.0,,"{'type': 'Point', 'coordinates': [-74.1388860001898, 40.6252109996911]}"
SI,1,11.0,"3139 Veterans Road West, Staten Island, NY 10309, USA","3139 Veterans Road West, Staten Island, NY 10309, USA",5155332.0,5155332.0,,"{'type': 'Point', 'coordinates': [-74.2378560001553, 40.5279189997652]}"
SI,1,11.0,"2275 Richmond Avenue, Staten Island, NY, USA","2275 Richmond Avenue, Staten Island, NY, USA",5107371.0,5107371.0,,"{'type': 'Point', 'coordinates': [-74.1642459996542, 40.5911409996606]}"
MN,1,10.0,"84 East 7th Street, New York, NY, USA","84 East 7th Street, New York, NY, USA",1006282.0,1006282.0,,"{'type': 'Point', 'coordinates': [-73.9862860001998, 40.7270170000377]}"
MN,1,10.0,"14 West 8th Street, New York, NY, USA","14 West 8th Street, New York, NY, USA",1008860.0,1008860.0,,"{'type': 'Point', 'coordinates': [-73.9973569999266, 40.732530999809]}"
BKS,1,10.0,"150 52nd Street, Brooklyn, NY, USA","150 52nd Street, Brooklyn, NY, USA",3337255.0,3337255.0,Only non-perishable food is accepted,"{'type': 'Point', 'coordinates': [-74.0188419996595, 40.6482789995794]}"
MN,1,10.0,"13 Essex Street, New York, NY, USA","13 Essex Street, New York, NY, USA",1083703.0,1083703.0,,"{'type': 'Point', 'coordinates': [-73.9902680003689, 40.7151650002678]}"
MN,1,10.0,"245 West 10th Street, New York, NY 10014, USA","245 West 10th Street, New York, NY 10014, USA",1011183.0,1011183.0,,"{'type': 'Point', 'coordinates': [-74.0058949997554, 40.7339349998036]}"
BKS,1,10.0,"360 Van Brunt Street, Brooklyn, NY, USA","360 Van Brunt Street, Brooklyn, NY, USA",3336621.0,3336621.0,,"{'type': 'Point', 'coordinates': [-74.0127650000057, 40.6777370000657]}"
MN,1,10.0,"130 Crosby Street, New York, NY 10012, USA","130 Crosby Street, New York, NY 10012, USA",1007944.0,1007944.0,,"{'type': 'Point', 'coordinates': [-73.9963910003454, 40.7247089997238]}"
BKN,1,9.0,"976 Park Place, Brooklyn, NY, USA","976 Park Place, Brooklyn, NY, USA",3031601.0,3031601.0,,"{'type': 'Point', 'coordinates': [-73.9451899999195, 40.6729309996691]}"
BKS,1,9.0,"5361 Preston Ct, Brooklyn, NY, USA","5361 Preston Ct, Brooklyn, NY, USA",3350216.0,3350216.0,Please call in advance to make an appointment for pick-up.,"{'type': 'Point', 'coordinates': [-73.92371199961, 40.6387249996622]}"
BKN,1,8.0,"1360 Fulton Street, Brooklyn, NY 11216, USA","1360 Fulton Street, Brooklyn, NY 11216, USA",3329709.0,3329709.0,"Our center in Bed-Stuy is located on 1360 Fulton Street, Ground Floor; Brooklyn, NY 11216. The entrance is on New York Avenue, between Fulton and Herkimer Streets.","{'type': 'Point', 'coordinates': [-73.9464929997531, 40.6801139999643]}"
BKN,1,8.0,"181 Lexington Avenue, Brooklyn, NY, USA","181 Lexington Avenue, Brooklyn, NY, USA",3056359.0,3056359.0,,"{'type': 'Point', 'coordinates': [-73.9551549999043, 40.6873310000288]}"
BKN,1,8.0,"175 Tompkins Avenue, Brooklyn, NY 11206, USA","175 Tompkins Avenue, Brooklyn, NY 11206, USA",3049352.0,3049352.0,,"{'type': 'Point', 'coordinates': [-73.9456040001255, 40.6932549998216]}"
BKN,1,8.0,"576 Blake Avenue, Brooklyn, NY, USA","576 Blake Avenue, Brooklyn, NY, USA",3336125.0,3336125.0,,"{'type': 'Point', 'coordinates': [-73.8968049998518, 40.6671779996682]}"
QW,1,7.0,"74-39 Jamaica Avenue, Woodhaven, NY, USA","74-39 Jamaica Avenue, Woodhaven, NY, USA",4180778.0,4180778.0,,"{'type': 'Point', 'coordinates': [-73.8666480004058, 40.6916399999892]}"
BKN,1,7.0,"64 North 9th Street, Brooklyn, NY 11249, USA","64 North 9th Street, Brooklyn, NY 11249, USA",3392437.0,3392437.0,,"{'type': 'Point', 'coordinates': [-73.9599810003239, 40.7207729998773]}"
BKN,1,7.0,"5 Blue Slip, Brooklyn, NY, USA","5 Blue Slip, Brooklyn, NY, USA",3418261.0,3418261.0,Businesss has an yellowing awning,"{'type': 'Point', 'coordinates': [-73.9592950001651, 40.7362949998176]}"
BKN,1,7.0,"195 Linden Street, Brooklyn, NY 11221, USA","195 Linden Street, Brooklyn, NY 11221, USA",3076116.0,3076116.0,,"{'type': 'Point', 'coordinates': [-73.9176570000715, 40.6956489996049]}"
BKN,1,7.0,"167 North 9th Street, Brooklyn, NY, USA","167 North 9th Street, Brooklyn, NY, USA",3061704.0,3061704.0,,"{'type': 'Point', 'coordinates': [-73.9559159999244, 40.7188660000691]}"
BKN,1,7.0,"25 McGuinness Blvd, Brooklyn, NY, USA","25 McGuinness Blvd, Brooklyn, NY, USA",3066846.0,3066846.0,,"{'type': 'Point', 'coordinates': [-73.9479329996092, 40.7234920002588]}"
QW,1,7.0,"33-34 21st Street, Long Island City, NY, USA","33-34 21st Street, Long Island City, NY, USA",4005788.0,4005788.0,,"{'type': 'Point', 'coordinates': [-73.9333380001495, 40.763972000011]}"
BKN,1,7.0,"569 Wilson Avenue, Brooklyn, NY, USA","569 Wilson Avenue, Brooklyn, NY, USA",3079058.0,3079058.0,,"{'type': 'Point', 'coordinates': [-73.9085170003603, 40.691080000245]}"
QE,1,6.0,"30-05 Whitestone Expy, Flushing, NY, USA","30-05 Whitestone Expy, Flushing, NY, USA",4100748.0,4100748.0,,"{'type': 'Point', 'coordinates': [-73.8335439999566, 40.7702710000098]}"
QE,1,5.0,"183-14 Hillside Avenue, Jamaica, NY, USA","183-14 Hillside Avenue, Jamaica, NY, USA",4212730.0,4212730.0,,"{'type': 'Point', 'coordinates': [-73.7781329996392, 40.7135589999511]}"
QE,1,5.0,"178-36 Wexford Terrace, Jamaica, NY, USA","178-36 Wexford Terrace, Jamaica, NY, USA",4534092.0,4534092.0,,"{'type': 'Point', 'coordinates': [-73.7843579998228, 40.7134070001361]}"
QE,1,5.0,"231-02 Mentone Ave, Jamaica, NY 11413, USA","231-02 Mentone Ave, Jamaica, NY 11413, USA",4283794.0,4283794.0,,"{'type': 'Point', 'coordinates': [-73.74499500032, 40.6665900004314]}"
QW,1,5.0,"102-16 89th Ave, Jamaica, NY 11418, USA","102-16 89th Ave, Jamaica, NY 11418, USA",4194447.0,4194447.0,,"{'type': 'Point', 'coordinates': [-73.8435489999873, 40.6931310003986]}"
