bin__,total_est_fee,job_status,owner_s__phone__,job_status_descrp,latest_action_date
1085682,150.3,J,2122576600,PLAN EXAM - DISAPPROVED                 ,10/11/2017 00:00:00
1085682,150.3,J,2122576600,PLAN EXAM - DISAPPROVED                 ,10/11/2017 00:00:00
1085682,150.3,J,2122576600,PLAN EXAM - DISAPPROVED                 ,08/29/2017 00:00:00
1085682,150.3,J,2122576600,PLAN EXAM - DISAPPROVED                 ,08/29/2017 00:00:00
1085682,150.3,J,2122576600,PLAN EXAM - DISAPPROVED                 ,08/03/2017 00:00:00
1087616,100.0,R,2125642246,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
1089941,160.6,P,2126784400,PLAN EXAM - APPROVED                    ,10/06/2017 00:00:00
5150289,150.3,R,7184940717,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/25/2017 00:00:00
5164798,263.6,P,7189660303,PLAN EXAM - APPROVED                    ,08/25/2017 00:00:00
1032645,100.0,R,2127443300,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/31/2017 00:00:00
1032645,100.0,R,2127443300,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/31/2017 00:00:00
1032645,100.0,R,2127443300,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/31/2017 00:00:00
1088760,232.7,D,9176475309,APPLICATION PROCESSED - ENTIRE          ,08/18/2017 00:00:00
1088760,232.7,D,9176475309,APPLICATION PROCESSED - ENTIRE          ,08/18/2017 00:00:00
1088760,232.7,D,9176475309,APPLICATION PROCESSED - ENTIRE          ,08/18/2017 00:00:00
1088760,232.7,D,9176475309,APPLICATION PROCESSED - ENTIRE          ,08/18/2017 00:00:00
3247095,100.0,H,9147618880,PLAN EXAM - IN PROCESS                  ,09/01/2017 00:00:00
4113289,100.0,R,2126092656,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/17/2017 00:00:00
4113289,100.0,R,2126092656,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/17/2017 00:00:00
4113289,100.0,R,2126092656,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/17/2017 00:00:00
4113289,100.0,R,2126092656,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/17/2017 00:00:00
5155571,100.0,R,6099242262,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/30/2017 00:00:00
5155571,100.0,R,6099242262,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/30/2017 00:00:00
5155571,100.0,R,6099242262,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/30/2017 00:00:00
5155571,100.0,R,6099242262,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/30/2017 00:00:00
5155571,100.0,R,6099242262,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/30/2017 00:00:00
1022646,120.0,R,9176475509,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/06/2017 00:00:00
1022646,120.0,R,9176475509,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/06/2017 00:00:00
4116510,150.3,R,3474686615,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/28/2017 00:00:00
4448939,552.0,R,5164727880,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/10/2017 00:00:00
4448939,552.0,R,5164727880,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/10/2017 00:00:00
4448939,552.0,R,5164727880,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/10/2017 00:00:00
4448939,552.0,R,5164727880,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/10/2017 00:00:00
3414141,100.0,R,7182737575,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
3414141,100.0,R,7182737575,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
3414141,100.0,R,7182737575,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
3414141,100.0,R,7182737575,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
3414141,100.0,R,7182737575,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
1081009,232.7,R,2122576600,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
1081009,232.7,R,2122576600,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
1081009,232.7,R,2122576600,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
1081009,232.7,R,2122576600,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/29/2017 00:00:00
1081009,232.7,R,2122576600,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/29/2017 00:00:00
1090374,100.0,R,2125639290,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/06/2017 00:00:00
