manhattan_condominium_property_condo_section,manhattan_condominium_property_address,manhattan_condominium_property_boro_block_lot,latitude,longitude,bin,manhattan_condominium_property_total_units,manhattan_condominium_property_full_market_value,manhattan_condominium_property_market_value_per_sqft,rank,dense_rank
28-R1,55 EAST 93 STREET,1-01505-7501,40.785114,-73.955114,1047142.0,29,3939996,170.0,1,1
242-R1,100 WEST 89 STREET,1-01219-7501,40.788594,-73.971197,1032320.0,108,29900000,206.0,1,1
1616-R1,330 SPRING STREET,1-00595-7504,40.726039,-74.009658,1087495.0,40,14900002,216.0,1,1
191-R1,201 EAST 36 STREET,1-00917-7501,40.74696,-73.97705,1020214.0,118,20099989,163.0,1,1
1551-R1,71 NASSAU STREET,1-00079-7503,40.709639,-74.008325,1001215.0,67,11600000,174.0,1,1
1590-R1,82 BEAVER STREET,1-00028-7501,40.70536,-74.008602,1000835.0,126,19000009,196.0,1,2
228-R1,420 WEST 23 STREET,1-00720-7501,40.746836,-74.002162,1012691.0,39,6629998,177.0,1,1
766-R1,315 7 AVENUE,1-00803-7501,40.747086,-73.993457,1015096.0,93,19900004,210.0,1,2
1845-R1,125 WEST 22 STREET,1-00798-7505,40.742628,-73.994197,1087724.0,33,14200000,212.0,1,3
410-R1,180 WEST END AVENUE,1-01158-7502,40.777464,-73.986171,1070696.0,452,57200000,116.0,1,1
344-R1,2120 BROADWAY,1-01166-7501,40.780449,-73.981462,1030741.0,92,8190004,149.0,1,2
405-R1,130 WEST 79 STREET,1-01150-7503,40.782381,-73.976522,1070591.0,93,12100007,177.0,1,3
966-R1,1965 BROADWAY,1-01138-7502,40.773997,-73.982233,1028839.0,199,69299975,216.0,1,4
1463-R1,120 RIVERSIDE BOULEVARD,1-01171-7504,40.776674,-73.98923,1086247.0,277,58100023,221.0,1,5
1895-R1,31 WEST 11 STREET,1-00575-7502,40.734537,-73.996218,1087759.0,17,3529998,103.0,1,1
484-R1,205 BLEECKER STREET,1-00542-7501,40.729377,-74.001606,1066879.0,24,1980000,111.0,1,2
515-R1,53 WEST 11 STREET,1-00575-7501,40.734748,-73.996727,1076074.0,15,1050000,112.0,1,3
2021-R1,211 ELIZABETH STREET,1-00493-7501,40.722278,-73.994336,1084914.0,15,5362866,190.0,1,1
16-R1,117 EAST 57 STREET,1-01312-7501,40.761275,-73.969938,1036926.0,236,78800007,216.0,1,1
229-R1,220 WEST BROADWAY,1-00189-7501,40.719246,-74.006313,1002154.0,24,5900000,112.0,1,1
198-R1,67 HUDSON STREET,1-00180-7502,40.718038,-74.008932,1002045.0,20,2850003,137.0,1,2
1847-R1,157 CHAMBERS STREET,1-00140-7505,40.715987,-74.010248,1001505.0,38,14600007,167.0,1,3
498-R1,200 RECTOR PLACE,1-00016-7508,40.708809,-74.016116,1065475.0,546,114999983,196.0,1,4
594-R1,311 GREENWICH STREET,1-00140-7502,40.716745,-74.010862,1075706.0,80,13100003,197.0,1,5
1623-R1,30 WEST STREET,1-00016-7514,40.706146,-74.016873,1087238.0,234,91199996,211.0,1,6
1902-R1,70 BATTERY PLACE,1-00016-7517,40.707047,-74.017439,1085778.0,249,107999966,246.0,1,7
