dob_violation_number,bin,ecb_violation_number,respondent_name,block,issue_date,ecb_violation_status,violation_description,rank,dense_rank
072409CSSU1204,1008774,34787838R,SEABOARD WEATHERPROOFING,544.0,20090724,RESOLVE,"FAILURE TO MAINTAIN SUPPORTED SCAFFOLD. NOTED: APPRX 70'HIGH SCAFFOLD AT EXP #'S 1,4 HAS UNSECURE AND MISSING PLANKS GUARDRAILS TOEBOARDS AND HAS UNSECURE MATERIAL AND DEBRIS OVERHEAD OF WORKERS. REMEDY: MAINTA",2,1
012696LL1080NRF,1035423,34116199M,115 WEST 47 STREET COR,1283.0,19960126,RESOLVE,EXIT PASSAGE 1 DOOR TOTAL OBSTRUCTION AT BASEMENT LEVEL EXIT PASSAGEWAY FROM STORE TOTAL OBSTRUCTION DEFECT NOTED AT EXIT DOOR BLOCKED WITH STORE MERCHANDISE ON OUTSIDE OF DOOR ON INSIDE OF DOOR SHELVER,1,1
012696LL1080NRF,1035423,34116199M,115 WEST 47 STREET COR,1283.0,19960126,RESOLVE,FAILURE TO SUBMIT A THIRD ROUND TECHNICAL REPORT PERIODIE INSPECTION OF EXTERIOR WALL AND APPARTENANCES AS REQUIRED BY LOCAL LAW 10OF80 OF 1980 AND THE DEPARTMENT OF BUILDINGS RULES AND REGULATIONS REMEDY FILE,2,1
110308C05RM01,3087697,34716682L,BAKHARI GHAZI,3942.0,20081103,RESOLVE,FAILURE TO MAINTAIN BLDG WALLS OR APPURTENANCES NOTED DEFECT 3 STY WOOD FRAME FROM EXTERIOR AT 2ND FL AND 3RD FL BLDG APPEARS TO BE OUT OF PLUMBAND LEANING APPROX 23 INC TOWARD EAST REMEDY: MAINTAIN BLDG,1,1
101409ASTFMS01,4166995,34800152X,HAMYUN MAYLIK,7970.0,20091014,RESOLVE,FAILURE TO COMPLY W/COMMISSIONER'S ORDER TO CORRECT VIO # 34734734N   FOR WORK W/O PERMIT AT BSMT INSTALLED 1 ILLEGAL CLASS 'A'APT NO RECORDOF CORRECTION REMEDY:COMPLY W/COMM'S ORDER AND OBTAIN PERMIT,1,1
080708C18JL02,3227314,34688048Z,CHARLER CLARKE,8075.0,20080807,RESOLVE,WORK W/O A PERMIT WORK NOTED REMOVED GARAGE DOOR ERECTED A MASONRY WALL INSTALL A DOOR APPROX 3X7 AND ALSO A WINDOW REMEDY: OBTAIN A PERMIT OR RESTORE TO PRIOR LEGAL CONDITION,1,1
080708C18JL02,3227314,34688048Z,CHARLER CLARKE,8075.0,20080807,RESOLVE,WORK W/O A PERMIT WORK NOTED REMOVED GARAGE DOOR ERECTED A MASONRY WALL INSTALL A DOOR APPROX 3X7 AND ALSO A WINDOW REMEDY: OBTAIN A PERMIT OR RESTORE TO PRIOR LEGAL CONDITION,1,1
081909ASTFGM04,3032310,34798365J,LANCE OGISTE,1255.0,20090819,RESOLVE,"FAILURE TO COMPLY W/COMMISSIONER'S ORDER TO CORRECT ECB #34757630K FORILLEGAL EXTENSION AT REAR YARD. NO RECORD OF CORRECTION W/DOB. REMEDY:COMPLY W/ORDER, OBTAIN PERMIT.",1,1
121009ASTFJH03,4534792,34823730K,TULSIRAM KAWALL,9057.0,20091210,RESOLVE,"UNLAWFUL ACTS. FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER. NOTED: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV #34791734Y,HAVING CONSTRUCTED IN THE CELLAR FULL HEIGHT PARTITIONS",1,1
092909ASTFJH05,3030995,34809667X,OLUDOLA AKINMOLA,1227.0,20090929,RESOLVE,"FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER. NOTED: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV #34640434Y, HAVING CONSTRUCTED FULL HEIGHT PARTITIONS IN THE CELLAR, THEREBY CREATING",1,1
072809CSSU1202,1088161,34787910M,NADKOS INC,1661.0,20090728,RESOLVE,BC3314.4.2 FAILURE TO MAINTAIN SUPPORTED SCAFFOLD NOTED SCAFFOLD EXP 1 9TH FL SETBACK APPROX 110H IS MISSING GUARDRAILS TOE BOARDS AND HAS DEBRIS STREWN AN PLANKS THAT ARE NOT SECURE REMEDY: MAINTAIN SUPPORTED,1,1
102809ASTFJH04,4092114,34810451P,JOSEPH F CAPELLA,3794.0,20091028,RESOLVE,"UNLAWFUL ACTS FAIL RO COMPLY W/ AN ORDER OF THE COMM'S NOTED:RESP FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV#34737069X,HAVING REMOVED WATER & WATSE LINES & GAS LINES @ 2ND FLR W/O A PERMIT.NO RECOR",1,1
021710A07SA11,4114650,34780600P,TO THE OWNER OF 142-06 41,5046.0,20100217,RESOLVE,"FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER TO FILE C/C FOR NOV 34637647K/030508C07SA02, STATUS: OVERDUE COMPLIANCE REMEDY: COMPLY W/COMMISSIONER'S ORDER.",1,1
021710A07SA11,4114650,34780600P,TO THE OWNER OF 142-06 41,5046.0,20100217,RESOLVE,"FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER TO FILE C/C FOR NOV 34637647K/030508C07SA02, STATUS: OVERDUE COMPLIANCE REMEDY: COMPLY W/COMMISSIONER'S ORDER.",1,1
021710A07SA11,4114650,34780600P,TO THE OWNER OF 142-06 41,5046.0,20100217,RESOLVE,ALTERED BUILDING OCCUPIED WITHOUT A VALID C OF O. BLDG OCCUPIED ALT 1507-50 ALTERATION. DEM 220-50 LNO 3101 FL 1 DENIED RETAIL STORES. LNO 3113 FL DENIED RETAIL STORE. LNO 3150 1ST FL DENIED RETAIL STORE.FILE,3,1
021710A07SA11,4114650,34780600P,TO THE OWNER OF 142-06 41,5046.0,20100217,RESOLVE,ALTERED BUILDING OCCUPIED WITHOUT A VALID C OF O. BLDG OCCUPIED ALT 1507-50 ALTERATION. DEM 220-50 LNO 3101 FL 1 DENIED RETAIL STORES. LNO 3113 FL DENIED RETAIL STORE. LNO 3150 1ST FL DENIED RETAIL STORE.FILE,3,1
010610A13JNG05,4229578,34821005Z,PETRUS EMILENE EMILY,10715.0,20100106,RESOLVE,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34431124H ISSUED ON 2/27/04. AT TIME OF INSPECTION, CERTIFICATION STATUS W/OVERDUE COMPLIA",1,1
010610A13JNG05,4229578,34821005Z,PETRUS EMILENE EMILY,10715.0,20100106,RESOLVE,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34229827P ISSUED ON 12/3/99. AT TIME OF INSPECTION, CERTIFICATION STATUS WITH ""OVERDUE COM",1,1
010610A13JNG05,4229578,34821005Z,PETRUS EMILENE EMILY,10715.0,20100106,RESOLVE,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34431124H ISSUED ON 2/27/04. AT TIME OF INSPECTION, CERTIFICATION STATUS W/OVERDUE COMPLIA",1,1
010610A13JNG05,4229578,34821005Z,PETRUS EMILENE EMILY,10715.0,20100106,RESOLVE,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34229827P ISSUED ON 12/3/99. AT TIME OF INSPECTION, CERTIFICATION STATUS WITH ""OVERDUE COM",1,1
010610A13JNG05,4229578,34821005Z,PETRUS EMILENE EMILY,10715.0,20100106,RESOLVE,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34431124H ISSUED ON 2/27/04. AT TIME OF INSPECTION, CERTIFICATION STATUS W/OVERDUE COMPLIA",1,1
010610A13JNG05,4229578,34821005Z,PETRUS EMILENE EMILY,10715.0,20100106,RESOLVE,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34229827P ISSUED ON 12/3/99. AT TIME OF INSPECTION, CERTIFICATION STATUS WITH ""OVERDUE COM",1,1
010610A13JNG05,4229578,34821005Z,PETRUS EMILENE EMILY,10715.0,20100106,RESOLVE,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34431124H ISSUED ON 2/27/04. AT TIME OF INSPECTION, CERTIFICATION STATUS W/OVERDUE COMPLIA",1,1
010610A13JNG05,4229578,34821005Z,PETRUS EMILENE EMILY,10715.0,20100106,RESOLVE,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34229827P ISSUED ON 12/3/99. AT TIME OF INSPECTION, CERTIFICATION STATUS WITH ""OVERDUE COM",1,1
071910LLFEC01,3325882,36013655H,1422 BOERUM REALTY,3076.0,20100719,RESOLVE,FAILURE TO FILE AN ACCEPTABLE SIXTH ROUND TECHNICAL REPORT IN COMPLIANCE WITH CODE PROVISIONS: PERIODIC INSPECTION OF EXTERIOR WALLS AND APPURTENANCES AS REQUIRED BY ARTICLE 28.302 AND THE DEPARTMENT OF BUILDIN,1,1
091709ASTFGM03,3111195,34808036P,MCLEOD JEWEL,4944.0,20090917,RESOLVE,FAILURE TO COMPLY W/ COMMS ORDER TOCORRECT ECB #34776482L FOR CLASS A  APT IN CELLAR NO RECORD OF CORRECTION W/ DOB REM: COMPLY W/ ORDER,1,1
081409ASTFMA14,4005607,34801773N,RUHELLA HOSSAIN,511.0,20090814,RESOLVE,"FAILURE TO COMPLY WITH THE COMMISSIONERS ORDER TO OBTAIN A PERMIT PER VIOLATION #34583945H,ISSUED 6/26/07 FOR ""WORK W/O PERMIT"" CELLAR LEVEL. SEE PRIOR NOV #34770603L ISSUED 3/28/09. REMEDY: OBTAIN PERMIT.",1,1
082109CSTFCS02,1052990,34798233H,WARMINSTER INVESTORS CORP,1689.0,20090821,RESOLVE,FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER'S TO OBTAIN PERMITS FOR VIOLATION 34770646L ISSUED FOR THIRD FL APT NEW ELECTRICAL PLUMBING LINES AND PARTITIONS WITHOUT A PERMIT. REM: COMPLY WITH COMMISSION,1,1
110909C01AM02,3323047,34810911R,RAMON LAMTON,2786.0,20091109,RESOLVE,"WORK W/O A PERMIT. NOTED: CELLAR OF 2 STYS BLDG IS CONVERTED TO A CLASS 'A' APT W/3 PC BATHROOM AND KITCHEN W/GAS STOVE, 1 BEDROOM W/O PERMIT. REMEDY: OBTAIN PERMIT OR RESTORE PREMISES TO PRIOR LEGAL CONDITION.",1,1
090309C07SA04,4098481,34793683M,JTS REALTY CORP,4095.0,20090903,RESOLVE,UNLAWFUL ACTS. FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER TO FILE A CERTIFICATE OF CORRECTION WITH DEPT OF BLDG FOR NOTICE OF VIOLATION #34620815J/103107C07SA03 COMP STATUS OVER DUE COMP.,1,1
111209C11TS07,3158018,34810769P,DICAMILLO JR. LOUIS,6184.0,20091112,RESOLVE,FAILURE TO MAINTAIN BUILDING IN A CODE-COMPLAINT MANNER.FAILURE TO RETAIN PROPERTY'S OWN WATERCOURSE.AT TIME OF INSPECTION OBSERVED AT REAR OF PREMISES GUTTER & DOWN SPOUT FROM GARAGE ROOF NOT PROPERLY CONNECTE,1,1
120809ASTFNS04,4250572,34823790M,FEDERAL NATIONAL MORTGAGE,11627.0,20091208,RESOLVE,"RECURR COND/UNLAWFUL ACTS,FAILURE TO COMPLY WITH COMM-ORDER TO CORRECTCONDITIONS CITED IN 34578013L-FOR WORK DONE W/O A PERMIT AT CELLAR.RE MEDY:CORRECT CONDITIONS CITED.",1,1
032008C01WO02,5025617,34624090J,DBA JTP DISTRIBUTES,1087.0,20080320,RESOLVE,FAILURE TO MAINTAIN BLDG NOTED AT BOTH SIDES OF MAIN ROOF AREA ROOF SHINGLES ARE BLOWING OFF ONTO ADJACENT PROPERTIES OVER HANGS ARE COMPLETELY ROTTED AT REAR OF BLDG BLDG PRESENT CONSITION COULD BE DANGEROUS,1,1
080909CDOEJM06,5045488,34798380H,PS 39 DOE,3097.0,20090809,RESOLVE,"ROOF LEAKS. LOCATION. (1) CORRIDOR @ 309 (2) RM 308 (3) RM 309 (4) RM 310 (5) RM 307. REMEDY: REPAIR ROOF, PREVENT LEAKS",1,1
091109ASTFAA03,3229466,34807868N,CAROL KELLY OWNER OF BLDG,8172.0,20090911,RESOLVE,UNLAWFUL ACTS.FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER.RESPONDENT FAILED TO COMPLY W/THE COMMISSIONER ORDER TO CORRECT THE CONDITIONCITED IN PRIOR NOT W/ECB #34612046Y FOR CREATED A CLASS A APT W/ECB,1,1
102709ASTFGM03,4302244,34809935N,ADAYAD INC,15966.0,20091027,RESOLVE,FAIL TO CORRECT ECB # 34719370X FOR ILLEGAL EXTENSION AT REAR NO RECORD OF CORRECTION W/DOB. REMEDY: COMPLY W/ORDER.,1,1
031809C04XZ01,4049692,34766773M,COSMAS AUGUSTATOS,2007.0,20090318,ACTIVE,WORK W/O PERMIT. NOTED: CREATED 2 CURB CUT AND 2 OFF STREET PARKING AT BACK YARD ON 52 AVE. CONTRUCT 2 CURB CUT. 10' WIDE EACH. 2 OFF STREETPARKING. APPROX 20' X 20'. REMEDY: OBTAIN PERMIT.,1,1
031809C04XZ01,4049692,34766773M,COSMAS AUGUSTATOS,2007.0,20090318,ACTIVE,WORK W/O PERMIT. NOTED: CREATED 2 CURB CUT AND 2 OFF STREET PARKING AT BACK YARD ON 52 AVE. CONTRUCT 2 CURB CUT. 10' WIDE EACH. 2 OFF STREETPARKING. APPROX 20' X 20'. REMEDY: OBTAIN PERMIT.,1,1
070909CDOEJM12,5113169,34798786H,MICHAEL J. PETRIDES COMPL,683.0,20090707,RESOLVE,"WIRE GLASS IN DOOR LIGHTS REPLACED W/ PLEXIGLASS LOCATION. C-114, C-115 REMEDY: INSTALL WIRE GLASS",1,1
101708LL1198,1063193,36000333M,NYC HOUSING AUTHORITY,2132.0,20081017,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,1,1
101708LL1198,1063193,36000333M,NYC HOUSING AUTHORITY,2132.0,20081017,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,1,1
101708LL1198,1063193,36000333M,NYC HOUSING AUTHORITY,2132.0,20081017,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,1,1
101708LL1198,1063193,36000333M,NYC HOUSING AUTHORITY,2132.0,20081017,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,1,1
101708LL1198,1063193,36000333M,NYC HOUSING AUTHORITY,2132.0,20081017,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,1,1
101708LL1198,1063193,36000333M,NYC HOUSING AUTHORITY,2132.0,20081017,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,1,1
101708LL1198,1063193,36000333M,NYC HOUSING AUTHORITY,2132.0,20081017,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,1,1
101708LL1198,1063193,36000333M,NYC HOUSING AUTHORITY,2132.0,20081017,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,1,1
101708LL1198,1063193,36000333M,NYC HOUSING AUTHORITY,2132.0,20081017,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,1,1
101708LL1198,1063193,36000333M,NYC HOUSING AUTHORITY,2132.0,20081017,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,1,1
081209CSTFAA12,1063561,34804198J,BROADWAY PORTFOLIO I OWNE,2145.0,20090812,RESOLVE,"WORK WITHOUT A PERMIT! ILLEGAL WORK NOTED; AT BUILDING SIDE YARD SETBACK FOUND WITH STEEL STRUCTURE WITH IRON COLUMN AND PLATFORM WITH IRON FENCE AND ENCLOSURE @ 9'-6"" HEIGHT ADJACENT AND 1 TO RAMP 2 LEFT OF EN",1,1
081209CSTFAA12,1063561,34804198J,BROADWAY PORTFOLIO I OWNE,2145.0,20090812,RESOLVE,"WORK WITHOUT A PERMIT! ILLEGAL WORK NOTED; AT BUILDING SIDE YARD SETBACK FOUND WITH STEEL STRUCTURE WITH IRON COLUMN AND PLATFORM WITH IRON FENCE AND ENCLOSURE @ 9'-6"" HEIGHT ADJACENT AND 1 TO RAMP 2 LEFT OF EN",1,1
081209CSTFAA12,1063561,34804198J,BROADWAY PORTFOLIO I OWNE,2145.0,20090812,RESOLVE,"WORK WITHOUT A PERMIT! ILLEGAL WORK NOTED; AT BUILDING SIDE YARD SETBACK FOUND WITH STEEL STRUCTURE WITH IRON COLUMN AND PLATFORM WITH IRON FENCE AND ENCLOSURE @ 9'-6"" HEIGHT ADJACENT AND 1 TO RAMP 2 LEFT OF EN",1,1
081209CSTFAA12,1063561,34804198J,BROADWAY PORTFOLIO I OWNE,2145.0,20090812,RESOLVE,"WORK WITHOUT A PERMIT! ILLEGAL WORK NOTED; AT BUILDING SIDE YARD SETBACK FOUND WITH STEEL STRUCTURE WITH IRON COLUMN AND PLATFORM WITH IRON FENCE AND ENCLOSURE @ 9'-6"" HEIGHT ADJACENT AND 1 TO RAMP 2 LEFT OF EN",1,1
103009ASTFCS02,1051615,34818143J,PENA MARIO,1616.0,20091030,RESOLVE,UNLAWFUL ACTS. FAILURE TO COMPLY W/ AN ORDER OF THE COMMISSIONER. NOTE: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOC 34755136X FOR WORK W/O A PERMIT @ 2ND FL EAST WALL CREATED AN OPENING,1,1
081709CSTFCS02,1064585,34798227L,CHERY ENDMRS MACION,2215.0,20090817,RESOLVE,FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER'S TO OBTAIN PERMITS FOR PARTITIONS AND WORK IN BASEMENT OF ABOVE PREMISES US PER N.O.V #34700528R. REM: COMPLY WITH COMMISSIONER'S ORDER.,1,1
063003C03AP01,5123868,34403100P,RALPH SCIANGULA,5691.0,20030630,RESOLVE,WORK W/ O PERMIT WORK NOTED SCREEN ROOM CONSTRUCTED AND WOOD DECK AT REAR OF HOUSE SCREEN ROOM APPROX 25X15 DECK APPROX 25X25 REMEDY OBTAIN A PERMIT OR RESTORE PREMISE TO PRIOR LEGAL CONDITION,1,1
052009CSSSTDL020,4595352,34768862N,AMERICAN DREAM PRODUCTION,15817.0,20090520,RESOLVE,SEC. 3307.5.1 27-1009 WATCH PERSON AT THE TIME OF INSPECTION NO CONSTRUCTION ACTIVITY IN PROGRESS GATE LOCKED NO WATCH PERSON PRESENT. TIME OF INSP. 9:45 - 10:10. REMEDY: PROVIDE WATCH PERSON AS PER N.Y.C. BUIL,1,1
010909C12HS03,4223348,34762804H,FERNANDEZ YOCANDA C,10490.0,20090109,RESOLVE,WORK W/O A PERMIT WORK NOTED:AT REAR OF TEH PREMISES ERRECTED A WOODEN SHED & ATTACHED TO THE HOUSE SHED IS APPROX. 12'W X 14'L X 10'H SHED HAS SHINGLES ON THE ROOF & GUTTER & LEADER ATTACHED TO THE ROOF SHED I,1,1
120909ASTFNS03,3001477,34823797P,FRENCH CHURCH DU SANINT E,202.0,20091209,RESOLVE,FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO CORRECT CONDITIONS CITED IN NOV 34761135P FOR WORK DONE W/O A PERMIT REMEDY:CORRECT CONDITIONS CITED.,1,1
092409ASTFNS41,3087079,34810306Z,DEJESUS G,3925.0,20090924,RESOLVE,FAILURE TO COMPLY W/ COMM ORDER TO CORRECT CONDITIONS CITED IN NOV 34776287X FOR WORK DONE W/O A PERMIT CREATED BTRM ETC AT CELLAR REM: CORRECT VIOLATION 34776287X,1,1
091109ASTFAA06,3229556,34807871Y,MONISE RICHASRD/OR OWNER,8180.0,20090911,RESOLVE,UNLAWFUL ACTS. FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER. RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN PRIOR NOV ECB 34757744Z FOR WORK W/O A PERMITT FOR ILLEGGAL ADDITION AT REAR OF BLDG APPROX,1,1
102309A13MA08,4282508,34813641J,MARTIN DAMON,13154.0,20091023,RESOLVE,FAILURE TO COMPLY W/ THE COMMS ORDER TO OBTAIN A PERMIT PER VIOLATION #34651192Y ISSUED 5/23/08 FOR WORK W/O PERMIT CELLAR LVL REM: OBTAIN PERMIT,1,1
071709CSSUJAF01,1048787,34787672X,MIGUEL A BRION,1532.0,20090717,RESOLVE,SEC. 1RCNY 9-01 RIGGER FAILED TO NAME A DESIGNATED FOREMAN. NOTED: NO DESIGNATED FOREMAN AT SITE AT TIME OF INSPECTION. WORKER AT SITE SAID HE WAS THE FOREMAN (GONZALO RAMIREZ). BUT THE INSPECTION RECORDS WAS,1,1
