location_code,fiscal_year,administrative_district_name,location_name,grades_text,location_category_description,community_district_1,administrative_district_code
M065,2020,OFFICE OF CHARTER SCHOOLS,Democracy Prep Endurance Charter School,"06,07,08,09,10,11,12",Secondary School,110,84
M370,2020,COMMUNITY SCHOOL DISTRICT 01,IS 370m Learning Project Ms,,Junior High-Intermediate-Middle,103,1
M134,2020,COMMUNITY SCHOOL DISTRICT 01,P.S. 134 Henrietta Szold,"PK,0K,01,02,03,04,05,SE",Elementary,103,1
M188,2020,COMMUNITY SCHOOL DISTRICT 01,P.S. 188 The Island School,"PK,0K,01,02,03,04,05,06,07,08,SE",K-8,103,1
M217,2020,COMMUNITY SCHOOL DISTRICT 02,P.S./I.S. 217 Roosevelt Island,"PK,0K,01,02,03,04,05,06,07,08",K-8,108,2
M101,2020,COMMUNITY SCHOOL DISTRICT 04,P.S. 101 Andrew Draper,"08,SE",Junior High-Intermediate-Middle,111,4
M037,2020,COMMUNITY SCHOOL DISTRICT 04,River East Elementary,"PK,0K,01,02,03,04,05,SE",Elementary,111,4
K747,2020,COMMUNITY SCHOOL DISTRICT 23,P.S. 747 A Great Start Academy,"0K,01,02,03,04,05,SE",Elementary,316,23
K446,2020,COMMUNITY SCHOOL DISTRICT 23,Riverdale Avenue Community School,"PK,0K,01,02,03,04,05,SE",Elementary,316,23
K151,2020,COMMUNITY SCHOOL DISTRICT 32,P.S. 151 Lyndon B. Johnson,"PK,0K,01,02,03,04,05,SE",Elementary,304,32
K139,2020,COMMUNITY SCHOOL DISTRICT 22,P.S. 139 Alexine A. Fenty,"PK,0K,01,02,03,04,05,SE",Elementary,314,22
K152,2020,COMMUNITY SCHOOL DISTRICT 22,School of Science & Technology,"PK,0K,01,02,03,04,05,SE",Elementary,314,22
K251,2020,COMMUNITY SCHOOL DISTRICT 22,P.S. 251 Paerdegat,"PK,0K,01,02,03,04,05,SE",Elementary,318,22
K152,2020,COMMUNITY SCHOOL DISTRICT 22,School of Science & Technology,"PK,0K,01,02,03,04,05,SE",Elementary,314,22
M149,2020,COMMUNITY SCHOOL DISTRICT 03,P.S. 149 Sojourner Truth,"PK,0K,01,02,03,04,05,06,07,08,SE",K-8,110,3
M333,2020,COMMUNITY SCHOOL DISTRICT 03,P.S. 333 Manhattan School for Children,"0K,01,02,03,04,05,06,07,08,SE",K-8,107,3
M302,2020,COMMUNITY SCHOOL DISTRICT 05,KAPPA IV,"06,07,08,SE",Junior High-Intermediate-Middle,110,5
M132,2020,COMMUNITY SCHOOL DISTRICT 06,P.S. 132 Juan Pablo Duarte,"0K,01,02,03,04,05,SE",Elementary,112,6
M018,2020,COMMUNITY SCHOOL DISTRICT 06,P.S. 018 Park Terrace,"0K,01,02,03,04,05,06,07,08,SE",K-8,112,6
