centername,phone,phone_1,centername_1,publichealthhazardviolationrate,total_violationratepercent
CHILDREN'S CORNER,718-346-3470,718-346-3470,CHILDREN'S CORNER,0.0,50.0
ASSOCIATION TO BENEFIT CHILDREN,212-534-3656,212-534-3656,ASSOCIATION TO BENEFIT CHILDREN,25.0,100.0
ST. HELENA SCHOOL,718-892-3234,718-892-3234,ST. HELENA SCHOOL,0.0,115200.0
Kochavim Ktanim Child Care Inc,718-441-0404,718-441-0404,Kochavim Ktanim Child Care Inc,0.0,50.0
CREATIVE DISCOVERY PRE-SCHOOL,917-502-0685,917-502-0685,CREATIVE DISCOVERY PRE-SCHOOL,16.6667,100.0
PERRY KIDS INC.,212-255-1685,212-255-1685,PERRY KIDS INC.,25.0,150.0
"A TO Z CENTER TOO, INC.",718-740-8400,718-740-8400,"A TO Z CENTER TOO, INC.",0.0,150.0
"TUTOR TIME LEARNING CENTER, LLC",212-682-8080,212-682-8080,"TUTOR TIME LEARNING CENTER, LLC",0.0,0.0
JHELC INC.,929-424-3013,929-424-3013,JHELC INC.,0.0,0.0
SUNSHINE DAY CARE,718-989-9804,718-989-9804,SUNSHINE DAY CARE,0.0,0.0
OUR LITTLE ANGELS CORP,718-347-7377,718-347-7377,OUR LITTLE ANGELS CORP,16.6667,133.3332
EIS LAASOIS CHILD DEVELOPMENT SERVICES,718-303-9400,718-303-9400,EIS LAASOIS CHILD DEVELOPMENT SERVICES,33.3333,533.3328
"JACKSON CHILD DEVELOPMENT CENTER, INC.",718-205-1919,718-205-1919,"JACKSON CHILD DEVELOPMENT CENTER, INC.",0.0,1440.0
THE CHILD STUDY CENTER OF NEW YORK,718-442-8588,718-442-8588,THE CHILD STUDY CENTER OF NEW YORK,0.0,0.0
BSDC INC,718-440-9919,718-440-9919,BSDC INC,0.0,0.0
HEARTSHARE HUMAN SERVICES OF NEW YORK,718-238-4637,718-238-4637,HEARTSHARE HUMAN SERVICES OF NEW YORK,25.0,100.0
UNITED LUBAVITCHER PRESCHOOL,718-434-0795,718-434-0795,UNITED LUBAVITCHER PRESCHOOL,100.0,400.0
SHINING SMILES DAYCARE 1 INC.,929-227-3100,929-227-3100,SHINING SMILES DAYCARE 1 INC.,0.0,66.6666
"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.",212-694-0615,212-694-0615,"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.",0.0,80.0
Gan Yisroel of Crown Heights,347-857-8746,347-857-8746,Gan Yisroel of Crown Heights,25.0,50.0
ASIAN AMERICAN COALITION FOR EDUCATION,718-380-3683,718-380-3683,ASIAN AMERICAN COALITION FOR EDUCATION,40.0,240.0
"NEW YORK CHILD RESOURCE CENTER, INC.",718-585-0600,718-585-0600,"NEW YORK CHILD RESOURCE CENTER, INC.",0.0,25.0
BRONX STARBRIGHT DAYCARE,718-673-6371,718-673-6371,BRONX STARBRIGHT DAYCARE,0.0,50.0
"URBAN CONCEPTS OF NEW YORK, ROUND THE CLOCK NURSERY, INC",718-329-6023,718-329-6023,"URBAN CONCEPTS OF NEW YORK, ROUND THE CLOCK NURSERY, INC",,
Beanstalk Academy,718-346-1064,718-346-1064,Beanstalk Academy,20.0,20.0
THE HUDSON GUILD,212-760-9830,212-760-9830,THE HUDSON GUILD,0.0,0.0
WE R EXPLORERS LLC,646-883-0990,646-883-0990,WE R EXPLORERS LLC,0.0,0.0
PARSONS PRESCHOOL,718-464-5606,718-464-5606,PARSONS PRESCHOOL,0.0,0.0
